date,open,high,low,close,volume,padding
1999-01-04,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-05,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-06,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-07,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-08,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-11,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-12,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-13,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-14,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-15,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-19,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-20,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-21,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-22,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-25,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-26,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-27,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-28,25.0,26.06,21.61,25.6,10771500.0,1
1999-01-29,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-01,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-02,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-03,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-04,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-05,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-08,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-09,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-10,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-11,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-12,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-16,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-17,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-18,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-19,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-22,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-23,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-24,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-25,25.0,26.06,21.61,25.6,10771500.0,1
1999-02-26,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-01,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-02,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-03,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-04,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-05,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-08,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-09,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-10,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-11,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-12,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-15,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-16,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-17,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-18,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-19,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-22,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-23,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-24,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-25,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-26,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-29,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-30,25.0,26.06,21.61,25.6,10771500.0,1
1999-03-31,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-01,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-05,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-06,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-07,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-08,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-09,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-12,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-13,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-14,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-15,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-16,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-19,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-20,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-21,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-22,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-23,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-26,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-27,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-28,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-29,25.0,26.06,21.61,25.6,10771500.0,1
1999-04-30,25.0,26.06,21.61,25.6,10771500.0,1
1999-05-03,25.0,26.06,21.61,25.6,10771500.0,1
1999-05-04,25.0,26.06,21.61,25.6,10771500.0,1
1999-05-05,25.0,26.06,21.61,25.6,10771500.0,1
1999-05-06,25.0,26.06,21.61,25.6,10771500.0,1
1999-05-07,25.0,26.06,21.61,25.6,10771500.0,1
1999-05-10,25.0,26.06,21.61,25.6,10771500.0,1
1999-05-11,25.0,26.06,21.61,25.6,10771500.0,1
1999-05-12,25.0,26.06,21.61,25.6,10771500.0,1
1999-05-13,25.0,26.06,21.61,25.6,10771500.0,1
1999-05-14,25.0,26.06,21.61,25.6,10771500.0,1
