date,open,high,low,close,volume,padding
1999-01-04,29.965,30.955,29.965,30.12,1748800.0,0
1999-01-05,29.9,30.705,29.715,30.49,1563200.0,0
1999-01-06,30.49,30.8,30.365,30.645,1463800.0,0
1999-01-07,30.675,31.45,30.46,31.265,1730800.0,0
1999-01-08,31.325,32.1,31.325,32.035,1388600.0,0
1999-01-11,31.915,32.345,31.39,31.665,714000.0,0
1999-01-12,31.51,32.19,31.2,31.39,949000.0,0
1999-01-13,30.21,31.265,30.15,31.08,1230400.0,0
1999-01-14,31.08,31.325,30.365,30.49,1182000.0,0
1999-01-15,30.615,31.885,30.615,31.885,1019800.0,0
1999-01-19,32.005,32.315,31.265,31.48,782800.0,0
1999-01-20,31.42,31.575,30.83,30.89,836200.0,0
1999-01-21,30.645,31.045,29.9,30.21,859400.0,0
1999-01-22,30.15,30.89,29.84,29.87,986200.0,0
1999-01-25,29.78,30.52,29.405,30.365,885400.0,0
1999-01-26,30.49,30.955,30.085,30.18,1028400.0,0
1999-01-27,30.21,30.21,29.715,29.715,1181400.0,0
1999-01-28,29.655,29.9,28.785,28.88,1334200.0,0
1999-01-29,28.82,29.935,28.82,29.87,1313600.0,0
1999-02-01,29.84,31.295,29.715,30.585,755400.0,0
1999-02-02,30.55,31.14,30.395,30.645,1098200.0,0
1999-02-03,30.955,31.975,30.705,31.945,1099800.0,0
1999-02-04,31.945,32.72,31.575,32.19,1841400.0,0
1999-02-05,32.19,32.935,31.82,32.535,1284600.0,0
1999-02-08,32.41,32.81,32.255,32.285,983200.0,0
1999-02-09,32.315,33.215,32.285,32.875,1144400.0,0
1999-02-10,32.75,34.175,32.69,34.02,1434800.0,0
1999-02-11,33.99,33.99,33.43,33.525,1315400.0,0
1999-02-12,33.615,33.77,33.275,33.525,720800.0,0
1999-02-16,33.8,34.39,33.06,33.37,770400.0,0
1999-02-17,33.09,33.645,32.625,32.625,536800.0,0
1999-02-18,32.75,33.8,32.5,33.49,681000.0,0
1999-02-19,33.525,34.855,33.525,34.515,1246800.0,0
1999-02-22,34.45,34.64,34.265,34.485,741200.0,0
1999-02-23,34.98,35.69,34.605,35.41,1107200.0,0
1999-02-24,35.41,35.97,34.42,34.575,885800.0,0
1999-02-25,34.45,34.45,33.43,34.02,584200.0,0
1999-02-26,34.05,34.175,33.555,34.05,669600.0,0
1999-03-01,34.14,34.14,32.345,33.15,1819000.0,0
1999-03-02,33.185,33.555,33.03,33.4,625600.0,0
1999-03-03,33.46,34.05,33.06,34.02,1009200.0,0
1999-03-04,34.08,34.36,33.525,33.645,1040400.0,0
1999-03-05,33.865,34.14,33.645,34.14,762400.0,0
1999-03-08,34.14,34.14,33.185,33.525,501800.0,0
1999-03-09,33.555,33.68,33.03,33.245,547200.0,0
1999-03-10,33.245,33.615,33.03,33.525,514600.0,0
1999-03-11,33.525,33.525,32.965,33.215,732600.0,0
1999-03-12,33.185,33.865,33.09,33.305,859600.0,0
1999-03-15,33.185,34.14,33.09,33.835,469000.0,0
1999-03-16,33.835,34.175,33.585,33.71,640600.0,0
1999-03-17,33.8,33.8,32.995,33.245,619600.0,0
1999-03-18,33.37,33.925,32.5,33.77,931200.0,0
1999-03-19,33.865,33.865,32.905,33.06,1133200.0,0
1999-03-22,33.06,33.245,32.47,32.905,630400.0,0
1999-03-23,33.03,33.06,31.73,32.315,591400.0,0
1999-03-24,32.315,32.44,31.14,31.355,801800.0,0
1999-03-25,31.82,32.1,31.54,31.665,608000.0,0
1999-03-26,31.695,31.695,30.8,31.17,614400.0,0
1999-03-29,31.245,31.495,30.935,31.245,562400.0,0
1999-03-30,30.595,31.06,30.345,30.53,925400.0,0
1999-03-31,30.53,30.875,30.285,30.72,1225600.0,0
1999-04-01,30.72,30.72,30.035,30.625,1387800.0,0
1999-04-05,30.75,30.78,29.91,29.94,1476600.0,0
1999-04-06,29.94,30.53,29.695,30.25,1252400.0,0
1999-04-07,30.22,30.595,30.095,30.285,1230200.0,0
1999-04-08,30.285,30.53,30.13,30.47,1194000.0,0
1999-04-09,30.285,30.44,30.065,30.345,911800.0,0
1999-04-12,30.285,30.995,30.095,30.905,1106400.0,0
1999-04-13,30.905,32.115,30.905,31.71,1762000.0,0
1999-04-14,32.27,34.255,32.27,33.385,2267800.0,0
1999-04-15,33.945,36.985,33.885,36.085,2739000.0,0
1999-04-16,35.96,36.49,35.96,36.15,1859600.0,0
1999-04-19,37.045,39.625,36.89,39.345,3306000.0,0
1999-04-20,38.04,38.165,36.115,36.77,2900000.0,0
1999-04-21,36.52,36.52,35.0,35.87,1851800.0,0
1999-04-22,35.87,35.87,34.41,35.215,1729400.0,0
1999-04-23,35.215,36.21,34.97,35.745,749800.0,0
1999-04-26,35.745,36.24,35.65,35.87,514400.0,0
1999-04-27,35.995,37.67,35.995,36.89,1181600.0,0
1999-04-28,36.89,38.66,36.89,37.885,1085600.0,0
1999-04-29,37.98,39.315,37.98,39.315,1139000.0,0
1999-04-30,39.19,39.19,37.79,38.225,1138800.0,0
1999-05-03,38.135,38.415,37.73,38.29,1192800.0,0
1999-05-04,38.415,38.415,37.67,37.7,1013600.0,0
1999-05-05,37.825,38.225,37.76,38.195,591600.0,0
1999-05-06,37.825,38.29,37.76,38.29,756400.0,0
1999-05-07,38.29,40.025,38.29,39.715,1675400.0,0
1999-05-10,39.715,40.245,38.63,39.0,1138200.0,0
1999-05-11,39.0,39.22,38.66,39.125,517600.0,0
1999-05-12,38.6,38.69,37.265,37.265,1332000.0,0
1999-05-13,37.295,37.855,36.395,37.36,1104800.0,0
1999-05-14,37.265,37.545,36.985,37.205,1047400.0,0
1999-05-17,37.205,37.635,37.11,37.42,711000.0,0
1999-05-18,37.17,37.17,36.49,36.925,983400.0,0
1999-05-19,37.235,37.67,36.86,37.67,785000.0,0
1999-05-20,37.67,38.07,37.235,37.235,440200.0,0
1999-05-21,37.11,37.235,36.8,37.11,499600.0,0
1999-05-24,37.235,38.195,37.205,37.39,744000.0,0
1999-05-25,37.515,37.7,35.805,35.805,1037200.0,0
1999-05-26,36.305,37.67,35.995,37.605,1032200.0,0
1999-05-27,37.605,37.605,36.055,36.735,937200.0,0
1999-05-28,36.615,38.29,36.52,38.1,1239600.0,0
1999-06-01,37.855,38.785,37.73,38.63,1637800.0,0
1999-06-02,38.63,39.655,38.505,39.405,1121200.0,0
1999-06-03,39.28,39.655,38.97,39.625,785600.0,0
1999-06-04,39.685,40.525,39.685,39.935,1058000.0,0
1999-06-07,40.055,40.525,39.995,40.18,829000.0,0
1999-06-08,40.055,40.305,39.995,40.055,1023200.0,0
1999-06-09,39.995,40.275,39.84,39.995,707600.0,0
1999-06-10,39.9,39.9,39.19,39.375,922000.0,0
1999-06-11,39.315,39.625,38.6,38.755,1296000.0,0
1999-06-14,38.845,38.97,38.475,38.535,1360200.0,0
1999-06-15,38.415,39.375,38.35,39.345,1265000.0,0
1999-06-16,39.405,39.405,38.26,38.63,1188200.0,0
1999-06-17,38.6,39.345,38.535,38.94,619800.0,0
1999-06-18,37.98,39.935,37.915,39.9,1363000.0,0
