date,open,high,low,close,volume,padding
1999-01-04,9.917,10.0,9.885,9.906,1300200.0,0
1999-01-05,9.917,9.917,9.74,9.875,1235400.0,0
1999-01-06,9.906,9.99,9.844,9.917,1950000.0,0
1999-01-07,9.917,9.969,9.76,9.781,882600.0,0
1999-01-08,9.771,9.99,9.729,9.979,1195200.0,0
1999-01-11,10.0,10.198,9.917,10.198,1605000.0,0
1999-01-12,10.198,10.198,9.708,9.813,1189800.0,0
1999-01-13,9.729,9.958,9.552,9.917,1664400.0,0
1999-01-14,9.896,10.125,9.865,10.094,2065200.0,0
1999-01-15,10.177,10.313,10.125,10.24,2445000.0,0
1999-01-19,10.323,10.479,10.24,10.333,1864800.0,0
1999-01-20,10.438,10.469,10.333,10.448,2339400.0,0
1999-01-21,10.427,10.635,10.365,10.583,3387600.0,0
1999-01-22,10.5,10.573,10.448,10.542,2134800.0,0
1999-01-25,10.646,10.646,10.385,10.396,2513400.0,0
1999-01-26,10.406,10.563,10.271,10.521,1816800.0,0
1999-01-27,10.583,10.625,10.427,10.469,2111400.0,0
1999-01-28,10.625,10.76,10.563,10.615,893400.0,0
1999-01-29,10.708,10.74,10.479,10.74,1635600.0,0
1999-02-01,10.708,10.74,10.552,10.677,1263600.0,0
1999-02-02,10.75,10.833,10.229,10.344,1752000.0,0
1999-02-03,10.323,10.604,10.292,10.594,899400.0,0
1999-02-04,10.521,10.521,10.208,10.271,797400.0,0
1999-02-05,10.333,10.333,10.042,10.146,820800.0,0
1999-02-08,10.167,10.271,10.073,10.125,1040400.0,0
1999-02-09,10.156,10.458,10.073,10.365,1277400.0,0
1999-02-10,10.292,10.521,10.281,10.521,1665600.0,0
1999-02-11,10.438,10.438,10.229,10.302,723600.0,0
1999-02-12,10.323,10.323,10.042,10.052,778200.0,0
1999-02-16,10.083,10.25,10.073,10.125,670200.0,0
1999-02-17,10.167,10.281,9.781,9.865,1443600.0,0
1999-02-18,9.833,10.229,9.833,10.063,1158600.0,0
1999-02-19,10.021,10.469,10.0,10.271,1018800.0,0
1999-02-22,10.25,10.792,10.25,10.75,1798200.0,0
1999-02-23,10.813,10.875,10.583,10.833,2581800.0,0
1999-02-24,10.625,10.833,10.625,10.667,1042200.0,0
1999-02-25,10.635,10.76,9.865,10.115,3217200.0,0
1999-02-26,10.281,10.406,10.042,10.25,1806000.0,0
1999-03-01,10.333,10.333,10.083,10.167,909000.0,0
1999-03-02,10.104,10.271,10.031,10.063,1765200.0,0
1999-03-03,10.083,10.135,9.969,10.0,1511400.0,0
1999-03-04,9.958,10.5,9.958,10.26,1339200.0,0
1999-03-05,10.25,10.5,10.188,10.427,2674200.0,0
1999-03-08,10.333,10.458,10.219,10.375,852600.0,0
1999-03-09,10.396,10.396,10.24,10.365,1044600.0,0
1999-03-10,10.344,10.354,10.25,10.333,1169400.0,0
1999-03-11,10.281,10.531,10.271,10.49,1552200.0,0
1999-03-12,10.49,10.667,10.448,10.625,1461000.0,0
1999-03-15,10.542,10.771,10.479,10.521,1559400.0,0
1999-03-16,10.417,10.583,10.396,10.469,595200.0,0
1999-03-17,10.5,10.594,10.469,10.563,582000.0,0
1999-03-18,10.604,10.927,10.604,10.906,2092800.0,0
1999-03-19,10.792,10.927,10.792,10.823,2194800.0,0
1999-03-22,10.833,10.906,10.792,10.802,1206000.0,0
1999-03-23,10.76,10.792,10.479,10.552,687600.0,0
1999-03-24,10.583,10.583,10.323,10.385,987000.0,0
1999-03-25,10.385,10.896,10.302,10.844,1608000.0,0
1999-03-26,10.854,10.854,10.604,10.75,748200.0,0
1999-03-29,10.76,10.781,10.542,10.563,912000.0,0
1999-03-30,10.479,10.615,10.406,10.51,1173600.0,0
1999-03-31,10.635,10.75,10.396,10.396,1435200.0,0
1999-04-01,10.396,10.813,10.354,10.781,1052400.0,0
