date,open,high,low,close,volume,padding
1999-01-04,12.438,12.533,12.345,12.367,668800.0,0
1999-01-05,12.0,12.14,11.188,11.25,651600.0,0
1999-01-06,11.283,11.625,11.125,11.25,534000.0,0
1999-01-07,11.095,11.345,11.0,11.328,222400.0,0
1999-01-08,11.375,11.75,11.188,11.625,244800.0,0
1999-01-11,11.063,11.563,11.033,11.453,306400.0,0
1999-01-12,11.345,11.47,11.188,11.313,504400.0,0
1999-01-13,10.845,11.375,10.813,11.22,483600.0,0
1999-01-14,11.22,11.75,11.188,11.72,514000.0,0
1999-01-15,11.75,11.75,11.25,11.39,203600.0,0
1999-01-19,11.25,11.328,10.095,10.172,1584000.0,0
1999-01-20,10.563,10.783,10.015,10.203,2334000.0,0
1999-01-21,10.422,10.5,10.0,10.5,614400.0,0
1999-01-22,10.485,10.547,10.125,10.485,980400.0,0
1999-01-25,10.485,10.485,10.188,10.25,1060000.0,0
1999-01-26,10.188,10.313,9.688,9.72,586800.0,0
1999-01-27,9.75,9.97,8.937999999999997,9.5,949600.0,0
1999-01-28,9.595,9.75,9.313,9.563,964000.0,0
1999-01-29,9.783,9.783,9.5,9.595,473600.0,0
1999-02-01,9.515,9.658,8.937999999999997,9.22,386000.0,0
1999-02-02,9.25,9.25,9.0,9.015,526800.0,0
1999-02-03,9.015,9.188,8.625,8.908,492800.0,0
1999-02-04,8.937999999999997,8.937999999999997,8.812999999999997,8.908,326800.0,0
1999-02-05,8.937999999999997,8.937999999999997,8.812999999999997,8.812999999999997,263200.0,0
1999-02-08,8.875,8.89,8.625,8.687999999999999,401200.0,0
1999-02-09,8.845,8.845,8.22,8.312999999999999,365200.0,0
1999-02-10,8.5,8.5,8.0,8.312999999999999,626800.0,0
1999-02-11,8.283,9.47,8.187999999999999,9.47,1125600.0,0
1999-02-12,9.985,10.063,9.485,9.72,774400.0,0
1999-02-16,10.063,10.095,9.375,9.578,521600.0,0
1999-02-17,9.188,9.625,9.172,9.25,310400.0,0
1999-02-18,9.5,9.5,8.97,9.0,230000.0,0
1999-02-19,9.0,9.033,8.562999999999999,8.937999999999997,824800.0,0
1999-02-22,8.812999999999997,9.11,8.453,9.033,627600.0,0
1999-02-23,9.033,9.125,8.908,9.047,242000.0,0
1999-02-24,8.985,9.297,8.985,9.172,130000.0,0
