date,open,high,low,close,volume,padding
1999-01-04,41.47,41.94,41.0,41.345,6097600.0,0
1999-01-05,41.315,41.875,40.75,41.5,5740800.0,0
1999-01-06,41.5,42.25,41.22,42.0,6238600.0,0
1999-01-07,41.69,41.72,41.095,41.595,4961800.0,0
1999-01-08,41.5,41.625,40.5,41.625,4780400.0,0
1999-01-11,41.03,41.125,39.875,40.095,4954800.0,0
1999-01-12,40.03,40.405,39.595,39.905,5460000.0,0
1999-01-13,38.5,39.625,38.5,38.5,8938000.0,0
1999-01-14,39.905,39.905,38.53,39.03,5577000.0,0
1999-01-15,39.5,40.065,39.44,40.0,5222800.0,0
1999-01-19,40.03,40.22,39.815,40.22,4471600.0,0
1999-01-20,40.22,40.94,39.905,40.5,4530200.0,0
1999-01-21,40.47,40.625,39.845,40.0,3266000.0,0
1999-01-22,39.75,39.94,39.0,39.25,6520000.0,0
1999-01-25,39.25,39.375,38.875,39.375,4546600.0,0
1999-01-26,39.53,41.595,39.5,41.25,8066800.0,0
1999-01-27,41.97,42.345,41.5,41.815,7807800.0,0
1999-01-28,41.94,42.47,41.44,42.375,5858200.0,0
1999-01-29,42.315,43.155,42.03,42.565,6562400.0,0
1999-02-01,42.44,42.47,41.69,41.845,3622000.0,0
1999-02-02,41.625,41.655,40.815,41.47,4474000.0,0
1999-02-03,41.405,42.5,41.345,42.19,6336200.0,0
1999-02-04,42.155,42.155,41.315,41.94,4926000.0,0
1999-02-05,42.25,42.5,41.655,42.0,3850800.0,0
1999-02-08,41.75,42.405,41.5,42.0,3837800.0,0
1999-02-09,41.655,41.75,41.155,41.345,3263800.0,0
1999-02-10,41.345,41.97,41.28,41.905,3547000.0,0
1999-02-11,41.75,42.72,41.595,42.315,4859200.0,0
1999-02-12,42.315,42.595,41.845,42.315,4523800.0,0
1999-02-16,42.875,43.315,42.625,43.315,6543000.0,0
1999-02-17,43.19,43.28,42.69,42.875,6250800.0,0
1999-02-18,42.815,43.375,42.75,43.155,4897000.0,0
1999-02-19,43.22,43.44,42.875,43.315,3712600.0,0
1999-02-22,43.44,44.065,43.315,43.97,4998800.0,0
1999-02-23,43.845,43.94,43.315,43.69,3257600.0,0
1999-02-24,43.5,43.845,42.875,42.875,3602600.0,0
1999-02-25,42.375,42.5,41.69,42.22,5067200.0,0
1999-02-26,42.315,42.94,41.75,42.69,3607200.0,0
1999-03-01,42.375,42.75,42.155,42.72,3176200.0,0
1999-03-02,42.655,42.815,42.28,42.53,3266600.0,0
1999-03-03,42.405,42.625,41.845,42.345,3516200.0,0
1999-03-04,42.375,43.5,42.25,43.47,3983200.0,0
1999-03-05,43.5,44.565,43.5,44.5,6123400.0,0
1999-03-08,44.5,44.595,43.72,44.53,4713600.0,0
1999-03-09,44.155,44.94,43.815,43.815,4384800.0,0
1999-03-10,43.97,43.97,43.19,43.75,3377600.0,0
1999-03-11,43.875,44.565,43.815,44.405,3693400.0,0
1999-03-12,44.44,44.595,44.0,44.28,3403200.0,0
1999-03-15,44.94,45.565,44.78,45.47,6704200.0,0
1999-03-16,45.345,45.595,45.095,45.125,3318400.0,0
1999-03-17,45.03,45.125,44.69,44.97,3925200.0,0
1999-03-18,44.69,45.125,44.595,44.905,3187400.0,0
1999-03-19,45.22,45.845,45.03,45.53,7219800.0,0
1999-03-22,45.315,46.125,45.25,45.815,3780200.0,0
1999-03-23,46.03,46.28,45.0,45.125,6090800.0,0
1999-03-24,45.155,45.405,44.815,45.345,4751600.0,0
1999-03-25,45.345,46.345,45.315,46.0,4470200.0,0
1999-03-26,45.655,45.75,45.375,45.655,3227200.0,0
1999-03-29,45.75,46.97,45.75,46.97,4317200.0,0
1999-03-30,46.5,46.625,46.375,46.53,3610600.0,0
1999-03-31,46.625,47.0,46.565,46.75,4262400.0,0
1999-04-01,46.625,47.155,46.375,47.065,4014200.0,0
1999-04-05,47.155,47.47,47.03,47.44,3340200.0,0
1999-04-06,47.375,47.5,46.875,47.125,3424000.0,0
1999-04-07,47.125,47.625,46.94,47.44,3280800.0,0
1999-04-08,47.155,48.625,47.155,48.625,4372200.0,0
1999-04-09,48.44,49.0,48.12,49.0,3512200.0,0
1999-04-12,48.625,49.845,48.595,49.815,3935600.0,0
1999-04-13,49.405,49.5,49.03,49.315,4189000.0,0
1999-04-14,49.25,49.28,47.155,47.345,3945800.0,0
1999-04-15,47.345,47.44,46.0,46.095,6050200.0,0
1999-04-16,46.5,46.94,46.0,46.565,5473000.0,0
1999-04-19,46.625,46.875,44.44,45.125,6346200.0,0
1999-04-20,45.22,48.19,45.19,48.125,8386400.0,0
1999-04-21,48.125,50.4,48.095,50.4,7812200.0,0
1999-04-22,50.4,51.25,49.69,51.25,5347800.0,0
1999-04-23,51.0,51.25,50.65,50.9,3874600.0,0
1999-04-26,50.8,50.95,49.72,50.1,4711200.0,0
1999-04-27,50.6,51.5,50.15,50.95,4921600.0,0
1999-04-28,50.85,51.15,49.5,49.75,6215400.0,0
1999-04-29,49.595,49.97,49.095,49.345,5975200.0,0
1999-04-30,49.345,49.375,48.345,48.75,5343000.0,0
1999-05-03,48.72,49.0,48.155,48.875,9691000.0,0
1999-05-04,48.655,48.69,47.375,47.5,6362800.0,0
1999-05-05,47.565,47.72,46.405,47.0,6542200.0,0
1999-05-06,47.0,48.815,46.815,48.815,6098600.0,0
1999-05-07,48.78,48.815,47.75,48.065,2926600.0,0
1999-05-10,47.875,47.94,46.5,46.69,4675400.0,0
1999-05-11,46.72,46.78,46.28,46.405,4507400.0,0
1999-05-12,46.47,47.565,46.0,47.345,5168600.0,0
1999-05-13,47.345,47.815,46.405,47.625,3789200.0,0
1999-05-14,46.815,47.125,46.125,46.44,2972600.0,0
1999-05-17,46.065,46.22,45.625,45.875,3408600.0,0
1999-05-18,45.875,45.875,45.065,45.19,4089000.0,0
1999-05-19,45.69,46.69,45.69,46.69,4822400.0,0
1999-05-20,47.095,47.69,46.875,47.5,4602200.0,0
1999-05-21,47.5,47.5,46.0,46.25,3631200.0,0
1999-05-24,46.28,46.47,45.0,45.25,3387600.0,0
1999-05-25,44.5,45.375,43.905,43.905,5133400.0,0
1999-05-26,44.565,45.565,44.19,45.0,4695000.0,0
1999-05-27,45.22,45.625,44.815,45.125,5604000.0,0
1999-05-28,45.5,46.905,45.44,46.315,4989600.0,0
1999-06-01,46.22,46.78,45.905,46.315,3854400.0,0
1999-06-02,46.095,46.47,45.72,45.845,4449000.0,0
1999-06-03,46.22,46.845,46.125,46.845,4189800.0,0
1999-06-04,47.25,48.405,46.565,48.345,6623000.0,0
1999-06-07,48.0,48.28,47.625,47.97,2575400.0,0
1999-06-08,47.5,47.72,46.25,46.375,4147000.0,0
1999-06-09,46.595,46.595,45.845,45.905,3644200.0,0
1999-06-10,45.25,45.595,44.625,44.75,5439600.0,0
1999-06-11,45.0,46.0,44.97,45.315,4198600.0,0
1999-06-14,45.72,45.905,45.28,45.315,3327600.0,0
1999-06-15,45.315,45.815,45.065,45.345,2301000.0,0
1999-06-16,45.78,46.065,45.25,45.44,3443000.0,0
1999-06-17,45.065,46.19,44.94,45.97,2632000.0,0
1999-06-18,45.905,46.22,45.25,45.375,4965600.0,0
1999-06-21,45.375,45.375,44.905,45.03,2355800.0,0
1999-06-22,45.19,45.69,45.065,45.405,4191400.0,0
1999-06-23,45.065,45.28,44.78,45.25,2242400.0,0
1999-06-24,45.25,45.97,45.22,45.78,3469800.0,0
1999-06-25,45.815,46.125,45.22,45.315,3521600.0,0
1999-06-28,45.22,45.78,45.22,45.44,2660400.0,0
1999-06-29,45.47,47.0,45.44,47.0,4103200.0,0
1999-06-30,47.0,49.0,46.405,49.0,5586400.0,0
1999-07-01,48.69,48.75,47.94,48.72,3785800.0,0
1999-07-02,48.72,48.905,48.47,48.72,1926400.0,0
1999-07-06,48.25,49.155,47.94,48.44,3468200.0,0
1999-07-07,48.565,49.19,48.375,48.94,2968600.0,0
1999-07-08,48.44,48.595,47.845,47.845,3900200.0,0
1999-07-09,47.875,48.22,47.655,48.03,1967600.0,0
1999-07-12,48.405,48.75,48.25,48.72,2433200.0,0
1999-07-13,48.53,49.0,48.0,48.375,3125400.0,0
1999-07-14,48.375,48.405,47.655,48.065,2537000.0,0
1999-07-15,48.095,48.78,47.75,48.375,3953400.0,0
1999-07-16,48.405,48.75,47.905,48.75,3736000.0,0
1999-07-19,48.75,48.875,47.47,47.97,3358600.0,0
1999-07-20,48.0,48.375,47.69,48.22,6824200.0,0
1999-07-21,47.94,48.72,47.5,48.72,9392600.0,0
1999-07-22,48.905,49.75,48.78,49.19,10694200.0,0
1999-07-23,49.315,49.345,48.5,48.905,3332000.0,0
1999-07-26,48.78,48.875,48.405,48.625,3700800.0,0
1999-07-27,48.97,48.97,48.22,48.375,3130800.0,0
1999-07-28,48.0,48.125,47.69,47.875,2989000.0,0
1999-07-29,46.94,47.22,46.315,46.625,5102400.0,0
1999-07-30,46.655,46.69,45.53,45.53,3481800.0,0
1999-08-02,45.97,46.47,45.75,45.97,3559800.0,0
1999-08-03,46.94,47.5,46.53,47.095,4045200.0,0
1999-08-04,46.97,47.0,45.875,46.0,4615400.0,0
1999-08-05,45.905,45.94,45.28,45.405,3464600.0,0
1999-08-06,45.25,46.47,45.155,45.97,3549000.0,0
1999-08-09,46.03,46.72,46.03,46.53,3652800.0,0
1999-08-10,47.0,47.0,45.595,46.125,4966600.0,0
1999-08-11,46.125,46.655,46.065,46.25,4165000.0,0
1999-08-12,46.22,47.53,46.19,47.375,5449800.0,0
1999-08-13,47.815,48.655,47.72,48.655,5807000.0,0
1999-08-16,48.47,48.78,48.065,48.78,4790800.0,0
1999-08-17,49.0,49.22,48.625,49.155,4234400.0,0
1999-08-18,49.03,49.155,48.095,48.095,4398600.0,0
1999-08-19,48.0,48.0,47.315,47.905,4544000.0,0
1999-08-20,47.905,49.565,47.845,49.315,5636600.0,0
1999-08-23,49.75,50.7,49.72,50.65,7515600.0,0
1999-08-24,50.6,51.7,50.35,51.6,6113000.0,0
1999-08-25,51.45,52.95,51.45,52.9,5979000.0,0
1999-08-26,52.7,52.7,51.8,52.2,4460600.0,0
1999-08-27,51.75,51.95,51.05,51.1,4623000.0,0
1999-08-30,51.15,51.45,50.7,51.2,3741400.0,0
1999-08-31,51.35,52.2,51.05,51.15,4575400.0,0
1999-09-01,51.15,51.2,50.45,50.75,3700000.0,0
1999-09-02,49.94,50.15,49.78,50.0,4965400.0,0
1999-09-03,50.25,51.2,50.25,50.7,4560800.0,0
1999-09-07,50.8,51.3,50.7,50.9,4597200.0,0
1999-09-08,50.45,50.85,50.05,50.25,3796400.0,0
