date,open,high,low,close,volume,padding
1999-01-04,34.19,35.38,33.88,34.5,839100.0,0
1999-01-05,35.75,36.38,35.38,36.31,865200.0,0
1999-01-06,36.5,37.75,36.5,37.19,1378100.0,0
1999-01-07,37.13,37.75,37.0,37.5,1114200.0,0
1999-01-08,37.44,37.5,36.81,37.31,999700.0,0
1999-01-11,38.0,38.75,37.56,38.75,1275600.0,0
1999-01-12,38.75,39.38,38.5,38.81,1182700.0,0
1999-01-13,37.5,38.0,37.38,37.81,735100.0,0
1999-01-14,37.75,37.75,37.0,37.25,701900.0,0
1999-01-15,37.69,39.0,37.69,38.94,855600.0,0
1999-01-19,38.75,38.88,37.81,38.5,770400.0,0
1999-01-20,38.38,38.75,37.88,37.88,627700.0,0
1999-01-21,38.13,38.38,37.06,37.44,1240400.0,0
1999-01-22,37.38,38.5,37.25,38.13,676400.0,0
1999-01-25,39.25,39.25,38.56,38.81,685100.0,0
1999-01-26,39.0,39.63,37.81,38.81,644400.0,0
1999-01-27,38.94,39.25,38.56,39.19,498300.0,0
1999-01-28,39.13,42.25,39.13,42.06,1329400.0,0
1999-01-29,41.5,41.56,40.13,40.63,1056600.0,0
1999-02-01,40.38,40.5,39.69,40.25,890500.0,0
1999-02-02,40.0,41.13,39.69,41.0,719800.0,0
1999-02-03,41.0,41.38,39.56,39.94,656800.0,0
1999-02-04,39.63,39.81,39.31,39.38,541200.0,0
1999-02-05,39.31,39.69,39.25,39.63,477200.0,0
1999-02-08,39.5,39.63,38.0,39.38,633500.0,0
1999-02-09,39.38,39.75,38.06,38.19,757200.0,0
1999-02-10,38.44,38.63,37.94,38.25,590000.0,0
1999-02-11,38.38,38.81,38.0,38.81,512800.0,0
1999-02-12,39.0,39.75,37.75,38.56,481700.0,0
1999-02-16,39.38,39.5,38.75,38.88,501400.0,0
1999-02-17,38.63,38.81,38.13,38.69,492500.0,0
1999-02-18,38.69,38.69,38.13,38.56,345500.0,0
1999-02-19,38.56,39.0,38.31,38.44,535100.0,0
1999-02-22,38.5,39.13,38.25,39.0,607300.0,0
1999-02-23,38.88,38.88,37.56,38.13,405700.0,0
1999-02-24,38.38,38.69,37.63,37.88,319500.0,0
1999-02-25,37.69,37.75,36.88,37.19,364000.0,0
1999-02-26,37.19,37.19,36.19,37.0,445000.0,0
1999-03-01,36.13,37.75,35.69,37.75,713000.0,0
1999-03-02,37.5,37.5,36.63,36.81,460000.0,0
1999-03-03,37.0,37.25,36.56,37.06,480100.0,0
1999-03-04,37.06,37.25,36.5,36.88,301500.0,0
1999-03-05,37.13,37.19,36.75,37.19,358600.0,0
1999-03-08,36.63,36.63,35.63,36.19,512300.0,0
1999-03-09,36.38,36.44,35.75,36.06,462000.0,0
1999-03-10,36.0,36.56,35.75,36.5,537500.0,0
1999-03-11,36.25,36.75,35.88,36.38,384800.0,0
1999-03-12,36.5,37.38,36.38,37.38,393400.0,0
1999-03-15,38.0,39.06,37.31,38.31,752100.0,0
1999-03-16,38.38,38.44,37.56,38.0,343900.0,0
1999-03-17,38.0,38.63,37.63,38.38,654200.0,0
1999-03-18,38.25,38.38,37.81,38.13,309400.0,0
1999-03-19,37.75,38.06,37.0,37.0,626600.0,0
1999-03-22,37.25,37.25,36.38,37.13,419100.0,0
1999-03-23,36.94,36.94,35.13,35.38,624900.0,0
1999-03-24,35.31,35.75,34.56,35.63,940500.0,0
1999-03-25,36.38,36.69,35.38,35.81,734400.0,0
1999-03-26,35.38,35.38,33.88,34.13,956900.0,0
1999-03-29,34.19,34.75,34.19,34.75,810300.0,0
1999-03-30,34.69,34.88,34.25,34.44,515800.0,0
1999-03-31,34.63,34.88,33.69,33.81,375600.0,0
1999-04-01,33.31,34.31,33.13,34.31,651800.0,0
1999-04-05,34.25,34.38,33.88,34.0,445800.0,0
1999-04-06,34.0,34.0,32.31,33.13,896700.0,0
1999-04-07,33.5,34.31,33.38,34.31,542200.0,0
1999-04-08,34.44,34.94,34.25,34.81,650500.0,0
1999-04-09,34.63,34.63,33.63,33.81,375500.0,0
1999-04-12,33.56,34.81,33.5,34.25,325000.0,0
1999-04-13,35.0,35.5,34.38,34.81,1006500.0,0
1999-04-14,34.81,34.81,33.75,34.0,487500.0,0
1999-04-15,34.25,34.5,33.69,34.44,421400.0,0
1999-04-16,35.5,35.5,34.25,34.69,587500.0,0
1999-04-19,34.69,36.0,34.69,35.25,633600.0,0
1999-04-20,35.19,35.75,34.94,35.38,387100.0,0
1999-04-21,35.31,36.94,34.63,36.88,628200.0,0
1999-04-22,36.75,37.38,35.88,37.0,576700.0,0
1999-04-23,36.63,36.81,35.63,36.63,1038600.0,0
1999-04-26,36.63,37.5,36.44,37.38,742400.0,0
1999-04-27,38.0,38.0,37.19,37.69,1089800.0,0
1999-04-28,37.63,37.88,37.31,37.38,639300.0,0
1999-04-29,37.5,38.13,37.13,37.44,783700.0,0
1999-04-30,36.75,37.19,36.63,37.0,1103800.0,0
1999-05-03,36.88,37.19,36.81,37.13,1366800.0,0
1999-05-04,37.31,37.38,36.25,36.44,623200.0,0
1999-05-05,36.31,37.0,36.06,36.94,482800.0,0
1999-05-06,36.88,36.94,36.31,36.94,431500.0,0
1999-05-07,36.94,37.44,36.81,37.25,402300.0,0
1999-05-10,37.0,37.13,36.5,36.63,471800.0,0
1999-05-11,36.88,37.38,36.13,37.06,447800.0,0
1999-05-12,36.94,36.94,35.5,36.44,360400.0,0
1999-05-13,36.44,36.94,36.25,36.69,475500.0,0
1999-05-14,36.13,36.81,36.0,36.81,493900.0,0
1999-05-17,36.81,36.81,35.69,36.56,324800.0,0
1999-05-18,36.38,36.63,35.75,36.25,597100.0,0
1999-05-19,36.5,36.5,36.0,36.19,246800.0,0
1999-05-20,35.94,36.06,35.75,35.75,306900.0,0
1999-05-21,35.63,35.81,35.13,35.31,441700.0,0
1999-05-24,35.19,35.63,35.13,35.44,332700.0,0
1999-05-25,35.0,36.0,34.94,35.69,627500.0,0
1999-05-26,35.44,35.81,34.81,35.44,463600.0,0
1999-05-27,35.56,35.56,34.44,34.63,433300.0,0
1999-05-28,34.5,35.38,34.44,34.69,355400.0,0
1999-06-01,34.5,34.5,33.5,34.06,416500.0,0
1999-06-02,34.0,34.31,33.75,33.94,381000.0,0
1999-06-03,33.75,34.25,33.5,33.69,518000.0,0
1999-06-04,33.81,34.44,33.5,34.44,414300.0,0
1999-06-07,34.38,34.5,34.06,34.5,429100.0,0
1999-06-08,34.25,34.31,33.81,34.25,244800.0,0
1999-06-09,34.31,34.88,34.0,34.19,554800.0,0
1999-06-10,34.0,34.31,33.69,34.13,387000.0,0
1999-06-11,34.0,34.19,33.44,33.56,405100.0,0
1999-06-14,33.56,34.13,33.5,34.06,309100.0,0
1999-06-15,33.88,34.63,33.88,34.06,461700.0,0
1999-06-16,34.25,34.44,33.94,34.0,236300.0,0
1999-06-17,34.0,34.19,33.5,33.81,261600.0,0
1999-06-18,33.06,33.69,32.38,32.69,1201100.0,0
1999-06-21,32.69,32.81,31.94,32.0,751200.0,0
1999-06-22,32.19,32.31,31.81,32.13,596700.0,0
1999-06-23,31.88,33.06,31.38,32.88,718200.0,0
1999-06-24,33.0,33.31,32.44,33.13,702500.0,0
1999-06-25,33.25,33.31,32.31,33.06,492800.0,0
1999-06-28,33.19,33.44,32.94,33.06,362200.0,0
1999-06-29,33.13,33.38,32.75,33.19,307700.0,0
1999-06-30,33.13,33.19,32.13,33.0,398800.0,0
1999-07-01,32.75,33.13,32.56,33.0,364900.0,0
1999-07-02,32.88,33.0,32.38,32.69,232700.0,0
1999-07-06,32.44,32.69,31.88,32.63,443200.0,0
1999-07-07,33.0,33.25,32.75,33.25,707500.0,0
1999-07-08,32.75,32.88,32.06,32.25,412500.0,0
1999-07-09,32.38,32.88,32.25,32.75,560100.0,0
1999-07-12,33.0,33.0,32.31,32.5,304400.0,0
1999-07-13,32.5,32.63,31.69,31.94,450600.0,0
1999-07-14,31.81,32.5,31.5,32.38,578600.0,0
1999-07-15,32.5,32.63,32.31,32.38,836400.0,0
1999-07-16,32.38,32.44,32.0,32.25,392600.0,0
1999-07-19,32.25,32.38,32.0,32.38,289900.0,0
1999-07-20,32.0,32.44,31.75,32.06,538700.0,0
1999-07-21,32.38,33.19,32.13,33.13,1215100.0,0
1999-07-22,33.38,33.88,33.13,33.5,1054100.0,0
1999-07-23,33.5,33.63,33.38,33.5,646600.0,0
1999-07-26,33.75,33.81,33.44,33.75,507500.0,0
1999-07-27,33.75,34.63,33.38,34.38,444700.0,0
1999-07-28,34.13,34.13,33.56,33.81,511200.0,0
1999-07-29,33.56,35.75,33.19,35.75,1183300.0,0
1999-07-30,35.75,35.75,34.69,34.81,946400.0,0
1999-08-02,34.56,34.56,33.69,33.94,578900.0,0
1999-08-03,33.5,34.5,33.5,34.0,689700.0,0
1999-08-04,34.19,34.69,34.0,34.19,438900.0,0
1999-08-05,34.19,34.88,34.19,34.75,677200.0,0
1999-08-06,34.69,34.94,34.38,34.56,465000.0,0
1999-08-09,34.44,34.69,34.06,34.44,512300.0,0
1999-08-10,34.44,34.75,34.06,34.31,377300.0,0
1999-08-11,34.38,34.38,33.81,34.19,348300.0,0
1999-08-12,34.13,34.19,33.5,33.81,415000.0,0
1999-08-13,33.88,34.31,33.81,34.06,371500.0,0
1999-08-16,34.0,34.19,33.88,34.19,325100.0,0
1999-08-17,34.0,34.25,33.75,34.13,303000.0,0
1999-08-18,34.0,34.0,33.75,33.94,374600.0,0
1999-08-19,33.69,33.75,33.38,33.75,434500.0,0
1999-08-20,33.94,34.31,33.81,34.13,654000.0,0
1999-08-23,34.13,34.38,33.94,34.19,243500.0,0
1999-08-24,34.13,34.25,33.63,34.19,385600.0,0
1999-08-25,34.25,35.5,34.25,35.31,693300.0,0
1999-08-26,35.44,36.44,35.31,35.88,896900.0,0
1999-08-27,36.13,36.19,35.75,35.81,561100.0,0
1999-08-30,35.88,36.0,35.25,35.44,360900.0,0
1999-08-31,35.38,36.0,35.06,35.56,613300.0,0
1999-09-01,35.56,35.63,34.81,35.63,361200.0,0
1999-09-02,35.56,36.38,35.38,35.94,676100.0,0
1999-09-03,36.0,37.31,36.0,37.25,586000.0,0
1999-09-07,37.5,37.94,37.13,37.94,1253900.0,0
1999-09-08,37.88,38.25,37.69,38.19,1118500.0,0
1999-09-09,38.19,38.88,38.19,38.88,1136700.0,0
1999-09-10,38.88,39.0,38.5,39.0,1162300.0,0
1999-09-13,38.63,38.69,37.75,38.0,625200.0,0
