date,open,high,low,close,volume,padding
1999-01-04,31.75,32.38,31.31,31.75,835100.0,0
1999-01-05,31.63,32.19,31.56,32.13,778200.0,0
1999-01-06,32.06,33.31,32.06,33.31,1983600.0,0
1999-01-07,33.0,33.44,32.25,33.38,1460200.0,0
1999-01-08,33.81,33.81,32.88,33.5,958200.0,0
1999-01-11,33.38,33.38,32.44,32.81,669700.0,0
1999-01-12,32.13,32.25,31.19,31.56,905500.0,0
1999-01-13,29.81,31.69,29.81,31.38,1280200.0,0
1999-01-14,30.94,31.13,30.06,30.13,993600.0,0
1999-01-15,30.38,31.31,30.31,31.25,1301700.0,0
1999-01-19,31.0,31.13,30.13,30.63,736500.0,0
1999-01-20,30.75,32.0,30.75,31.13,1139200.0,0
1999-01-21,31.38,31.5,30.5,31.31,1083000.0,0
1999-01-22,31.31,31.75,30.88,31.06,1023000.0,0
1999-01-25,31.0,31.44,30.63,30.81,604900.0,0
1999-01-26,30.94,31.38,30.75,31.38,910300.0,0
1999-01-27,31.19,31.19,30.06,30.13,1134100.0,0
1999-01-28,30.25,31.25,30.19,30.88,1304500.0,0
1999-01-29,31.44,31.88,30.5,31.88,1285700.0,0
1999-02-01,31.88,31.88,30.81,30.94,990100.0,0
1999-02-02,30.69,31.0,30.25,30.38,1432100.0,0
1999-02-03,30.13,30.63,30.06,30.38,1117700.0,0
1999-02-04,30.19,30.56,29.81,30.0,1051900.0,0
1999-02-05,30.0,30.5,29.94,30.38,1161500.0,0
1999-02-08,30.25,30.63,30.19,30.44,976900.0,0
1999-02-09,30.31,30.81,29.81,30.06,728600.0,0
1999-02-10,30.0,30.5,29.81,30.38,437600.0,0
1999-02-11,30.13,31.0,30.06,30.81,634100.0,0
1999-02-12,30.88,30.88,29.94,30.81,524400.0,0
1999-02-16,30.94,31.19,30.19,30.56,821000.0,0
1999-02-17,30.25,31.13,30.13,30.5,946500.0,0
1999-02-18,30.56,31.44,30.38,31.31,907300.0,0
1999-02-19,31.38,31.94,31.31,31.69,953800.0,0
1999-02-22,31.56,32.69,31.56,32.38,1232100.0,0
1999-02-23,32.25,32.63,32.0,32.31,1004600.0,0
1999-02-24,32.31,32.75,32.0,32.06,952800.0,0
1999-02-25,32.0,32.13,31.63,32.0,889900.0,0
1999-02-26,32.25,32.38,31.69,32.25,669200.0,0
1999-03-01,32.0,32.38,31.88,32.06,906100.0,0
1999-03-02,32.19,32.19,31.31,31.44,1247900.0,0
1999-03-03,31.63,32.13,31.63,31.69,798300.0,0
1999-03-04,31.75,32.31,31.69,32.19,590100.0,0
1999-03-05,32.44,32.88,31.5,32.63,751300.0,0
1999-03-08,32.69,32.88,32.19,32.38,716500.0,0
1999-03-09,32.38,33.25,32.25,32.81,1004300.0,0
1999-03-10,33.0,33.44,32.56,33.44,1111900.0,0
