date,open,high,low,close,volume,padding
1999-01-04,12.937,13.063,12.71,13.063,724401.0,0
1999-01-05,13.02,13.167,13.02,13.103,308400.0,0
1999-01-06,13.103,13.25,13.083,13.167,451401.0,0
1999-01-07,13.147,13.21,12.937,13.127,712800.0,0
1999-01-08,13.167,13.293,13.127,13.187,261600.0,0
1999-01-11,13.147,13.187,13.0,13.103,430800.0,0
1999-01-12,13.083,13.167,13.0,13.083,217800.0,0
1999-01-13,12.833,13.083,12.833,12.98,216201.0,0
1999-01-14,13.02,13.02,12.917,13.0,144600.0,0
1999-01-15,12.937,13.02,12.917,12.937,295401.0,0
1999-01-19,13.0,13.127,12.96,13.043,552600.0,0
1999-01-20,13.043,13.147,12.917,13.0,142800.0,0
1999-01-21,12.96,13.043,12.917,12.98,776001.0,0
1999-01-22,12.833,13.063,12.833,13.0,326601.0,0
1999-01-25,13.167,13.167,12.96,13.02,284601.0,0
1999-01-26,13.0,13.063,12.96,13.0,150600.0,0
1999-01-27,13.167,13.167,12.96,13.043,918600.0,0
1999-01-28,13.043,13.083,12.937,12.98,85200.0,0
1999-01-29,13.0,13.043,12.937,13.0,353400.0,0
1999-02-01,12.937,13.0,12.917,12.98,129000.0,0
1999-02-02,12.98,13.02,12.917,13.0,780000.0,0
1999-02-03,12.98,13.02,12.813,12.937,503400.0,0
1999-02-04,12.98,13.0,12.917,12.937,491001.0,0
1999-02-05,12.96,12.98,12.833,12.96,244401.0,0
1999-02-08,12.98,13.0,12.667,12.73,478401.0,0
1999-02-09,12.73,12.98,12.73,12.937,232401.0,0
1999-02-10,12.917,12.96,12.897,12.917,344001.0,0
1999-02-11,12.98,12.98,12.877,12.98,385200.0,0
1999-02-12,12.917,12.98,12.793,12.877,442200.0,0
1999-02-16,12.877,12.98,12.833,12.833,172800.0,0
1999-02-17,12.877,12.937,12.73,12.853,184800.0,0
1999-02-18,12.897,12.917,12.793,12.813,176601.0,0
1999-02-19,12.77,12.813,12.687,12.77,171801.0,0
1999-02-22,12.793,12.833,12.73,12.793,336000.0,0
1999-02-23,12.77,12.833,12.603,12.687,333801.0,0
1999-02-24,12.71,12.75,12.687,12.73,659400.0,0
1999-02-25,12.667,12.687,12.583,12.647,1078200.0,0
1999-02-26,12.647,12.667,12.563,12.583,183000.0,0
1999-03-01,12.583,12.937,12.583,12.917,208200.0,0
1999-03-02,12.917,12.98,12.793,12.833,405801.0,0
1999-03-03,12.98,13.083,12.917,12.96,442401.0,0
1999-03-04,13.0,13.0,12.853,12.853,213600.0,0
1999-03-05,12.897,12.98,12.853,12.98,238800.0,0
