date,open,high,low,close,volume,padding
1999-01-04,2.75,2.844,2.75,2.75,205600.0,0
1999-01-05,2.781,2.813,2.75,2.781,99000.0,0
1999-01-06,2.781,2.813,2.719,2.75,108600.0,0
1999-01-07,2.781,2.781,2.625,2.656,77400.0,0
1999-01-08,2.656,2.656,2.531,2.625,108000.0,0
1999-01-11,2.656,2.656,2.5,2.531,65800.0,0
1999-01-12,2.469,2.563,2.375,2.438,119600.0,0
1999-01-13,2.313,2.469,2.313,2.406,203000.0,0
1999-01-14,2.375,2.438,2.344,2.406,53200.0,0
1999-01-15,2.375,2.469,2.344,2.469,77800.0,0
1999-01-19,2.406,2.531,2.375,2.531,180000.0,0
1999-01-20,2.5,2.531,2.438,2.438,65000.0,0
1999-01-21,2.469,2.469,2.375,2.406,50600.0,0
1999-01-22,2.375,2.469,2.375,2.438,65800.0,0
1999-01-25,2.438,2.469,2.375,2.375,51800.0,0
1999-01-26,2.438,2.438,2.375,2.406,26600.0,0
1999-01-27,2.406,2.438,2.375,2.438,61800.0,0
1999-01-28,2.406,2.5,2.375,2.469,80200.0,0
1999-01-29,2.438,2.5,2.438,2.438,98800.0,0
1999-02-01,2.469,2.469,2.125,2.219,1627400.0,0
1999-02-02,2.219,2.25,2.188,2.219,62600.0,0
1999-02-03,2.219,2.25,2.188,2.25,55200.0,0
1999-02-04,2.25,2.375,2.25,2.344,226000.0,0
1999-02-05,2.375,2.5,2.344,2.406,82200.0,0
1999-02-08,2.406,2.438,2.406,2.438,77200.0,0
1999-02-09,2.438,2.469,2.406,2.438,49000.0,0
1999-02-10,2.375,2.375,2.281,2.281,38000.0,0
1999-02-11,2.313,2.313,2.25,2.313,42000.0,0
1999-02-12,2.281,2.281,2.219,2.219,80800.0,0
1999-02-16,2.188,2.219,2.094,2.156,125600.0,0
1999-02-17,2.125,2.156,2.063,2.094,41000.0,0
1999-02-18,2.063,2.125,1.969,2.0,271600.0,0
1999-02-19,2.063,2.156,1.969,2.125,184000.0,0
1999-02-22,2.188,2.25,2.156,2.188,27000.0,0
1999-02-23,2.25,2.313,2.156,2.219,193800.0,0
1999-02-24,2.219,2.281,2.219,2.25,75400.0,0
1999-02-25,2.25,2.281,2.188,2.219,32800.0,0
1999-02-26,2.25,2.25,2.188,2.25,25000.0,0
1999-03-01,2.25,2.25,2.188,2.219,13200.0,0
1999-03-02,2.219,2.25,2.188,2.219,36800.0,0
1999-03-03,2.219,2.219,2.125,2.125,53600.0,0
1999-03-04,2.125,2.219,2.125,2.188,54400.0,0
1999-03-05,2.219,2.281,2.125,2.25,112400.0,0
1999-03-08,2.219,2.219,2.125,2.156,85200.0,0
1999-03-09,2.156,2.188,2.031,2.094,92600.0,0
1999-03-10,2.063,2.094,2.031,2.031,75400.0,0
1999-03-11,1.969,2.063,1.969,2.0,164200.0,0
1999-03-12,2.0,2.063,2.0,2.031,91600.0,0
1999-03-15,2.094,2.125,2.063,2.125,95000.0,0
1999-03-16,2.063,2.156,2.063,2.125,66800.0,0
1999-03-17,2.125,2.156,2.094,2.094,22800.0,0
1999-03-18,2.094,2.094,2.031,2.063,52600.0,0
1999-03-19,2.063,2.063,2.0,2.0,92800.0,0
1999-03-22,2.031,2.063,1.969,2.031,75600.0,0
1999-03-23,1.969,2.0,1.907,1.907,77600.0,0
1999-03-24,1.938,2.063,1.907,1.969,103600.0,0
1999-03-25,1.969,2.031,1.969,1.969,49200.0,0
1999-03-26,1.969,2.0,1.938,1.969,45800.0,0
1999-03-29,1.938,2.0,1.875,1.938,51000.0,0
1999-03-30,1.969,1.969,1.907,1.938,50400.0,0
1999-03-31,1.938,2.0,1.938,1.969,37600.0,0
1999-04-01,1.938,2.0,1.938,1.969,61800.0,0
1999-04-05,1.969,2.0,1.938,1.938,48800.0,0
1999-04-06,2.0,2.031,1.969,1.969,115600.0,0
1999-04-07,1.938,1.969,1.875,1.907,77000.0,0
1999-04-08,1.875,1.907,1.844,1.875,107400.0,0
1999-04-09,1.875,2.094,1.875,2.031,211200.0,0
1999-04-12,2.0,2.031,1.907,1.938,68400.0,0
1999-04-13,1.907,1.938,1.875,1.907,52400.0,0
1999-04-14,1.938,2.031,1.907,1.969,61400.0,0
1999-04-15,1.938,2.063,1.907,2.031,63200.0,0
1999-04-16,2.094,2.125,2.031,2.031,86000.0,0
1999-04-19,2.094,2.125,2.031,2.063,44400.0,0
1999-04-20,2.031,2.031,1.969,1.969,50200.0,0
1999-04-21,1.969,2.031,1.969,2.0,48000.0,0
1999-04-22,1.938,1.969,1.938,1.969,75800.0,0
1999-04-23,2.0,2.0,1.844,1.938,131200.0,0
1999-04-26,1.907,1.969,1.907,1.938,36800.0,0
1999-04-27,1.969,2.125,1.938,2.031,185200.0,0
1999-04-28,2.063,2.219,2.031,2.188,103000.0,0
1999-04-29,2.25,2.406,2.219,2.344,278200.0,0
1999-04-30,2.281,2.281,2.219,2.25,52400.0,0
1999-05-03,2.25,2.313,2.25,2.313,19000.0,0
1999-05-04,2.344,2.469,2.344,2.469,123400.0,0
1999-05-05,2.469,2.469,2.375,2.469,42400.0,0
1999-05-06,2.5,2.5,2.438,2.438,131000.0,0
1999-05-07,2.438,2.438,2.156,2.25,107600.0,0
1999-05-10,2.5,2.594,2.469,2.5,716600.0,0
1999-05-11,2.5,2.5,2.438,2.5,117400.0,0
1999-05-12,2.5,2.531,2.469,2.5,62400.0,0
1999-05-13,2.5,2.5,2.469,2.5,71000.0,0
1999-05-14,2.5,2.5,2.438,2.469,181800.0,0
1999-05-17,2.406,2.531,2.406,2.5,195600.0,0
1999-05-18,2.5,2.75,2.5,2.656,234400.0,0
1999-05-19,2.625,2.688,2.563,2.594,154800.0,0
1999-05-20,2.625,2.688,2.594,2.625,64800.0,0
1999-05-21,2.625,2.688,2.625,2.625,14000.0,0
1999-05-24,2.531,2.625,2.5,2.531,115000.0,0
1999-05-25,2.344,2.406,2.344,2.344,78000.0,0
1999-05-26,2.375,2.406,2.344,2.406,27800.0,0
1999-05-27,2.344,2.438,2.344,2.406,22000.0,0
1999-05-28,2.375,2.5,2.313,2.5,97600.0,0
1999-06-01,2.406,2.5,2.375,2.438,53800.0,0
1999-06-02,2.438,2.531,2.375,2.531,65400.0,0
1999-06-03,2.531,2.688,2.5,2.688,114000.0,0
1999-06-04,2.688,2.938,2.688,2.781,334800.0,0
1999-06-07,2.844,2.969,2.813,2.938,774800.0,0
1999-06-08,3.0,3.156,3.0,3.125,1505400.0,0
1999-06-09,3.125,3.563,3.125,3.281,469000.0,0
1999-06-10,3.281,3.344,3.0,3.031,187200.0,0
1999-06-11,3.063,3.063,2.969,3.0,54400.0,0
1999-06-14,3.094,3.094,2.813,3.0,103000.0,0
1999-06-15,2.969,3.094,2.969,3.094,84600.0,0
1999-06-16,3.031,3.188,3.031,3.031,94200.0,0
1999-06-17,3.063,3.094,3.0,3.031,98200.0,0
1999-06-18,3.031,3.031,2.844,2.906,132200.0,0
1999-06-21,2.938,2.969,2.875,2.906,54800.0,0
1999-06-22,2.906,3.0,2.906,2.938,52800.0,0
1999-06-23,2.938,3.0,2.938,2.938,40600.0,0
1999-06-24,2.969,3.0,2.875,2.906,64000.0,0
1999-06-25,2.875,2.875,2.813,2.875,45800.0,0
1999-06-28,2.813,2.813,2.531,2.531,143400.0,0
1999-06-29,2.5,2.688,2.5,2.688,275200.0,0
1999-06-30,2.594,2.688,2.594,2.688,31800.0,0
1999-07-01,2.625,2.719,2.594,2.656,93200.0,0
1999-07-02,2.719,2.719,2.563,2.656,93200.0,0
1999-07-06,2.625,2.688,2.594,2.656,53400.0,0
1999-07-07,2.594,2.594,2.469,2.5,149800.0,0
1999-07-08,2.5,2.5,2.375,2.469,142200.0,0
1999-07-09,2.438,2.438,2.125,2.219,399200.0,0
1999-07-12,2.219,2.25,2.125,2.156,381400.0,0
1999-07-13,2.156,2.219,2.063,2.125,168000.0,0
1999-07-14,2.125,2.188,2.125,2.156,104800.0,0
1999-07-15,2.188,2.5,2.125,2.313,1021600.0,0
1999-07-16,2.375,2.406,2.25,2.25,216000.0,0
1999-07-19,2.281,2.344,2.188,2.188,82000.0,0
1999-07-20,2.25,2.281,2.219,2.219,52400.0,0
1999-07-21,2.25,2.25,2.063,2.094,1126600.0,0
1999-07-22,2.094,2.094,2.0,2.0,350800.0,0
1999-07-23,2.063,2.063,1.969,2.0,246600.0,0
1999-07-26,2.0,2.063,1.969,2.0,145600.0,0
1999-07-27,2.0,2.031,1.969,2.031,115800.0,0
1999-07-28,2.031,2.031,1.969,2.031,156200.0,0
1999-07-29,2.031,2.031,2.0,2.0,49600.0,0
1999-07-30,2.031,2.063,1.75,2.0,1901600.0,0
1999-08-02,2.0,2.031,1.969,1.969,39400.0,0
1999-08-03,1.969,2.0,1.938,1.969,37800.0,0
1999-08-04,1.969,1.969,1.875,1.938,101200.0,0
1999-08-05,1.938,1.969,1.907,1.907,47800.0,0
1999-08-06,1.907,1.969,1.875,1.907,55200.0,0
1999-08-09,1.907,1.907,1.75,1.813,166600.0,0
1999-08-10,1.813,1.844,1.813,1.813,42000.0,0
1999-08-11,1.813,1.875,1.7819999999999998,1.7819999999999998,65800.0,0
1999-08-12,1.844,1.875,1.7819999999999998,1.844,38200.0,0
1999-08-13,1.875,1.875,1.813,1.813,25800.0,0
1999-08-16,1.844,1.844,1.813,1.813,55200.0,0
1999-08-17,1.844,1.875,1.813,1.844,41400.0,0
1999-08-18,1.844,1.875,1.813,1.844,43200.0,0
1999-08-19,1.875,1.875,1.813,1.844,81400.0,0
1999-08-20,1.875,1.907,1.813,1.844,140200.0,0
1999-08-23,1.875,1.875,1.813,1.844,73200.0,0
1999-08-24,1.875,1.875,1.813,1.844,67800.0,0
1999-08-25,1.844,1.844,1.75,1.75,646800.0,0
1999-08-26,1.75,1.813,1.6880000000000002,1.719,96400.0,0
1999-08-27,1.719,1.75,1.6880000000000002,1.719,87600.0,0
1999-08-30,1.719,1.7819999999999998,1.6880000000000002,1.719,46000.0,0
1999-08-31,1.75,1.7819999999999998,1.6880000000000002,1.719,85000.0,0
1999-09-01,1.719,1.75,1.6880000000000002,1.719,42800.0,0
1999-09-02,1.75,1.75,1.6569999999999998,1.6880000000000002,79200.0,0
1999-09-03,1.6880000000000002,1.719,1.6569999999999998,1.6880000000000002,123400.0,0
1999-09-07,1.7819999999999998,1.938,1.7819999999999998,1.844,422000.0,0
1999-09-08,1.875,2.0,1.844,2.0,187000.0,0
1999-09-09,2.0,2.0,1.907,1.907,65000.0,0
1999-09-10,1.938,1.938,1.907,1.938,52200.0,0
1999-09-13,1.875,1.969,1.875,1.875,58600.0,0
1999-09-14,1.938,1.938,1.844,1.844,38400.0,0
1999-09-15,1.813,1.844,1.75,1.813,89800.0,0
1999-09-16,1.844,1.938,1.813,1.875,113800.0,0
1999-09-17,1.907,1.938,1.844,1.875,184200.0,0
1999-09-20,1.875,1.938,1.875,1.875,45400.0,0
1999-09-21,1.907,1.907,1.7819999999999998,1.813,34800.0,0
1999-09-22,1.844,1.875,1.625,1.719,450600.0,0
1999-09-23,1.7819999999999998,1.844,1.625,1.719,224600.0,0
1999-09-24,1.719,1.75,1.6880000000000002,1.6880000000000002,55200.0,0
1999-09-27,1.75,1.7819999999999998,1.719,1.719,95200.0,0
1999-09-28,1.75,1.75,1.6569999999999998,1.6569999999999998,89800.0,0
1999-09-29,1.6569999999999998,1.6880000000000002,1.625,1.6569999999999998,47600.0,0
1999-09-30,1.6880000000000002,1.6880000000000002,1.625,1.6880000000000002,21600.0,0
1999-10-01,1.6880000000000002,1.719,1.6569999999999998,1.6880000000000002,55000.0,0
1999-10-04,1.719,1.719,1.625,1.6569999999999998,61400.0,0
1999-10-05,1.6880000000000002,1.719,1.6569999999999998,1.6569999999999998,22400.0,0
1999-10-06,1.6569999999999998,1.6880000000000002,1.594,1.625,123000.0,0
