date,open,high,low,close,volume,padding
1999-01-04,33.375,34.44,33.065,33.595,7358200.0,0
1999-01-05,33.375,34.44,33.375,34.28,6733800.0,0
1999-01-06,34.5,35.19,34.0,35.125,9957800.0,0
1999-01-07,34.565,35.0,34.125,34.72,6032000.0,0
1999-01-08,34.595,34.69,33.405,34.0,8961600.0,0
1999-01-11,33.315,33.565,32.625,33.03,10087600.0,0
1999-01-12,32.69,33.28,32.625,32.72,8370000.0,0
1999-01-13,32.315,32.78,31.815,32.595,8561400.0,0
1999-01-14,32.5,32.53,31.375,31.75,10179400.0,0
1999-01-15,32.125,32.5,31.78,32.405,9702600.0,0
1999-01-19,32.5,32.53,31.375,32.065,8228400.0,0
1999-01-20,32.03,32.095,31.5,31.72,7395200.0,0
1999-01-21,31.595,31.595,30.47,30.78,12716600.0,0
1999-01-22,30.72,30.72,29.78,30.44,15610600.0,0
1999-01-25,30.44,31.5,30.03,31.47,10226800.0,0
1999-01-26,30.75,31.625,30.03,31.28,11162000.0,0
1999-01-27,31.375,32.375,30.78,31.97,9598600.0,0
1999-01-28,31.97,32.845,31.78,32.565,10326600.0,0
1999-01-29,32.69,32.94,32.25,32.655,8236000.0,0
1999-02-01,32.655,32.905,32.0,32.0,7864400.0,0
1999-02-02,31.94,32.625,31.595,32.625,8544600.0,0
1999-02-03,32.5,32.94,32.065,32.25,8492600.0,0
1999-02-04,31.875,32.095,31.315,31.78,8295600.0,0
1999-02-05,31.815,31.97,30.905,31.03,6035000.0,0
1999-02-08,31.22,31.315,30.655,30.75,5983000.0,0
1999-02-09,30.75,31.69,30.655,30.97,8243600.0,0
1999-02-10,31.22,31.815,31.0,31.815,5970200.0,0
1999-02-11,31.69,32.44,31.44,32.19,5863800.0,0
1999-02-12,32.125,32.47,31.345,31.94,5048600.0,0
1999-02-16,32.25,32.5,32.03,32.44,5821800.0,0
1999-02-17,32.22,32.625,31.75,32.155,6282000.0,0
1999-02-18,32.125,32.655,31.97,32.315,5313800.0,0
1999-02-19,32.25,32.94,32.03,32.875,9922600.0,0
1999-02-22,32.5,32.69,32.19,32.22,9985600.0,0
1999-02-23,32.03,32.19,31.03,31.375,10619200.0,0
1999-02-24,31.47,32.345,31.375,31.405,8784400.0,0
1999-02-25,31.47,32.25,31.28,32.125,8244400.0,0
1999-02-26,32.44,32.44,31.345,31.94,8363200.0,0
1999-03-01,31.625,31.97,31.315,31.845,5425000.0,0
1999-03-02,31.72,31.75,30.625,31.065,9608200.0,0
1999-03-03,31.0,31.065,30.405,30.815,6140200.0,0
1999-03-04,31.125,31.655,30.815,31.47,8276200.0,0
1999-03-05,31.815,32.155,31.53,31.97,8542800.0,0
1999-03-08,31.875,32.0,31.53,32.0,6003800.0,0
1999-03-09,31.845,32.065,31.405,31.5,6796200.0,0
1999-03-10,31.53,31.69,31.095,31.44,6008800.0,0
1999-03-11,31.94,33.315,31.875,33.19,17270800.0,0
1999-03-12,33.69,34.97,33.53,34.72,16184600.0,0
1999-03-15,34.655,34.72,34.125,34.345,8657200.0,0
1999-03-16,34.19,34.75,34.065,34.345,6542600.0,0
1999-03-17,34.47,34.47,33.315,33.405,6938800.0,0
1999-03-18,33.44,34.28,33.405,34.125,8341800.0,0
1999-03-19,34.315,34.44,33.75,33.75,8632800.0,0
1999-03-22,33.78,34.19,33.625,33.845,5739800.0,0
1999-03-23,33.125,33.25,32.405,32.94,12744000.0,0
1999-03-24,32.97,33.095,32.345,32.69,6156600.0,0
1999-03-25,32.565,33.095,32.47,32.94,5522000.0,0
1999-03-26,32.53,32.655,31.905,32.655,7042800.0,0
1999-03-29,32.72,33.94,32.315,32.405,7931400.0,0
1999-03-30,31.25,31.72,30.69,31.625,21393400.0,0
1999-03-31,31.53,31.565,30.405,30.69,13089800.0,0
1999-04-01,30.69,30.845,30.03,30.47,9611200.0,0
1999-04-05,30.565,30.595,30.065,30.25,8302400.0,0
1999-04-06,30.155,30.375,29.815,29.905,10912000.0,0
1999-04-07,29.815,29.845,28.815,29.47,15249200.0,0
1999-04-08,29.655,30.625,29.47,30.44,13011600.0,0
1999-04-09,30.375,30.72,29.905,30.375,8467400.0,0
1999-04-12,30.155,31.0,29.905,30.94,9582000.0,0
1999-04-13,32.155,32.375,31.5,31.655,11245000.0,0
1999-04-14,31.655,31.875,31.25,31.72,8003000.0,0
1999-04-15,31.845,32.25,31.72,32.125,8768000.0,0
