date,open,high,low,close,volume,padding
1999-01-04,15.0,15.125,14.408,14.5,5221600.0,0
1999-01-05,14.563,14.595,14.345,14.408,5130000.0,0
1999-01-06,14.515,14.515,14.14,14.422,8004000.0,0
1999-01-07,14.25,14.39,14.22,14.283,3316800.0,0
1999-01-08,14.313,14.39,14.25,14.297,5314400.0,0
1999-01-11,14.297,14.39,14.22,14.297,6505600.0,0
1999-01-12,14.36,14.422,14.297,14.313,3845200.0,0
1999-01-13,14.25,14.345,14.033,14.313,4852400.0,0
1999-01-14,14.25,14.25,13.875,14.063,10804000.0,0
1999-01-15,14.22,14.658,14.188,14.61,6590400.0,0
1999-01-19,14.64,14.86,14.438,14.453,5344000.0,0
1999-01-20,14.5,14.625,14.25,14.265,4420800.0,0
1999-01-21,14.25,14.408,14.203,14.297,3256800.0,0
1999-01-22,14.158,14.345,14.125,14.158,2805600.0,0
1999-01-25,14.375,14.485,14.265,14.297,4695600.0,0
1999-01-26,14.36,15.25,14.313,15.015,5765200.0,0
1999-01-27,15.25,15.625,15.125,15.345,7476000.0,0
1999-01-28,15.345,15.578,15.313,15.36,6742800.0,0
1999-01-29,15.563,15.922,15.422,15.875,5036800.0,0
1999-02-01,15.875,16.64,15.86,16.313,6864800.0,0
1999-02-02,16.25,16.265,15.97,16.155,3902400.0,0
1999-02-03,16.155,16.313,16.078,16.203,3566400.0,0
1999-02-04,16.265,16.36,16.03,16.047,3409200.0,0
1999-02-05,16.03,16.03,15.235,15.328,4786800.0,0
1999-02-08,15.36,15.595,15.313,15.595,5527600.0,0
1999-02-09,15.595,15.595,15.39,15.547,3548000.0,0
1999-02-10,15.533,15.533,15.033,15.11,2964000.0,0
1999-02-11,15.11,15.297,14.953,15.283,4921200.0,0
1999-02-12,15.22,15.22,15.11,15.125,4333600.0,0
1999-02-16,15.158,15.75,15.14,15.72,5284800.0,0
1999-02-17,15.563,15.89,15.375,15.783,3819600.0,0
1999-02-18,15.783,15.783,15.515,15.533,3390400.0,0
1999-02-19,15.5,15.5,15.188,15.265,3756800.0,0
1999-02-22,15.328,15.5,15.188,15.485,3978800.0,0
1999-02-23,15.5,16.172,15.47,16.063,4134000.0,0
1999-02-24,16.063,16.078,15.625,15.735,3684400.0,0
1999-02-25,15.75,15.845,15.422,15.64,2606800.0,0
1999-02-26,15.735,16.235,15.672,16.172,3600000.0,0
1999-03-01,16.155,16.172,15.75,15.813,3749200.0,0
1999-03-02,15.813,15.828,15.375,15.408,2861200.0,0
1999-03-03,15.408,15.563,15.25,15.375,2512800.0,0
1999-03-04,15.36,15.813,15.36,15.735,3338000.0,0
1999-03-05,15.89,16.155,15.89,15.922,4292800.0,0
1999-03-08,15.922,15.922,15.658,15.783,3034400.0,0
1999-03-09,15.828,15.828,15.345,15.438,3503200.0,0
1999-03-10,15.438,15.515,15.14,15.328,3637200.0,0
1999-03-11,15.328,16.235,15.328,16.155,5650800.0,0
1999-03-12,16.25,16.5,16.25,16.485,4604800.0,0
1999-03-15,16.422,17.03,16.422,16.953,5790400.0,0
1999-03-16,16.828,16.938,16.703,16.765,3716000.0,0
1999-03-17,16.843,16.938,16.735,16.813,2882400.0,0
1999-03-18,16.813,17.188,16.813,17.188,4160800.0,0
1999-03-19,17.25,17.453,17.063,17.078,4895200.0,0
1999-03-22,17.0,17.008,16.453,16.468,3002400.0,0
1999-03-23,16.28,16.405,15.97,16.047,5456400.0,0
1999-03-24,16.015,16.015,15.375,15.533,4400800.0,0
1999-03-25,15.783,15.875,15.595,15.64,7556000.0,0
1999-03-26,15.533,15.75,15.438,15.595,2527200.0,0
1999-03-29,15.625,15.658,15.39,15.408,2807200.0,0
1999-03-30,15.422,15.422,15.063,15.235,2963200.0,0
1999-03-31,15.203,15.235,14.578,14.97,8242400.0,0
1999-04-01,14.97,14.97,14.845,14.938,3581600.0,0
1999-04-05,15.0,15.11,14.408,14.5,5217600.0,0
1999-04-06,14.533,15.203,14.533,15.125,5394800.0,0
1999-04-07,15.188,15.25,15.0,15.14,5658000.0,0
1999-04-08,15.14,15.515,15.125,15.515,5162400.0,0
1999-04-09,15.563,15.578,15.36,15.578,2964800.0,0
1999-04-12,15.563,15.563,15.015,15.033,3795600.0,0
1999-04-13,14.875,14.985,14.658,14.703,4041200.0,0
1999-04-14,14.783,14.953,14.783,14.908,6225600.0,0
1999-04-15,14.875,15.0,14.47,14.485,8359600.0,0
1999-04-16,14.375,14.39,13.875,13.922,6842800.0,0
1999-04-19,14.095,14.283,13.938,14.033,8045600.0,0
1999-04-20,13.985,14.235,13.953,14.033,5864800.0,0
1999-04-21,14.015,14.125,13.783,13.953,6717200.0,0
1999-04-22,14.0,14.0,13.47,13.658,9361600.0,0
1999-04-23,13.72,13.845,13.625,13.765,5612400.0,0
1999-04-26,13.783,13.828,13.595,13.765,8607200.0,0
1999-04-27,13.783,14.0,13.625,13.953,12902400.0,0
1999-04-28,14.0,14.313,13.908,13.908,9014800.0,0
1999-04-29,13.75,13.875,13.563,13.64,5226400.0,0
1999-04-30,13.658,13.735,13.422,13.578,11846400.0,0
1999-05-03,13.578,13.828,13.563,13.828,6488400.0,0
1999-05-04,13.845,13.89,13.438,13.453,4006400.0,0
1999-05-05,13.408,13.658,13.408,13.595,5883600.0,0
1999-05-06,13.547,13.547,13.22,13.22,6129200.0,0
1999-05-07,13.033,13.095,12.75,12.89,9581200.0,0
1999-05-10,12.797,12.845,12.72,12.813,12077200.0,0
1999-05-11,12.97,13.47,12.97,13.422,7948000.0,0
1999-05-12,13.5,13.86,13.438,13.797,7518000.0,0
1999-05-13,13.783,13.97,13.783,13.828,4628400.0,0
1999-05-14,13.735,13.797,13.422,13.453,3965200.0,0
1999-05-17,13.438,13.438,13.125,13.158,2749600.0,0
1999-05-18,13.172,13.188,12.438,12.735,6558400.0,0
1999-05-19,12.783,13.095,12.783,12.97,4390800.0,0
1999-05-20,12.97,13.5,12.953,13.408,5270000.0,0
1999-05-21,13.578,13.765,13.453,13.547,4570000.0,0
1999-05-24,13.47,13.563,13.015,13.14,6021600.0,0
1999-05-25,13.158,13.47,13.158,13.172,4870800.0,0
1999-05-26,13.125,13.595,13.033,13.547,10398800.0,0
1999-05-27,13.533,13.703,13.47,13.672,8583200.0,0
1999-05-28,13.813,14.72,13.75,14.64,8666000.0,0
1999-06-01,14.64,14.672,14.438,14.485,6691200.0,0
1999-06-02,14.453,14.61,14.125,14.313,3968000.0,0
1999-06-03,14.5,14.72,14.47,14.672,5302000.0,0
1999-06-04,14.735,14.813,14.485,14.625,4179600.0,0
1999-06-07,14.64,14.75,14.265,14.485,3201200.0,0
1999-06-08,14.485,14.595,14.283,14.328,4193600.0,0
1999-06-09,14.408,14.453,13.75,13.922,6416000.0,0
1999-06-10,13.828,13.86,13.625,13.688,5641600.0,0
1999-06-11,13.75,13.765,13.563,13.563,6711600.0,0
1999-06-14,13.533,13.688,13.375,13.578,3373200.0,0
1999-06-15,13.72,13.813,13.688,13.735,4760800.0,0
1999-06-16,13.813,14.033,13.813,14.0,5368000.0,0
1999-06-17,13.953,14.125,13.438,14.125,7216000.0,0
1999-06-18,14.033,14.313,13.783,14.283,7766400.0,0
1999-06-21,14.313,14.313,13.97,13.985,3770800.0,0
1999-06-22,13.797,14.158,13.75,13.845,3910000.0,0
1999-06-23,13.985,13.985,13.625,13.938,3970400.0,0
1999-06-24,13.783,13.922,13.563,13.672,6115200.0,0
1999-06-25,13.797,14.095,13.688,13.765,3690400.0,0
1999-06-28,13.922,14.0,13.813,13.845,2831600.0,0
1999-06-29,13.5,13.78,13.405,13.78,1982500.0,0
1999-06-30,13.78,14.345,13.75,13.97,3870600.0,0
1999-07-01,13.875,14.28,13.685,14.0,4104600.0,0
1999-07-02,14.125,14.625,14.06,14.47,2877200.0,0
1999-07-06,14.405,15.06,14.405,14.75,5231800.0,0
1999-07-07,14.78,15.125,14.75,14.875,4317400.0,0
1999-07-08,14.75,15.185,14.5,15.03,3997600.0,0
1999-07-09,15.06,15.125,14.75,14.935,3830000.0,0
1999-07-12,15.0,15.31,14.905,15.03,5778600.0,0
1999-07-13,14.81,15.06,14.78,14.875,5817000.0,0
1999-07-14,15.0,15.155,14.75,15.155,2795400.0,0
1999-07-15,15.28,15.31,15.03,15.28,2247600.0,0
1999-07-16,15.345,15.56,15.25,15.53,3330400.0,0
1999-07-19,15.47,15.685,15.06,15.125,2802200.0,0
1999-07-20,15.125,15.685,14.75,14.81,3738800.0,0
