date,open,high,low,close,volume,padding
1999-01-04,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-05,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-06,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-07,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-08,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-11,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-12,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-13,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-14,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-15,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-19,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-20,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-21,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-22,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-25,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-26,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-27,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-28,72.28,72.32,70.643,71.88,1741300.0,1
1999-01-29,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-01,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-02,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-03,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-04,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-05,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-08,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-09,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-10,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-11,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-12,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-16,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-17,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-18,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-19,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-22,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-23,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-24,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-25,72.28,72.32,70.643,71.88,1741300.0,1
1999-02-26,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-01,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-02,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-03,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-04,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-05,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-08,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-09,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-10,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-11,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-12,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-15,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-16,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-17,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-18,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-19,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-22,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-23,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-24,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-25,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-26,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-29,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-30,72.28,72.32,70.643,71.88,1741300.0,1
1999-03-31,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-01,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-05,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-06,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-07,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-08,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-09,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-12,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-13,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-14,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-15,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-16,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-19,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-20,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-21,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-22,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-23,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-26,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-27,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-28,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-29,72.28,72.32,70.643,71.88,1741300.0,1
1999-04-30,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-03,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-04,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-05,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-06,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-07,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-10,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-11,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-12,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-13,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-14,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-17,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-18,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-19,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-20,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-21,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-24,72.28,72.32,70.643,71.88,1741300.0,1
1999-05-25,72.28,72.32,70.643,71.88,1741300.0,1
