date,open,high,low,close,volume,padding
1999-01-04,22.13,22.69,22.06,22.25,614200.0,0
1999-01-05,22.19,22.25,21.44,21.88,546300.0,0
1999-01-06,21.94,22.5,21.94,22.13,775100.0,0
1999-01-07,22.13,22.19,21.56,22.19,369200.0,0
1999-01-08,22.13,22.31,21.88,22.31,318600.0,0
1999-01-11,22.31,22.44,21.06,21.75,347200.0,0
1999-01-12,21.88,22.13,21.63,22.06,330500.0,0
1999-01-13,21.88,22.38,21.69,22.13,812400.0,0
1999-01-14,22.13,22.19,21.69,21.88,173300.0,0
1999-01-15,21.88,22.13,21.5,21.94,187600.0,0
1999-01-19,22.25,22.38,21.81,22.13,370900.0,0
1999-01-20,22.13,22.38,21.38,21.38,317300.0,0
1999-01-21,21.0,21.69,20.81,21.56,384400.0,0
1999-01-22,21.5,22.19,21.13,22.06,321600.0,0
1999-01-25,22.0,22.06,21.69,21.88,235100.0,0
1999-01-26,22.06,22.13,21.38,21.38,163900.0,0
1999-01-27,21.5,21.5,20.56,20.75,535500.0,0
1999-01-28,20.81,21.06,20.75,20.88,366300.0,0
1999-01-29,20.75,20.94,20.25,20.5,390700.0,0
1999-02-01,20.5,20.63,20.0,20.0,555800.0,0
1999-02-02,20.0,20.56,19.81,20.56,769500.0,0
1999-02-03,20.44,20.44,19.88,20.13,1025600.0,0
1999-02-04,20.0,21.13,19.81,20.81,1787200.0,0
1999-02-05,20.88,21.06,20.25,20.94,665300.0,0
1999-02-08,21.0,21.31,21.0,21.13,508900.0,0
1999-02-09,21.13,21.88,20.06,20.31,755600.0,0
1999-02-10,20.38,21.06,19.5,20.0,908400.0,0
1999-02-11,20.0,20.75,20.0,20.63,709000.0,0
1999-02-12,20.63,21.13,20.5,20.75,685400.0,0
1999-02-16,20.81,21.44,20.81,21.19,295400.0,0
1999-02-17,21.19,21.25,20.56,20.63,488200.0,0
1999-02-18,20.5,21.44,20.5,21.44,494400.0,0
1999-02-19,21.19,21.44,20.94,21.44,278300.0,0
1999-02-22,21.44,21.69,20.94,21.5,462700.0,0
1999-02-23,21.69,21.75,20.94,21.5,338300.0,0
1999-02-24,21.38,21.44,20.88,21.13,170700.0,0
1999-02-25,20.88,21.44,20.63,20.81,245100.0,0
1999-02-26,20.88,21.13,20.5,20.94,257800.0,0
1999-03-01,20.69,20.94,20.56,20.75,258200.0,0
1999-03-02,20.81,21.25,20.63,21.25,232600.0,0
1999-03-03,21.25,21.44,20.5,20.5,312100.0,0
1999-03-04,20.75,21.44,20.56,21.0,259300.0,0
1999-03-05,21.25,21.38,20.88,21.06,194200.0,0
1999-03-08,21.06,21.13,20.75,21.13,212900.0,0
1999-03-09,20.94,21.25,20.5,21.25,418300.0,0
1999-03-10,21.19,21.88,21.0,21.81,407000.0,0
1999-03-11,21.63,22.0,21.0,21.63,254200.0,0
1999-03-12,21.63,22.0,21.5,21.56,417800.0,0
1999-03-15,21.5,21.63,21.19,21.19,206900.0,0
1999-03-16,20.94,21.5,20.75,21.5,255600.0,0
1999-03-17,21.5,21.63,21.13,21.63,240900.0,0
1999-03-18,21.63,21.63,20.5,20.75,653700.0,0
1999-03-19,20.25,20.44,19.63,20.0,483500.0,0
1999-03-22,20.19,20.5,19.94,20.0,339700.0,0
1999-03-23,19.94,20.0,19.06,19.25,409700.0,0
1999-03-24,19.63,19.88,19.38,19.56,234300.0,0
1999-03-25,19.5,20.5,19.5,20.38,378600.0,0
1999-03-26,20.44,20.56,20.13,20.25,279300.0,0
1999-03-29,20.5,21.13,20.44,21.06,271900.0,0
1999-03-30,20.56,20.81,20.13,20.25,200100.0,0
1999-03-31,20.31,20.63,20.0,20.0,554700.0,0
1999-04-01,20.0,20.25,19.94,20.13,250100.0,0
