date,open,high,low,close,volume,padding
1999-01-04,3.438,3.438,3.125,3.283,105600.0,0
1999-01-05,3.438,3.75,3.283,3.75,64000.0,0
1999-01-06,3.75,3.75,3.595,3.75,50000.0,0
1999-01-07,3.595,3.75,3.438,3.595,58400.0,0
1999-01-08,3.438,3.75,3.438,3.595,56400.0,0
1999-01-11,3.595,3.75,3.595,3.595,42800.0,0
1999-01-12,3.438,3.595,3.438,3.595,78800.0,0
1999-01-13,3.438,3.595,3.283,3.438,80400.0,0
1999-01-14,3.438,3.595,3.438,3.595,29200.0,0
1999-01-15,3.438,3.75,3.438,3.75,82000.0,0
1999-01-19,3.75,3.908,3.595,3.908,114000.0,0
1999-01-20,3.75,4.063,3.75,3.908,71600.0,0
1999-01-21,3.908,4.22,3.75,4.22,64800.0,0
1999-01-22,4.22,4.22,3.908,4.063,32800.0,0
1999-01-25,3.908,4.063,3.75,4.063,54800.0,0
1999-01-26,3.908,4.063,3.908,3.908,40000.0,0
1999-01-27,4.063,4.22,3.908,4.22,118400.0,0
1999-01-28,4.375,4.688,4.22,4.375,346000.0,0
1999-01-29,4.375,4.375,4.063,4.375,38000.0,0
1999-02-01,4.375,4.375,4.063,4.375,448000.0,0
1999-02-02,4.375,4.688,4.375,4.375,139200.0,0
1999-02-03,4.375,4.532,4.375,4.532,32800.0,0
1999-02-04,4.375,4.375,4.063,4.22,111600.0,0
1999-02-05,4.375,4.375,4.22,4.22,184400.0,0
1999-02-08,4.375,4.375,4.22,4.22,26000.0,0
1999-02-09,4.375,4.845,4.375,4.532,1116000.0,0
1999-02-10,5.0,5.625,5.0,5.313,3151200.0,0
1999-02-11,5.313,5.782,5.0,5.313,819200.0,0
1999-02-12,5.313,5.313,4.845,5.0,265200.0,0
1999-02-16,5.157,5.157,4.532,5.157,313200.0,0
1999-02-17,5.157,5.313,4.845,4.845,128000.0,0
1999-02-18,5.0,5.0,4.532,4.845,110000.0,0
1999-02-19,4.532,4.845,4.375,4.688,105200.0,0
1999-02-22,4.688,4.688,4.375,4.688,100000.0,0
1999-02-23,5.0,5.157,4.688,4.688,425600.0,0
1999-02-24,4.845,4.845,4.532,4.688,127200.0,0
