date,open,high,low,close,volume,padding
1999-01-04,87.25,88.94,84.75,86.0,2558700.0,0
1999-01-05,85.5,86.94,85.19,85.81,2499400.0,0
1999-01-06,86.0,86.56,84.5,85.13,3106300.0,0
1999-01-07,83.5,83.94,82.13,82.38,3388600.0,0
1999-01-08,82.13,82.25,78.38,78.88,5412200.0,0
1999-01-11,79.25,80.0,75.88,76.19,4975300.0,0
1999-01-12,76.88,77.88,76.5,76.5,3996400.0,0
1999-01-13,74.25,81.75,74.19,80.69,5134700.0,0
1999-01-14,82.0,83.25,80.5,81.5,3603300.0,0
1999-01-15,82.13,82.88,80.63,81.25,2837900.0,0
1999-01-19,80.38,80.81,78.5,79.5,2305400.0,0
1999-01-20,79.94,83.13,79.19,82.25,2375700.0,0
1999-01-21,80.75,81.63,77.06,77.94,3097000.0,0
1999-01-22,77.5,81.25,77.0,80.25,2701400.0,0
1999-01-25,84.88,86.81,83.75,86.25,6898600.0,0
1999-01-26,87.0,89.5,86.63,89.5,4380900.0,0
1999-01-27,89.94,91.94,88.88,90.75,3904200.0,0
1999-01-28,89.75,92.88,89.63,92.25,3175000.0,0
1999-01-29,90.38,94.06,89.5,93.69,2905300.0,0
1999-02-01,93.69,94.56,91.75,93.19,2125200.0,0
1999-02-02,91.5,92.94,89.88,91.81,1706700.0,0
1999-02-03,90.25,92.38,89.5,92.0,2667500.0,0
1999-02-04,91.5,93.06,90.94,90.94,1653200.0,0
1999-02-05,90.13,90.81,88.0,88.44,2037100.0,0
1999-02-08,87.75,88.0,86.81,87.25,1392000.0,0
1999-02-09,87.0,87.94,86.56,86.69,1946400.0,0
1999-02-10,86.63,87.44,86.44,87.38,1379900.0,0
1999-02-11,87.38,90.13,87.38,90.0,1298300.0,0
1999-02-12,90.06,90.63,88.63,90.19,1844800.0,0
1999-02-16,90.0,90.5,88.38,89.38,1654400.0,0
1999-02-17,88.69,90.13,88.25,88.5,1455700.0,0
1999-02-18,89.0,94.31,88.88,93.38,4258300.0,0
1999-02-19,94.25,94.5,92.63,93.06,3165000.0,0
1999-02-22,91.75,95.0,91.75,94.88,2226500.0,0
1999-02-23,94.63,97.25,94.5,96.44,2432000.0,0
1999-02-24,95.0,96.63,92.38,92.75,2147900.0,0
1999-02-25,92.5,94.0,91.0,93.25,2115400.0,0
1999-02-26,91.44,95.38,91.19,94.5,2617400.0,0
1999-03-01,94.5,94.5,93.44,93.81,1713500.0,0
1999-03-02,93.56,94.94,93.0,93.0,2283700.0,0
1999-03-03,92.56,92.88,91.63,92.88,2133400.0,0
1999-03-04,92.19,94.5,91.13,94.5,2130800.0,0
1999-03-05,95.75,97.75,95.38,97.44,2254800.0,0
1999-03-08,96.56,97.63,96.06,97.31,1400300.0,0
1999-03-09,95.0,96.94,94.44,95.5,2971300.0,0
1999-03-10,94.88,94.94,90.94,91.81,3751500.0,0
1999-03-11,92.19,92.88,91.38,92.81,3044900.0,0
1999-03-12,93.13,95.0,92.81,93.89,2346900.0,0
1999-03-15,94.13,96.94,93.94,96.56,1673900.0,0
1999-03-16,95.88,96.44,93.88,94.06,2048700.0,0
1999-03-17,90.0,90.75,88.69,88.75,5269400.0,0
1999-03-18,87.13,89.56,86.0,89.0,6110300.0,0
1999-03-19,89.5,89.5,87.25,87.44,3334200.0,0
1999-03-22,86.56,87.44,84.75,85.06,2638300.0,0
1999-03-23,85.75,86.5,82.56,84.19,2979400.0,0
1999-03-24,84.13,86.06,83.63,85.69,2143800.0,0
1999-03-25,86.5,87.13,85.5,86.5,1825500.0,0
1999-03-26,86.5,86.5,83.88,84.44,1211400.0,0
1999-03-29,87.0,87.56,86.31,86.63,2345900.0,0
1999-03-30,86.56,88.38,86.06,87.94,1654300.0,0
1999-03-31,89.13,89.25,84.88,84.88,1664600.0,0
1999-04-01,85.81,87.13,84.88,86.88,1405000.0,0
1999-04-05,86.75,87.0,85.25,86.25,1973500.0,0
1999-04-06,86.44,86.5,84.88,85.94,1208900.0,0
1999-04-07,86.88,86.88,84.75,85.38,1595700.0,0
1999-04-08,85.88,89.31,85.63,88.5,2185400.0,0
1999-04-09,88.56,91.0,87.5,90.25,1542100.0,0
1999-04-12,89.75,90.5,89.19,90.0,1972100.0,0
1999-04-13,88.13,89.13,86.13,87.44,2120700.0,0
1999-04-14,86.0,86.63,81.19,83.69,3436700.0,0
1999-04-15,82.0,82.06,80.06,81.19,4508100.0,0
1999-04-16,81.31,82.94,81.06,82.31,2372500.0,0
1999-04-19,78.5,78.88,71.0,72.88,6684900.0,0
1999-04-20,73.25,76.44,72.88,73.69,5986100.0,0
1999-04-21,75.0,77.31,74.19,76.0,3409100.0,0
1999-04-22,76.0,76.38,74.63,75.38,3501900.0,0
1999-04-23,75.75,76.88,74.06,74.25,2971000.0,0
1999-04-26,75.0,78.81,74.81,77.0,4088900.0,0
1999-04-27,79.75,79.81,78.5,79.06,2991300.0,0
1999-04-28,80.0,80.5,76.81,77.5,3004600.0,0
1999-04-29,75.0,76.75,72.88,75.0,5821900.0,0
1999-04-30,74.13,74.38,72.88,73.63,4371400.0,0
1999-05-03,73.63,76.25,73.25,76.19,3307700.0,0
1999-05-04,76.19,76.63,74.63,75.75,2446900.0,0
1999-05-05,75.75,76.19,73.75,75.19,2356000.0,0
1999-05-06,75.06,76.56,74.75,76.13,2285000.0,0
1999-05-07,76.0,76.81,74.0,75.5,2205900.0,0
1999-05-10,74.75,75.0,73.25,73.31,2013800.0,0
1999-05-11,73.88,76.13,73.44,75.81,2266100.0,0
1999-05-12,76.0,79.0,75.06,76.44,2751000.0,0
1999-05-13,77.69,79.75,76.56,78.88,2779900.0,0
1999-05-14,76.5,77.75,76.25,76.94,1848900.0,0
1999-05-17,76.0,78.38,76.0,78.0,2966400.0,0
1999-05-18,78.0,78.0,75.56,77.25,2596600.0,0
1999-05-19,76.81,77.5,75.38,75.75,2129700.0,0
1999-05-20,74.5,75.19,73.63,73.88,3016800.0,0
1999-05-21,74.25,74.38,70.69,71.31,3750300.0,0
1999-05-24,71.38,72.0,70.25,71.0,4343800.0,0
1999-05-25,70.13,70.56,68.5,68.75,4057600.0,0
1999-05-26,68.75,69.25,65.94,67.0,4762000.0,0
1999-05-27,66.88,70.0,66.38,69.0,4339100.0,0
1999-05-28,69.63,72.38,69.25,71.44,3524600.0,0
1999-06-01,71.44,71.5,70.0,70.69,2049400.0,0
1999-06-02,71.0,71.69,70.0,70.13,1397300.0,0
1999-06-03,70.0,72.0,69.5,71.94,1785000.0,0
1999-06-04,72.13,75.44,72.13,75.25,3432100.0,0
1999-06-07,75.25,75.75,71.75,71.88,3234800.0,0
1999-06-08,72.38,73.69,72.31,72.5,3487700.0,0
1999-06-09,72.44,72.94,71.25,72.81,2363100.0,0
1999-06-10,71.94,72.31,70.19,70.69,1876500.0,0
1999-06-11,70.56,72.38,69.06,69.31,2315200.0,0
1999-06-14,69.63,69.81,68.69,68.81,1628200.0,0
1999-06-15,70.25,70.44,68.06,68.88,2602000.0,0
1999-06-16,71.0,71.0,69.5,69.75,2079800.0,0
1999-06-17,68.88,70.88,68.75,70.63,2134000.0,0
1999-06-18,70.75,71.06,68.88,68.94,3345700.0,0
1999-06-21,69.5,69.5,67.25,67.63,2205700.0,0
