date,open,high,low,close,volume,padding
1999-01-04,41.25,41.875,40.655,40.905,505400.0,0
1999-01-05,41.0,42.19,41.0,41.345,827400.0,0
1999-01-06,41.75,41.75,40.875,41.125,922600.0,0
1999-01-07,41.0,41.25,40.875,41.125,874800.0,0
1999-01-08,41.75,42.0,41.28,41.845,568600.0,0
1999-01-11,41.845,41.94,40.345,40.655,473600.0,0
1999-01-12,40.72,40.72,39.97,39.97,698800.0,0
1999-01-13,39.625,40.065,39.565,39.78,442400.0,0
1999-01-14,39.78,40.405,39.625,39.78,515000.0,0
1999-01-15,40.125,40.22,39.845,40.22,398200.0,0
1999-01-19,40.125,40.375,39.97,40.25,427200.0,0
1999-01-20,40.125,40.72,39.815,39.94,330000.0,0
1999-01-21,40.065,40.345,39.53,39.75,595200.0,0
1999-01-22,39.655,39.845,39.28,39.5,400000.0,0
1999-01-25,39.315,40.095,39.315,40.065,416800.0,0
1999-01-26,40.125,40.22,39.94,40.155,291600.0,0
1999-01-27,40.155,40.565,40.155,40.28,410800.0,0
1999-01-28,40.315,40.75,40.28,40.75,395000.0,0
1999-01-29,40.97,41.845,40.565,41.655,400000.0,0
1999-02-01,41.655,42.0,40.405,40.53,531800.0,0
1999-02-02,40.75,41.0,39.815,39.815,648600.0,0
1999-02-03,39.565,40.0,39.28,39.97,669800.0,0
1999-02-04,40.095,41.065,39.78,40.44,816800.0,0
1999-02-05,40.405,40.405,39.97,40.19,444800.0,0
1999-02-08,40.095,41.845,39.94,41.565,485000.0,0
1999-02-09,41.565,42.0,41.375,41.655,320000.0,0
1999-02-10,41.655,41.69,41.47,41.595,626800.0,0
1999-02-11,41.5,43.22,41.28,43.22,625000.0,0
1999-02-12,43.03,43.065,41.875,42.065,411400.0,0
1999-02-16,42.25,43.25,42.19,43.25,604800.0,0
1999-02-17,43.25,43.25,42.155,42.19,387800.0,0
1999-02-18,42.69,44.22,42.565,44.19,1033600.0,0
1999-02-19,44.25,46.875,44.19,46.5,1331200.0,0
1999-02-22,46.5,48.875,46.0,48.565,1767800.0,0
1999-02-23,48.44,48.47,46.19,46.47,908800.0,0
1999-02-24,46.44,47.845,46.44,46.845,648400.0,0
1999-02-25,46.69,47.03,46.315,47.0,671800.0,0
1999-02-26,47.0,47.405,46.845,47.345,479400.0,0
1999-03-01,47.345,47.75,45.815,46.69,1477000.0,0
1999-03-02,47.0,48.25,47.0,47.44,690200.0,0
1999-03-03,47.44,48.125,47.375,47.875,829000.0,0
1999-03-04,47.94,48.155,47.655,47.97,1021200.0,0
1999-03-05,48.095,48.345,47.25,47.44,1174400.0,0
1999-03-08,47.47,47.5,47.125,47.315,753800.0,0
1999-03-09,47.315,47.94,46.97,47.065,1128600.0,0
1999-03-10,47.125,47.125,46.405,46.78,1067200.0,0
1999-03-11,46.845,47.375,46.655,47.0,1002800.0,0
1999-03-12,47.125,47.655,47.125,47.595,496800.0,0
1999-03-15,47.655,49.845,47.53,49.0,817200.0,0
1999-03-16,49.0,49.0,47.375,47.75,957800.0,0
1999-03-17,47.75,48.14,47.595,47.905,651800.0,0
1999-03-18,47.625,48.75,47.625,48.75,1045000.0,0
1999-03-19,48.625,49.065,48.25,48.565,669000.0,0
1999-03-22,48.595,49.905,48.595,49.815,451800.0,0
1999-03-23,50.0,50.0,49.0,49.095,967400.0,0
1999-03-24,49.25,49.845,49.19,49.47,649400.0,0
1999-03-25,49.375,49.78,49.125,49.72,678000.0,0
1999-03-26,49.315,50.25,49.0,49.28,714800.0,0
1999-03-29,49.405,49.815,49.155,49.78,579200.0,0
1999-03-30,49.5,49.595,49.315,49.5,635200.0,0
1999-03-31,49.5,49.69,49.405,49.44,400000.0,0
1999-04-01,49.44,49.565,48.94,49.405,623000.0,0
1999-04-05,49.315,50.25,49.065,50.2,602400.0,0
1999-04-06,49.875,49.97,48.875,48.94,776400.0,0
1999-04-07,48.0,49.065,48.0,48.625,837400.0,0
1999-04-08,48.625,48.815,48.0,48.375,615600.0,0
1999-04-09,48.375,48.78,48.19,48.565,310400.0,0
1999-04-12,48.19,49.595,48.0,49.155,418600.0,0
1999-04-13,49.125,50.05,49.065,49.5,783000.0,0
1999-04-14,49.5,49.595,48.625,48.72,520400.0,0
1999-04-15,48.595,48.72,47.315,47.625,503600.0,0
1999-04-16,47.72,48.0,46.53,46.815,663800.0,0
1999-04-19,46.125,47.19,46.125,46.5,983400.0,0
1999-04-20,46.5,46.75,45.97,46.125,763800.0,0
1999-04-21,46.095,47.25,45.69,47.25,753000.0,0
1999-04-22,47.75,48.155,47.44,47.69,714400.0,0
1999-04-23,47.69,49.03,47.565,49.0,931200.0,0
1999-04-26,48.875,49.125,47.75,47.845,600000.0,0
1999-04-27,47.97,48.595,47.815,48.0,560800.0,0
1999-04-28,48.125,48.845,47.97,48.25,1136000.0,0
1999-04-29,48.5,49.5,48.44,48.47,673800.0,0
1999-04-30,48.72,49.0,47.97,48.03,671600.0,0
1999-05-03,47.75,49.065,47.75,48.5,643600.0,0
1999-05-04,48.565,49.125,48.25,48.25,881000.0,0
1999-05-05,48.375,49.345,48.375,48.94,653400.0,0
1999-05-06,48.815,49.19,48.815,48.97,521200.0,0
1999-05-07,49.5,51.75,49.5,50.4,1138000.0,0
1999-05-10,50.75,51.1,50.3,50.6,463600.0,0
1999-05-11,50.7,51.6,50.05,50.15,530400.0,0
1999-05-12,50.15,52.7,50.15,52.35,866800.0,0
1999-05-13,52.25,52.95,51.65,52.4,479400.0,0
1999-05-14,51.6,51.7,50.3,50.9,326000.0,0
1999-05-17,51.05,52.7,50.95,51.45,428200.0,0
1999-05-18,51.45,51.95,50.45,51.2,448200.0,0
1999-05-19,51.35,51.7,50.5,50.95,251600.0,0
1999-05-20,50.85,51.75,50.85,51.45,324600.0,0
1999-05-21,51.45,51.5,50.8,50.95,447200.0,0
1999-05-24,51.0,51.0,49.065,49.655,623000.0,0
1999-05-25,49.565,51.25,49.565,50.85,689800.0,0
1999-05-26,50.7,51.25,50.05,51.25,589800.0,0
1999-05-27,50.9,51.4,50.3,50.3,492800.0,0
1999-05-28,50.0,50.95,49.565,50.9,616200.0,0
1999-06-01,50.25,50.5,48.5,49.22,658800.0,0
1999-06-02,49.125,50.0,49.0,50.0,494000.0,0
1999-06-03,50.0,51.65,50.0,51.2,500400.0,0
1999-06-04,51.2,51.9,51.05,51.3,527200.0,0
1999-06-07,50.9,51.75,50.4,51.7,631600.0,0
1999-06-08,51.55,51.65,50.0,50.4,404400.0,0
1999-06-09,50.4,50.8,49.94,50.3,498000.0,0
1999-06-10,50.4,50.65,49.845,50.2,617600.0,0
1999-06-11,50.25,50.5,50.25,50.45,597600.0,0
1999-06-14,51.0,52.1,50.9,51.3,548200.0,0
1999-06-15,51.45,52.0,51.25,51.8,715600.0,0
1999-06-16,51.9,53.05,51.8,52.15,1066200.0,0
1999-06-17,51.9,52.65,51.3,52.65,644600.0,0
1999-06-18,52.5,52.5,51.85,52.3,617200.0,0
1999-06-21,52.4,52.95,52.2,52.65,448800.0,0
1999-06-22,51.0,52.81,50.88,51.75,255800.0,0
1999-06-23,50.5,52.69,50.5,52.38,554300.0,0
1999-06-24,52.13,52.38,51.31,51.69,392200.0,0
1999-06-25,51.69,51.81,50.63,50.94,475000.0,0
1999-06-28,50.75,52.38,50.75,51.63,305500.0,0
1999-06-29,51.63,52.5,51.19,52.0,383500.0,0
1999-06-30,52.0,53.44,51.88,52.31,450300.0,0
1999-07-01,52.56,53.94,51.63,53.69,583200.0,0
1999-07-02,53.56,54.88,53.5,54.44,246800.0,0
1999-07-06,54.19,55.19,54.06,54.38,568400.0,0
1999-07-07,54.5,55.81,54.38,55.06,701800.0,0
1999-07-08,55.0,56.56,54.88,56.38,1100500.0,0
1999-07-09,56.38,57.19,56.31,57.0,646100.0,0
1999-07-12,56.88,57.5,55.38,57.31,503000.0,0
1999-07-13,56.5,56.63,55.75,56.13,421900.0,0
1999-07-14,56.0,56.0,54.94,55.63,518700.0,0
1999-07-15,55.5,56.75,55.5,56.44,156800.0,0
1999-07-16,55.5,55.5,54.63,55.0,388200.0,0
1999-07-19,54.75,55.06,54.06,54.31,481400.0,0
1999-07-20,53.63,54.31,53.0,53.5,392100.0,0
1999-07-21,53.5,53.5,51.06,51.13,530800.0,0
1999-07-22,51.25,53.56,51.0,52.75,663300.0,0
