date,open,high,low,close,volume,padding
1999-01-04,16.125,16.19,15.875,16.0,312600.0,0
1999-01-05,15.94,15.97,15.625,15.69,125400.0,0
1999-01-06,15.69,15.75,15.345,15.56,121400.0,0
1999-01-07,15.44,15.53,15.375,15.47,115200.0,0
1999-01-08,15.47,15.5,15.31,15.405,149400.0,0
1999-01-11,15.405,15.405,15.0,15.22,187200.0,0
1999-01-12,15.22,15.485,15.19,15.44,464000.0,0
1999-01-13,15.375,15.5,15.06,15.19,684600.0,0
1999-01-14,15.22,15.22,15.06,15.125,240600.0,0
1999-01-15,15.125,15.125,15.0,15.095,167000.0,0
1999-01-19,15.06,15.155,14.94,15.0,250400.0,0
1999-01-20,14.905,14.97,14.78,14.94,301800.0,0
1999-01-21,14.845,15.19,14.845,15.19,302400.0,0
1999-01-22,15.095,15.19,15.03,15.155,155600.0,0
1999-01-25,15.06,15.25,15.06,15.22,322800.0,0
1999-01-26,15.19,15.22,15.095,15.19,4167200.0,0
1999-01-27,14.905,15.0,14.69,14.845,225800.0,0
1999-01-28,14.81,14.845,14.72,14.75,113800.0,0
1999-01-29,14.75,14.75,14.375,14.47,108600.0,0
1999-02-01,14.375,14.44,14.345,14.375,214200.0,0
1999-02-02,14.405,14.405,14.25,14.31,707000.0,0
1999-02-03,14.375,14.5,14.28,14.375,165200.0,0
1999-02-04,14.31,14.345,14.28,14.345,125000.0,0
1999-02-05,14.28,14.31,14.125,14.125,154200.0,0
1999-02-08,14.19,14.19,13.97,14.06,172600.0,0
1999-02-09,14.0,14.06,13.875,13.97,373200.0,0
1999-02-10,13.97,14.0,13.75,13.845,235400.0,0
1999-02-11,13.78,13.875,13.78,13.875,158400.0,0
1999-02-12,13.875,13.875,13.625,13.69,119400.0,0
1999-02-16,13.81,13.845,13.655,13.75,235800.0,0
1999-02-17,13.78,13.905,13.69,13.81,426000.0,0
1999-02-18,13.81,13.875,13.625,13.875,166800.0,0
1999-02-19,13.875,13.94,13.69,13.75,186800.0,0
1999-02-22,13.81,14.155,13.75,14.155,129600.0,0
1999-02-23,14.155,14.155,13.875,13.97,156600.0,0
1999-02-24,14.0,14.25,13.94,14.03,119800.0,0
1999-02-25,14.03,14.03,13.78,13.905,113400.0,0
1999-02-26,13.905,13.97,13.72,13.78,145400.0,0
1999-03-01,13.75,13.875,13.56,13.655,149000.0,0
1999-03-02,13.625,13.97,13.56,13.97,165200.0,0
1999-03-03,13.905,14.31,13.875,14.31,126600.0,0
1999-03-04,14.31,14.31,14.0,14.22,127200.0,0
1999-03-05,14.28,14.44,14.19,14.31,81200.0,0
1999-03-08,14.31,14.31,14.0,14.22,160000.0,0
1999-03-09,14.125,14.125,13.78,13.97,142800.0,0
1999-03-10,13.97,14.0,13.81,13.94,261800.0,0
1999-03-11,14.0,14.22,13.905,14.22,301400.0,0
1999-03-12,14.155,14.25,14.06,14.25,258600.0,0
1999-03-15,14.28,14.375,14.28,14.345,117600.0,0
1999-03-16,14.31,14.345,14.19,14.28,267400.0,0
1999-03-17,14.31,14.345,14.095,14.22,111200.0,0
1999-03-18,14.22,14.25,14.095,14.22,172400.0,0
1999-03-19,14.03,14.19,13.875,14.125,222600.0,0
1999-03-22,14.155,14.155,13.905,13.97,177600.0,0
1999-03-23,14.0,14.125,13.69,13.905,212400.0,0
1999-03-24,13.875,14.22,13.72,14.22,571600.0,0
1999-03-25,14.25,14.25,14.03,14.25,90800.0,0
1999-03-26,14.19,14.22,14.06,14.095,220800.0,0
1999-03-29,14.06,14.155,14.0,14.125,361800.0,0
1999-03-30,14.06,14.06,13.72,13.72,156600.0,0
1999-03-31,13.72,13.78,13.19,13.31,423000.0,0
1999-04-01,13.44,13.81,13.31,13.625,163600.0,0
1999-04-05,13.75,13.78,13.405,13.595,166800.0,0
1999-04-06,13.56,13.625,13.25,13.53,214000.0,0
1999-04-07,13.56,13.625,13.44,13.5,243800.0,0
1999-04-08,13.53,13.625,13.44,13.625,118600.0,0
1999-04-09,13.625,13.655,13.595,13.625,147800.0,0
1999-04-12,13.595,13.81,13.595,13.78,179400.0,0
1999-04-13,13.81,13.94,13.78,13.845,275200.0,0
1999-04-14,13.875,13.94,13.75,13.845,177000.0,0
1999-04-15,13.845,13.94,13.72,13.875,197200.0,0
1999-04-16,13.875,14.03,13.81,14.03,199200.0,0
1999-04-19,14.03,14.31,14.0,14.28,212200.0,0
1999-04-20,14.31,14.53,14.25,14.47,230200.0,0
1999-04-21,14.47,14.56,14.375,14.56,158400.0,0
1999-04-22,14.53,14.625,14.25,14.375,851800.0,0
1999-04-23,14.345,14.47,14.19,14.47,418000.0,0
1999-04-26,14.47,14.56,14.28,14.47,612200.0,0
1999-04-27,14.5,14.56,14.375,14.53,4399600.0,0
1999-04-28,14.28,14.72,14.22,14.595,377000.0,0
1999-04-29,14.595,14.595,14.405,14.56,215800.0,0
1999-04-30,14.595,14.69,14.375,14.47,348200.0,0
1999-05-03,14.44,14.53,14.345,14.53,413600.0,0
1999-05-04,14.5,14.5,14.28,14.31,216000.0,0
1999-05-05,14.31,14.375,14.19,14.345,164600.0,0
1999-05-06,14.375,14.47,14.19,14.44,182200.0,0
1999-05-07,14.44,14.5,14.345,14.44,144600.0,0
1999-05-10,14.375,14.47,14.31,14.31,191400.0,0
1999-05-11,14.345,14.44,14.22,14.25,294400.0,0
1999-05-12,14.31,14.375,14.25,14.375,162800.0,0
1999-05-13,14.375,14.94,14.375,14.94,358200.0,0
1999-05-14,14.94,14.94,14.47,14.625,185800.0,0
1999-05-17,15.0,15.0,14.69,14.81,241000.0,0
1999-05-18,14.875,14.94,14.5,14.655,208400.0,0
1999-05-19,14.655,14.78,14.56,14.72,180800.0,0
1999-05-20,14.75,14.78,14.655,14.655,155400.0,0
1999-05-21,14.655,14.81,14.655,14.72,196400.0,0
1999-05-24,14.72,15.095,14.72,15.06,254200.0,0
1999-05-25,15.125,15.28,15.06,15.06,234000.0,0
1999-05-26,15.155,15.22,15.095,15.19,109200.0,0
1999-05-27,15.125,15.155,14.78,15.03,152000.0,0
1999-05-28,15.0,15.19,14.97,15.095,296600.0,0
1999-06-01,15.0,15.03,14.845,14.94,152600.0,0
1999-06-02,14.97,14.97,14.845,14.905,146000.0,0
1999-06-03,14.845,14.94,14.78,14.81,205000.0,0
1999-06-04,14.905,15.0,14.905,15.0,108800.0,0
1999-06-07,15.0,15.06,14.94,15.06,249600.0,0
1999-06-08,15.0,15.03,14.75,14.78,225400.0,0
1999-06-09,14.875,15.03,14.81,14.97,127000.0,0
1999-06-10,14.97,14.97,14.78,14.905,176600.0,0
1999-06-11,14.845,14.94,14.78,14.81,92400.0,0
1999-06-14,15.0,15.125,14.94,15.095,168400.0,0
1999-06-15,15.19,15.28,15.155,15.22,249800.0,0
1999-06-16,15.31,15.44,15.095,15.095,188800.0,0
1999-06-17,15.095,15.22,14.845,15.03,289400.0,0
1999-06-18,15.03,15.19,15.03,15.19,262200.0,0
1999-06-21,15.155,15.19,14.78,15.03,68800.0,0
1999-06-22,14.94,15.06,14.78,14.97,203800.0,0
1999-06-23,14.94,14.94,14.72,14.845,142800.0,0
1999-06-24,14.69,14.81,14.625,14.75,346600.0,0
1999-06-25,14.75,14.845,14.69,14.72,102400.0,0
1999-06-28,14.81,14.97,14.78,14.97,90400.0,0
1999-06-29,14.94,14.97,14.595,14.94,153800.0,0
1999-06-30,14.875,14.875,14.095,14.19,557200.0,0
1999-07-01,14.47,14.69,14.28,14.53,328800.0,0
1999-07-02,14.47,14.655,14.405,14.655,177800.0,0
1999-07-06,14.595,14.625,14.44,14.53,150600.0,0
1999-07-07,14.53,14.655,14.53,14.595,91200.0,0
1999-07-08,14.595,14.845,14.56,14.78,176800.0,0
1999-07-09,14.78,14.78,14.655,14.72,266800.0,0
1999-07-12,14.75,14.75,14.56,14.655,125200.0,0
1999-07-13,14.595,14.625,14.5,14.595,136400.0,0
1999-07-14,14.56,14.655,14.53,14.625,76400.0,0
1999-07-15,14.655,14.845,14.53,14.845,398800.0,0
1999-07-16,14.845,14.845,14.56,14.625,91000.0,0
1999-07-19,14.655,14.81,14.56,14.78,262400.0,0
1999-07-20,14.75,14.81,14.75,14.81,94800.0,0
1999-07-21,14.81,14.905,14.75,14.905,177600.0,0
1999-07-22,14.905,15.0,14.69,14.97,140600.0,0
1999-07-23,14.97,14.97,14.78,14.94,145800.0,0
1999-07-26,14.94,15.0,14.845,14.97,92800.0,0
1999-07-27,15.0,15.03,14.875,14.94,159600.0,0
1999-07-28,14.655,14.655,14.375,14.405,3707800.0,0
1999-07-29,14.31,14.31,14.125,14.22,161000.0,0
1999-07-30,14.25,14.47,14.22,14.44,164400.0,0
1999-08-02,14.44,14.44,14.19,14.19,167800.0,0
1999-08-03,14.06,14.31,14.06,14.19,196800.0,0
1999-08-04,14.19,14.19,13.94,14.095,229000.0,0
1999-08-05,14.095,14.095,13.94,14.095,136600.0,0
1999-08-06,14.095,14.095,13.845,14.0,110000.0,0
1999-08-09,13.97,14.22,13.81,14.155,136600.0,0
1999-08-10,14.155,14.155,13.75,13.97,119800.0,0
1999-08-11,14.06,14.095,13.875,13.97,303800.0,0
1999-08-12,13.97,13.97,13.75,13.905,103600.0,0
1999-08-13,13.97,13.97,13.625,13.875,122800.0,0
1999-08-16,13.94,13.94,13.5,13.56,330800.0,0
1999-08-17,13.625,13.72,13.5,13.595,155800.0,0
1999-08-18,13.625,13.655,13.5,13.53,138600.0,0
1999-08-19,13.625,13.78,13.5,13.75,75200.0,0
1999-08-20,13.72,13.875,13.625,13.875,126400.0,0
1999-08-23,13.875,13.97,13.78,13.875,72800.0,0
1999-08-24,13.81,13.94,13.72,13.81,102200.0,0
