date,open,high,low,close,volume,padding
1999-01-04,12.875,13.033,12.64,12.703,5365600.0,0
1999-01-05,12.658,12.735,12.625,12.72,6133600.0,0
1999-01-06,12.797,13.203,12.797,13.063,8845600.0,0
1999-01-07,13.313,13.688,13.297,13.453,16363200.0,0
1999-01-08,13.515,13.783,13.515,13.672,8749600.0,0
1999-01-11,13.688,13.97,13.25,13.313,8989600.0,0
1999-01-12,13.345,13.345,13.063,13.297,5409200.0,0
1999-01-13,12.797,13.172,12.797,12.922,6256400.0,0
1999-01-14,12.953,13.172,12.783,12.845,5674000.0,0
1999-01-15,12.985,13.125,12.64,12.658,5656000.0,0
1999-01-19,12.845,12.938,12.735,12.797,6233600.0,0
1999-01-20,12.797,13.203,12.64,13.047,7233600.0,0
1999-01-21,13.11,13.11,12.735,12.908,6608400.0,0
1999-01-22,12.89,13.39,12.875,13.203,6862800.0,0
1999-01-25,13.328,13.36,13.095,13.313,3925600.0,0
1999-01-26,13.313,13.375,13.11,13.345,3710400.0,0
1999-01-27,13.408,13.797,13.14,13.5,7066400.0,0
1999-01-28,13.658,14.25,13.658,14.095,5684400.0,0
1999-01-29,14.095,14.688,14.015,14.578,4953200.0,0
1999-02-01,14.64,14.672,14.22,14.265,5378000.0,0
1999-02-02,14.283,14.375,13.72,14.0,4350400.0,0
1999-02-03,13.938,14.313,13.875,14.095,4328400.0,0
1999-02-04,14.158,14.345,13.97,14.033,4059200.0,0
1999-02-05,14.015,14.14,13.61,13.75,4160800.0,0
1999-02-08,13.86,13.86,13.453,13.485,3523200.0,0
1999-02-09,13.485,13.5,13.203,13.22,3164400.0,0
1999-02-10,13.235,13.235,12.875,13.125,3008800.0,0
1999-02-11,13.188,13.797,13.125,13.672,7791200.0,0
1999-02-12,13.735,14.078,13.47,13.5,4917600.0,0
1999-02-16,13.5,13.828,13.39,13.625,4410400.0,0
1999-02-17,13.485,14.0,13.375,13.422,6167200.0,0
1999-02-18,13.485,13.89,13.47,13.845,5176000.0,0
1999-02-19,13.908,14.265,13.89,14.265,6797200.0,0
1999-02-22,14.47,14.672,14.047,14.61,7167200.0,0
1999-02-23,14.72,14.75,14.095,14.14,6717200.0,0
1999-02-24,14.36,14.688,14.22,14.625,8080800.0,0
1999-02-25,14.783,15.0,14.547,14.735,35147200.0,0
1999-02-26,14.797,15.015,14.595,14.828,10984400.0,0
1999-03-01,14.75,14.86,14.688,14.828,5591600.0,0
1999-03-02,14.938,15.22,14.875,14.908,11211600.0,0
1999-03-03,14.938,15.095,14.845,14.938,6803200.0,0
1999-03-04,14.938,15.172,14.672,14.828,5913600.0,0
1999-03-05,15.063,15.5,15.063,15.5,6668800.0,0
1999-03-08,15.485,15.845,15.422,15.688,5458800.0,0
1999-03-09,15.75,16.265,15.72,15.922,7933200.0,0
1999-03-10,16.095,16.22,15.938,16.22,4903200.0,0
1999-03-11,16.22,16.61,16.203,16.282,6257200.0,0
1999-03-12,16.5,16.563,15.813,16.22,7865200.0,0
1999-03-15,16.235,16.235,15.908,16.047,4813200.0,0
1999-03-16,16.032,16.032,15.563,15.658,4990400.0,0
1999-03-17,15.595,15.61,15.158,15.515,6517200.0,0
1999-03-18,15.47,16.282,15.453,16.235,6154800.0,0
1999-03-19,16.235,16.297,15.72,15.938,5714000.0,0
1999-03-22,15.688,15.735,15.265,15.345,3938400.0,0
1999-03-23,15.36,15.453,14.765,14.845,7198800.0,0
1999-03-24,14.875,15.078,14.813,15.0,5692800.0,0
1999-03-25,15.283,15.875,15.158,15.845,6538400.0,0
1999-03-26,15.658,16.095,15.547,15.953,4077600.0,0
1999-03-29,16.125,16.235,15.89,16.172,3930000.0,0
1999-03-30,16.172,16.188,15.908,16.0,2548800.0,0
1999-03-31,16.095,16.172,15.095,15.125,5062000.0,0
1999-04-01,15.375,15.783,15.265,15.328,6912000.0,0
1999-04-05,15.345,15.908,15.313,15.89,3298000.0,0
1999-04-06,15.89,16.0,15.313,15.47,5364000.0,0
1999-04-07,15.563,15.688,15.36,15.408,4735200.0,0
1999-04-08,15.47,16.047,15.345,16.047,7256800.0,0
1999-04-09,16.0,16.235,15.89,16.078,2766400.0,0
1999-04-12,15.86,16.375,15.828,16.078,4952000.0,0
1999-04-13,16.125,16.172,15.783,16.0,4935200.0,0
1999-04-14,15.97,16.172,15.095,15.25,8210800.0,0
1999-04-15,15.25,15.297,14.578,14.64,7840400.0,0
1999-04-16,14.625,14.797,14.438,14.5,6900400.0,0
1999-04-19,14.438,14.75,13.813,13.86,7289200.0,0
1999-04-20,13.89,14.595,13.797,14.047,8325200.0,0
1999-04-21,13.908,14.658,13.908,14.658,7154400.0,0
1999-04-22,14.922,14.97,14.672,14.828,4185200.0,0
1999-04-23,14.86,14.938,14.625,14.89,3946800.0,0
1999-04-26,14.797,14.938,14.297,14.297,3901200.0,0
1999-04-27,14.36,14.547,14.0,14.015,9872800.0,0
1999-04-28,14.033,14.313,13.908,14.0,8146800.0,0
1999-04-29,14.0,14.0,13.0,13.063,13706400.0,0
1999-04-30,13.25,13.422,12.828,13.188,12199200.0,0
1999-05-03,13.188,13.72,13.188,13.422,6236000.0,0
1999-05-04,13.61,13.61,13.25,13.313,4535200.0,0
1999-05-05,13.75,13.75,13.047,13.265,4200400.0,0
1999-05-06,13.25,13.422,13.0,13.188,3307200.0,0
1999-05-07,13.25,13.75,13.25,13.64,4983600.0,0
1999-05-10,13.578,13.625,13.345,13.485,3853200.0,0
1999-05-11,13.938,14.078,13.75,13.908,4979200.0,0
1999-05-12,13.938,14.11,13.72,13.735,3513200.0,0
1999-05-13,14.0,14.063,13.75,13.97,3328000.0,0
1999-05-14,13.797,13.813,13.515,13.783,4726000.0,0
1999-05-17,13.875,13.922,13.047,13.672,6869600.0,0
1999-05-18,13.813,14.22,13.0,13.235,10505600.0,0
1999-05-19,13.61,13.61,12.875,13.063,6001200.0,0
1999-05-20,13.265,13.563,13.158,13.438,6057600.0,0
1999-05-21,13.375,13.797,13.375,13.47,5433200.0,0
1999-05-24,13.408,13.5,12.735,12.985,4704000.0,0
1999-05-25,13.095,13.375,12.89,12.953,5648800.0,0
1999-05-26,12.97,13.235,12.658,13.188,5357600.0,0
1999-05-27,13.25,13.36,12.703,12.765,4494000.0,0
1999-05-28,13.0,13.063,12.75,12.922,5262000.0,0
1999-06-01,12.875,12.922,12.438,12.658,5297600.0,0
1999-06-02,12.72,12.75,12.422,12.64,4925600.0,0
1999-06-03,12.75,13.422,12.75,13.313,5830400.0,0
1999-06-04,13.375,14.172,13.375,14.0,5168400.0,0
1999-06-07,13.72,13.875,13.515,13.625,3764000.0,0
1999-06-08,13.563,13.64,13.345,13.375,2850800.0,0
1999-06-09,13.375,13.422,13.25,13.283,4237200.0,0
