date,open,high,low,close,volume,padding
1999-01-04,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-05,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-06,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-07,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-08,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-11,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-12,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-13,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-14,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-15,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-19,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-20,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-21,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-22,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-25,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-26,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-27,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-28,22.25,22.25,21.7,22.0,5244400.0,1
1999-01-29,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-01,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-02,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-03,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-04,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-05,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-08,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-09,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-10,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-11,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-12,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-16,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-17,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-18,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-19,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-22,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-23,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-24,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-25,22.25,22.25,21.7,22.0,5244400.0,1
1999-02-26,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-01,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-02,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-03,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-04,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-05,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-08,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-09,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-10,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-11,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-12,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-15,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-16,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-17,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-18,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-19,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-22,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-23,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-24,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-25,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-26,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-29,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-30,22.25,22.25,21.7,22.0,5244400.0,1
1999-03-31,22.25,22.25,21.7,22.0,5244400.0,1
