date,open,high,low,close,volume,padding
1999-01-04,22.69,22.88,22.63,22.81,43000.0,0
1999-01-05,22.88,22.94,22.75,22.88,27300.0,0
1999-01-06,22.94,23.13,22.88,22.94,168000.0,0
1999-01-07,23.0,23.0,22.81,23.0,34600.0,0
1999-01-08,23.0,23.19,22.88,22.94,59100.0,0
1999-01-11,23.06,23.25,22.88,23.13,90800.0,0
1999-01-12,23.19,23.25,23.0,23.25,78700.0,0
1999-01-13,23.06,23.94,23.06,23.63,56100.0,0
1999-01-14,23.63,23.81,23.44,23.69,50100.0,0
1999-01-15,23.63,23.63,23.44,23.63,27000.0,0
1999-01-19,23.75,23.88,23.5,23.88,48800.0,0
1999-01-20,23.38,23.38,23.0,23.19,41100.0,0
1999-01-21,23.25,23.25,23.0,23.13,35300.0,0
1999-01-22,23.19,23.31,23.13,23.19,42500.0,0
1999-01-25,23.25,23.56,23.25,23.5,26200.0,0
1999-01-26,23.56,23.63,23.13,23.13,27900.0,0
1999-01-27,23.13,23.56,23.13,23.44,46400.0,0
1999-01-28,23.44,23.5,23.13,23.19,18800.0,0
1999-01-29,23.31,23.31,23.06,23.19,21200.0,0
1999-02-01,23.38,23.38,23.0,23.13,32000.0,0
1999-02-02,23.06,23.25,23.0,23.13,24200.0,0
1999-02-03,23.38,23.63,22.88,23.0,50600.0,0
1999-02-04,23.0,23.0,22.75,22.88,35600.0,0
1999-02-05,22.94,23.0,22.75,22.81,50300.0,0
1999-02-08,23.0,23.0,22.63,22.69,20500.0,0
1999-02-09,22.75,22.75,22.63,22.75,40000.0,0
1999-02-10,22.75,22.81,22.5,22.5,41600.0,0
1999-02-11,22.56,22.75,22.38,22.44,26500.0,0
1999-02-12,22.5,22.5,22.0,22.31,29300.0,0
1999-02-16,22.44,22.44,22.19,22.19,42700.0,0
1999-02-17,22.31,22.38,22.25,22.25,19000.0,0
1999-02-18,22.44,22.5,22.25,22.38,29300.0,0
1999-02-19,22.38,22.38,22.13,22.25,27400.0,0
1999-02-22,22.19,22.88,22.19,22.75,67500.0,0
1999-02-23,22.75,22.75,22.5,22.69,16700.0,0
1999-02-24,22.69,22.69,22.5,22.63,29800.0,0
1999-02-25,22.63,22.63,22.44,22.5,41300.0,0
1999-02-26,22.56,22.56,22.13,22.25,31000.0,0
1999-03-01,22.25,22.75,22.13,22.63,75900.0,0
1999-03-02,22.56,22.81,22.56,22.81,23300.0,0
1999-03-03,23.0,23.0,22.75,22.75,29400.0,0
1999-03-04,23.0,23.0,22.56,22.81,45300.0,0
1999-03-05,23.06,23.19,23.0,23.19,12900.0,0
1999-03-08,23.44,23.63,23.13,23.31,38100.0,0
1999-03-09,23.56,24.13,23.25,23.88,43500.0,0
1999-03-10,23.88,24.0,23.5,23.94,22300.0,0
1999-03-11,24.0,24.0,23.38,23.44,10600.0,0
1999-03-12,23.44,23.44,22.94,23.19,15700.0,0
1999-03-15,23.31,23.5,22.75,22.94,14300.0,0
1999-03-16,22.94,22.94,22.19,22.25,48100.0,0
1999-03-17,22.0,22.5,22.0,22.38,34900.0,0
1999-03-18,22.44,22.44,21.88,21.94,29000.0,0
1999-03-19,21.94,22.38,21.94,22.19,22900.0,0
1999-03-22,22.38,22.38,21.94,22.06,181200.0,0
1999-03-23,22.13,22.13,21.38,21.56,54400.0,0
1999-03-24,21.5,21.5,21.0,21.19,79900.0,0
1999-03-25,21.25,21.25,21.19,21.19,16500.0,0
1999-03-26,21.25,22.19,21.0,21.0,55100.0,0
1999-03-29,21.0,21.06,20.88,21.0,61100.0,0
1999-03-30,21.19,22.19,21.19,21.69,25200.0,0
1999-03-31,21.88,22.31,21.38,21.38,47400.0,0
1999-04-01,21.63,21.88,21.19,21.88,18700.0,0
1999-04-05,22.0,22.25,21.88,21.88,22500.0,0
1999-04-06,22.13,22.38,21.88,21.94,8600.0,0
1999-04-07,21.81,22.19,21.75,22.06,24500.0,0
1999-04-08,22.13,22.19,21.88,22.13,40500.0,0
1999-04-09,22.06,22.5,22.0,22.5,29100.0,0
1999-04-12,22.5,23.5,22.25,23.5,46500.0,0
1999-04-13,23.0,23.88,22.88,23.63,53200.0,0
1999-04-14,23.75,24.13,23.56,23.75,53300.0,0
1999-04-15,23.88,24.13,23.56,24.13,49500.0,0
1999-04-16,24.0,24.75,23.94,24.5,53100.0,0
1999-04-19,24.5,25.0,24.44,24.63,64100.0,0
1999-04-20,24.63,24.81,24.31,24.81,41600.0,0
1999-04-21,24.13,24.13,23.75,23.94,49800.0,0
1999-04-22,24.0,24.5,24.0,24.5,57900.0,0
1999-04-23,24.63,24.75,24.13,24.31,41700.0,0
1999-04-26,24.31,24.44,24.06,24.06,17200.0,0
1999-04-27,24.13,24.44,24.06,24.25,11100.0,0
1999-04-28,24.38,24.5,24.06,24.38,37300.0,0
1999-04-29,24.63,24.63,23.5,23.75,76700.0,0
1999-04-30,23.88,24.13,23.75,23.81,46100.0,0
1999-05-03,24.0,24.25,23.88,23.94,27200.0,0
1999-05-04,23.88,24.13,23.06,23.38,50400.0,0
1999-05-05,23.31,23.31,22.25,22.38,57700.0,0
1999-05-06,22.63,23.13,22.56,23.13,61800.0,0
1999-05-07,23.06,23.94,23.06,23.94,25900.0,0
1999-05-10,24.13,24.13,23.69,23.94,28100.0,0
1999-05-11,23.94,24.13,23.25,23.38,44100.0,0
1999-05-12,23.63,24.0,23.06,23.19,62100.0,0
1999-05-13,23.88,24.0,23.25,23.56,65100.0,0
1999-05-14,23.56,23.88,23.38,23.56,13100.0,0
1999-05-17,23.63,23.88,23.5,23.75,18000.0,0
1999-05-18,23.63,23.88,23.5,23.56,69900.0,0
