date,open,high,low,close,volume,padding
1999-01-04,14.5,14.75,14.5,14.75,949908.0,0
1999-01-05,14.72,15.47,14.655,15.47,1129444.0,0
1999-01-06,15.5,16.25,15.5,16.03,2394704.0,0
1999-01-07,15.625,16.315,15.565,16.28,1762718.0,0
1999-01-08,16.405,17.22,16.315,17.0,1861042.0,0
1999-01-11,17.0,17.44,16.845,17.0,2186976.0,0
1999-01-12,17.0,17.0,16.625,16.72,1072172.0,0
1999-01-13,16.375,16.69,16.25,16.565,1018064.0,0
1999-01-14,16.44,16.44,15.78,15.78,718638.0,0
1999-01-15,16.03,16.375,15.875,16.375,1311354.0,0
1999-01-19,16.25,16.25,15.69,15.97,1304628.0,0
1999-01-20,16.0,16.25,15.875,16.22,1181178.0,0
1999-01-21,16.375,16.44,15.875,15.97,887096.0,0
1999-01-22,15.94,16.25,15.94,16.0,584308.0,0
1999-01-25,15.94,16.19,15.94,16.125,1200368.0,0
1999-01-26,16.095,16.25,15.875,16.22,777396.0,0
1999-01-27,16.095,16.44,16.03,16.345,621600.0,0
1999-01-28,16.28,16.655,16.0,16.565,1602272.0,0
1999-01-29,16.655,17.625,16.625,17.565,2977826.0,0
1999-02-01,17.44,17.47,16.75,17.19,1760442.0,0
1999-02-02,16.97,17.19,16.625,16.875,1109166.0,0
1999-02-03,16.75,17.97,16.75,17.845,1987854.0,0
1999-02-04,17.75,18.375,17.75,18.19,2717868.0,0
1999-02-05,18.25,18.5,17.94,18.28,2325560.0,0
1999-02-08,18.5,18.905,18.28,18.5,2464342.0,0
1999-02-09,18.5,18.5,18.19,18.25,1199776.0,0
1999-02-10,18.25,18.405,18.03,18.25,1051300.0,0
1999-02-11,18.125,18.53,18.065,18.53,774032.0,0
1999-02-12,18.405,18.405,17.75,17.905,679072.0,0
1999-02-16,17.97,18.5,17.97,18.405,1076920.0,0
1999-02-17,18.315,18.69,18.315,18.405,1340140.0,0
1999-02-18,18.5,19.75,18.5,19.565,1949672.0,0
1999-02-19,19.53,19.845,19.405,19.845,2432490.0,0
1999-02-22,19.845,19.97,19.69,19.75,979188.0,0
1999-02-23,19.47,19.47,18.94,19.125,2482048.0,0
1999-02-24,19.065,19.125,18.375,18.5,2152850.0,0
1999-02-25,18.25,18.405,17.905,18.155,1205414.0,0
1999-02-26,18.25,18.28,17.875,18.0,914298.0,0
1999-03-01,17.815,17.875,17.69,17.78,1266742.0,0
1999-03-02,17.845,18.0,17.595,17.625,714188.0,0
1999-03-03,17.5,17.75,17.345,17.75,960394.0,0
1999-03-04,17.69,17.875,17.53,17.69,1275348.0,0
1999-03-05,17.875,18.345,17.78,18.28,792332.0,0
1999-03-08,18.25,18.565,17.845,18.155,652958.0,0
1999-03-09,18.065,18.47,17.94,18.03,847628.0,0
1999-03-10,18.0,18.375,17.97,18.19,541774.0,0
1999-03-11,18.44,19.065,18.375,19.0,957624.0,0
1999-03-12,19.03,19.5,18.97,19.28,795894.0,0
1999-03-15,19.25,19.44,19.0,19.125,1075732.0,0
1999-03-16,19.03,19.5,18.97,19.345,689062.0,0
1999-03-17,19.47,19.5,19.19,19.405,911430.0,0
1999-03-18,19.25,19.315,18.47,18.47,678874.0,0
1999-03-19,18.345,18.78,18.22,18.69,1130928.0,0
1999-03-22,18.5,18.875,18.405,18.69,613786.0,0
1999-03-23,18.565,18.625,17.595,17.655,919936.0,0
1999-03-24,17.655,17.94,17.655,17.815,598948.0,0
1999-03-25,17.815,18.0,17.595,17.595,1114212.0,0
1999-03-26,17.53,17.75,17.44,17.5,1481790.0,0
1999-03-29,17.595,17.69,17.375,17.44,646626.0,0
1999-03-30,17.315,17.405,17.125,17.19,517538.0,0
1999-03-31,17.19,17.375,16.78,16.815,537422.0,0
1999-04-01,16.905,17.28,16.815,17.25,1284746.0,0
1999-04-05,17.28,17.44,16.75,17.125,999466.0,0
1999-04-06,17.0,17.065,16.5,16.875,1967576.0,0
1999-04-07,16.875,17.44,16.875,17.25,851486.0,0
1999-04-08,17.28,17.69,17.28,17.595,966824.0,0
1999-04-09,17.69,18.095,17.565,18.065,926960.0,0
1999-04-12,17.97,18.0,17.5,17.75,1173464.0,0
1999-04-13,17.5,17.53,17.22,17.405,1048926.0,0
1999-04-14,17.375,17.94,17.22,17.5,477082.0,0
1999-04-15,17.875,18.625,17.655,18.565,1660436.0,0
1999-04-16,18.97,19.97,18.625,19.75,3290504.0,0
1999-04-19,19.845,21.0,19.845,20.53,2659508.0,0
1999-04-20,20.19,20.625,19.25,19.5,1316796.0,0
1999-04-21,19.5,20.065,18.875,19.0,2065506.0,0
1999-04-22,19.5,19.94,19.28,19.565,1723052.0,0
1999-04-23,19.75,20.625,19.565,20.47,1108376.0,0
1999-04-26,20.44,21.28,20.25,21.25,1267336.0,0
1999-04-27,21.19,22.25,21.155,21.97,2581856.0,0
1999-04-28,21.845,22.0,21.125,21.155,1623936.0,0
1999-04-29,21.22,21.375,21.065,21.065,1482978.0,0
1999-04-30,21.095,21.315,20.75,20.94,600332.0,0
1999-05-03,21.03,22.0,20.94,21.94,1064752.0,0
1999-05-04,21.94,21.97,21.125,21.155,703802.0,0
1999-05-05,21.25,21.5,20.94,21.155,505174.0,0
1999-05-06,20.94,21.375,20.78,21.375,506460.0,0
1999-05-07,21.5,21.625,21.125,21.19,786002.0,0
1999-05-10,21.155,21.19,20.78,21.095,579264.0,0
1999-05-11,21.03,21.375,20.905,20.97,881260.0,0
1999-05-12,20.94,21.595,20.565,21.565,923102.0,0
1999-05-13,21.565,21.75,21.5,21.5,457694.0,0
1999-05-14,21.25,21.25,20.625,20.75,603696.0,0
1999-05-17,20.75,20.875,20.125,20.72,686688.0,0
1999-05-18,20.69,20.69,20.25,20.28,650188.0,0
1999-05-19,20.47,20.72,20.345,20.655,441174.0,0
1999-05-20,20.94,21.75,20.905,21.345,787486.0,0
1999-05-21,21.22,21.22,20.19,20.25,1053872.0,0
1999-05-24,20.345,20.405,19.72,19.75,727640.0,0
1999-05-25,19.75,19.75,18.845,18.94,1821376.0,0
1999-05-26,19.0,19.0,18.125,18.28,2523100.0,0
1999-05-27,18.28,18.69,18.155,18.53,1600590.0,0
1999-05-28,18.595,19.155,18.595,19.03,608246.0,0
1999-06-01,19.0,19.0,18.28,18.315,803214.0,0
1999-06-02,18.28,18.625,18.25,18.595,875918.0,0
1999-06-03,18.565,18.565,18.125,18.53,1202050.0,0
1999-06-04,18.655,19.125,18.655,19.095,540586.0,0
1999-06-07,19.155,19.155,18.595,18.69,372920.0,0
1999-06-08,18.5,18.655,18.44,18.5,653550.0,0
1999-06-09,18.47,18.69,18.28,18.315,707758.0,0
1999-06-10,18.155,18.25,17.94,18.095,784320.0,0
1999-06-11,18.065,19.155,18.065,18.905,782440.0,0
1999-06-14,19.0,19.5,18.875,19.28,678280.0,0
1999-06-15,19.19,19.655,19.19,19.375,432172.0,0
1999-06-16,19.405,19.75,19.155,19.69,714584.0,0
1999-06-17,19.815,19.815,18.75,19.375,845254.0,0
1999-06-18,19.5,19.625,19.22,19.22,1063566.0,0
1999-06-21,19.22,19.25,18.44,18.75,645836.0,0
1999-06-22,18.875,18.875,18.595,18.75,574714.0,0
1999-06-23,18.69,18.78,18.405,18.625,1289592.0,0
1999-06-24,18.565,18.565,17.94,18.0,1654896.0,0
1999-06-25,18.0,18.0,17.53,17.655,1236770.0,0
1999-06-28,17.75,17.94,17.69,17.78,635844.0,0
1999-06-29,17.72,18.22,17.595,18.22,837736.0,0
1999-06-30,18.0,18.69,17.69,18.69,1199776.0,0
1999-07-01,18.565,18.565,18.095,18.125,687182.0,0
1999-07-02,18.125,18.125,17.69,18.0,1077216.0,0
1999-07-06,17.94,18.53,17.94,18.375,680160.0,0
1999-07-07,18.405,18.44,17.28,17.655,1844424.0,0
1999-07-08,17.655,17.655,16.905,17.25,1323422.0,0
1999-07-09,18.44,18.94,18.095,18.845,2223082.0,0
