date,open,high,low,close,volume,padding
1999-01-04,10.889,11.15,10.889,11.15,1603800.0,0
1999-01-05,11.076,11.538,11.019,11.464,2258698.5,0
1999-01-06,11.647,12.519,11.63,12.113,4127500.125,0
1999-01-07,11.852,12.296,11.63,11.63,1996599.375,0
1999-01-08,11.76,12.187,11.742,12.074000000000002,2821500.0,0
1999-01-11,12.13,12.557,12.039,12.074000000000002,1299300.75,0
1999-01-12,12.074000000000002,12.148,11.612,11.778,812801.25,0
1999-01-13,11.407,12.074000000000002,11.185,11.852,3241498.5,0
1999-01-14,11.982,12.296,11.686,11.778,2058898.5,0
1999-01-15,10.074,10.630999999999998,9.63,10.409,13272700.5,0
1999-01-19,10.409,10.409,9.852,9.89,4017600.0,0
1999-01-20,9.89,10.388,9.668,9.704,3141399.375,0
1999-01-21,9.686,9.704,9.043,9.241,4214801.25,0
1999-01-22,9.111,9.111,8.853,8.945,4676501.25,0
1999-01-25,8.945,9.15,8.853,9.111,1370199.375,0
1999-01-26,9.372,9.704,9.185,9.481,2838999.375,0
1999-01-27,9.594,9.668,9.055,9.055,3259001.25,0
1999-01-28,9.037,9.093,8.815,9.055,1555200.0,0
1999-01-29,9.167,9.167,8.482999999999999,8.557,3371098.5,0
1999-02-01,8.61,9.224,8.593,9.167,5277298.5,0
1999-02-02,9.52,10.279000000000002,9.499,10.166,5306799.375,0
1999-02-03,10.074,10.187,9.816,10.018,1718698.5,0
1999-02-04,10.039,10.074,9.259,9.259,1761699.375,0
1999-02-05,9.464,9.481,8.871,9.333,2443500.0,0
1999-02-08,9.704,9.778,9.093,9.15,2110900.5,0
1999-02-09,9.185,9.224,8.593,8.61,3933900.0,0
1999-02-10,8.631,9.001,8.593,8.889,1780201.125,0
1999-02-11,9.001,9.129,8.853,9.037,2190601.125,0
1999-02-12,8.705,8.833,8.443999999999999,8.557,1640199.375,0
1999-02-16,8.889,8.927,7.926,8.039,2181701.25,0
1999-02-17,7.704,8.501,7.5379999999999985,8.148,2694701.25,0
1999-02-18,8.222000000000001,8.927,8.074,8.443999999999999,3552700.5,0
1999-02-19,8.667,8.779,8.408999999999999,8.482999999999999,1233400.5,0
1999-02-22,8.593,9.298,8.519,9.076,1995900.75,0
1999-02-23,9.076,9.15,8.705,8.833,1151499.375,0
1999-02-24,8.833,9.076,8.741,8.741,1110300.75,0
1999-02-25,8.722999999999999,8.722999999999999,8.092,8.296,1437000.75,0
1999-02-26,8.296,8.296,7.926,8.074,1209100.5,0
1999-03-01,8.074,8.667,8.0,8.519,1573600.5,0
1999-03-02,8.501,8.631,8.017999999999999,8.056000000000001,1044900.0,0
1999-03-03,8.222000000000001,8.296,8.0,8.056000000000001,871600.5,0
1999-03-04,8.166,8.482999999999999,8.074,8.427,1319500.125,0
1999-03-05,9.446,9.556,8.981,9.481,3539801.25,0
1999-03-08,9.742,10.074,9.668,10.0,3596400.0,0
1999-03-09,10.13,10.889,10.0,10.148,5347900.125,0
1999-03-10,10.335,10.444,10.092,10.37,2402500.5,0
1999-03-11,10.519,10.593,9.446,9.594,3746800.125,0
1999-03-12,9.594,9.816,9.481,9.556,2750800.5,0
1999-03-15,9.52,9.63,9.481,9.556,3538498.5,0
1999-03-16,9.499,10.0,9.351,9.964,2442700.125,0
1999-03-17,10.222,10.649,10.113,10.61,3558600.0,0
1999-03-18,10.37,10.444,9.796,10.204,2112699.375,0
1999-03-19,10.204,10.24,9.89,9.908,2557500.75,0
1999-03-22,9.964,10.039,9.612,9.686,1784200.5,0
1999-03-23,9.668,9.704,9.372,9.52,1182701.25,0
1999-03-24,9.481,9.944,9.481,9.852,1008001.125,0
1999-03-25,10.148,10.483,10.039,10.37,2250598.5,0
1999-03-26,10.37,10.779000000000002,10.296,10.462,1525601.25,0
1999-03-29,10.409,10.797,10.409,10.630999999999998,1359001.125,0
1999-03-30,10.630999999999998,10.667,10.296,10.37,1355400.0,0
1999-03-31,10.444,10.483,10.148,10.261,1438300.125,0
1999-04-01,10.296,10.684,10.279000000000002,10.667,1560100.5,0
1999-04-05,10.741,11.185,10.593,10.723,3499301.25,0
1999-04-06,10.705,10.927,10.519,10.741,2213200.125,0
1999-04-07,10.779000000000002,10.833,10.37,10.741,1544501.25,0
1999-04-08,10.741,10.741,10.296,10.557,1101701.25,0
1999-04-09,10.593,10.853,10.409,10.684,1358700.75,0
1999-04-12,10.314,10.557,10.074,10.353,1796401.125,0
1999-04-13,10.462,10.483,10.13,10.24,1012601.25,0
1999-04-14,10.296,10.444,10.0,10.039,1543198.5,0
1999-04-15,10.092,10.409,10.074,10.314,1327600.125,0
1999-04-16,10.37,10.444,10.148,10.261,1293401.25,0
1999-04-19,10.279000000000002,10.741,10.187,10.279000000000002,1474301.25,0
1999-04-20,10.409,10.409,9.778,10.074,1821700.125,0
1999-04-21,10.074,10.927,9.89,10.667,3095101.125,0
1999-04-22,10.741,11.203,10.667,11.111,1482300.0,0
1999-04-23,11.333,11.538,11.111,11.241,8783700.75,0
1999-04-26,11.425,11.52,11.001,11.055,3621601.125,0
1999-04-27,11.185,11.185,10.37,10.37,3017800.125,0
1999-04-28,10.335,10.557,9.852,9.982,2700000.0,0
1999-04-29,10.056,10.593,9.926,10.557,3191400.0,0
1999-04-30,10.705,10.907,10.113,10.37,1904998.5,0
1999-05-03,10.519,10.519,10.296,10.409,615600.0,0
1999-05-04,10.37,11.668,10.37,11.333,6529899.375,0
1999-05-05,11.407,12.444,11.111,12.444,5401299.375,0
1999-05-06,12.335,12.557,11.925999999999998,12.335,4110898.5,0
1999-05-07,12.335,13.129,12.296,13.129,3600001.125,0
1999-05-10,13.093,13.093,11.89,12.444,8190001.125,0
1999-05-11,12.501,12.853,12.501,12.741,7746300.0,0
1999-05-12,12.741,13.372,11.333,12.557,11432701.125,0
1999-05-13,12.667,13.298,12.61,12.797,3471400.125,0
1999-05-14,12.630999999999998,13.076,12.593,12.889,3477600.0,0
