date,open,high,low,close,volume,padding
1999-01-04,41.88,42.0,40.63,40.88,204100.0,0
1999-01-05,40.81,40.88,40.25,40.31,46300.0,0
1999-01-06,40.31,41.5,40.31,40.63,61300.0,0
1999-01-07,40.44,40.56,39.5,39.5,63600.0,0
1999-01-08,39.56,39.94,38.88,39.38,62100.0,0
1999-01-11,39.44,39.44,38.38,38.38,42500.0,0
1999-01-12,38.25,38.88,38.13,38.69,73600.0,0
1999-01-13,38.75,38.75,37.5,37.94,98000.0,0
1999-01-14,37.94,38.0,37.88,37.94,43300.0,0
1999-01-15,38.06,38.13,37.5,37.75,33700.0,0
1999-01-19,38.0,39.0,37.94,38.94,88800.0,0
1999-01-20,39.38,39.5,38.31,38.81,45200.0,0
1999-01-21,38.56,38.56,38.06,38.19,35100.0,0
1999-01-22,38.19,38.19,36.44,37.25,75200.0,0
1999-01-25,37.44,37.56,37.0,37.19,39600.0,0
1999-01-26,36.88,37.94,36.81,37.94,35500.0,0
1999-01-27,38.13,38.13,37.25,37.25,63400.0,0
1999-01-28,37.31,39.38,37.25,39.38,87300.0,0
1999-01-29,39.56,39.56,38.25,38.5,106200.0,0
1999-02-01,38.5,38.88,38.5,38.56,36100.0,0
1999-02-02,38.38,38.63,38.19,38.5,201400.0,0
1999-02-03,38.5,38.56,38.0,38.0,146500.0,0
1999-02-04,38.06,38.19,37.19,37.25,98600.0,0
1999-02-05,37.63,38.56,36.63,36.63,202000.0,0
1999-02-08,36.63,36.69,36.38,36.5,287700.0,0
1999-02-09,36.63,36.69,36.38,36.44,118400.0,0
1999-02-10,36.44,36.44,36.06,36.06,41700.0,0
1999-02-11,36.06,36.19,35.44,35.56,168100.0,0
1999-02-12,35.5,35.69,35.31,35.63,51600.0,0
1999-02-16,35.5,35.5,34.38,34.38,138000.0,0
1999-02-17,34.63,34.94,34.25,34.63,84700.0,0
1999-02-18,34.63,36.0,34.56,36.0,110800.0,0
1999-02-19,35.88,36.38,35.0,35.13,64300.0,0
1999-02-22,35.25,35.25,33.88,34.38,122900.0,0
1999-02-23,34.5,35.0,34.44,34.88,62100.0,0
1999-02-24,34.94,34.94,33.56,33.56,128100.0,0
1999-02-25,33.31,33.31,31.0,32.88,181000.0,0
1999-02-26,32.88,33.13,32.25,32.5,192300.0,0
1999-03-01,32.75,32.75,31.19,32.31,240300.0,0
1999-03-02,32.19,32.44,31.0,31.0,147300.0,0
1999-03-03,31.06,31.06,29.5,30.38,136900.0,0
1999-03-04,30.31,30.63,29.5,30.5,263500.0,0
1999-03-05,30.75,32.44,30.75,31.56,245900.0,0
1999-03-08,31.81,33.31,31.5,31.5,158100.0,0
1999-03-09,31.5,31.63,30.5,30.75,177200.0,0
1999-03-10,31.25,32.19,31.0,31.06,95000.0,0
1999-03-11,31.06,32.31,31.0,31.0,135500.0,0
1999-03-12,31.25,31.38,30.38,30.5,86500.0,0
1999-03-15,30.5,30.81,30.0,30.44,110500.0,0
1999-03-16,30.19,30.56,29.69,29.69,127600.0,0
1999-03-17,29.69,30.5,28.5,28.69,192200.0,0
1999-03-18,28.75,28.75,28.25,28.44,270600.0,0
1999-03-19,28.0,28.56,28.0,28.31,190700.0,0
1999-03-22,28.44,29.38,27.75,28.19,286500.0,0
1999-03-23,28.06,28.31,27.38,27.38,87200.0,0
1999-03-24,27.13,27.19,26.69,26.69,54800.0,0
1999-03-25,26.75,27.5,26.75,27.0,77200.0,0
1999-03-26,27.06,27.06,25.94,26.0,156800.0,0
1999-03-29,27.5,28.25,27.38,27.38,642200.0,0
1999-03-30,27.5,28.63,27.38,28.63,249000.0,0
1999-03-31,28.56,30.0,28.56,30.0,244900.0,0
1999-04-01,30.0,30.56,28.0,28.5,1400400.0,0
1999-04-05,28.63,29.0,28.63,29.0,111400.0,0
1999-04-06,29.25,30.0,29.19,29.69,183800.0,0
1999-04-07,30.06,30.25,29.75,29.81,209000.0,0
1999-04-08,30.06,31.75,30.06,30.81,192500.0,0
1999-04-09,31.06,31.31,30.69,30.69,114700.0,0
1999-04-12,30.44,31.13,30.25,30.44,100500.0,0
1999-04-13,30.44,30.56,30.0,30.31,137900.0,0
1999-04-14,30.31,30.75,30.09,30.63,385800.0,0
1999-04-15,30.75,30.94,30.44,30.44,127100.0,0
1999-04-16,30.56,31.19,30.25,31.19,84400.0,0
1999-04-19,31.44,33.5,31.44,32.63,213300.0,0
1999-04-20,32.63,32.75,31.88,32.13,154400.0,0
1999-04-21,31.88,32.19,31.5,32.06,123100.0,0
1999-04-22,32.06,32.06,30.13,31.13,151500.0,0
1999-04-23,31.5,32.13,31.13,31.38,127300.0,0
1999-04-26,31.44,32.06,31.44,31.69,89400.0,0
1999-04-27,31.69,32.25,31.69,32.25,255200.0,0
1999-04-28,32.25,32.5,32.06,32.5,201500.0,0
1999-04-29,32.38,33.19,31.63,33.19,178500.0,0
1999-04-30,33.25,33.31,32.25,32.25,401200.0,0
1999-05-03,32.25,33.44,31.75,33.44,195800.0,0
1999-05-04,33.63,35.19,33.44,34.69,188100.0,0
1999-05-05,34.88,36.0,34.75,35.88,261600.0,0
1999-05-06,35.88,36.94,35.75,36.75,198400.0,0
1999-05-07,36.75,38.25,36.75,37.69,244400.0,0
1999-05-10,37.75,38.56,37.13,38.25,454700.0,0
1999-05-11,38.13,38.19,36.38,36.75,204700.0,0
1999-05-12,36.88,37.25,36.25,36.38,106500.0,0
1999-05-13,36.5,36.56,35.25,35.44,128200.0,0
1999-05-14,35.44,35.44,34.25,34.31,91000.0,0
1999-05-17,34.31,34.31,31.5,32.94,174100.0,0
1999-05-18,33.0,33.0,31.5,31.63,228000.0,0
1999-05-19,31.69,31.91,29.75,30.0,239300.0,0
1999-05-20,30.81,31.19,30.19,31.06,168300.0,0
1999-05-21,31.13,31.25,30.88,31.0,97700.0,0
1999-05-24,31.19,31.88,30.88,31.25,134000.0,0
1999-05-25,31.0,31.88,31.0,31.69,69200.0,0
1999-05-26,31.75,31.88,30.38,31.13,108300.0,0
1999-05-27,31.19,31.31,30.0,30.19,67900.0,0
1999-05-28,30.19,30.19,29.13,29.13,124400.0,0
1999-06-01,29.25,29.38,28.19,28.88,201900.0,0
1999-06-02,28.94,29.88,28.25,29.38,277500.0,0
1999-06-03,29.25,31.06,29.25,30.69,106500.0,0
1999-06-04,30.44,32.0,30.44,32.0,126000.0,0
1999-06-07,31.75,32.44,31.19,31.75,147100.0,0
1999-06-08,31.75,32.31,30.75,30.75,113800.0,0
1999-06-09,30.88,31.38,30.75,31.31,131700.0,0
1999-06-10,31.19,31.38,30.38,31.06,83600.0,0
1999-06-11,30.88,31.25,30.75,30.94,137500.0,0
1999-06-14,31.0,31.44,30.88,31.31,108300.0,0
1999-06-15,31.31,31.81,29.5,30.44,130400.0,0
1999-06-16,30.5,31.0,30.25,30.75,170100.0,0
1999-06-17,30.75,32.25,30.75,32.0,103400.0,0
1999-06-18,31.5,31.75,31.44,31.75,66400.0,0
1999-06-21,31.5,31.88,31.0,31.88,150000.0,0
1999-06-22,31.88,32.13,31.63,31.75,88200.0,0
1999-06-23,31.63,31.63,30.31,31.0,94800.0,0
1999-06-24,31.0,31.0,29.5,30.25,308400.0,0
1999-06-25,30.38,30.81,30.25,30.44,43200.0,0
1999-06-28,30.38,30.81,30.25,30.63,123300.0,0
1999-06-29,30.81,30.81,29.56,30.56,134400.0,0
1999-06-30,30.5,31.06,29.69,30.38,316100.0,0
1999-07-01,30.44,30.81,30.38,30.5,122600.0,0
1999-07-02,30.44,30.5,30.13,30.25,75700.0,0
1999-07-06,30.13,30.44,29.81,30.19,59400.0,0
1999-07-07,30.31,30.38,29.69,29.75,45600.0,0
1999-07-08,29.75,29.75,29.19,29.25,54100.0,0
1999-07-09,29.25,29.5,28.81,29.38,102000.0,0
1999-07-12,29.63,29.69,28.94,29.19,79100.0,0
1999-07-13,29.19,29.19,28.31,28.5,96400.0,0
1999-07-14,28.56,28.56,27.81,27.88,122900.0,0
1999-07-15,27.88,27.88,27.06,27.06,175300.0,0
1999-07-16,27.06,27.13,26.38,26.44,293600.0,0
1999-07-19,26.5,26.5,25.13,26.0,476200.0,0
1999-07-20,26.25,27.25,26.19,26.75,153100.0,0
1999-07-21,27.0,27.0,26.0,26.63,145300.0,0
1999-07-22,27.13,29.0,27.13,29.0,373100.0,0
1999-07-23,28.63,28.75,27.63,28.0,233400.0,0
1999-07-26,27.88,28.75,27.25,28.75,217600.0,0
1999-07-27,28.63,28.63,28.19,28.44,111200.0,0
1999-07-28,28.38,28.38,27.56,28.13,107700.0,0
1999-07-29,28.0,28.0,27.44,27.75,106500.0,0
1999-07-30,27.88,27.94,27.81,27.94,69300.0,0
1999-08-02,27.94,27.94,27.38,27.5,154400.0,0
1999-08-03,27.5,27.75,26.63,26.75,221300.0,0
1999-08-04,26.5,26.5,25.69,25.69,110700.0,0
1999-08-05,25.94,26.0,24.06,24.63,200500.0,0
1999-08-06,24.69,25.63,23.5,23.94,262000.0,0
1999-08-09,24.5,24.63,23.75,23.94,186200.0,0
1999-08-10,24.13,24.38,23.56,24.0,183700.0,0
1999-08-11,24.13,24.13,23.81,24.0,141200.0,0
1999-08-12,24.0,24.31,23.88,23.94,355000.0,0
1999-08-13,24.0,24.06,23.5,23.5,122900.0,0
1999-08-16,23.56,23.75,21.88,23.44,261400.0,0
1999-08-17,23.94,23.94,22.94,23.06,348000.0,0
1999-08-18,23.25,24.06,23.0,23.88,930700.0,0
1999-08-19,23.69,23.94,23.31,23.75,108400.0,0
1999-08-20,23.75,24.06,23.31,23.69,254400.0,0
1999-08-23,23.63,24.69,23.63,24.38,329000.0,0
1999-08-24,24.25,24.31,23.06,23.06,246000.0,0
1999-08-25,23.31,24.13,23.19,23.75,184600.0,0
1999-08-26,23.88,23.88,22.5,22.63,374800.0,0
1999-08-27,22.63,23.31,22.63,22.75,268700.0,0
1999-08-30,22.88,23.0,22.5,22.5,114200.0,0
1999-08-31,22.5,22.75,22.5,22.63,181200.0,0
1999-09-01,22.63,23.19,22.63,22.94,160000.0,0
1999-09-02,22.81,22.81,22.38,22.44,184300.0,0
1999-09-03,22.63,23.0,22.63,22.81,105100.0,0
1999-09-07,22.63,23.5,22.63,23.0,257500.0,0
1999-09-08,22.69,22.69,21.75,22.13,213600.0,0
1999-09-09,22.0,22.13,19.88,21.25,371000.0,0
1999-09-10,21.5,22.06,21.38,22.06,247500.0,0
1999-09-13,22.0,22.25,21.88,22.13,136500.0,0
1999-09-14,21.94,22.0,21.13,21.25,179300.0,0
1999-09-15,21.44,21.69,20.94,20.94,114700.0,0
1999-09-16,21.0,21.13,20.63,20.94,248400.0,0
1999-09-17,21.0,21.38,20.81,21.06,242400.0,0
1999-09-20,21.25,21.25,20.75,20.75,153300.0,0
1999-09-21,20.88,20.88,20.38,20.5,107900.0,0
1999-09-22,20.56,20.69,20.38,20.44,208700.0,0
1999-09-23,20.5,20.63,20.0,20.0,104800.0,0
1999-09-24,20.0,20.38,20.0,20.13,78400.0,0
1999-09-27,20.0,20.19,19.69,19.69,222200.0,0
1999-09-28,19.63,19.81,18.38,19.38,186500.0,0
1999-09-29,19.44,19.69,19.13,19.69,221400.0,0
1999-09-30,19.75,20.0,19.69,19.94,525900.0,0
1999-10-01,19.88,19.94,19.69,19.88,698900.0,0
1999-10-04,19.88,20.19,19.75,19.81,757700.0,0
1999-10-05,19.88,20.06,19.69,19.75,702400.0,0
1999-10-06,19.75,20.0,19.75,19.94,125800.0,0
1999-10-07,19.94,20.25,19.94,20.19,222500.0,0
1999-10-08,20.19,21.25,20.13,21.0,510900.0,0
1999-10-11,21.0,21.19,20.81,21.19,630800.0,0
1999-10-12,21.0,21.31,21.0,21.19,621800.0,0
1999-10-13,21.19,21.44,21.13,21.19,174200.0,0
1999-10-14,21.13,23.25,21.06,22.75,572300.0,0
1999-10-15,22.56,22.56,21.75,22.19,337900.0,0
1999-10-18,22.0,23.69,22.0,23.31,671500.0,0
1999-10-19,23.5,23.69,23.31,23.38,170100.0,0
1999-10-20,23.31,23.31,22.31,22.5,95300.0,0
1999-10-21,22.5,22.5,21.88,22.0,288300.0,0
1999-10-22,22.25,23.75,22.25,22.56,236200.0,0
1999-10-25,22.69,22.88,22.0,22.06,117200.0,0
1999-10-26,22.25,22.5,22.13,22.38,266600.0,0
1999-10-27,22.44,22.69,22.38,22.63,141700.0,0
1999-10-28,22.75,23.19,22.69,23.13,119400.0,0
1999-10-29,23.25,23.25,22.81,22.94,114800.0,0
1999-11-01,23.38,23.38,22.81,23.0,97500.0,0
1999-11-02,23.0,23.56,23.0,23.31,83900.0,0
1999-11-03,23.5,23.94,23.38,23.94,80900.0,0
1999-11-04,24.06,24.19,23.81,24.0,101200.0,0
