date,open,high,low,close,volume,padding
1999-01-04,21.69,22.25,21.5,21.69,430000.0,0
1999-01-05,21.69,21.88,20.69,21.0,1144000.0,0
1999-01-06,21.19,21.38,21.06,21.38,515800.0,0
1999-01-07,20.75,21.19,20.75,20.88,591900.0,0
1999-01-08,20.94,20.94,20.0,20.62,689200.0,0
1999-01-11,21.06,22.31,21.06,22.25,431300.0,0
1999-01-12,21.5,21.94,21.5,21.81,236100.0,0
1999-01-13,21.56,22.0,20.62,21.62,187800.0,0
1999-01-14,21.88,21.88,20.88,21.19,306000.0,0
1999-01-15,21.12,21.19,20.56,20.94,366300.0,0
1999-01-19,20.94,21.0,20.44,20.88,273600.0,0
1999-01-20,20.88,20.88,19.88,20.0,554100.0,0
1999-01-21,20.12,20.12,19.75,19.88,487500.0,0
1999-01-22,19.94,20.12,19.62,19.81,456000.0,0
1999-01-25,19.88,20.06,19.12,19.25,445300.0,0
1999-01-26,19.25,19.38,18.56,18.62,490400.0,0
1999-01-27,18.88,19.12,18.75,19.06,996500.0,0
1999-01-28,19.31,20.06,18.62,18.81,1034000.0,0
1999-01-29,19.25,19.56,18.0,18.19,3363900.0,0
1999-02-01,18.38,19.5,18.38,19.0,6349400.0,0
1999-02-02,19.19,19.38,18.81,19.19,1505300.0,0
1999-02-03,19.31,19.88,19.12,19.88,1022500.0,0
1999-02-04,20.12,20.38,19.62,20.25,1412200.0,0
1999-02-05,20.25,21.31,20.25,20.81,1258900.0,0
1999-02-08,20.94,21.56,20.88,21.0,1082700.0,0
1999-02-09,21.0,21.62,21.0,21.44,427500.0,0
1999-02-10,21.12,21.19,20.56,20.62,359000.0,0
1999-02-11,20.75,21.0,20.38,20.69,770000.0,0
1999-02-12,20.44,20.56,19.69,20.0,445800.0,0
1999-02-16,20.0,20.0,19.12,19.5,320600.0,0
1999-02-17,19.5,19.94,19.5,19.69,329800.0,0
1999-02-18,19.75,19.75,19.19,19.38,221400.0,0
1999-02-19,19.38,19.38,18.88,19.25,462800.0,0
1999-02-22,19.25,19.38,18.88,19.19,470100.0,0
1999-02-23,19.38,20.0,19.38,19.88,710900.0,0
1999-02-24,19.38,19.62,19.25,19.38,329200.0,0
1999-02-25,19.69,19.81,18.81,19.25,169400.0,0
1999-02-26,19.38,20.0,19.06,19.94,247300.0,0
1999-03-01,19.81,20.19,19.25,19.94,465100.0,0
1999-03-02,19.38,19.44,18.31,18.69,789000.0,0
1999-03-03,19.38,19.38,18.75,19.31,652200.0,0
1999-03-04,19.31,19.31,18.88,19.0,399900.0,0
1999-03-05,19.0,19.12,18.69,19.0,450600.0,0
1999-03-08,19.12,19.69,19.12,19.69,410100.0,0
1999-03-09,19.44,19.88,19.38,19.62,208900.0,0
1999-03-10,19.62,20.88,19.62,20.44,490300.0,0
1999-03-11,20.31,20.31,19.62,19.75,195400.0,0
1999-03-12,20.0,20.0,19.62,19.75,191100.0,0
1999-03-15,19.69,20.0,19.25,19.38,263800.0,0
1999-03-16,19.69,20.69,19.69,20.69,473300.0,0
1999-03-17,20.69,21.56,20.69,21.25,903700.0,0
1999-03-18,20.75,21.0,20.69,21.0,737900.0,0
1999-03-19,20.25,20.94,20.25,20.62,378600.0,0
1999-03-22,20.5,20.94,20.5,20.94,330500.0,0
1999-03-23,20.69,20.94,20.5,20.62,286700.0,0
1999-03-24,20.31,20.94,20.31,20.88,262200.0,0
1999-03-25,20.81,20.81,20.12,20.62,275700.0,0
1999-03-26,20.12,20.75,20.12,20.38,183500.0,0
1999-03-29,20.56,20.62,20.25,20.44,187600.0,0
1999-03-30,20.44,20.44,19.88,19.88,162200.0,0
1999-03-31,20.0,20.5,20.0,20.44,348100.0,0
1999-04-01,20.25,20.25,19.94,20.06,265900.0,0
1999-04-05,20.0,20.0,18.75,19.0,654500.0,0
1999-04-06,19.25,19.25,18.81,19.0,688700.0,0
1999-04-07,18.75,18.75,17.94,18.19,356400.0,0
1999-04-08,18.44,19.69,18.25,19.0,949400.0,0
1999-04-09,18.94,20.0,18.81,19.62,501400.0,0
1999-04-12,19.38,19.88,19.25,19.5,282300.0,0
1999-04-13,19.56,19.81,19.25,19.25,315300.0,0
1999-04-14,19.31,21.0,19.12,20.38,852000.0,0
1999-04-15,20.62,21.12,20.44,20.94,1190700.0,0
1999-04-16,20.81,22.5,20.75,22.06,1253400.0,0
