date,open,high,low,close,volume,padding
1999-01-04,74.3,76.35,74.3,74.9,6439600.0,0
1999-01-05,74.9,75.65,74.9,75.4,4386000.0,0
1999-01-06,75.8,76.85,75.55,76.85,4801400.0,0
1999-01-07,76.05,76.85,75.75,76.15,4207600.0,0
1999-01-08,76.2,77.0,74.55,76.9,6170800.0,0
1999-01-11,76.4,76.4,74.5,75.35,6956600.0,0
1999-01-12,74.5,75.3,73.65,73.95,5675600.0,0
1999-01-13,73.0,73.9,72.7,73.7,7153000.0,0
1999-01-14,73.2,73.85,72.25,72.4,5193200.0,0
1999-01-15,73.0,73.95,72.8,73.55,5033200.0,0
1999-01-19,74.3,74.3,72.75,73.9,4548800.0,0
1999-01-20,73.8,74.95,72.75,74.45,5478800.0,0
1999-01-21,74.55,76.1,72.95,73.15,6323600.0,0
1999-01-22,73.0,74.0,69.5,69.5,5149200.0,0
1999-01-25,68.5,69.0,67.45,68.75,13487000.0,0
1999-01-26,68.15,72.0,68.1,72.0,11413200.0,0
1999-01-27,72.5,73.15,71.9,71.9,7759400.0,0
1999-01-28,72.0,72.2,70.65,71.2,5983400.0,0
1999-01-29,71.7,73.7,69.75,73.4,6256800.0,0
1999-02-01,73.25,73.95,72.7,73.45,4479800.0,0
1999-02-02,74.4,75.15,74.15,75.15,6391000.0,0
1999-02-03,75.15,75.55,74.0,74.95,5448400.0,0
1999-02-04,75.4,75.95,74.5,75.15,4508200.0,0
1999-02-05,75.3,75.3,73.7,74.7,4364200.0,0
1999-02-08,74.7,75.15,74.0,74.95,3907600.0,0
1999-02-09,74.3,74.45,72.55,72.7,4005200.0,0
1999-02-10,72.65,73.8,72.2,73.15,4759800.0,0
1999-02-11,73.05,75.75,72.9,75.4,4587200.0,0
1999-02-12,75.4,76.3,74.6,75.25,5344800.0,0
1999-02-16,76.45,77.45,76.15,77.0,5717200.0,0
1999-02-17,77.0,77.19,75.44,76.19,2459800.0,0
1999-02-18,76.75,78.75,76.0,77.88,6055200.0,0
1999-02-19,77.81,79.5,77.13,79.0,4479300.0,0
1999-02-22,79.5,81.75,78.88,81.75,6863900.0,0
1999-02-23,81.75,82.0,80.31,81.06,4791900.0,0
