date,open,high,low,close,volume,padding
1999-01-04,15.06,15.06,14.625,14.685,4767100.0,0
1999-01-05,14.625,14.685,14.375,14.435,2071000.0,0
1999-01-06,14.0,14.97,13.97,14.905,3596600.0,0
1999-01-07,14.75,15.06,14.25,15.0,3138600.0,0
1999-01-08,15.25,15.435,15.185,15.435,5416900.0,0
1999-01-11,15.435,15.685,15.28,15.405,3428300.0,0
1999-01-12,15.435,15.47,14.875,14.875,2737600.0,0
1999-01-13,14.625,14.78,14.125,14.125,3742100.0,0
1999-01-14,14.375,14.5,13.935,13.935,3074600.0,0
1999-01-15,14.125,14.56,14.095,14.53,2951800.0,0
1999-01-19,14.625,14.625,14.03,14.22,2769800.0,0
1999-01-20,14.155,15.0,13.905,14.405,4474000.0,0
1999-01-21,14.435,14.685,14.03,14.095,2404600.0,0
1999-01-22,14.155,14.31,13.5,13.72,2697000.0,0
1999-01-25,13.685,13.685,12.5,13.0,12381200.0,0
1999-01-26,13.0,13.0,12.5,12.685,7555700.0,0
1999-01-27,12.685,12.75,12.155,12.28,6113600.0,0
1999-01-28,12.31,12.405,11.875,11.875,2912300.0,0
1999-01-29,11.905,11.905,10.905,11.375,10829800.0,0
1999-02-01,11.5,11.75,11.405,11.5,9724300.0,0
1999-02-02,11.5,11.655,11.405,11.53,7807500.0,0
1999-02-03,11.435,11.78,11.435,11.685,8610800.0,0
1999-02-04,11.625,11.78,11.375,11.5,5558700.0,0
1999-02-05,11.75,12.125,11.5,11.97,9865200.0,0
1999-02-08,12.185,12.375,12.06,12.31,3322700.0,0
1999-02-09,12.28,12.31,11.78,11.78,3528200.0,0
1999-02-10,12.0,12.25,11.845,12.095,2070400.0,0
1999-02-11,12.095,12.22,11.625,11.75,3830000.0,0
1999-02-12,11.685,11.72,11.405,11.405,5458800.0,0
1999-02-16,11.5,11.53,11.22,11.25,3488600.0,0
1999-02-17,11.22,11.25,10.625,10.655,9260300.0,0
1999-02-18,10.75,10.78,10.435,10.5,5330700.0,0
1999-02-19,10.5,10.78,10.405,10.56,4156900.0,0
1999-02-22,10.5,10.78,10.405,10.75,3808800.0,0
1999-02-23,10.625,10.97,10.375,10.935,3300500.0,0
1999-02-24,10.875,10.97,10.5,10.655,4129400.0,0
1999-02-25,10.185,10.315,9.845,10.185,7658300.0,0
1999-02-26,10.185,10.5,10.06,10.345,5654600.0,0
1999-03-01,10.405,10.405,10.06,10.095,3849100.0,0
1999-03-02,10.095,10.22,9.845,10.0,6063700.0,0
1999-03-03,10.06,10.25,9.815,10.0,8845500.0,0
1999-03-04,9.935,10.06,9.845,10.03,11433300.0,0
1999-03-05,10.095,10.28,9.905,10.0,13465800.0,0
1999-03-08,10.095,10.845,10.095,10.78,9243200.0,0
1999-03-09,10.845,11.06,10.53,10.78,6129700.0,0
1999-03-10,11.315,11.815,11.185,11.815,6913600.0,0
1999-03-11,11.935,12.125,11.685,11.72,8976000.0,0
1999-03-12,12.25,12.31,11.905,12.06,6505900.0,0
1999-03-15,11.875,11.875,11.435,11.595,4317800.0,0
1999-03-16,11.595,11.935,11.53,11.875,3235800.0,0
1999-03-17,11.875,12.56,11.875,12.25,5832600.0,0
1999-03-18,12.56,12.875,12.53,12.685,8559500.0,0
1999-03-19,12.685,12.72,12.435,12.5,4882400.0,0
1999-03-22,13.0,13.47,12.97,13.435,6885400.0,0
1999-03-23,13.25,13.28,12.78,13.125,5152300.0,0
1999-03-24,13.5,13.72,13.5,13.625,8945800.0,0
1999-03-25,13.625,13.655,13.28,13.625,4932400.0,0
1999-03-26,13.625,13.75,13.345,13.685,3494000.0,0
1999-03-29,14.435,14.625,14.0,14.155,6021400.0,0
1999-03-30,14.185,14.345,13.75,13.97,4686600.0,0
1999-03-31,13.905,13.97,13.53,13.75,2518600.0,0
1999-04-01,13.685,14.03,13.5,13.935,2674200.0,0
1999-04-05,14.125,14.25,13.97,14.155,4148500.0,0
1999-04-06,14.03,14.25,13.78,13.845,2824100.0,0
1999-04-07,13.75,13.905,13.625,13.75,3321300.0,0
1999-04-08,13.75,14.185,13.56,13.845,3118500.0,0
1999-04-09,14.5,14.5,13.78,14.095,2890100.0,0
1999-04-12,14.0,14.06,13.845,13.935,1890300.0,0
1999-04-13,13.81,14.125,13.72,14.125,3638800.0,0
1999-04-14,13.81,13.81,13.06,13.56,4423800.0,0
1999-04-15,13.595,13.97,13.47,13.685,5621400.0,0
1999-04-16,13.875,14.47,13.81,14.155,4958200.0,0
1999-04-19,14.5,15.06,14.5,14.625,10240000.0,0
1999-04-20,14.685,14.845,14.125,14.375,6508900.0,0
1999-04-21,14.185,14.5,13.875,14.185,3187200.0,0
1999-04-22,14.25,14.31,13.5,13.875,4419700.0,0
1999-04-23,13.875,13.875,13.345,13.47,4404000.0,0
1999-04-26,13.435,13.47,12.905,13.125,4968600.0,0
1999-04-27,13.185,13.625,13.185,13.47,4916600.0,0
1999-04-28,13.875,14.78,13.875,14.78,7644900.0,0
1999-04-29,14.81,15.75,14.81,15.435,13099700.0,0
1999-04-30,15.435,15.625,14.47,15.625,6545800.0,0
1999-05-03,15.375,15.5,15.125,15.185,3676400.0,0
1999-05-04,15.155,15.375,14.935,15.28,3817600.0,0
1999-05-05,15.655,15.685,14.935,15.375,4223900.0,0
1999-05-06,15.25,15.685,15.125,15.435,3383700.0,0
1999-05-07,15.405,15.435,15.03,15.095,2881100.0,0
1999-05-10,15.375,15.625,14.97,15.095,2739300.0,0
1999-05-11,14.97,15.28,14.845,15.095,4423800.0,0
1999-05-12,14.75,14.75,14.0,14.47,3438700.0,0
1999-05-13,14.345,14.905,14.31,14.81,2353000.0,0
1999-05-14,14.875,15.155,14.75,14.875,2982700.0,0
1999-05-17,14.405,14.685,14.375,14.47,1799100.0,0
1999-05-18,14.375,14.75,14.155,14.435,4600800.0,0
1999-05-19,14.435,14.935,14.375,14.875,2880400.0,0
1999-05-20,15.0,15.095,14.72,15.0,4752300.0,0
1999-05-21,15.095,15.625,15.03,15.56,5058100.0,0
1999-05-24,15.47,15.625,14.75,14.75,5232100.0,0
1999-05-25,14.5,15.0,14.375,14.375,4212500.0,0
1999-05-26,14.75,15.28,14.595,15.25,7573100.0,0
1999-05-27,15.25,15.25,14.78,14.81,6590400.0,0
1999-05-28,14.78,15.185,14.75,14.97,5116500.0,0
1999-06-01,14.845,14.845,14.345,14.625,4052600.0,0
1999-06-02,14.81,14.97,14.655,14.875,2794300.0,0
1999-06-03,15.095,15.435,14.97,15.345,3825900.0,0
1999-06-04,15.345,15.405,14.935,15.375,3369600.0,0
1999-06-07,15.435,15.625,15.25,15.47,2128000.0,0
1999-06-08,15.25,15.625,14.935,15.0,1987500.0,0
1999-06-09,14.75,15.53,14.685,15.53,4366100.0,0
1999-06-10,15.5,16.125,15.28,15.81,4026800.0,0
1999-06-11,15.81,16.155,15.345,15.81,3611700.0,0
1999-06-14,15.81,16.125,15.81,16.03,4442900.0,0
1999-06-15,16.155,16.22,16.0,16.155,3221400.0,0
1999-06-16,16.06,16.28,15.97,16.06,3224400.0,0
1999-06-17,16.03,16.125,15.78,16.03,3633500.0,0
1999-06-18,16.06,16.22,15.935,16.185,4569900.0,0
1999-06-21,16.25,16.25,15.81,15.935,6264200.0,0
1999-06-22,16.0,16.0,15.875,15.97,4718100.0,0
1999-06-23,16.0,16.375,16.0,16.22,3954700.0,0
1999-06-24,16.095,16.31,15.655,15.905,3364900.0,0
1999-06-25,15.97,16.095,15.655,15.78,5498000.0,0
1999-06-28,15.875,15.97,15.81,15.845,4053600.0,0
1999-06-29,15.595,15.97,15.595,15.875,2442900.0,0
1999-06-30,15.935,16.345,15.845,16.28,4203100.0,0
1999-07-01,16.25,16.345,16.125,16.185,5259300.0,0
1999-07-02,16.22,16.22,16.03,16.125,2549500.0,0
1999-07-06,16.25,16.5,16.185,16.47,4409000.0,0
1999-07-07,16.5,16.5,16.22,16.47,3438300.0,0
1999-07-08,16.56,16.685,16.25,16.31,4674200.0,0
1999-07-09,16.345,16.345,15.845,16.06,3746500.0,0
1999-07-12,16.405,16.655,16.31,16.625,3780000.0,0
1999-07-13,16.125,16.405,15.875,16.095,2743000.0,0
1999-07-14,16.435,16.47,16.095,16.405,2273200.0,0
1999-07-15,16.375,16.53,16.345,16.5,5553000.0,0
1999-07-16,16.375,16.47,16.25,16.435,1811900.0,0
1999-07-19,16.435,16.435,16.095,16.155,1371300.0,0
1999-07-20,16.28,16.28,15.5,15.595,4040900.0,0
1999-07-21,15.56,15.905,15.435,15.78,1957000.0,0
1999-07-22,15.655,15.75,14.875,15.375,3885300.0,0
1999-07-23,15.28,15.625,15.25,15.405,2498200.0,0
1999-07-26,15.53,15.685,15.405,15.56,3344100.0,0
1999-07-27,15.97,15.97,15.5,15.53,2725500.0,0
1999-07-28,15.25,15.685,15.25,15.47,1676700.0,0
1999-07-29,15.22,15.375,15.06,15.125,2079700.0,0
1999-07-30,15.125,15.375,14.875,15.185,3625800.0,0
1999-08-02,15.155,15.375,15.06,15.22,2293000.0,0
1999-08-03,15.095,15.28,14.97,15.25,1934600.0,0
1999-08-04,15.185,15.53,14.97,15.03,2992700.0,0
1999-08-05,15.155,15.25,15.03,15.25,1647600.0,0
1999-08-06,15.125,15.97,15.125,15.53,2420700.0,0
1999-08-09,15.53,16.0,15.375,15.935,2972600.0,0
1999-08-10,16.06,16.095,15.655,16.0,3542600.0,0
1999-08-11,15.935,16.125,15.81,16.06,3265000.0,0
1999-08-12,16.25,16.345,16.06,16.185,1981200.0,0
1999-08-13,16.185,16.28,16.03,16.095,2227900.0,0
1999-08-16,15.97,16.03,15.75,15.935,1431300.0,0
1999-08-17,15.875,15.875,15.56,15.875,1195900.0,0
1999-08-18,15.81,15.845,15.595,15.75,2339600.0,0
1999-08-19,15.625,15.845,15.5,15.75,1214400.0,0
1999-08-20,15.875,15.935,15.56,15.75,1190200.0,0
1999-08-23,15.685,16.095,15.685,15.935,2083100.0,0
1999-08-24,15.81,15.81,15.31,15.47,1841400.0,0
1999-08-25,15.375,15.405,15.0,15.095,4546800.0,0
1999-08-26,15.155,15.185,14.655,15.095,3607000.0,0
1999-08-27,15.155,15.185,14.905,14.905,2070000.0,0
1999-08-30,14.875,15.345,14.875,15.22,2650400.0,0
1999-08-31,15.5,15.685,15.25,15.56,2605800.0,0
1999-09-01,15.53,15.905,15.53,15.905,3103100.0,0
1999-09-02,15.5,15.625,15.28,15.375,1963400.0,0
1999-09-03,15.125,15.685,14.905,15.435,2254800.0,0
1999-09-07,15.435,16.0,15.185,15.81,2019100.0,0
1999-09-08,15.72,16.22,15.685,16.22,4876100.0,0
1999-09-09,16.155,16.935,16.155,16.625,5414500.0,0
1999-09-10,16.72,16.72,16.125,16.125,2700700.0,0
1999-09-13,16.03,16.185,15.935,16.03,3748100.0,0
1999-09-14,16.0,16.155,15.935,16.0,2969600.0,0
1999-09-15,16.095,16.095,15.81,15.845,2772100.0,0
1999-09-16,15.97,16.185,15.845,15.97,1685800.0,0
1999-09-17,16.0,16.22,15.875,16.095,1750200.0,0
1999-09-20,16.0,16.125,15.56,15.655,1942600.0,0
1999-09-21,15.5,15.595,15.125,15.31,1965100.0,0
1999-09-22,15.31,15.875,15.185,15.345,1846100.0,0
1999-09-23,15.5,15.56,15.03,15.185,1361200.0,0
1999-09-24,15.095,15.185,14.53,14.685,1902700.0,0
1999-09-27,14.75,15.185,14.72,15.06,1887000.0,0
1999-09-28,15.03,15.06,14.25,14.595,2806300.0,0
1999-09-29,15.03,15.155,14.56,14.595,3326400.0,0
1999-09-30,14.78,14.905,14.5,14.625,3485600.0,0
1999-10-01,14.47,14.53,14.155,14.22,4038500.0,0
1999-10-04,14.22,14.28,13.97,14.0,4145800.0,0
1999-10-05,14.0,14.06,13.53,13.75,4550200.0,0
1999-10-06,13.845,14.125,13.845,13.905,4739600.0,0
1999-10-07,13.595,13.81,13.5,13.53,4017400.0,0
1999-10-08,13.125,13.405,12.905,13.375,5012500.0,0
1999-10-11,13.5,13.625,13.375,13.5,4216500.0,0
1999-10-12,13.5,13.875,13.5,13.5,3136600.0,0
1999-10-13,13.655,14.125,13.595,14.0,5729400.0,0
1999-10-14,14.0,14.095,13.875,13.905,3306600.0,0
1999-10-15,13.625,13.72,13.375,13.53,5745800.0,0
1999-10-18,13.655,13.845,13.56,13.625,2454300.0,0
1999-10-19,13.685,13.845,13.655,13.72,2356700.0,0
1999-10-20,13.72,13.935,13.655,13.875,1359200.0,0
1999-10-21,13.97,14.595,13.905,14.31,4624900.0,0
1999-10-22,14.31,14.97,14.31,14.72,3350200.0,0
1999-10-25,14.72,14.72,14.155,14.22,1867500.0,0
1999-10-26,14.22,14.375,13.78,13.875,2000000.0,0
1999-10-27,14.375,14.78,14.185,14.5,3456100.0,0
1999-10-28,14.25,14.56,14.25,14.31,2552200.0,0
1999-10-29,14.31,14.685,14.28,14.56,2730500.0,0
1999-11-01,14.655,14.78,14.5,14.655,1410800.0,0
1999-11-02,14.78,14.845,14.31,14.31,2101500.0,0
1999-11-03,14.31,14.31,13.78,13.875,2647700.0,0
1999-11-04,13.935,14.0,13.81,13.86,5897400.0,0
1999-11-05,13.875,14.125,13.655,13.685,5400100.0,0
1999-11-08,13.72,14.0,13.685,13.905,5900000.0,0
1999-11-09,14.0,14.185,13.905,14.125,4783500.0,0
1999-11-10,14.25,14.655,14.22,14.595,3306600.0,0
1999-11-11,14.5,14.685,14.345,14.595,2122700.0,0
1999-11-12,14.625,15.0,14.405,14.75,2469700.0,0
1999-11-15,14.375,14.72,14.31,14.685,1645500.0,0
1999-11-16,14.685,15.25,14.685,14.81,3082900.0,0
1999-11-17,15.095,15.31,14.905,14.905,3862500.0,0
1999-11-18,14.845,15.03,14.685,14.935,2938400.0,0
1999-11-19,14.81,14.97,14.53,14.78,2598100.0,0
1999-11-22,14.78,14.935,14.28,14.31,3512800.0,0
1999-11-23,14.375,14.375,13.56,13.625,2933400.0,0
1999-11-24,13.75,13.935,13.53,13.845,3025900.0,0
1999-11-26,13.78,13.845,13.595,13.625,606800.0,0
1999-11-29,13.375,13.5,13.28,13.345,2650100.0,0
1999-11-30,13.375,13.5,12.875,13.22,5007800.0,0
1999-12-01,13.22,13.47,13.22,13.345,2684300.0,0
1999-12-02,13.22,13.375,13.03,13.095,3489600.0,0
1999-12-03,12.935,13.22,12.72,12.935,7959000.0,0
1999-12-06,12.97,13.06,12.685,12.685,2235300.0,0
1999-12-07,12.5,12.655,12.31,12.53,3174100.0,0
1999-12-08,12.5,12.5,11.815,12.22,7052100.0,0
1999-12-09,12.5,12.935,12.375,12.75,5172800.0,0
1999-12-10,13.25,13.31,12.875,12.97,6873400.0,0
1999-12-13,12.905,13.25,12.75,12.97,5921500.0,0
1999-12-14,12.845,13.345,12.81,13.06,5365900.0,0
1999-12-15,13.125,13.56,13.125,13.375,3868500.0,0
1999-12-16,13.375,13.845,13.28,13.56,4061000.0,0
1999-12-17,14.0,14.0,13.31,13.97,5878200.0,0
1999-12-20,13.75,13.845,12.905,13.0,3378700.0,0
1999-12-21,13.0,13.72,12.97,12.97,3884600.0,0
1999-12-22,13.095,13.28,12.625,12.655,3835000.0,0
1999-12-23,12.97,13.25,12.56,13.25,3757900.0,0
1999-12-27,13.155,13.22,12.78,12.905,2397600.0,0
1999-12-28,13.03,13.125,12.875,12.905,2609500.0,0
1999-12-29,13.125,13.22,12.685,12.81,2489800.0,0
1999-12-30,12.81,12.875,12.375,12.47,6818400.0,0
1999-12-31,12.5,12.595,12.345,12.345,2996800.0,0
2000-01-03,12.47,12.56,12.06,12.125,4841200.0,0
2000-01-04,11.875,11.97,11.56,11.655,4847200.0,0
2000-01-05,11.845,12.185,11.75,11.97,9528900.0,0
2000-01-06,12.345,13.5,12.28,13.25,8595800.0,0
2000-01-07,12.5,13.75,12.5,13.625,8239300.0,0
2000-01-10,13.185,13.375,12.81,12.935,6339900.0,0
2000-01-11,12.845,13.22,12.845,13.095,4509600.0,0
2000-01-12,12.97,13.125,12.625,12.97,4478100.0,0
2000-01-13,12.845,13.155,12.845,13.0,3421900.0,0
2000-01-14,13.095,13.095,12.75,13.0,5511400.0,0
2000-01-18,13.125,13.28,12.97,13.22,4965200.0,0
2000-01-19,13.155,13.405,13.125,13.345,3985500.0,0
2000-01-20,13.28,13.31,12.75,12.875,6054600.0,0
2000-01-21,13.125,13.685,13.125,13.31,5331400.0,0
2000-01-24,13.0,13.185,12.655,12.685,8331900.0,0
2000-01-25,12.72,12.905,12.06,12.405,5558400.0,0
2000-01-26,12.0,12.845,12.0,12.5,8023100.0,0
2000-01-27,12.875,12.875,12.125,12.185,4621200.0,0
2000-01-28,12.345,12.5,12.125,12.31,4898900.0,0
2000-01-31,12.185,12.875,12.06,12.845,5180800.0,0
2000-02-01,12.72,12.72,12.31,12.345,1668000.0,0
2000-02-02,12.47,12.935,12.405,12.78,4311100.0,0
2000-02-03,12.655,12.655,12.345,12.53,3947600.0,0
2000-02-04,13.125,13.125,12.0,12.25,6032800.0,0
2000-02-07,12.095,12.595,11.97,12.5,5583200.0,0
2000-02-08,12.625,12.75,12.185,12.22,1634100.0,0
2000-02-09,12.095,12.185,11.595,11.685,3774300.0,0
2000-02-10,11.72,12.22,11.685,11.97,2837200.0,0
2000-02-11,11.97,12.0,11.28,11.5,3240200.0,0
2000-02-14,11.5,11.75,11.375,11.685,4503600.0,0
2000-02-15,11.78,12.095,11.78,11.97,3679700.0,0
2000-02-16,12.0,12.375,11.97,12.22,3693800.0,0
2000-02-17,12.345,12.435,11.815,12.155,1962100.0,0
2000-02-18,11.905,12.06,11.315,11.625,2315100.0,0
2000-02-22,11.75,11.905,11.345,11.5,3241900.0,0
2000-02-23,11.03,11.25,10.905,10.97,4776800.0,0
2000-02-24,10.905,11.0,10.625,10.78,5824900.0,0
2000-02-25,11.0,11.0,10.345,10.625,6611200.0,0
2000-02-28,10.53,10.905,10.5,10.655,4665800.0,0
2000-02-29,10.72,10.905,10.595,10.815,5210000.0,0
2000-03-01,10.935,11.25,10.625,11.155,6313800.0,0
2000-03-02,10.97,12.0,10.97,11.78,7253600.0,0
2000-03-03,12.095,12.095,11.315,11.595,3461100.0,0
2000-03-06,11.625,11.75,11.405,11.56,2652400.0,0
2000-03-07,12.0,12.53,11.685,12.375,4950800.0,0
2000-03-08,12.31,12.97,12.25,12.28,9734700.0,0
2000-03-09,12.0,12.53,11.97,12.405,4527700.0,0
2000-03-10,12.435,13.06,12.25,12.5,5997600.0,0
2000-03-13,12.25,12.935,12.25,12.5,5181500.0,0
2000-03-14,12.47,12.685,12.095,12.345,4467000.0,0
2000-03-15,12.22,13.0,11.875,12.72,8573000.0,0
2000-03-16,12.435,13.03,12.295,12.97,5519100.0,0
2000-03-17,12.375,12.81,12.125,12.155,7174500.0,0
2000-03-20,12.28,12.28,12.0,12.06,3382300.0,0
2000-03-21,12.06,12.435,12.03,12.25,5141600.0,0
2000-03-22,11.97,12.25,11.875,11.97,4861300.0,0
2000-03-23,11.935,11.935,11.375,11.375,15102700.0,0
2000-03-24,11.375,11.75,11.25,11.375,11454800.0,0
