date,open,high,low,close,volume,padding
1999-01-04,35.405,37.47,35.405,36.375,6026800.0,0
1999-01-05,36.375,37.625,36.375,37.5,4945600.0,0
1999-01-06,39.0,40.75,38.78,40.345,7970600.0,0
1999-01-07,41.5,42.81,41.06,42.095,7938400.0,0
1999-01-08,42.56,44.25,42.25,44.125,7811800.0,0
1999-01-11,43.5,44.405,42.875,43.75,4614800.0,0
1999-01-12,42.75,42.94,40.845,41.22,6436400.0,0
1999-01-13,38.0,41.75,37.905,41.155,9383800.0,0
1999-01-14,41.03,41.72,40.125,40.405,4963800.0,0
1999-01-15,41.655,42.78,41.25,42.78,4883200.0,0
1999-01-19,44.44,44.44,42.0,42.44,4489400.0,0
1999-01-20,43.25,44.25,42.81,43.75,4400800.0,0
1999-01-21,42.75,43.405,42.345,42.78,4399000.0,0
1999-01-22,42.06,42.19,40.5,40.655,3524800.0,0
1999-01-25,41.5,41.69,40.72,41.5,2618200.0,0
1999-01-26,41.25,42.25,41.25,42.155,2897400.0,0
1999-01-27,42.44,42.625,40.845,40.875,3701000.0,0
1999-01-28,40.94,42.25,40.5,42.095,3584000.0,0
1999-01-29,43.0,44.125,42.5,43.31,5002200.0,0
1999-02-01,43.19,44.595,43.19,43.845,4691800.0,0
1999-02-02,43.69,44.69,42.81,44.69,5380600.0,0
1999-02-03,44.0,47.5,43.72,45.875,13611600.0,0
1999-02-04,46.19,46.22,44.75,44.875,4123400.0,0
1999-02-05,44.81,44.875,42.875,44.5,4821600.0,0
1999-02-08,44.44,44.875,43.69,44.28,2758200.0,0
1999-02-09,44.25,44.94,42.875,42.875,3373000.0,0
1999-02-10,42.5,43.31,42.125,42.345,2705400.0,0
1999-02-11,42.69,46.06,42.69,46.06,3932600.0,0
1999-02-12,45.5,45.81,43.875,44.25,4381200.0,0
1999-02-16,44.94,45.22,44.22,45.22,3341000.0,0
1999-02-17,44.56,45.875,43.78,44.19,2643400.0,0
1999-02-18,44.19,46.625,43.81,46.155,3436800.0,0
1999-02-19,46.31,48.125,45.625,46.5,4730800.0,0
1999-02-22,46.5,48.56,46.44,48.5,4924400.0,0
1999-02-23,47.905,48.94,47.69,47.94,5684600.0,0
1999-02-24,48.095,48.345,44.69,44.875,4299600.0,0
1999-02-25,44.94,45.56,43.78,44.845,5134600.0,0
1999-02-26,44.845,45.845,44.53,45.25,4770400.0,0
1999-03-01,44.875,46.375,44.78,44.81,5622800.0,0
1999-03-02,45.345,45.97,44.875,45.19,4231600.0,0
1999-03-03,45.31,46.655,45.28,46.405,4854600.0,0
1999-03-04,47.25,48.5,46.905,48.25,5484800.0,0
1999-03-05,49.72,49.72,48.44,49.47,6364000.0,0
1999-03-08,49.72,49.75,48.31,48.94,2769800.0,0
1999-03-09,48.155,50.155,47.94,49.28,5105400.0,0
1999-03-10,49.405,49.655,48.845,49.53,3008800.0,0
1999-03-11,50.0,51.155,49.69,50.875,5912200.0,0
1999-03-12,51.19,51.595,50.28,50.56,4636600.0,0
1999-03-15,50.5,51.47,50.0,51.0,4738200.0,0
1999-03-16,51.72,52.095,50.655,50.97,4194400.0,0
1999-03-17,50.97,50.97,49.56,49.72,2620000.0,0
1999-03-18,49.75,51.69,49.75,51.69,3537400.0,0
