date,open,high,low,close,volume,padding
1999-01-04,34.903,36.313,34.845,35.25,69305200.0,0
1999-01-05,35.47,37.0,35.36,36.625,64281600.0,0
1999-01-06,37.375,37.875,36.688,37.813,69064800.0,0
1999-01-07,37.438,37.657,37.063,37.625,51150400.0,0
1999-01-08,38.047,38.125,36.75,37.47,50244800.0,0
1999-01-11,37.72,37.735,36.063,36.875,46463200.0,0
1999-01-12,37.032,37.032,35.25,35.547,57907200.0,0
1999-01-13,34.0,36.938,34.0,35.953,75346000.0,0
1999-01-14,36.313,36.39,35.375,35.438,59214000.0,0
1999-01-15,35.735,37.5,35.345,37.438,59344000.0,0
1999-01-19,37.845,39.595,37.72,38.907,102741600.0,0
1999-01-20,41.735,41.938,40.62,40.657,125481200.0,0
1999-01-21,40.438,40.828,39.438,39.578,80077200.0,0
1999-01-22,38.907,40.057,38.813,39.063,82160000.0,0
1999-01-25,40.422,40.828,39.782,40.47,103076400.0,0
1999-01-26,41.375,42.938,41.125,42.89,120203200.0,0
1999-01-27,43.125,43.61,42.125,42.157,98048000.0,0
1999-01-28,42.938,43.515,42.453,43.5,78838400.0,0
1999-01-29,43.688,43.782,42.72,43.75,79571600.0,0
1999-02-01,43.86,43.985,42.703,43.235,81729200.0,0
1999-02-02,43.125,43.14,41.563,41.907,91965600.0,0
1999-02-03,41.595,42.47,41.5,41.703,73749200.0,0
1999-02-04,42.032,42.095,39.72,39.765,89151600.0,0
1999-02-05,40.063,40.407,38.72,40.0,127945200.0,0
1999-02-08,40.64,41.39,40.407,41.313,109866800.0,0
1999-02-09,41.235,41.688,39.938,40.015,77293600.0,0
1999-02-10,39.97,41.095,39.657,40.157,73694000.0,0
1999-02-11,40.688,40.97,40.095,40.688,60366000.0,0
1999-02-12,40.422,40.922,39.282,39.438,62930400.0,0
1999-02-16,39.938,39.97,38.64,39.063,73666800.0,0
1999-02-17,38.235,38.532,37.125,37.5,101215600.0,0
1999-02-18,37.735,37.845,35.995,36.438,117035200.0,0
1999-02-19,36.86,37.313,36.438,36.938,73085600.0,0
1999-02-22,37.063,37.25,36.188,37.203,92514400.0,0
1999-02-23,38.235,38.907,37.625,38.86,95106800.0,0
1999-02-24,39.11,39.845,38.188,38.22,67696800.0,0
1999-02-25,38.095,38.438,37.407,38.375,70817200.0,0
1999-02-26,38.095,38.125,37.375,37.532,59273200.0,0
1999-03-01,37.39,38.14,37.375,37.938,58332000.0,0
1999-03-02,37.97,38.532,36.907,37.14,58569600.0,0
1999-03-03,37.25,37.672,36.765,37.407,76798400.0,0
1999-03-04,37.782,38.375,37.032,38.063,61696400.0,0
1999-03-05,38.688,38.845,38.282,38.735,47302800.0,0
1999-03-08,38.875,39.807,38.75,39.75,46726000.0,0
1999-03-09,39.97,41.188,39.938,40.453,90129600.0,0
1999-03-10,40.578,40.625,39.797,40.345,53114800.0,0
1999-03-11,40.25,41.14,39.828,40.36,62948400.0,0
1999-03-12,40.657,40.688,39.203,40.047,73395200.0,0
1999-03-15,40.14,41.5,39.47,41.47,60609600.0,0
1999-03-16,41.375,42.5,41.063,42.265,68554000.0,0
1999-03-17,42.265,42.36,41.688,41.782,44919600.0,0
1999-03-18,41.61,43.14,41.547,43.11,56231200.0,0
1999-03-19,43.47,43.532,42.47,42.797,91980400.0,0
1999-03-22,43.235,43.735,43.0,43.203,55719200.0,0
1999-03-23,43.172,43.532,41.563,41.64,69581200.0,0
1999-03-24,41.75,42.953,40.782,42.813,82634400.0,0
1999-03-25,43.265,45.015,43.125,44.985,109447600.0,0
1999-03-26,44.735,45.095,43.938,44.532,94687600.0,0
1999-03-29,45.06,46.31,43.935,46.185,39888500.0,0
1999-03-30,46.685,46.75,46.125,46.5,67502400.0,0
1999-03-31,47.25,47.31,44.56,44.81,58752600.0,0
1999-04-01,45.625,46.435,45.135,46.345,41106000.0,0
1999-04-05,47.155,47.51,46.75,47.47,39848600.0,0
1999-04-06,47.595,47.81,46.625,47.03,39674800.0,0
1999-04-07,47.435,47.5,45.625,46.655,46910200.0,0
1999-04-08,46.625,47.31,45.5,47.28,38637000.0,0
1999-04-09,47.125,47.5,46.5,47.125,31816800.0,0
1999-04-12,45.81,46.81,45.685,46.5,37858800.0,0
1999-04-13,46.56,46.56,44.595,45.06,46746800.0,0
1999-04-14,45.405,45.56,42.935,42.935,52944000.0,0
1999-04-15,43.655,44.935,41.935,44.435,72594600.0,0
1999-04-16,44.53,44.56,42.935,43.31,44774000.0,0
1999-04-19,43.435,44.06,40.185,40.5,75389000.0,0
1999-04-20,41.125,42.0,40.0,41.56,108459400.0,0
1999-04-21,41.06,41.25,40.0,41.0,92732800.0,0
1999-04-22,42.5,42.625,41.685,42.47,55096400.0,0
1999-04-23,42.5,43.5,41.5,43.0,56592000.0,0
1999-04-26,43.595,44.47,43.375,44.0,48349800.0,0
1999-04-27,44.375,44.375,41.97,42.0,58665800.0,0
1999-04-28,42.655,43.25,40.86,41.06,55963400.0,0
1999-04-29,41.185,41.845,40.205,41.03,60880600.0,0
1999-04-30,41.375,41.875,39.935,40.655,58558600.0,0
1999-05-03,40.72,40.75,39.28,39.935,67180000.0,0
1999-05-04,40.25,40.905,38.875,39.03,66502200.0,0
1999-05-05,39.56,39.935,38.22,39.56,67028200.0,0
1999-05-06,40.345,40.56,38.75,38.97,74021000.0,0
1999-05-07,39.81,40.185,39.0,39.53,48011600.0,0
1999-05-10,39.935,40.25,39.125,39.845,46218000.0,0
1999-05-11,40.375,40.51,39.72,39.935,42786200.0,0
1999-05-12,40.375,40.5,39.625,40.25,60142600.0,0
1999-05-13,40.56,40.875,39.56,39.56,51737200.0,0
1999-05-14,39.435,39.97,38.31,38.435,84401000.0,0
1999-05-17,38.685,39.78,38.5,39.56,66850200.0,0
1999-05-18,39.905,40.125,38.97,39.345,63858400.0,0
1999-05-19,39.935,39.935,38.625,39.655,46510800.0,0
1999-05-20,39.78,40.0,39.185,39.22,42386200.0,0
1999-05-21,39.25,39.5,38.5,38.78,56568800.0,0
1999-05-24,38.935,38.935,38.03,38.625,38990000.0,0
1999-05-25,38.375,39.625,38.06,38.125,50791600.0,0
