date,open,high,low,close,volume,padding
1999-01-04,27.94,27.94,26.75,26.75,108400.0,0
1999-01-05,26.5,27.25,26.25,27.25,102500.0,0
1999-01-06,27.0,27.25,26.94,27.25,16600.0,0
1999-01-07,27.25,27.31,26.19,26.38,20000.0,0
1999-01-08,26.38,26.5,25.5,25.81,20100.0,0
1999-01-11,25.88,26.12,25.44,25.75,40500.0,0
1999-01-12,25.75,25.75,24.75,24.81,94100.0,0
1999-01-13,24.56,25.94,24.56,25.94,31100.0,0
1999-01-14,25.94,25.94,24.75,24.75,43500.0,0
1999-01-15,24.69,25.88,24.5,25.62,47000.0,0
1999-01-19,25.0,26.81,24.62,26.81,55500.0,0
1999-01-20,26.56,26.75,25.81,26.25,57100.0,0
1999-01-21,26.0,26.0,24.75,24.75,26100.0,0
1999-01-22,24.69,25.75,24.56,25.38,38600.0,0
1999-01-25,25.62,25.62,24.12,24.56,107400.0,0
1999-01-26,24.38,25.75,24.31,25.75,42800.0,0
1999-01-27,25.56,26.0,25.56,25.81,127900.0,0
1999-01-28,25.88,26.38,25.38,26.38,117700.0,0
1999-01-29,26.56,27.12,25.5,26.5,5587700.0,0
1999-02-01,26.62,27.44,25.62,26.75,893600.0,0
1999-02-02,26.62,27.19,25.5,26.0,418300.0,0
1999-02-03,26.0,26.88,25.44,25.94,268200.0,0
1999-02-04,25.69,25.69,24.88,25.12,324200.0,0
1999-02-05,25.12,25.88,24.81,25.19,301200.0,0
1999-02-08,25.06,25.81,25.06,25.31,156100.0,0
1999-02-09,25.56,25.56,25.0,25.0,163500.0,0
1999-02-10,25.12,25.31,25.06,25.19,239100.0,0
1999-02-11,25.44,25.5,25.12,25.31,96000.0,0
1999-02-12,25.31,25.5,25.0,25.0,75600.0,0
1999-02-16,25.25,25.25,25.0,25.06,275200.0,0
1999-02-17,25.06,25.5,25.0,25.06,126800.0,0
1999-02-18,25.31,25.56,25.06,25.5,294100.0,0
1999-02-19,25.5,26.0,25.5,25.81,137900.0,0
1999-02-22,25.75,26.44,25.75,26.25,111400.0,0
1999-02-23,26.25,26.5,25.75,26.0,93400.0,0
1999-02-24,26.25,26.25,25.06,25.06,32200.0,0
1999-02-25,25.0,25.12,24.5,24.88,85900.0,0
1999-02-26,24.81,25.56,24.75,25.56,46200.0,0
1999-03-01,25.31,25.31,24.81,25.19,57100.0,0
1999-03-02,25.0,26.38,25.0,25.81,264600.0,0
1999-03-03,25.69,26.0,25.44,25.69,25900.0,0
1999-03-04,25.88,26.0,25.25,25.56,15900.0,0
1999-03-05,25.81,25.88,25.19,25.62,47400.0,0
1999-03-08,25.75,26.19,25.62,26.06,97300.0,0
1999-03-09,25.88,25.88,25.38,25.38,114400.0,0
1999-03-10,25.44,25.81,24.38,25.0,88200.0,0
1999-03-11,24.88,24.88,23.62,23.75,91700.0,0
1999-03-12,23.75,23.75,22.0,22.0,304100.0,0
1999-03-15,22.25,23.25,22.25,23.25,188000.0,0
1999-03-16,23.19,23.62,23.06,23.44,70000.0,0
1999-03-17,23.44,23.56,23.12,23.12,87300.0,0
1999-03-18,23.12,23.5,22.94,23.06,28200.0,0
1999-03-19,23.06,23.31,22.75,22.75,119300.0,0
1999-03-22,23.0,23.0,22.19,22.38,157700.0,0
1999-03-23,22.38,22.38,20.88,20.94,122300.0,0
1999-03-24,20.81,21.62,19.62,20.44,185100.0,0
1999-03-25,22.0,23.0,21.38,22.88,179500.0,0
1999-03-26,24.62,24.62,23.38,23.5,142900.0,0
1999-03-29,24.25,24.38,23.38,23.44,69100.0,0
1999-03-30,23.19,23.75,23.0,23.56,102300.0,0
1999-03-31,23.56,24.75,23.56,24.75,148000.0,0
1999-04-01,24.81,24.94,24.12,24.5,27100.0,0
1999-04-05,24.62,24.81,24.19,24.38,11300.0,0
1999-04-06,24.38,24.38,23.5,23.62,53100.0,0
1999-04-07,23.62,23.81,22.88,23.0,176000.0,0
1999-04-08,22.75,23.38,22.62,22.88,87300.0,0
1999-04-09,22.62,24.38,22.62,24.38,161900.0,0
1999-04-12,24.38,24.38,23.69,23.94,95300.0,0
1999-04-13,23.94,25.19,23.94,24.62,260100.0,0
1999-04-14,24.69,26.38,24.56,26.38,201800.0,0
1999-04-15,26.12,26.25,25.31,25.81,63800.0,0
1999-04-16,25.88,26.19,25.5,25.75,37800.0,0
1999-04-19,25.94,26.44,25.81,26.06,54200.0,0
1999-04-20,26.0,27.0,25.56,27.0,121400.0,0
1999-04-21,27.0,27.0,25.75,26.06,80600.0,0
1999-04-22,26.31,26.5,25.75,26.5,166100.0,0
1999-04-23,26.5,26.75,26.0,26.38,28000.0,0
1999-04-26,26.62,27.44,26.5,27.12,160500.0,0
1999-04-27,27.38,27.44,26.75,27.38,103900.0,0
1999-04-28,26.0,27.25,25.5,25.88,189000.0,0
1999-04-29,25.81,26.38,25.62,26.25,140500.0,0
1999-04-30,26.0,26.88,25.88,26.12,159600.0,0
1999-05-03,25.75,26.88,25.38,26.62,131800.0,0
1999-05-04,26.75,26.88,25.62,25.69,74100.0,0
1999-05-05,25.62,25.62,24.62,25.38,96000.0,0
1999-05-06,25.38,25.75,25.19,25.75,154400.0,0
1999-05-07,25.62,25.62,25.5,25.56,16900.0,0
1999-05-10,25.75,26.38,25.56,25.94,43100.0,0
