date,open,high,low,close,volume,padding
1999-01-04,21.875,22.75,21.625,21.97,3591000.0,0
1999-01-05,21.75,25.065,21.69,24.75,5422000.0,0
1999-01-06,24.94,25.19,24.155,24.25,3244600.0,0
1999-01-07,24.0,24.5,23.44,24.0,2614400.0,0
1999-01-08,24.25,24.44,22.845,24.065,3591600.0,0
1999-01-11,24.19,24.375,22.845,23.19,2290800.0,0
1999-01-12,23.155,23.47,22.25,22.315,2312400.0,0
1999-01-13,21.94,25.815,21.44,25.75,5484600.0,0
1999-01-14,25.375,26.065,24.25,24.315,3575000.0,0
1999-01-15,24.0,26.065,23.78,25.97,2503000.0,0
1999-01-19,25.94,27.625,25.94,27.405,2485800.0,0
1999-01-20,27.405,28.315,26.875,27.5,2361800.0,0
1999-01-21,27.25,27.44,25.565,25.815,4260400.0,0
1999-01-22,25.375,26.03,24.94,25.72,2853000.0,0
1999-01-25,25.815,25.815,24.69,25.28,2261400.0,0
1999-01-26,25.625,26.815,25.5,26.545,2507800.0,0
1999-01-27,26.69,26.875,26.0,26.5,2859600.0,0
1999-01-28,24.44,26.375,24.065,26.28,9045400.0,0
1999-01-29,26.315,26.5,24.875,25.72,2777000.0,0
1999-02-01,25.94,25.97,24.72,25.315,2905200.0,0
1999-02-02,25.28,25.28,23.625,23.75,3837000.0,0
1999-02-03,23.815,24.815,23.69,24.75,3304200.0,0
1999-02-04,24.72,24.75,22.25,22.315,2398000.0,0
1999-02-05,23.25,23.25,21.03,21.625,4664000.0,0
1999-02-08,22.5,23.375,22.0,23.345,3261200.0,0
1999-02-09,23.5,23.625,21.03,21.065,4092800.0,0
1999-02-10,21.25,22.875,21.125,22.03,3723000.0,0
1999-02-11,22.5,24.875,22.065,24.44,5911800.0,0
1999-02-12,23.94,24.315,22.53,22.69,2692400.0,0
1999-02-16,23.095,23.47,22.375,22.53,967800.0,0
1999-02-17,22.405,24.315,22.065,22.125,2693600.0,0
1999-02-18,22.44,23.25,22.25,22.625,2099000.0,0
1999-02-19,23.065,23.44,22.655,22.815,1391000.0,0
1999-02-22,22.94,24.44,22.655,24.44,1907600.0,0
1999-02-23,24.5,24.625,23.44,23.815,2056600.0,0
1999-02-24,24.125,24.565,23.125,23.125,2077400.0,0
1999-02-25,23.0,23.25,21.67,22.5,4223200.0,0
1999-02-26,22.5,22.5,20.625,20.845,3650200.0,0
1999-03-01,20.875,21.47,19.94,21.065,7992400.0,0
1999-03-02,21.125,21.25,20.375,20.44,4693800.0,0
1999-03-03,21.44,21.815,20.25,21.5,2816800.0,0
1999-03-04,22.095,23.5,20.625,22.75,4495200.0,0
1999-03-05,23.375,23.5,22.25,23.25,2847400.0,0
1999-03-08,23.44,24.065,22.845,24.0,2534600.0,0
1999-03-09,23.75,24.22,22.375,22.905,2953600.0,0
1999-03-10,23.065,23.94,22.69,23.94,1855000.0,0
1999-03-11,23.94,24.47,22.47,23.655,3146800.0,0
1999-03-12,23.655,23.69,22.5,22.625,1895200.0,0
1999-03-15,22.69,24.065,22.625,24.065,2474200.0,0
1999-03-16,24.0,25.47,23.75,25.375,4718400.0,0
1999-03-17,25.375,25.94,24.845,25.405,2440600.0,0
1999-03-18,25.44,26.095,25.315,26.03,2470000.0,0
1999-03-19,26.28,26.5,24.75,24.845,2681200.0,0
1999-03-22,24.845,25.375,23.94,24.0,1607200.0,0
1999-03-23,24.0,24.5,23.44,23.47,2879600.0,0
1999-03-24,23.47,24.5,23.19,24.25,2477200.0,0
1999-03-25,24.5,25.53,24.5,25.53,1903800.0,0
1999-03-26,25.19,25.565,24.78,25.065,1778800.0,0
1999-03-29,25.25,26.815,25.065,26.815,1755600.0,0
1999-03-30,26.69,27.405,26.315,26.315,3501600.0,0
1999-03-31,26.565,27.44,26.375,27.065,3240800.0,0
1999-04-01,27.25,28.03,27.065,28.0,3416800.0,0
1999-04-05,28.03,29.19,27.69,29.0,3149600.0,0
1999-04-06,28.44,29.125,27.94,28.47,3649600.0,0
1999-04-07,28.875,28.97,27.065,28.125,4364200.0,0
1999-04-08,28.28,30.0,28.155,30.0,3255600.0,0
1999-04-09,29.72,29.75,29.125,29.565,1807400.0,0
1999-04-12,28.625,29.0,27.69,27.845,3296800.0,0
1999-04-13,28.0,28.155,27.25,27.5,2001400.0,0
1999-04-14,27.75,29.815,27.47,29.0,5459200.0,0
1999-04-15,29.22,31.28,27.94,31.25,5694200.0,0
1999-04-16,31.28,31.315,29.625,30.065,3669600.0,0
1999-04-19,31.0,31.125,28.625,28.75,4253800.0,0
1999-04-20,29.0,30.625,28.875,30.28,4046200.0,0
1999-04-21,30.5,31.375,30.0,31.375,2065000.0,0
1999-04-22,31.405,32.375,30.405,31.315,2739400.0,0
1999-04-23,31.125,32.315,29.94,32.155,1881200.0,0
1999-04-26,32.25,32.565,31.375,32.315,1850400.0,0
1999-04-27,32.25,32.28,30.25,30.565,3052400.0,0
1999-04-28,30.625,30.69,27.75,28.125,8329400.0,0
1999-04-29,28.03,29.25,27.44,29.25,5383000.0,0
1999-04-30,29.565,29.75,27.28,28.0,2391800.0,0
1999-05-03,28.125,28.94,27.815,28.44,1480800.0,0
1999-05-04,28.565,29.565,27.72,28.0,2597000.0,0
1999-05-05,28.065,29.875,27.44,29.815,3677400.0,0
1999-05-06,29.53,30.0,27.345,27.345,2707800.0,0
1999-05-07,27.94,28.5,27.125,28.5,2421200.0,0
1999-05-10,28.315,29.25,27.75,28.25,1707600.0,0
1999-05-11,28.5,28.69,27.69,28.69,1922600.0,0
1999-05-12,28.625,30.03,28.065,29.97,3743800.0,0
1999-05-13,29.97,30.25,28.095,28.155,5474000.0,0
1999-05-14,28.125,29.19,27.75,28.53,3754200.0,0
1999-05-17,28.565,29.565,27.625,29.5,4167200.0,0
1999-05-18,29.5,29.625,28.565,28.94,2339800.0,0
1999-05-19,29.19,29.94,28.19,29.595,2970200.0,0
1999-05-20,29.69,29.72,28.065,28.095,2307200.0,0
1999-05-21,28.845,28.875,27.94,28.03,1752800.0,0
1999-05-24,28.065,28.22,26.5,26.815,2174000.0,0
1999-05-25,26.75,27.065,24.5,24.595,3822200.0,0
1999-05-26,24.72,26.19,24.5,26.19,6558600.0,0
1999-05-27,26.0,26.94,25.25,26.75,2555200.0,0
1999-05-28,26.655,27.125,25.78,26.72,1849800.0,0
1999-06-01,26.44,27.25,26.0,26.0,3242200.0,0
1999-06-02,26.0,27.815,25.44,27.5,3318200.0,0
1999-06-03,27.22,27.315,25.69,25.78,2666800.0,0
1999-06-04,26.125,27.69,26.0,27.655,1619000.0,0
1999-06-07,27.565,28.5,27.375,28.44,1401800.0,0
1999-06-08,28.345,28.375,26.53,26.595,1778800.0,0
1999-06-09,26.875,28.19,26.875,28.065,2324200.0,0
1999-06-10,27.94,29.03,27.69,28.28,2752600.0,0
1999-06-11,28.47,29.25,27.94,28.25,2956000.0,0
1999-06-14,28.375,29.25,28.25,28.625,1582000.0,0
1999-06-15,28.875,29.375,28.625,29.375,1680600.0,0
1999-06-16,29.5,31.03,29.44,31.0,3046800.0,0
1999-06-17,30.5,31.375,30.375,30.97,3278800.0,0
1999-06-18,29.815,31.125,29.69,30.905,3357000.0,0
1999-06-21,30.815,32.28,30.75,32.155,2581000.0,0
1999-06-22,31.875,32.565,30.94,31.065,2767200.0,0
1999-06-23,31.065,32.565,30.94,32.405,2385200.0,0
1999-06-24,32.125,32.155,30.375,30.44,2733200.0,0
1999-06-25,30.75,31.75,30.065,31.315,2064800.0,0
1999-06-28,31.375,32.345,30.69,32.315,2002000.0,0
1999-06-29,32.315,32.565,31.315,32.5,1975200.0,0
1999-06-30,32.5,33.69,31.72,33.25,2903000.0,0
1999-07-01,33.44,33.53,32.28,32.97,4026800.0,0
1999-07-02,32.94,33.095,32.375,32.845,1257600.0,0
1999-07-06,32.875,33.0,31.72,31.815,3923200.0,0
1999-07-07,32.25,33.0,31.75,32.875,5983600.0,0
1999-07-08,32.78,34.75,32.25,34.5,6132400.0,0
1999-07-09,34.375,35.03,34.0,34.94,2811000.0,0
1999-07-12,34.875,36.065,34.44,35.25,2465600.0,0
1999-07-13,34.875,35.595,34.565,34.72,3472400.0,0
1999-07-14,34.815,36.75,33.875,36.72,5119800.0,0
1999-07-15,36.625,36.625,34.94,35.155,2487400.0,0
1999-07-16,35.625,35.69,34.47,34.69,3388200.0,0
1999-07-19,34.78,35.565,34.155,34.28,1861200.0,0
1999-07-20,34.19,34.25,31.375,31.625,3008200.0,0
1999-07-21,31.78,32.78,30.75,32.78,3947200.0,0
