date,open,high,low,close,volume,padding
1999-01-04,30.44,30.94,30.25,30.5,286300.0,0
1999-01-05,30.5,30.5,30.25,30.31,303000.0,0
1999-01-06,30.31,30.38,30.0,30.06,290800.0,0
1999-01-07,30.25,30.31,29.88,29.94,172500.0,0
1999-01-08,30.0,30.0,29.63,29.63,157600.0,0
1999-01-11,29.5,29.5,29.13,29.13,206300.0,0
1999-01-12,29.06,29.25,29.0,29.25,237100.0,0
1999-01-13,29.19,29.5,29.0,29.31,311500.0,0
1999-01-14,29.13,29.38,29.06,29.25,430000.0,0
1999-01-15,29.25,29.25,29.0,29.19,74800.0,0
1999-01-19,29.13,29.13,28.56,28.63,227600.0,0
1999-01-20,28.63,28.63,28.06,28.13,172300.0,0
1999-01-21,28.25,28.69,28.25,28.63,1089300.0,0
1999-01-22,28.5,28.56,28.38,28.5,250000.0,0
1999-01-25,28.63,28.69,28.31,28.44,99700.0,0
1999-01-26,28.38,28.44,28.0,28.13,255900.0,0
1999-01-27,27.81,27.88,27.25,27.31,741300.0,0
1999-01-28,27.38,27.69,27.38,27.44,226200.0,0
1999-01-29,27.44,27.5,27.13,27.13,178200.0,0
1999-02-01,27.13,27.25,26.56,26.56,242900.0,0
1999-02-02,26.5,26.56,25.75,26.13,388700.0,0
1999-02-03,26.13,27.0,26.06,27.0,1626400.0,0
1999-02-04,27.13,27.13,26.5,26.56,517900.0,0
1999-02-05,26.44,26.75,26.44,26.5,235000.0,0
1999-02-08,26.56,26.69,26.38,26.63,469700.0,0
1999-02-09,26.75,26.75,26.13,26.31,908400.0,0
1999-02-10,26.25,26.56,26.25,26.56,802600.0,0
1999-02-11,26.75,27.06,26.56,26.94,1604300.0,0
1999-02-12,26.81,26.88,26.19,26.19,571700.0,0
1999-02-16,26.25,26.81,26.25,26.44,181400.0,0
1999-02-17,26.38,26.75,26.25,26.44,552000.0,0
1999-02-18,26.5,26.75,26.44,26.56,420200.0,0
1999-02-19,26.63,26.63,26.44,26.56,309700.0,0
1999-02-22,26.81,26.81,26.25,26.44,545100.0,0
1999-02-23,26.38,26.44,25.81,25.88,221200.0,0
1999-02-24,25.88,26.38,25.81,26.13,446900.0,0
1999-02-25,26.19,26.19,25.44,26.13,128400.0,0
1999-02-26,26.19,26.38,25.94,25.94,612400.0,0
1999-03-01,26.0,26.06,25.63,25.75,132400.0,0
1999-03-02,25.81,27.25,25.81,27.0,740200.0,0
