date,open,high,low,close,volume,padding
1999-01-04,36.97,37.815,36.0,36.125,879400.0,0
1999-01-05,36.125,36.815,36.125,36.625,703400.0,0
1999-01-06,34.375,34.75,33.25,34.655,4110600.0,0
1999-01-07,34.405,34.595,33.815,34.0,1994200.0,0
1999-01-08,34.0,34.065,31.75,32.625,1874900.0,0
1999-01-11,32.69,33.22,32.69,32.94,685700.0,0
1999-01-12,32.815,32.845,32.345,32.69,1053000.0,0
1999-01-13,32.19,32.22,30.875,32.095,1861400.0,0
1999-01-14,32.095,32.345,31.25,31.28,1254200.0,0
1999-01-15,31.405,31.595,31.25,31.44,1109400.0,0
1999-01-19,31.875,32.0,31.0,31.25,515100.0,0
1999-01-20,31.22,31.345,30.625,30.94,453700.0,0
1999-01-21,30.44,30.69,29.75,30.44,1058300.0,0
1999-01-22,30.315,30.44,29.75,30.125,1331900.0,0
1999-01-25,30.125,30.72,30.125,30.565,405900.0,0
1999-01-26,30.565,31.03,30.03,30.095,902200.0,0
1999-01-27,30.0,30.125,28.815,28.94,722000.0,0
1999-01-28,28.94,28.94,28.375,28.75,1301600.0,0
1999-01-29,28.815,28.94,28.315,28.5,582600.0,0
1999-02-01,29.5,31.875,29.44,31.315,2077600.0,0
1999-02-02,31.345,32.19,30.75,32.125,1115400.0,0
1999-02-03,32.125,33.75,32.125,32.78,2005300.0,0
1999-02-04,32.905,33.19,32.625,32.72,1263500.0,0
1999-02-05,33.095,33.25,32.78,33.125,661400.0,0
1999-02-08,33.03,33.345,32.625,33.125,621100.0,0
1999-02-09,33.065,33.125,32.065,32.375,1170500.0,0
1999-02-10,32.315,32.345,31.5,31.72,662000.0,0
1999-02-11,31.78,31.78,30.47,31.19,2054800.0,0
1999-02-12,31.25,31.44,30.5,30.625,318700.0,0
1999-02-16,30.75,31.19,30.065,30.44,703400.0,0
1999-02-17,30.44,30.44,29.905,30.125,469200.0,0
1999-02-18,30.315,30.565,30.19,30.44,440500.0,0
1999-02-19,30.565,31.0,30.375,30.75,544700.0,0
1999-02-22,31.0,31.0,30.155,30.815,670000.0,0
1999-02-23,30.94,31.125,29.94,31.065,751900.0,0
1999-02-24,31.5,31.72,31.28,31.375,499300.0,0
1999-02-25,31.155,31.345,30.405,31.22,382900.0,0
1999-02-26,31.345,31.565,31.095,31.155,274200.0,0
1999-03-01,31.03,31.125,30.595,30.875,414600.0,0
1999-03-02,30.815,31.25,30.405,30.53,1026800.0,0
1999-03-03,30.53,30.97,30.065,30.155,1057200.0,0
1999-03-04,30.345,31.815,30.345,31.405,1879100.0,0
1999-03-05,31.345,31.44,30.155,31.0,813900.0,0
1999-03-08,31.065,31.125,30.625,30.815,416600.0,0
1999-03-09,30.845,30.97,30.595,30.69,249000.0,0
1999-03-10,30.69,30.72,30.315,30.405,627300.0,0
1999-03-11,30.53,30.69,30.315,30.5,611400.0,0
1999-03-12,30.75,31.75,30.75,31.595,720300.0,0
1999-03-15,31.69,32.47,31.69,32.47,597800.0,0
1999-03-16,32.655,33.315,32.5,32.815,861500.0,0
1999-03-17,32.815,33.0,32.625,32.875,566200.0,0
1999-03-18,32.625,32.97,32.5,32.875,239200.0,0
1999-03-19,32.875,32.875,32.0,32.125,475400.0,0
1999-03-22,32.125,32.125,31.25,31.5,278200.0,0
1999-03-23,31.44,31.565,30.75,30.845,294600.0,0
1999-03-24,30.875,31.315,30.815,30.905,308500.0,0
1999-03-25,30.905,31.125,30.565,30.78,415200.0,0
1999-03-26,30.815,30.815,29.75,29.97,711800.0,0
1999-03-29,30.22,30.44,30.125,30.405,703900.0,0
1999-03-30,30.155,30.155,29.44,29.75,769200.0,0
1999-03-31,29.875,30.44,29.75,29.94,656100.0,0
1999-04-01,29.94,30.19,29.845,30.03,385100.0,0
1999-04-05,30.0,30.25,29.845,29.97,428700.0,0
1999-04-06,30.0,30.095,29.375,29.405,440000.0,0
1999-04-07,29.315,29.375,28.655,29.0,887800.0,0
1999-04-08,29.065,29.095,28.815,28.875,138100.0,0
1999-04-09,28.94,29.345,28.875,29.0,359900.0,0
1999-04-12,28.875,30.345,28.845,30.315,497100.0,0
1999-04-13,30.315,30.815,29.655,29.75,416300.0,0
1999-04-14,29.5,31.125,29.375,30.69,715600.0,0
1999-04-15,31.0,32.125,31.0,31.565,621100.0,0
1999-04-16,32.0,33.125,31.94,32.78,665400.0,0
1999-04-19,32.905,34.125,32.845,33.595,1489700.0,0
1999-04-20,33.595,33.595,32.25,32.315,506400.0,0
1999-04-21,32.565,33.315,32.315,32.405,551400.0,0
1999-04-22,32.345,32.405,31.97,32.125,340800.0,0
1999-04-23,32.125,32.345,31.845,32.065,489800.0,0
1999-04-26,32.19,32.375,32.0,32.03,815900.0,0
1999-04-27,33.25,33.25,31.5,31.565,1179600.0,0
1999-04-28,31.565,32.625,31.565,32.345,1043200.0,0
1999-04-29,32.405,32.78,32.03,32.065,432000.0,0
1999-04-30,32.375,32.625,31.72,31.97,649000.0,0
