date,open,high,low,close,volume,padding
1999-01-04,5.625,5.875,5.315,5.845,374600.0,0
1999-01-05,5.78,5.815,5.44,5.47,230700.0,0
1999-01-06,5.53,6.0,5.44,5.94,541600.0,0
1999-01-07,5.815,6.155,5.625,6.125,528300.0,0
1999-01-08,6.28,6.345,6.065,6.28,446300.0,0
1999-01-11,6.315,6.845,6.315,6.815,436900.0,0
1999-01-12,6.625,6.625,6.125,6.22,560300.0,0
1999-01-13,5.875,5.94,5.69,5.69,329600.0,0
1999-01-14,5.69,5.875,5.655,5.72,295200.0,0
1999-01-15,5.69,5.78,5.69,5.72,141700.0,0
1999-01-19,5.94,5.94,5.625,5.94,332900.0,0
1999-01-20,6.0,6.125,5.875,6.095,529000.0,0
1999-01-21,5.97,6.25,5.845,5.845,445200.0,0
1999-01-22,5.97,6.0,5.75,5.78,115600.0,0
1999-01-25,5.78,5.845,5.47,5.5,125500.0,0
1999-01-26,5.44,5.565,5.19,5.25,140000.0,0
1999-01-27,5.25,5.375,4.9689999999999985,5.03,314300.0,0
1999-01-28,5.095,5.19,4.9689999999999985,5.03,131300.0,0
1999-01-29,5.095,5.095,4.875,4.875,134000.0,0
1999-02-01,4.875,5.03,4.813,4.9689999999999985,107400.0,0
1999-02-02,4.938,5.095,4.907,5.065,125300.0,0
1999-02-03,5.0,5.315,4.9689999999999985,5.25,210000.0,0
1999-02-04,5.28,5.375,5.095,5.19,103800.0,0
1999-02-05,5.125,5.155,5.0,5.125,226900.0,0
1999-02-08,5.0,5.28,5.0,5.25,198300.0,0
1999-02-09,5.315,5.315,5.065,5.065,142400.0,0
1999-02-10,5.065,5.25,5.03,5.125,157700.0,0
1999-02-11,5.125,5.125,4.9689999999999985,5.03,470000.0,0
1999-02-12,5.0,5.065,4.938,4.938,936700.0,0
1999-02-16,5.0,5.0,4.532,4.688,284800.0,0
1999-02-17,4.625,4.657,4.25,4.375,536500.0,0
1999-02-18,4.5,4.563,4.375,4.4689999999999985,254600.0,0
1999-02-19,4.532,4.532,4.375,4.407,312100.0,0
1999-02-22,4.4689999999999985,4.657,4.407,4.5,176600.0,0
1999-02-23,4.5,4.5,4.375,4.407,240000.0,0
1999-02-24,4.407,4.5,4.375,4.375,71000.0,0
1999-02-25,4.375,4.5939999999999985,4.375,4.438,264400.0,0
1999-02-26,4.563,4.563,4.375,4.438,170100.0,0
1999-03-01,4.563,4.563,4.438,4.438,112700.0,0
1999-03-02,4.532,4.532,4.438,4.4689999999999985,53700.0,0
1999-03-03,4.532,4.7189999999999985,4.5,4.688,274100.0,0
1999-03-04,4.657,4.938,4.532,4.938,371700.0,0
1999-03-05,5.0,5.125,4.875,4.938,176800.0,0
1999-03-08,4.938,5.19,4.938,4.938,342000.0,0
1999-03-09,4.938,4.938,4.657,4.657,330300.0,0
1999-03-10,4.75,5.315,4.75,5.28,1829900.0,0
1999-03-11,5.47,5.69,5.315,5.375,1093500.0,0
1999-03-12,5.5,5.845,5.5,5.625,674500.0,0
1999-03-15,5.69,5.69,5.345,5.375,257100.0,0
1999-03-16,5.345,5.47,5.125,5.155,227100.0,0
1999-03-17,5.22,5.72,5.22,5.625,685800.0,0
1999-03-18,5.69,5.875,5.655,5.72,362000.0,0
1999-03-19,5.78,5.815,5.5,5.595,208500.0,0
1999-03-22,5.655,5.905,5.375,5.565,552300.0,0
1999-03-23,5.5,5.5,5.345,5.375,179200.0,0
