date,open,high,low,close,volume,padding
1999-01-04,9.5,9.625,9.5,9.625,160000.0,1
1999-01-05,9.5,9.625,9.5,9.625,160000.0,1
1999-01-06,9.5,9.625,9.5,9.625,160000.0,1
1999-01-07,9.5,9.625,9.5,9.625,160000.0,1
1999-01-08,9.5,9.625,9.5,9.625,160000.0,1
1999-01-11,9.5,9.625,9.5,9.625,160000.0,1
1999-01-12,9.5,9.625,9.5,9.625,160000.0,1
1999-01-13,9.5,9.625,9.5,9.625,160000.0,1
1999-01-14,9.5,9.625,9.5,9.625,160000.0,1
1999-01-15,9.5,9.625,9.5,9.625,160000.0,1
1999-01-19,9.5,9.625,9.5,9.625,160000.0,1
1999-01-20,9.5,9.625,9.5,9.625,160000.0,1
1999-01-21,9.5,9.625,9.5,9.625,160000.0,1
1999-01-22,9.5,9.625,9.5,9.625,160000.0,1
1999-01-25,9.5,9.625,9.5,9.625,160000.0,1
1999-01-26,9.5,9.625,9.5,9.625,160000.0,1
1999-01-27,9.5,9.625,9.5,9.625,160000.0,1
1999-01-28,9.5,9.625,9.5,9.625,160000.0,1
1999-01-29,9.5,9.625,9.5,9.625,160000.0,1
1999-02-01,9.5,9.625,9.5,9.625,160000.0,1
1999-02-02,9.5,9.625,9.5,9.625,160000.0,1
1999-02-03,9.5,9.625,9.5,9.625,160000.0,1
1999-02-04,9.5,9.625,9.5,9.625,160000.0,1
1999-02-05,9.5,9.625,9.5,9.625,160000.0,1
1999-02-08,9.5,9.625,9.5,9.625,160000.0,1
1999-02-09,9.5,9.625,9.5,9.625,160000.0,1
1999-02-10,9.5,9.625,9.5,9.625,160000.0,1
1999-02-11,9.5,9.625,9.5,9.625,160000.0,1
1999-02-12,9.5,9.625,9.5,9.625,160000.0,1
1999-02-16,9.5,9.625,9.5,9.625,160000.0,1
1999-02-17,9.5,9.625,9.5,9.625,160000.0,1
1999-02-18,9.5,9.625,9.5,9.625,160000.0,1
1999-02-19,9.5,9.625,9.5,9.625,160000.0,1
1999-02-22,9.5,9.625,9.5,9.625,160000.0,1
1999-02-23,9.5,9.625,9.5,9.625,160000.0,1
1999-02-24,9.5,9.625,9.5,9.625,160000.0,1
1999-02-25,9.5,9.625,9.5,9.625,160000.0,1
1999-02-26,9.5,9.625,9.5,9.625,160000.0,1
1999-03-01,9.5,9.625,9.5,9.625,160000.0,1
1999-03-02,9.5,9.625,9.5,9.625,160000.0,1
1999-03-03,9.5,9.625,9.5,9.625,160000.0,1
1999-03-04,9.5,9.625,9.5,9.625,160000.0,1
1999-03-05,9.5,9.625,9.5,9.625,160000.0,1
1999-03-08,9.5,9.625,9.5,9.625,160000.0,1
1999-03-09,9.5,9.625,9.5,9.625,160000.0,1
1999-03-10,9.5,9.625,9.5,9.625,160000.0,1
1999-03-11,9.5,9.625,9.5,9.625,160000.0,1
1999-03-12,9.5,9.625,9.5,9.625,160000.0,1
1999-03-15,9.5,9.625,9.5,9.625,160000.0,1
1999-03-16,9.5,9.625,9.5,9.625,160000.0,1
1999-03-17,9.5,9.625,9.5,9.625,160000.0,1
1999-03-18,9.5,9.625,9.5,9.625,160000.0,1
1999-03-19,9.5,9.625,9.5,9.625,160000.0,1
1999-03-22,9.5,9.625,9.5,9.625,160000.0,1
1999-03-23,9.5,9.625,9.5,9.625,160000.0,1
1999-03-24,9.5,9.625,9.5,9.625,160000.0,1
1999-03-25,9.5,9.625,9.5,9.625,160000.0,1
1999-03-26,9.5,9.625,9.5,9.625,160000.0,1
1999-03-29,9.5,9.625,9.5,9.625,160000.0,1
1999-03-30,9.5,9.625,9.5,9.625,160000.0,1
1999-03-31,9.5,9.625,9.5,9.625,160000.0,1
1999-04-01,9.5,9.625,9.5,9.625,160000.0,1
1999-04-05,9.5,9.625,9.5,9.625,160000.0,1
1999-04-06,9.5,9.625,9.5,9.625,160000.0,1
1999-04-07,9.5,9.625,9.5,9.625,160000.0,1
1999-04-08,9.5,9.625,9.5,9.625,160000.0,1
1999-04-09,9.5,9.625,9.5,9.625,160000.0,1
1999-04-12,9.5,9.625,9.5,9.625,160000.0,1
1999-04-13,9.5,9.625,9.5,9.625,160000.0,1
1999-04-14,9.5,9.625,9.5,9.625,160000.0,1
1999-04-15,9.5,9.625,9.5,9.625,160000.0,1
1999-04-16,9.5,9.625,9.5,9.625,160000.0,1
1999-04-19,9.5,9.625,9.5,9.625,160000.0,1
1999-04-20,9.5,9.625,9.5,9.625,160000.0,1
1999-04-21,9.5,9.625,9.5,9.625,160000.0,1
1999-04-22,9.5,9.625,9.5,9.625,160000.0,1
1999-04-23,9.5,9.625,9.5,9.625,160000.0,1
1999-04-26,9.5,9.625,9.5,9.625,160000.0,1
1999-04-27,9.5,9.625,9.5,9.625,160000.0,1
1999-04-28,9.5,9.625,9.5,9.625,160000.0,1
1999-04-29,9.5,9.625,9.5,9.625,160000.0,1
1999-04-30,9.5,9.625,9.5,9.625,160000.0,1
1999-05-03,9.5,9.625,9.5,9.625,160000.0,1
1999-05-04,9.5,9.625,9.5,9.625,160000.0,1
1999-05-05,9.5,9.625,9.5,9.625,160000.0,1
1999-05-06,9.5,9.625,9.5,9.625,160000.0,1
1999-05-07,9.5,9.625,9.5,9.625,160000.0,1
1999-05-10,9.5,9.625,9.5,9.625,160000.0,1
1999-05-11,9.5,9.625,9.5,9.625,160000.0,1
1999-05-12,9.5,9.625,9.5,9.625,160000.0,1
1999-05-13,9.5,9.625,9.5,9.625,160000.0,1
1999-05-14,9.5,9.625,9.5,9.625,160000.0,1
1999-05-17,9.5,9.625,9.5,9.625,160000.0,1
1999-05-18,9.5,9.625,9.5,9.625,160000.0,1
1999-05-19,9.5,9.625,9.5,9.625,160000.0,1
1999-05-20,9.5,9.625,9.5,9.625,160000.0,1
1999-05-21,9.5,9.625,9.5,9.625,160000.0,1
1999-05-24,9.5,9.625,9.5,9.625,160000.0,1
1999-05-25,9.5,9.625,9.5,9.625,160000.0,1
1999-05-26,9.5,9.625,9.5,9.625,160000.0,1
1999-05-27,9.5,9.625,9.5,9.625,160000.0,1
1999-05-28,9.5,9.625,9.5,9.625,160000.0,1
1999-06-01,9.5,9.625,9.5,9.625,160000.0,1
1999-06-02,9.5,9.625,9.5,9.625,160000.0,1
1999-06-03,9.5,9.625,9.5,9.625,160000.0,1
1999-06-04,9.5,9.625,9.5,9.625,160000.0,1
1999-06-07,9.5,9.625,9.5,9.625,160000.0,1
1999-06-08,9.5,9.625,9.5,9.625,160000.0,1
1999-06-09,9.5,9.625,9.5,9.625,160000.0,1
1999-06-10,9.5,9.625,9.5,9.625,160000.0,1
1999-06-11,9.5,9.625,9.5,9.625,160000.0,1
1999-06-14,9.5,9.625,9.5,9.625,160000.0,1
1999-06-15,9.5,9.625,9.5,9.625,160000.0,1
1999-06-16,9.5,9.625,9.5,9.625,160000.0,1
1999-06-17,9.5,9.625,9.5,9.625,160000.0,1
1999-06-18,9.5,9.625,9.5,9.625,160000.0,1
1999-06-21,9.5,9.625,9.5,9.625,160000.0,1
1999-06-22,9.5,9.625,9.5,9.625,160000.0,1
1999-06-23,9.5,9.625,9.5,9.625,160000.0,1
1999-06-24,9.5,9.625,9.5,9.625,160000.0,1
1999-06-25,9.5,9.625,9.5,9.625,160000.0,1
1999-06-28,9.5,9.625,9.5,9.625,160000.0,1
1999-06-29,9.5,9.625,9.5,9.625,160000.0,1
1999-06-30,9.5,9.625,9.5,9.625,160000.0,1
1999-07-01,9.5,9.625,9.5,9.625,160000.0,1
1999-07-02,9.5,9.625,9.5,9.625,160000.0,1
1999-07-06,9.5,9.625,9.5,9.625,160000.0,1
1999-07-07,9.5,9.625,9.5,9.625,160000.0,1
1999-07-08,9.5,9.625,9.5,9.625,160000.0,1
1999-07-09,9.5,9.625,9.5,9.625,160000.0,1
1999-07-12,9.5,9.625,9.5,9.625,160000.0,1
