date,open,high,low,close,volume,padding
1999-01-04,10.813,11.25,10.813,11.047,1605600.0,0
1999-01-05,11.033,11.375,11.015,11.203,1369600.0,0
1999-01-06,11.658,11.735,11.375,11.5,4144000.0,0
1999-01-07,11.5,11.658,11.453,11.658,4406400.0,0
1999-01-08,11.75,12.563,11.75,12.453,7181600.0,0
1999-01-11,12.453,12.47,12.283,12.39,4169600.0,0
1999-01-12,12.453,12.47,12.0,12.0,2859200.0,0
1999-01-13,11.938,11.953,11.5,11.64,2585600.0,0
1999-01-14,11.595,11.735,11.39,11.485,2815200.0,0
1999-01-15,11.5,11.828,11.47,11.75,2346400.0,0
1999-01-19,11.75,11.875,11.47,11.625,3512000.0,0
1999-01-20,11.563,11.672,11.283,11.345,3437600.0,0
1999-01-21,11.345,11.938,11.203,11.908,2600000.0,0
1999-01-22,11.908,11.985,11.188,11.328,1711200.0,0
1999-01-25,11.408,11.908,11.408,11.828,2204800.0,0
1999-01-26,11.75,12.063,11.625,12.047,3536000.0,0
1999-01-27,12.047,12.188,11.595,11.688,5128000.0,0
1999-01-28,12.188,12.313,12.033,12.158,3611200.0,0
1999-01-29,12.158,12.47,12.158,12.25,3398400.0,0
1999-02-01,12.25,12.375,12.172,12.36,1734400.0,0
1999-02-02,12.313,12.313,12.033,12.265,3722400.0,0
1999-02-03,12.265,12.422,11.908,11.953,4026400.0,0
1999-02-04,11.783,11.783,11.5,11.64,7269600.0,0
1999-02-05,11.61,12.265,11.47,12.188,4675200.0,0
1999-02-08,12.172,12.172,11.72,11.845,2504000.0,0
1999-02-09,11.828,11.828,11.595,11.595,2942400.0,0
1999-02-10,11.64,11.64,11.345,11.438,2439200.0,0
1999-02-11,11.375,11.47,11.283,11.408,1348800.0,0
1999-02-12,11.408,11.688,11.22,11.658,2217600.0,0
1999-02-16,11.658,11.72,10.938,11.125,3492800.0,0
1999-02-17,11.095,11.438,10.97,11.063,2641600.0,0
1999-02-18,11.033,11.345,10.97,11.203,1810400.0,0
1999-02-19,11.158,11.25,10.783,10.813,2402400.0,0
1999-02-22,10.813,11.25,10.75,11.033,2565600.0,0
1999-02-23,10.97,11.172,10.938,10.985,3477600.0,0
1999-02-24,11.0,11.158,10.953,11.158,3366400.0,0
1999-02-25,10.875,11.033,10.875,11.033,2313600.0,0
1999-02-26,11.015,11.14,11.0,11.14,1600800.0,0
1999-03-01,11.033,11.033,10.875,10.89,2048800.0,0
1999-03-02,10.875,11.015,10.75,10.765,1085600.0,0
1999-03-03,10.765,10.797,10.595,10.625,2512000.0,0
1999-03-04,10.625,10.875,10.408,10.797,3944000.0,0
1999-03-05,10.86,10.985,10.672,10.75,2259200.0,0
1999-03-08,10.75,10.845,10.72,10.75,3526400.0,0
1999-03-09,10.75,10.75,10.438,10.438,4708000.0,0
1999-03-10,10.485,10.75,10.47,10.703,1621600.0,0
1999-03-11,10.765,10.875,10.658,10.783,936800.0,0
1999-03-12,10.797,10.875,10.625,10.64,1636000.0,0
1999-03-15,10.658,10.72,10.563,10.688,2604000.0,0
1999-03-16,10.658,10.688,10.453,10.578,2068000.0,0
1999-03-17,10.61,10.75,10.438,10.688,2536000.0,0
1999-03-18,10.595,10.938,10.563,10.828,2377600.0,0
