date,open,high,low,close,volume,padding
1999-01-04,41.94,42.75,41.44,41.94,1235200.0,0
1999-01-05,41.56,41.63,41.19,41.31,501800.0,0
1999-01-06,41.19,41.81,41.06,41.44,1031000.0,0
1999-01-07,41.38,41.56,40.88,41.31,1158700.0,0
1999-01-08,41.31,41.69,40.94,41.19,905100.0,0
1999-01-11,41.13,41.44,40.81,40.94,1146100.0,0
1999-01-12,41.0,41.06,40.63,40.94,954300.0,0
1999-01-13,40.13,40.94,40.0,40.81,684400.0,0
1999-01-14,40.81,40.88,38.38,39.44,1215500.0,0
1999-01-15,39.56,40.19,39.56,40.19,892500.0,0
1999-01-19,40.13,40.25,39.19,39.25,990500.0,0
1999-01-20,39.44,39.44,38.25,38.44,1441500.0,0
1999-01-21,38.38,38.38,36.38,36.38,4818500.0,0
1999-01-22,36.38,38.63,36.06,38.06,2691500.0,0
1999-01-25,38.06,38.06,37.38,37.94,1721200.0,0
1999-01-26,37.81,39.25,37.81,39.0,1788800.0,0
1999-01-27,39.25,40.0,38.94,39.0,1119400.0,0
1999-01-28,38.88,41.69,38.88,41.56,2316600.0,0
1999-01-29,41.56,41.88,41.31,41.56,1563800.0,0
1999-02-01,43.0,43.0,41.19,41.94,931000.0,0
1999-02-02,41.0,41.63,40.94,41.5,1033100.0,0
1999-02-03,41.56,41.63,40.38,41.0,910500.0,0
1999-02-04,42.38,43.13,41.5,42.94,1712800.0,0
1999-02-05,42.94,44.38,42.75,44.0,1799500.0,0
1999-02-08,43.0,43.5,42.63,43.06,981500.0,0
1999-02-09,43.0,43.94,42.69,43.81,1225000.0,0
1999-02-10,44.38,45.25,43.94,45.25,1874600.0,0
1999-02-11,45.06,45.31,44.75,45.25,1938300.0,0
1999-02-12,45.0,45.19,44.5,44.69,846200.0,0
1999-02-16,45.31,46.0,45.0,45.06,1190100.0,0
1999-02-17,44.81,45.94,44.75,45.75,1134600.0,0
1999-02-18,45.94,47.63,45.88,46.5,1875000.0,0
1999-02-19,46.5,46.75,46.06,46.69,883700.0,0
1999-02-22,46.56,46.63,45.25,46.0,754400.0,0
1999-02-23,46.06,46.25,45.63,46.13,648300.0,0
1999-02-24,46.13,46.13,44.63,44.75,845000.0,0
1999-02-25,44.38,44.44,41.75,43.38,1699900.0,0
