date,open,high,low,close,volume,padding
1999-01-04,1.01,1.01,1.01,1.01,18145.266,0
1999-01-05,1.01,1.01,0.988,0.988,2847.656,0
1999-01-06,0.988,1.01,0.988,0.988,63605.25,0
1999-01-07,0.988,1.01,0.966,0.966,43796.953,0
1999-01-08,0.966,0.966,0.966,0.966,12153.797,0
1999-01-11,0.966,0.966,0.966,0.966,34650.281,0
1999-01-12,0.966,0.966,0.966,0.966,0.0,0
1999-01-13,1.032,1.032,1.032,1.032,18145.266,0
1999-01-14,0.966,1.037,0.966,1.037,107550.281,0
1999-01-15,0.966,1.043,0.966,1.004,40653.141,0
1999-01-19,0.977,1.043,0.977,1.043,22496.484,0
1999-01-20,1.021,1.021,1.021,1.021,4203.141,0
1999-01-21,1.01,1.01,0.999,0.999,349202.391,0
1999-01-22,0.966,1.043,0.966,1.043,13497.891,0
1999-01-25,1.021,1.021,1.01,1.01,407249.016,0
1999-01-26,1.043,1.043,1.043,1.043,1947.797,0
1999-01-27,1.043,1.043,0.999,0.999,8998.594000000001,0
1999-01-28,1.043,1.043,1.01,1.01,14101.594,0
1999-01-29,1.01,1.043,0.922,0.966,191704.219,0
1999-02-01,0.922,0.966,0.911,0.966,18145.266,0
1999-02-02,1.01,1.043,0.982,0.982,20252.531000000006,0
1999-02-03,1.043,1.043,0.966,0.977,6880199.484,0
1999-02-04,1.004,1.043,1.004,1.01,36450.0,0
1999-02-05,1.01,1.01,1.01,1.01,2847.656,0
1999-02-08,1.021,1.043,1.021,1.043,13497.891,0
1999-02-09,1.043,1.043,0.966,0.966,15445.688,0
1999-02-10,1.043,1.043,1.01,1.043,15445.688,0
1999-02-11,0.966,0.982,0.966,0.982,24455.672,0
1999-02-12,0.933,1.043,0.933,1.043,138601.125,0
1999-02-16,1.043,1.043,1.043,1.043,0.0,0
1999-02-17,1.004,1.004,1.004,1.004,6299.016,0
1999-02-18,0.966,1.015,0.966,1.01,439347.797,0
1999-02-19,1.004,1.004,1.004,1.004,111297.797,0
1999-02-22,0.966,0.966,0.966,0.966,25651.688,0
1999-02-23,1.01,1.01,0.977,0.977,20252.531000000006,0
1999-02-24,0.966,1.01,0.966,1.01,6299.016,0
1999-02-25,1.021,1.043,1.021,1.043,10946.391,0
1999-02-26,0.966,0.966,0.966,0.966,6299.016,0
1999-03-01,0.966,0.966,0.966,0.966,0.0,0
1999-03-02,1.024,1.024,1.004,1.01,130502.391,0
1999-03-03,1.01,1.01,1.01,1.01,0.0,0
1999-03-04,1.01,1.01,1.01,1.01,0.0,0
1999-03-05,1.01,1.01,0.999,0.999,14101.594,0
1999-03-08,1.01,1.043,0.999,0.999,23100.188,0
1999-03-09,0.999,0.999,0.999,0.999,0.0,0
1999-03-10,0.999,0.999,0.999,0.999,0.0,0
1999-03-11,0.999,0.999,0.999,0.999,0.0,0
1999-03-12,1.043,1.043,1.01,1.043,36598.078,0
1999-03-15,1.01,1.01,1.01,1.01,12153.797,0
1999-03-16,1.01,1.01,0.999,0.999,96000.188,0
1999-03-17,0.999,1.053,0.999,1.024,159901.594,0
1999-03-18,1.024,1.024,1.024,1.024,0.0,0
1999-03-19,1.026,1.026,0.999,1.026,34650.281,0
1999-03-22,1.053,1.053,1.053,1.053,148.078,0
1999-03-23,1.026,1.026,1.021,1.021,93152.531,0
1999-03-24,1.032,1.032,1.032,1.032,4203.141,0
1999-03-25,0.999,1.053,0.999,1.032,43796.953,0
1999-03-26,0.999,0.999,0.999,0.999,1947.797,0
1999-03-29,0.999,0.999,0.999,0.999,0.0,0
1999-03-30,0.999,1.053,0.999,1.021,220647.797,0
1999-03-31,0.999,0.999,0.999,0.999,303753.797,0
1999-04-01,1.043,1.043,0.966,0.966,56702.531,0
1999-04-05,0.955,0.955,0.713,0.922,330897.656,0
1999-04-06,0.922,1.087,0.922,0.933,64049.484,0
1999-04-07,0.933,0.933,0.933,0.933,0.0,0
1999-04-08,0.933,0.933,0.922,0.922,10946.391,0
1999-04-09,0.922,0.922,0.922,0.922,148.078,0
1999-04-12,0.917,0.944,0.917,0.944,30299.063,0
1999-04-13,0.944,0.944,0.933,0.944,50551.59400000001,0
1999-04-14,0.944,0.944,0.944,0.944,10946.391,0
1999-04-15,0.944,0.955,0.933,0.955,30299.063,0
1999-04-16,0.955,0.955,0.933,0.933,105294.938,0
1999-04-19,0.955,0.955,0.944,0.944,43796.953,0
1999-04-20,0.878,0.922,0.867,0.922,161245.688,0
1999-04-21,0.955,0.955,0.944,0.944,116696.953,0
1999-04-22,0.966,1.032,0.966,1.032,145948.078,0
1999-04-23,0.944,1.032,0.944,1.032,29251.125,0
1999-04-26,1.032,1.032,1.032,1.032,0.0,0
1999-04-27,0.977,0.977,0.966,0.966,15445.688,0
1999-04-28,1.043,1.07,0.988,1.07,113553.141,0
1999-04-29,1.07,1.07,1.07,1.07,0.0,0
1999-04-30,0.988,0.988,0.988,0.988,22496.484,0
1999-05-03,0.988,0.988,0.988,0.988,0.0,0
1999-05-04,1.053,1.131,1.053,1.131,57602.391,0
1999-05-05,1.053,1.055,1.053,1.055,15445.688,0
1999-05-06,1.043,1.043,1.043,1.043,20252.531000000006,0
1999-05-07,1.097,1.097,1.097,1.097,1947.797,0
1999-05-10,1.032,1.053,0.988,1.01,73048.078,0
1999-05-11,1.01,1.065,1.004,1.0590000000000002,455852.813,0
1999-05-12,1.0590000000000002,1.0590000000000002,1.0590000000000002,1.0590000000000002,0.0,0
1999-05-13,0.988,0.988,0.988,0.988,2847.656,0
1999-05-14,1.043,1.043,1.01,1.01,179550.422,0
1999-05-17,1.109,1.109,1.037,1.043,54902.813,0
1999-05-18,1.032,1.032,1.032,1.032,1947.797,0
1999-05-19,1.097,1.097,1.032,1.043,18452.813,0
1999-05-20,1.043,1.043,1.043,1.043,0.0,0
1999-05-21,1.109,1.109,1.01,1.01,1947.797,0
1999-05-24,1.01,1.01,1.01,1.01,0.0,0
1999-05-25,1.032,1.032,1.032,1.032,20252.531000000006,0
1999-05-26,1.01,1.01,1.01,1.01,4203.141,0
1999-05-27,1.01,1.01,1.01,1.01,7346.953,0
1999-05-28,1.053,1.053,1.032,1.053,24455.672,0
1999-06-01,1.053,1.075,1.053,1.065,172955.25,0
1999-06-02,1.01,1.097,1.01,1.01,18452.813,0
1999-06-03,1.097,1.119,1.097,1.119,4954.922000000001,0
1999-06-04,1.043,1.097,1.043,1.053,95396.484,0
1999-06-07,1.053,1.053,1.053,1.053,15445.688,0
1999-06-08,1.032,1.053,1.026,1.026,21152.391,0
1999-06-09,1.053,1.087,1.026,1.053,56702.531,0
1999-06-10,1.053,1.053,1.043,1.053,45904.21900000001,0
1999-06-11,1.065,1.065,0.966,1.043,65701.125,0
1999-06-14,1.053,1.075,1.01,1.032,36450.0,0
1999-06-15,0.966,0.988,0.966,0.988,36598.078,0
1999-06-16,1.015,1.065,1.01,1.01,131846.484,0
1999-06-17,1.065,1.065,1.053,1.053,9454.219,0
1999-06-18,1.032,1.053,1.032,1.053,6299.016,0
1999-06-21,1.053,1.053,1.043,1.043,18145.266,0
1999-06-22,1.053,1.087,1.053,1.087,33750.422,0
1999-06-23,1.087,1.097,1.01,1.032,87001.594,0
1999-06-24,1.065,1.065,1.01,1.021,106650.422,0
1999-06-25,1.037,1.053,1.021,1.021,36450.0,0
1999-06-28,1.021,1.097,1.021,1.097,33750.422,0
1999-06-29,1.043,1.043,1.043,1.043,6299.016,0
1999-06-30,1.021,1.043,1.021,1.043,4203.141,0
1999-07-01,1.021,1.097,1.021,1.097,50551.59400000001,0
1999-07-02,1.097,1.097,1.087,1.087,77103.141,0
1999-07-06,1.087,1.087,1.087,1.087,0.0,0
1999-07-07,1.097,1.119,1.032,1.119,58946.484,0
1999-07-08,1.119,1.119,1.119,1.119,0.0,0
1999-07-09,1.032,1.141,1.032,1.141,65701.125,0
1999-07-12,1.119,1.141,1.119,1.141,12153.797,0
1999-07-13,1.119,1.119,1.119,1.119,2847.656,0
1999-07-14,1.125,1.125,1.125,1.125,148.078,0
1999-07-15,1.141,1.141,1.119,1.141,40653.141,0
1999-07-16,1.131,1.131,1.131,1.131,10946.391,0
1999-07-19,1.131,1.153,1.131,1.141,106650.422,0
1999-07-20,1.141,1.141,1.141,1.141,22496.484,0
1999-07-21,1.141,1.141,1.141,1.141,0.0,0
1999-07-22,1.141,1.141,1.141,1.141,0.0,0
1999-07-23,1.153,1.185,1.153,1.185,43796.953,0
1999-07-26,1.197,1.219,1.158,1.219,49947.891,0
1999-07-27,1.229,1.229,1.229,1.229,18452.813,0
1999-07-28,1.24,1.317,1.207,1.317,70200.422,0
1999-07-29,1.273,1.273,1.229,1.229,10946.391,0
1999-07-30,1.27,1.317,1.268,1.317,22496.484,0
1999-08-02,1.295,1.306,1.284,1.306,36450.0,0
1999-08-03,1.284,1.295,1.284,1.284,51895.688,0
1999-08-04,1.284,1.295,1.284,1.295,16345.547,0
1999-08-05,1.295,1.295,1.295,1.295,0.0,0
1999-08-06,1.284,1.284,1.284,1.284,10946.391,0
1999-08-09,1.284,1.295,1.273,1.278,125695.547,0
1999-08-10,1.306,1.306,1.306,1.306,4203.141,0
1999-08-11,1.229,1.229,1.229,1.229,148.078,0
1999-08-12,1.229,1.229,1.229,1.229,0.0,0
1999-08-13,1.295,1.317,1.295,1.317,36450.0,0
1999-08-16,1.317,1.317,1.317,1.317,0.0,0
1999-08-17,1.251,1.295,1.185,1.185,79199.016,0
1999-08-18,1.237,1.273,1.207,1.207,120296.391,0
1999-08-19,1.207,1.262,1.207,1.219,20252.531000000006,0
1999-08-20,1.219,1.219,1.219,1.219,0.0,0
1999-08-23,1.262,1.273,1.262,1.273,9454.219,0
1999-08-24,1.251,1.251,1.251,1.251,10946.391,0
1999-08-25,1.251,1.251,1.251,1.251,118348.594,0
1999-08-26,1.251,1.251,1.251,1.251,0.0,0
1999-08-27,1.317,1.317,1.317,1.317,13497.891,0
1999-08-30,1.317,1.317,1.317,1.317,0.0,0
1999-08-31,1.229,1.229,1.163,1.229,22496.484,0
1999-09-01,1.229,1.251,1.229,1.251,27155.25,0
1999-09-02,1.234,1.306,1.229,1.306,9454.219,0
1999-09-03,1.306,1.306,1.306,1.306,0.0,0
1999-09-07,1.284,1.295,1.229,1.229,75747.656,0
1999-09-08,1.119,1.119,1.119,1.119,4203.141,0
1999-09-09,1.119,1.119,1.119,1.119,0.0,0
1999-09-10,1.141,1.163,1.141,1.163,8998.594000000001,0
1999-09-13,1.163,1.163,1.163,1.163,10946.391,0
1999-09-14,1.251,1.251,1.251,1.251,6299.016,0
1999-09-15,1.251,1.251,1.251,1.251,0.0,0
1999-09-16,1.251,1.251,1.251,1.251,0.0,0
1999-09-17,1.127,1.284,1.127,1.284,22496.484,0
1999-09-20,1.125,1.125,1.125,1.125,1947.797,0
1999-09-21,1.119,1.119,1.119,1.119,7346.953,0
1999-09-22,1.119,1.119,1.119,1.119,0.0,0
1999-09-23,1.119,1.119,1.119,1.119,1947.797,0
1999-09-24,1.251,1.251,1.251,1.251,148.078,0
1999-09-27,1.295,1.295,1.229,1.229,6299.016,0
1999-09-28,1.185,1.273,1.185,1.273,1947.797,0
1999-09-29,1.273,1.273,1.273,1.273,0.0,0
1999-09-30,1.273,1.295,1.273,1.295,22496.484,0
1999-10-01,1.163,1.295,1.163,1.295,47396.391,0
1999-10-04,1.141,1.141,1.141,1.141,4954.922000000001,0
1999-10-05,1.141,1.141,1.141,1.141,0.0,0
1999-10-06,1.01,1.01,1.01,1.01,148.078,0
1999-10-07,1.065,1.065,1.065,1.065,1947.797,0
1999-10-08,1.065,1.065,1.065,1.065,0.0,0
1999-10-11,1.053,1.075,1.053,1.075,10946.391,0
1999-10-12,1.097,1.119,1.097,1.119,13497.891,0
1999-10-13,1.119,1.119,1.119,1.119,0.0,0
1999-10-14,1.053,1.053,1.053,1.053,1947.797,0
1999-10-15,1.032,1.032,1.032,1.032,148.078,0
1999-10-18,1.032,1.032,1.032,1.032,148.078,0
1999-10-19,1.032,1.032,1.032,1.032,0.0,0
1999-10-20,1.092,1.092,1.087,1.087,7346.953,0
1999-10-21,1.092,1.092,1.087,1.087,22496.484,0
1999-10-22,1.043,1.043,1.043,1.043,2847.656,0
1999-10-25,1.068,1.068,0.856,0.9,218848.078,0
1999-10-26,1.021,1.053,1.021,1.053,14101.594,0
1999-10-27,1.053,1.053,1.053,1.053,0.0,0
1999-10-28,0.977,1.097,0.977,1.068,24455.672,0
1999-10-29,1.097,1.183,1.097,1.103,48603.797,0
1999-11-01,1.103,1.103,1.103,1.103,0.0,0
1999-11-02,1.103,1.103,1.103,1.103,0.0,0
1999-11-03,1.109,1.131,1.109,1.131,6299.016,0
1999-11-04,1.131,1.131,1.131,1.131,0.0,0
1999-11-05,1.131,1.131,1.131,1.131,0.0,0
1999-11-08,1.131,1.131,1.131,1.131,0.0,0
1999-11-09,1.131,1.131,1.131,1.131,0.0,0
1999-11-10,1.125,1.131,1.119,1.131,8998.594000000001,0
1999-11-11,1.131,1.131,1.131,1.131,0.0,0
1999-11-12,1.131,1.131,1.131,1.131,0.0,0
1999-11-15,1.125,1.141,1.125,1.141,10946.391,0
1999-11-16,1.141,1.147,1.131,1.131,29251.125,0
1999-11-17,1.131,1.131,1.131,1.131,0.0,0
1999-11-18,1.131,1.131,1.119,1.131,30299.063,0
1999-11-19,1.119,1.119,1.119,1.119,1947.797,0
1999-11-22,1.131,1.131,0.889,0.889,48603.797,0
1999-11-23,1.075,1.141,1.037,1.043,48603.797,0
1999-11-24,1.048,1.048,1.037,1.037,9454.219,0
1999-11-26,1.037,1.053,1.037,1.053,1947.797,0
1999-11-29,1.119,1.141,1.119,1.141,16345.547,0
1999-11-30,1.119,1.119,1.119,1.119,148.078,0
1999-12-01,1.119,1.119,1.119,1.119,0.0,0
1999-12-02,1.119,1.119,1.119,1.119,0.0,0
1999-12-03,1.119,1.119,1.119,1.119,0.0,0
1999-12-06,1.119,1.119,1.109,1.109,4954.922000000001,0
1999-12-07,1.109,1.109,1.109,1.109,148.078,0
1999-12-08,1.097,1.109,1.097,1.109,16345.547,0
1999-12-09,1.114,1.119,1.109,1.119,82354.219,0
1999-12-10,1.114,1.114,1.103,1.103,10946.391,0
1999-12-13,1.109,1.119,1.103,1.119,47396.391,0
1999-12-14,1.119,1.119,1.119,1.119,0.0,0
1999-12-15,1.092,1.109,1.092,1.109,7346.953,0
1999-12-16,1.109,1.109,1.109,1.109,0.0,0
1999-12-17,1.092,1.092,1.048,1.048,27155.25,0
1999-12-20,1.026,1.026,0.938,0.944,7346.953,0
1999-12-21,1.053,1.053,0.895,1.053,10946.391,0
1999-12-22,0.883,1.075,0.883,1.053,20252.531000000006,0
1999-12-23,1.032,1.097,0.922,1.075,7346.953,0
1999-12-27,1.097,1.097,0.889,0.895,40653.141,0
1999-12-28,1.097,1.109,1.087,1.087,18452.813,0
1999-12-29,1.087,1.087,1.01,1.043,27599.484,0
1999-12-30,1.01,1.01,0.927,0.988,18452.813,0
1999-12-31,0.993,0.993,0.944,0.944,13497.891,0
2000-01-03,0.944,0.988,0.944,0.988,43796.953,0
2000-01-04,0.966,0.966,0.966,0.966,148.078,0
2000-01-05,1.087,1.087,1.087,1.087,148.078,0
2000-01-06,0.988,0.988,0.988,0.988,1947.797,0
2000-01-07,0.988,0.988,0.988,0.988,16345.547,0
2000-01-10,1.021,1.097,1.021,1.097,51895.688,0
2000-01-11,1.075,1.109,0.955,0.955,129602.531,0
2000-01-12,0.977,0.977,0.977,0.977,30299.063,0
2000-01-13,0.977,0.977,0.977,0.977,0.0,0
2000-01-14,1.032,1.032,0.999,0.999,16345.547,0
2000-01-18,0.999,1.053,0.999,1.053,57602.391,0
2000-01-19,1.043,1.087,1.043,1.087,75747.656,0
2000-01-20,1.075,1.119,1.075,1.119,8998.594000000001,0
2000-01-21,1.087,1.087,1.087,1.087,21152.391,0
2000-01-24,1.109,1.114,1.109,1.109,15445.688,0
2000-01-25,1.109,1.109,1.087,1.103,36598.078,0
2000-01-26,1.114,1.114,1.109,1.109,25651.688,0
2000-01-27,1.109,1.109,1.109,1.109,6299.016,0
2000-01-28,1.119,1.119,1.119,1.119,1947.797,0
2000-01-31,1.109,1.109,1.01,1.043,228154.219,0
2000-02-01,1.0590000000000002,1.075,1.032,1.043,121503.797,0
2000-02-02,1.114,1.114,1.043,1.053,141744.938,0
2000-02-03,1.053,1.119,1.053,1.119,45904.21900000001,0
2000-02-04,1.119,1.119,1.119,1.119,12153.797,0
2000-02-07,1.119,1.119,1.097,1.103,40653.141,0
2000-02-08,1.087,1.119,1.087,1.119,6299.016,0
2000-02-09,1.097,1.097,1.097,1.097,2847.656,0
2000-02-10,1.087,1.087,1.087,1.087,16345.547,0
2000-02-11,1.087,1.097,1.087,1.097,41404.922,0
2000-02-14,1.119,1.119,1.053,1.053,23100.188,0
2000-02-15,1.053,1.053,1.053,1.053,0.0,0
2000-02-16,1.087,1.097,1.087,1.097,16345.547,0
