date,open,high,low,close,volume,padding
1999-01-04,28.875,29.78,28.75,28.905,1406800.0,0
1999-01-05,29.0,29.0,28.53,28.69,1590800.0,0
1999-01-06,28.69,29.315,28.69,29.155,1250200.0,0
1999-01-07,29.03,29.125,28.815,28.905,941800.0,0
1999-01-08,28.905,28.97,28.69,28.97,1900000.0,0
1999-01-11,29.0,29.44,28.815,29.28,1462000.0,0
1999-01-12,29.19,29.22,28.5,28.655,1072000.0,0
1999-01-13,28.0,28.345,28.0,28.155,920200.0,0
1999-01-14,28.25,28.875,28.25,28.44,1585000.0,0
1999-01-15,28.75,28.875,28.375,28.47,973800.0,0
1999-01-19,28.47,28.47,27.97,28.25,1564200.0,0
1999-01-20,28.25,29.315,28.25,29.25,1776000.0,0
1999-01-21,29.5,30.94,29.47,30.94,2004000.0,0
1999-01-22,30.875,30.875,29.905,30.03,1090200.0,0
1999-01-25,29.595,30.625,29.595,30.595,1102600.0,0
1999-01-26,30.5,31.375,30.44,31.125,1821200.0,0
1999-01-27,31.5,31.5,30.655,30.905,647800.0,0
1999-01-28,31.19,31.47,31.03,31.345,762200.0,0
1999-01-29,32.25,32.25,31.375,32.0,1719200.0,0
1999-02-01,32.0,32.25,31.565,31.655,623200.0,0
1999-02-02,31.72,31.94,30.595,31.125,1105400.0,0
1999-02-03,31.155,31.315,30.97,31.22,1211600.0,0
1999-02-04,31.345,31.375,30.72,30.75,786200.0,0
1999-02-05,31.0,31.19,30.19,30.565,475800.0,0
1999-02-08,30.53,30.625,29.845,30.095,930400.0,0
1999-02-09,30.03,30.03,29.155,29.625,911800.0,0
1999-02-10,29.69,30.69,29.69,30.53,1091200.0,0
1999-02-11,30.625,31.94,30.625,31.94,858600.0,0
1999-02-12,31.5,32.0,31.405,31.69,769200.0,0
1999-02-16,31.815,32.75,31.75,32.595,1123200.0,0
1999-02-17,32.565,33.47,32.405,32.97,2220400.0,0
1999-02-18,33.065,33.75,32.875,32.875,2463000.0,0
1999-02-19,32.875,33.405,32.53,32.53,1761000.0,0
1999-02-22,32.53,33.345,32.53,33.0,1039800.0,0
1999-02-23,33.19,33.44,32.375,32.565,1159800.0,0
1999-02-24,32.595,33.19,32.47,32.97,1866200.0,0
1999-02-25,32.97,32.97,32.53,32.97,1158800.0,0
1999-02-26,33.0,33.5,32.625,33.125,1141200.0,0
1999-03-01,32.875,33.345,32.875,33.25,1952000.0,0
1999-03-02,33.25,33.5,32.875,33.0,1757400.0,0
1999-03-03,33.0,33.22,32.94,33.03,1159400.0,0
1999-03-04,33.125,33.5,33.03,33.125,906600.0,0
1999-03-05,33.19,33.625,32.815,33.595,659200.0,0
1999-03-08,33.595,34.125,33.47,34.0,787800.0,0
1999-03-09,34.44,34.72,33.905,33.94,1170200.0,0
1999-03-10,33.845,34.315,33.78,34.315,1033800.0,0
1999-03-11,34.44,35.845,34.375,35.815,1556000.0,0
1999-03-12,35.875,35.875,34.69,34.815,813800.0,0
1999-03-15,34.815,35.22,34.69,34.75,839200.0,0
1999-03-16,34.75,35.0,34.595,34.875,1494400.0,0
1999-03-17,36.25,36.44,35.405,35.47,1809800.0,0
1999-03-18,35.5,36.0,35.5,35.875,2285400.0,0
1999-03-19,35.875,37.065,35.845,36.97,3059000.0,0
1999-03-22,36.905,38.375,36.845,37.78,1897800.0,0
1999-03-23,37.69,37.72,36.625,36.75,1269400.0,0
1999-03-24,36.815,37.565,36.78,37.28,1105400.0,0
1999-03-25,37.28,37.75,37.25,37.595,1277200.0,0
1999-03-26,37.5,39.625,37.44,38.75,1543800.0,0
1999-03-29,38.75,39.22,38.065,39.22,1536200.0,0
1999-03-30,39.155,40.47,39.125,39.69,1866000.0,0
1999-03-31,39.655,40.095,39.625,39.97,1124600.0,0
1999-04-01,39.845,39.845,37.25,38.19,2958200.0,0
1999-04-05,38.25,39.5,38.19,39.28,1309800.0,0
1999-04-06,39.375,40.03,38.5,38.815,1039400.0,0
1999-04-07,38.94,40.0,38.875,39.97,784600.0,0
1999-04-08,40.03,40.905,39.94,40.815,756800.0,0
1999-04-09,40.815,42.19,40.44,42.19,1020200.0,0
1999-04-12,41.5,42.97,41.375,42.565,1054600.0,0
1999-04-13,42.5,42.565,41.19,41.625,862400.0,0
1999-04-14,41.655,41.72,39.155,39.25,1250800.0,0
1999-04-15,39.25,39.28,36.75,37.25,2418400.0,0
1999-04-16,36.875,37.94,36.595,37.595,1239600.0,0
1999-04-19,38.25,38.25,35.0,35.565,1257000.0,0
1999-04-20,35.565,36.655,35.375,36.155,1325200.0,0
1999-04-21,36.155,38.19,36.03,38.125,1151600.0,0
1999-04-22,39.0,39.315,38.625,38.94,1436200.0,0
1999-04-23,36.5,38.72,36.5,38.25,3177600.0,0
1999-04-26,38.315,38.78,38.28,38.655,1113800.0,0
1999-04-27,38.78,38.78,37.5,38.44,1189000.0,0
1999-04-28,38.47,38.5,37.75,38.0,1220200.0,0
1999-04-29,37.875,38.22,37.315,37.375,673600.0,0
1999-04-30,37.315,37.315,35.78,36.25,1708000.0,0
1999-05-03,36.125,37.065,35.94,36.845,1158400.0,0
1999-05-04,36.845,37.03,36.155,36.25,638800.0,0
1999-05-05,36.22,36.28,34.345,35.28,1146200.0,0
1999-05-06,35.405,35.405,34.595,34.78,1658400.0,0
1999-05-07,34.625,34.75,33.595,34.065,1594000.0,0
1999-05-10,34.065,34.5,33.815,34.03,934000.0,0
1999-05-11,34.25,35.0,34.095,34.905,529800.0,0
1999-05-12,35.625,37.75,35.0,37.69,1590000.0,0
1999-05-13,37.375,37.595,36.44,36.44,1169800.0,0
1999-05-14,36.315,36.845,36.0,36.845,752400.0,0
