date,open,high,low,close,volume,padding
1999-01-04,7.272,7.407,7.063,7.1670000000000025,43098000.0,0
1999-01-05,7.0420000000000025,7.397,6.9270000000000005,7.385,67004400.0,0
1999-01-06,7.438,7.832999999999997,7.385,7.73,75255600.0,0
1999-01-07,7.542000000000002,7.855,7.542000000000002,7.605,48528000.0,0
1999-01-08,7.647,7.74,7.5,7.707999999999997,50915202.0,0
1999-01-11,7.917000000000002,8.01,7.792000000000002,7.865,55628400.0,0
1999-01-12,7.98,8.0,7.522,7.657,43664400.0,0
1999-01-13,7.49,7.792000000000002,7.272,7.625,63853602.0,0
1999-01-14,7.688,7.688,7.292000000000002,7.438,59686002.0,0
1999-01-15,7.542000000000002,7.885,7.427,7.855,69376800.0,0
1999-01-19,8.333,8.677,8.217,8.615,95794800.0,0
1999-01-20,8.917,8.98,8.48,8.48,81503202.0,0
1999-01-21,8.458,8.677,8.022,8.115,92054802.0,0
1999-01-22,7.897,8.677,7.875,8.312999999999999,61857600.0,0
1999-01-25,8.417,8.667,8.292,8.51,32653200.0,0
1999-01-26,8.638,8.823,8.552,8.812999999999997,40450002.0,0
1999-01-27,8.855,8.948,8.5,8.5,54046002.0,0
1999-01-28,8.667,9.052,8.657,8.948,55992000.0,0
1999-01-29,9.083,9.355,9.022,9.23,68132400.0,0
1999-02-01,9.708,10.063,9.583,9.855,88941600.0,0
1999-02-02,10.147,10.292,9.522,9.802,105376800.0,0
1999-02-03,9.855,10.135,9.772,10.125,56942400.0,0
1999-02-04,10.208,10.23,9.708,9.718,49136802.0,0
1999-02-05,9.718,9.75,9.26,9.365,81045600.0,0
1999-02-08,9.542,9.823,9.48,9.563,56399202.0,0
1999-02-09,9.615,9.647,8.958,9.105,52063602.0,0
1999-02-10,9.188,9.375,8.74,8.948,74451600.0,0
1999-02-11,9.073,9.948,9.0,9.927,77552400.0,0
1999-02-12,9.667,9.75,9.343,9.448,65795202.0,0
1999-02-16,9.688,9.772,8.782,8.907,61094400.0,0
1999-02-17,8.812999999999997,9.438,8.375,8.542,84750402.0,0
1999-02-18,8.667,8.782,8.25,8.468,94698402.0,0
1999-02-19,8.573,9.042,8.48,9.032,51931200.0,0
1999-02-22,9.157,9.188,8.948,9.093,59874402.0,0
1999-02-23,9.198,9.772,9.147,9.75,60813600.0,0
1999-02-24,9.823,9.833,9.26,9.282,45501600.0,0
1999-02-25,9.25,9.823,9.083,9.667,87832800.0,0
1999-02-26,9.615,9.615,9.115,9.313,55968000.0,0
1999-03-01,9.36,9.515,8.953,9.158,31278932.0,0
1999-03-02,9.297,9.453,8.735,8.828,41852800.0,0
1999-03-03,8.937999999999997,8.985,8.095,8.75,67898400.0,0
1999-03-04,8.828,9.297,8.783,9.095,53987600.0,0
1999-03-05,9.36,9.533,9.203,9.36,30049200.0,0
1999-03-08,9.515,9.672,9.125,9.578,79701600.0,0
1999-03-09,9.453,9.908,9.375,9.688,60371200.0,0
1999-03-10,9.908,9.908,9.235,9.485,101269600.0,0
1999-03-11,9.625,9.625,8.72,9.22,96672400.0,0
1999-03-12,7.532,7.625,7.0,7.14,403753600.0,0
1999-03-15,7.353,7.53,7.25,7.5,120536000.0,0
1999-03-16,7.595,7.625,7.36,7.452000000000001,80118000.0,0
1999-03-17,7.5,7.5,7.265,7.265,47204000.0,0
1999-03-18,7.297999999999999,7.47,7.25,7.422999999999999,52340400.0,0
1999-03-19,7.5,7.5,6.86,6.89,112506800.0,0
1999-03-22,7.032,7.14,6.782,6.797999999999999,48056800.0,0
1999-03-23,6.797999999999999,6.813,6.5,6.515,59231200.0,0
1999-03-24,6.563,6.577000000000001,6.452000000000001,6.485,57314400.0,0
1999-03-25,6.688,6.782,6.532,6.672999999999999,61482800.0,0
1999-03-26,6.735,7.032,6.563,6.875,48299600.0,0
1999-03-29,7.063,7.14,6.875,7.125,46350400.0,0
1999-03-30,7.11,7.188,6.72,6.72,38966400.0,0
1999-03-31,6.938,7.015,6.563,6.595,62015200.0,0
1999-04-01,6.72,6.75,6.407,6.452000000000001,73686400.0,0
1999-04-05,6.657,6.672999999999999,6.25,6.327000000000001,82389200.0,0
1999-04-06,6.345,6.375,5.875,5.922999999999999,99907600.0,0
1999-04-07,6.015,6.063,5.25,5.36,194831200.0,0
1999-04-08,5.438,5.875,5.36,5.827000000000001,137565600.0,0
1999-04-09,6.157,6.5,5.907,6.47,152150000.0,0
1999-04-12,6.345,6.625,6.25,6.25,90573200.0,0
1999-04-13,6.39,6.407,5.86,5.907,86128000.0,0
1999-04-14,6.11,6.36,5.985,6.032,62267600.0,0
1999-04-15,6.22,6.407,6.125,6.22,62860800.0,0
1999-04-16,6.297999999999999,6.297999999999999,6.11,6.125,50318000.0,0
1999-04-19,6.235,6.25,5.845,5.845,70212800.0,0
1999-04-20,5.813,6.032,5.72,5.813,89227200.0,0
1999-04-21,5.925,6.063,5.813,6.032,60174000.0,0
1999-04-22,6.22,6.515,6.063,6.452000000000001,64498800.0,0
1999-04-23,6.47,6.922999999999999,6.438,6.835,71249600.0,0
1999-04-26,6.97,7.313,6.938,7.172999999999999,70492400.0,0
1999-04-27,7.282,7.282,6.845,7.015,52992800.0,0
1999-04-28,7.0,7.063,6.657,6.827000000000001,40228400.0,0
1999-04-29,6.845,6.922999999999999,6.688,6.813,38068800.0,0
1999-04-30,6.938,7.077000000000001,6.595,6.765,39295200.0,0
1999-05-03,6.702000000000001,6.702000000000001,6.375,6.515,77500000.0,0
1999-05-04,6.407,6.422999999999999,6.22,6.297999999999999,77888800.0,0
1999-05-05,6.282,6.282,6.032,6.25,84511600.0,0
1999-05-06,6.235,6.345,6.015,6.047999999999999,56171600.0,0
1999-05-07,6.095,6.265,5.91,6.125,58082000.0,0
1999-05-10,6.157,6.157,5.97,6.095,62537600.0,0
1999-05-11,6.188,6.485,6.058,6.202000000000001,83342000.0,0
1999-05-12,6.282,6.563,6.032,6.327000000000001,100062800.0,0
1999-05-13,5.97,6.345,5.735,5.75,229328400.0,0
1999-05-14,5.907,6.157,5.845,5.97,159232400.0,0
1999-05-17,6.077000000000001,6.25,5.952000000000001,6.125,55369200.0,0
1999-05-18,6.22,6.25,6.125,6.202000000000001,42034400.0,0
1999-05-19,6.282,6.625,6.25,6.595,68676000.0,0
1999-05-20,6.672999999999999,6.75,6.327000000000001,6.327000000000001,82693200.0,0
1999-05-21,6.313,6.702000000000001,6.282,6.438,47640000.0,0
1999-05-24,6.547999999999999,6.61,6.14,6.188,51160400.0,0
1999-05-25,6.297999999999999,6.345,6.0,6.0,49319600.0,0
1999-05-26,5.907,6.0,5.64,5.86,91702000.0,0
1999-05-27,5.875,6.047999999999999,5.735,5.89,51938000.0,0
1999-05-28,5.952000000000001,6.22,5.922999999999999,6.202000000000001,37284800.0,0
1999-06-01,6.235,6.5,6.22,6.375,59201600.0,0
1999-06-02,6.345,6.563,6.297999999999999,6.547999999999999,52914800.0,0
1999-06-03,6.64,6.89,6.625,6.875,97686000.0,0
1999-06-04,6.938,7.202000000000001,6.875,7.172999999999999,95625600.0,0
1999-06-07,7.22,7.25,7.032,7.125,54590800.0,0
1999-06-08,7.047999999999999,7.063,6.688,6.782,47042400.0,0
1999-06-09,6.813,6.827000000000001,6.563,6.672999999999999,43354000.0,0
1999-06-10,6.595,6.61,6.375,6.515,50374000.0,0
1999-06-11,6.5,6.563,6.25,6.282,55334800.0,0
1999-06-14,6.407,6.657,6.375,6.61,68968000.0,0
1999-06-15,6.688,6.89,6.235,6.282,114050800.0,0
1999-06-16,8.172,8.345,8.062999999999999,8.235,405908000.0,0
1999-06-17,7.938,8.75,7.938,8.72,202552400.0,0
1999-06-18,8.312999999999999,8.985,8.297,8.765,124886400.0,0
1999-06-21,8.687999999999999,8.845,8.515,8.533,62167600.0,0
1999-06-22,8.345,8.687999999999999,8.25,8.533,62997600.0,0
1999-06-23,8.39,8.797,8.375,8.783,75558800.0,0
1999-06-24,8.735,9.063,8.735,8.922,85113600.0,0
1999-06-25,8.97,9.057,8.828,8.937999999999997,34084800.0,0
1999-06-28,8.937999999999997,9.188,8.937999999999997,9.172,43406000.0,0
1999-06-29,9.11,9.283,9.033,9.283,45924000.0,0
1999-06-30,9.188,9.328,9.015,9.283,47386800.0,0
1999-07-01,9.22,9.5,9.095,9.438,48526800.0,0
1999-07-02,9.422,9.658,9.39,9.61,41040800.0,0
1999-07-06,9.563,9.75,9.485,9.672,47408000.0,0
1999-07-07,9.578,9.703,9.533,9.672,43384000.0,0
1999-07-08,9.547,9.783,9.533,9.735,41420800.0,0
1999-07-09,9.75,9.828,9.595,9.828,40340000.0,0
1999-07-12,9.72,9.765,9.625,9.72,42054000.0,0
1999-07-13,9.563,9.735,9.563,9.672,57056800.0,0
1999-07-14,9.703,9.72,9.422,9.515,63491200.0,0
1999-07-15,9.485,9.797,9.438,9.75,66302000.0,0
1999-07-16,9.813,9.953,9.783,9.938,60138000.0,0
1999-07-19,9.908,9.938,9.797,9.875,41648000.0,0
1999-07-20,9.783,9.783,9.235,9.375,57625200.0,0
1999-07-21,9.36,9.578,9.297,9.533,31700400.0,0
1999-07-22,9.485,9.485,8.812999999999997,9.063,44054800.0,0
1999-07-23,9.078,9.203,8.845,9.047,27679600.0,0
1999-07-26,8.86,9.095,8.703,8.75,29542000.0,0
1999-07-27,8.89,9.39,8.82,9.265,46239200.0,0
1999-07-28,9.25,9.547,9.063,9.422,33699200.0,0
1999-07-29,9.235,9.595,9.203,9.515,46836800.0,0
1999-07-30,9.485,9.61,9.39,9.515,29497200.0,0
1999-08-02,9.453,9.75,9.39,9.533,32924400.0,0
1999-08-03,9.547,9.61,8.985,9.283,44406800.0,0
1999-08-04,9.22,9.39,9.125,9.188,34460400.0,0
1999-08-05,9.095,9.39,8.89,9.283,42011600.0,0
1999-08-06,9.11,9.297,9.095,9.125,18963200.0,0
1999-08-09,9.11,9.313,9.0,9.095,17804800.0,0
1999-08-10,9.125,9.125,8.765,9.0,24823200.0,0
1999-08-11,9.158,9.188,8.875,9.188,24944400.0,0
1999-08-12,9.095,9.235,8.845,8.875,29526000.0,0
1999-08-13,9.11,9.703,9.063,9.658,48884000.0,0
1999-08-16,9.563,9.875,9.39,9.828,47812800.0,0
1999-08-17,9.86,9.938,9.158,9.328,46906000.0,0
1999-08-18,8.875,9.0,8.672,8.86,104588800.0,0
1999-08-19,8.797,9.158,8.765,9.015,37891200.0,0
1999-08-20,9.078,9.25,8.985,9.25,22706000.0,0
1999-08-23,9.36,9.422,9.235,9.39,26333200.0,0
1999-08-24,9.283,9.61,9.188,9.235,35510400.0,0
1999-08-25,9.283,9.328,9.172,9.235,28866400.0,0
1999-08-26,9.235,9.5,9.235,9.283,28053600.0,0
1999-08-27,9.265,9.345,9.015,9.25,23192400.0,0
1999-08-30,9.235,9.265,9.063,9.125,17385200.0,0
1999-08-31,9.125,9.14,8.86,9.125,24392400.0,0
1999-09-01,9.158,9.547,9.14,9.422,39725600.0,0
1999-09-02,9.313,9.72,9.283,9.61,48401600.0,0
1999-09-03,9.72,10.408,9.72,10.375,102798800.0,0
1999-09-07,10.375,11.203,10.305,10.953,97488400.0,0
1999-09-08,10.845,11.203,10.765,11.078,71019200.0,0
1999-09-09,11.063,11.125,10.783,11.015,51350000.0,0
1999-09-10,11.125,11.735,11.063,11.595,64388000.0,0
1999-09-13,11.61,11.672,11.125,11.438,59682800.0,0
1999-09-14,11.5,11.61,10.922,11.36,80645200.0,0
1999-09-15,10.015,10.86,9.97,10.672,256649600.0,0
1999-09-16,10.672,10.742,10.422,10.547,61758400.0,0
1999-09-17,10.595,10.938,10.585,10.89,64400000.0,0
1999-09-20,10.938,11.375,10.845,11.283,42020800.0,0
1999-09-21,11.203,11.5,10.97,11.125,53644800.0,0
1999-09-22,11.125,11.438,10.97,11.422,38004800.0,0
1999-09-23,11.438,11.533,10.75,10.875,40246000.0,0
1999-09-24,10.75,10.89,10.265,10.547,50765600.0,0
1999-09-27,10.797,10.908,10.547,10.578,41769600.0,0
1999-09-28,10.5,10.75,10.297,10.72,37798400.0,0
1999-09-29,10.688,11.265,10.688,10.828,45801600.0,0
1999-09-30,10.845,11.47,10.625,11.375,58577200.0,0
1999-10-01,11.172,11.47,11.11,11.313,34570800.0,0
1999-10-04,11.36,11.658,11.265,11.625,40801600.0,0
1999-10-05,11.672,11.72,11.375,11.563,46292000.0,0
1999-10-06,11.61,11.688,11.422,11.47,31310000.0,0
1999-10-07,11.297,11.36,11.095,11.172,38359600.0,0
1999-10-08,11.158,11.408,10.845,11.313,28551200.0,0
1999-10-11,11.265,11.688,11.235,11.515,25299600.0,0
1999-10-12,11.485,11.953,11.47,11.75,45535600.0,0
1999-10-13,11.547,12.033,11.533,11.86,57057200.0,0
1999-10-14,11.845,11.875,11.533,11.695,47554400.0,0
1999-10-15,11.578,11.625,11.188,11.25,56845600.0,0
1999-10-18,11.22,11.265,10.672,10.97,47037600.0,0
1999-10-19,11.158,11.203,10.765,10.953,39418800.0,0
1999-10-20,11.11,11.203,10.985,11.188,45197200.0,0
