date,open,high,low,close,volume,padding
1999-01-04,15.315,15.905,15.25,15.69,159400.0,0
1999-01-05,15.565,15.75,15.47,15.625,122000.0,0
1999-01-06,15.53,15.875,15.345,15.405,210800.0,0
1999-01-07,15.405,15.405,14.815,15.095,246800.0,0
1999-01-08,15.22,15.315,14.905,15.22,149800.0,0
1999-01-11,14.78,15.03,14.69,14.875,144600.0,0
1999-01-12,14.905,14.905,14.655,14.75,161000.0,0
1999-01-13,14.655,14.94,14.565,14.94,104800.0,0
1999-01-14,15.065,15.19,14.875,15.0,214800.0,0
1999-01-15,14.94,15.19,14.78,15.0,88600.0,0
1999-01-19,15.065,15.22,14.94,15.22,71600.0,0
1999-01-20,15.22,15.25,15.0,15.125,123200.0,0
1999-01-21,15.19,15.345,15.0,15.0,141000.0,0
1999-01-22,14.75,15.065,14.75,14.97,101600.0,0
1999-01-25,15.0,15.03,14.75,14.94,402600.0,0
1999-01-26,14.875,15.0,14.75,14.94,174800.0,0
1999-01-27,14.905,14.97,14.72,14.75,174600.0,0
1999-01-28,14.815,14.815,14.625,14.75,99400.0,0
1999-01-29,14.815,14.815,14.595,14.815,204200.0,0
1999-02-01,14.565,14.625,14.19,14.44,117200.0,0
1999-02-02,14.345,14.44,13.905,14.155,212600.0,0
1999-02-03,14.155,14.19,13.655,13.875,327000.0,0
1999-02-04,13.875,13.875,13.25,13.625,199600.0,0
1999-02-05,13.655,13.78,13.25,13.72,4629400.0,0
1999-02-08,13.375,13.94,13.25,13.78,190000.0,0
1999-02-09,13.815,13.97,13.315,13.625,334600.0,0
1999-02-10,13.625,13.94,13.5,13.875,134800.0,0
1999-02-11,13.97,13.97,13.375,13.5,207600.0,0
1999-02-12,13.5,13.625,13.25,13.315,535600.0,0
1999-02-16,13.44,13.625,13.315,13.53,153200.0,0
1999-02-17,13.44,13.75,13.44,13.5,143600.0,0
1999-02-18,13.69,13.69,13.5,13.53,147400.0,0
1999-02-19,13.655,13.75,13.5,13.565,130400.0,0
1999-02-22,14.065,14.095,13.875,13.875,297200.0,0
1999-02-23,14.0,14.5,14.0,14.345,301200.0,0
1999-02-24,14.47,14.595,14.22,14.345,137600.0,0
1999-02-25,14.125,14.75,14.125,14.625,150200.0,0
1999-02-26,14.625,14.72,14.53,14.69,130400.0,0
1999-03-01,14.78,14.94,14.69,14.815,225200.0,0
1999-03-02,14.75,15.03,14.75,14.97,330400.0,0
1999-03-03,14.905,14.905,14.5,14.815,269000.0,0
1999-03-04,14.815,14.97,14.625,14.72,194600.0,0
1999-03-05,14.655,15.095,14.655,15.095,144600.0,0
1999-03-08,14.97,15.19,14.625,14.69,115800.0,0
1999-03-09,14.75,14.875,14.655,14.875,109800.0,0
1999-03-10,14.75,15.19,14.69,15.19,168400.0,0
1999-03-11,15.125,15.19,14.875,15.03,88400.0,0
1999-03-12,15.03,15.065,14.75,14.875,164400.0,0
1999-03-15,14.75,14.815,14.69,14.75,204200.0,0
1999-03-16,14.69,14.875,14.655,14.78,223200.0,0
