date,open,high,low,close,volume,padding
1999-01-04,20.0,20.19,19.655,19.845,1339200.0,0
1999-01-05,19.845,20.0,19.75,19.75,4657600.0,0
1999-01-06,19.815,19.94,19.75,19.94,1717800.0,0
1999-01-07,19.875,19.97,19.845,19.94,1626200.0,0
1999-01-08,19.875,20.095,19.875,20.065,1365800.0,0
1999-01-11,19.97,20.03,19.845,19.905,1932000.0,0
1999-01-12,19.875,20.125,19.875,19.905,1620000.0,0
1999-01-13,19.875,20.095,19.815,19.875,2291800.0,0
1999-01-14,19.875,19.905,19.47,19.78,1783600.0,0
1999-01-15,19.78,19.815,19.595,19.78,1314000.0,0
1999-01-19,19.655,19.75,19.44,19.75,1635800.0,0
1999-01-20,19.69,19.75,19.565,19.655,1437800.0,0
1999-01-21,19.655,19.845,19.625,19.75,1764000.0,0
1999-01-22,19.78,20.065,19.72,19.875,976000.0,0
1999-01-25,19.875,20.03,19.78,19.94,762600.0,0
1999-01-26,19.905,20.0,19.78,19.875,850400.0,0
1999-01-27,19.94,19.97,19.565,19.595,852800.0,0
1999-01-28,19.625,20.0,19.625,19.905,929800.0,0
1999-01-29,19.97,19.97,19.565,19.78,1239200.0,0
1999-02-01,19.845,19.875,19.22,19.315,1285400.0,0
1999-02-02,19.315,19.53,19.0,19.28,1396600.0,0
1999-02-03,19.22,19.44,19.22,19.315,553200.0,0
1999-02-04,19.315,19.315,19.0,19.155,929800.0,0
1999-02-05,19.19,19.28,19.0,19.25,927800.0,0
1999-02-08,19.28,19.405,19.155,19.22,1018400.0,0
1999-02-09,19.28,19.315,18.905,19.065,420200.0,0
1999-02-10,19.065,19.125,18.815,18.97,374600.0,0
1999-02-11,18.845,18.905,18.625,18.845,540400.0,0
1999-02-12,18.905,18.94,18.25,18.315,744200.0,0
1999-02-16,18.44,18.72,18.375,18.53,782400.0,0
1999-02-17,18.565,19.125,18.565,18.875,859200.0,0
1999-02-18,18.78,19.375,18.75,19.28,1297800.0,0
1999-02-19,19.19,19.315,19.0,19.095,1298400.0,0
1999-02-22,19.095,19.47,19.065,19.405,850200.0,0
1999-02-23,19.375,19.405,19.095,19.155,918800.0,0
