date,open,high,low,close,volume,padding
1999-01-04,40.63,41.69,40.19,40.69,3221600.0,0
1999-01-05,40.06,41.75,40.06,40.75,3616900.0,0
1999-01-06,40.69,41.94,40.63,41.81,4216500.0,0
1999-01-07,40.69,41.63,40.38,40.75,3369000.0,0
1999-01-08,40.69,41.81,39.63,41.38,5191700.0,0
1999-01-11,42.0,42.56,40.75,40.88,7371700.0,0
1999-01-12,40.06,40.69,39.75,40.0,3467200.0,0
1999-01-13,38.69,40.38,38.63,40.25,3226000.0,0
1999-01-14,39.88,39.88,37.81,38.75,5094800.0,0
1999-01-15,39.0,39.81,38.63,39.5,2940300.0,0
1999-01-19,39.25,39.38,37.5,37.5,4820400.0,0
1999-01-20,37.75,38.94,37.69,38.44,2901100.0,0
1999-01-21,38.06,38.38,37.63,37.94,3152300.0,0
1999-01-22,37.94,39.13,37.5,38.94,3931200.0,0
1999-01-25,39.5,40.38,38.88,40.25,5255500.0,0
1999-01-26,40.38,40.5,39.06,39.69,4464200.0,0
1999-01-27,39.31,40.56,38.94,40.13,4057300.0,0
1999-01-28,40.13,40.5,39.5,39.81,2989800.0,0
1999-01-29,39.56,39.56,38.44,39.0,2857000.0,0
1999-02-01,38.81,38.81,38.13,38.13,2366800.0,0
1999-02-02,38.38,39.63,38.25,38.94,4127100.0,0
1999-02-03,38.38,39.94,38.19,38.81,4212700.0,0
1999-02-04,38.75,38.75,37.63,38.06,3538900.0,0
1999-02-05,37.88,38.56,37.5,37.88,2914500.0,0
1999-02-08,37.63,38.63,37.25,38.31,3027400.0,0
1999-02-09,38.0,38.56,37.0,37.75,3103700.0,0
1999-02-10,37.69,38.5,37.5,38.5,2976400.0,0
1999-02-11,38.06,38.56,37.63,37.88,2319400.0,0
1999-02-12,37.63,38.0,37.06,37.13,2349100.0,0
1999-02-16,37.31,37.94,37.19,37.25,2466800.0,0
1999-02-17,37.31,38.75,37.19,37.56,2687100.0,0
1999-02-18,37.56,38.13,37.38,37.56,1977200.0,0
1999-02-19,37.44,39.69,37.38,39.19,5279900.0,0
1999-02-22,38.94,40.25,38.81,39.5,3855700.0,0
1999-02-23,39.94,40.25,39.38,39.5,3695200.0,0
1999-02-24,39.06,39.81,38.25,39.0,3971300.0,0
1999-02-25,38.31,39.06,37.81,38.31,3450700.0,0
1999-02-26,38.13,38.69,37.19,37.56,4755200.0,0
1999-03-01,38.44,38.44,36.88,38.0,3830100.0,0
1999-03-02,37.63,37.75,36.88,36.88,3170500.0,0
1999-03-03,37.44,37.44,36.19,37.25,3370200.0,0
1999-03-04,37.38,38.06,36.88,37.75,3487800.0,0
1999-03-05,38.69,39.94,38.5,39.88,4880800.0,0
1999-03-08,39.56,39.63,38.31,39.06,3460000.0,0
1999-03-09,38.56,39.0,38.13,38.44,3341800.0,0
1999-03-10,38.19,38.25,37.63,38.06,4785500.0,0
1999-03-11,38.5,38.81,37.75,38.06,4499200.0,0
1999-03-12,38.5,39.06,38.25,38.5,4789000.0,0
1999-03-15,38.5,39.25,38.25,38.88,2700200.0,0
1999-03-16,39.0,40.13,39.0,39.88,5374100.0,0
1999-03-17,39.94,40.31,39.56,40.06,4942000.0,0
1999-03-18,39.63,40.31,39.56,40.13,3655400.0,0
1999-03-19,40.38,40.44,39.81,39.94,4516600.0,0
1999-03-22,39.94,39.94,39.13,39.75,3403500.0,0
1999-03-23,39.13,39.19,37.69,38.88,5519700.0,0
1999-03-24,38.81,39.06,38.25,38.73,2698700.0,0
1999-03-25,38.38,39.5,38.38,39.25,3400200.0,0
1999-03-26,39.31,40.31,39.19,40.0,4893200.0,0
1999-03-29,40.0,41.06,39.94,40.69,4926500.0,0
1999-03-30,40.0,40.19,39.56,39.88,4271000.0,0
1999-03-31,39.75,39.88,38.5,39.19,5570800.0,0
1999-04-01,39.19,39.44,38.5,38.63,2169800.0,0
1999-04-05,38.69,39.13,38.25,38.88,2979100.0,0
1999-04-06,38.13,38.69,37.81,38.25,2967300.0,0
1999-04-07,38.06,38.25,37.38,37.44,3652100.0,0
1999-04-08,37.38,38.69,37.38,38.5,3184100.0,0
1999-04-09,38.06,38.31,37.81,38.25,2600100.0,0
1999-04-12,37.88,39.5,37.88,39.5,4153900.0,0
1999-04-13,38.94,39.38,37.94,38.13,2722500.0,0
1999-04-14,37.94,38.19,37.75,38.0,3166700.0,0
1999-04-15,38.5,38.63,37.0,37.0,7794200.0,0
1999-04-16,37.0,37.31,36.31,36.44,5455500.0,0
1999-04-19,36.44,37.5,36.38,36.75,5446800.0,0
1999-04-20,36.88,37.63,36.75,37.13,4736300.0,0
1999-04-21,37.38,38.94,37.31,38.94,4515400.0,0
1999-04-22,39.0,41.44,36.5,36.94,19307000.0,0
1999-04-23,36.25,37.5,36.13,36.25,9796300.0,0
1999-04-26,36.38,37.13,36.31,36.75,4375400.0,0
1999-04-27,37.0,37.94,37.0,37.81,5180700.0,0
1999-04-28,37.75,37.88,37.38,37.56,3366000.0,0
1999-04-29,37.44,38.06,36.63,36.94,4873700.0,0
1999-04-30,36.69,37.38,36.63,36.94,3545200.0,0
1999-05-03,36.94,37.5,36.63,37.44,3100300.0,0
1999-05-04,36.75,37.19,36.69,37.06,3484000.0,0
1999-05-05,37.06,37.44,36.81,37.25,2547300.0,0
1999-05-06,37.0,37.06,36.44,36.69,3685800.0,0
1999-05-07,36.5,36.75,36.31,36.75,4034100.0,0
1999-05-10,36.0,36.13,35.13,35.25,6421200.0,0
1999-05-11,35.0,35.19,34.06,34.63,10294000.0,0
1999-05-12,35.13,35.75,34.25,35.5,7280700.0,0
1999-05-13,35.63,37.44,35.25,37.13,8116900.0,0
1999-05-14,36.94,38.44,36.75,38.19,6751900.0,0
1999-05-17,37.5,38.0,37.38,37.63,4118900.0,0
1999-05-18,37.5,38.13,37.06,37.75,3330800.0,0
1999-05-19,37.63,37.75,37.0,37.5,3470400.0,0
1999-05-20,37.63,37.75,37.06,37.63,3485800.0,0
1999-05-21,37.63,38.56,37.44,38.31,5403700.0,0
1999-05-24,38.13,38.5,37.5,37.81,2748000.0,0
1999-05-25,37.81,38.69,37.5,37.5,3316900.0,0
1999-05-26,37.5,37.81,36.19,36.75,4600000.0,0
1999-05-27,36.13,36.88,35.75,36.0,4353900.0,0
1999-05-28,36.0,36.38,35.5,35.5,2938700.0,0
1999-06-01,35.94,36.63,35.88,36.38,2741700.0,0
1999-06-02,36.06,36.63,36.06,36.25,2416000.0,0
1999-06-03,36.13,36.38,36.0,36.0,2988700.0,0
1999-06-04,36.19,36.44,36.13,36.31,2853100.0,0
1999-06-07,36.06,36.31,36.06,36.19,2841100.0,0
