date,open,high,low,close,volume,padding
1999-01-04,45.0,46.065,44.625,45.0,5048000.0,0
1999-01-05,45.03,46.25,45.03,45.78,4471800.0,0
1999-01-06,45.845,46.5,45.345,46.315,4772800.0,0
1999-01-07,45.78,46.095,44.845,45.44,4036200.0,0
1999-01-08,45.315,45.345,43.53,44.595,6724600.0,0
1999-01-11,43.655,44.125,43.0,43.625,6553400.0,0
1999-01-12,43.5,44.44,43.25,44.22,6698200.0,0
1999-01-13,43.375,44.47,43.0,44.0,6318400.0,0
1999-01-14,44.065,44.25,41.875,42.595,7559800.0,0
1999-01-15,42.75,43.75,42.22,43.315,6325000.0,0
1999-01-19,43.845,43.905,42.5,43.22,4146800.0,0
1999-01-20,43.065,43.125,42.155,42.375,3025200.0,0
1999-01-21,42.815,43.375,41.595,43.25,8431200.0,0
1999-01-22,42.75,43.53,41.815,42.655,5195000.0,0
1999-01-25,42.5,43.0,41.565,41.815,6820400.0,0
1999-01-26,41.53,43.065,41.0,42.78,5839600.0,0
1999-01-27,42.655,43.815,42.22,43.155,5312800.0,0
1999-01-28,43.155,44.28,43.155,43.905,5123400.0,0
1999-01-29,44.44,45.5,44.315,45.44,7095000.0,0
1999-02-01,45.065,45.44,44.625,45.315,5209600.0,0
1999-02-02,45.065,45.125,43.875,44.25,4945600.0,0
1999-02-03,44.25,44.845,44.0,44.44,3779000.0,0
1999-02-04,44.565,44.565,42.03,43.905,8186000.0,0
1999-02-05,43.875,44.125,42.25,42.44,4541400.0,0
1999-02-08,42.69,43.155,42.25,43.155,3785800.0,0
1999-02-09,42.405,43.75,42.03,43.125,4307600.0,0
1999-02-10,43.125,44.065,42.595,44.0,3098200.0,0
1999-02-11,43.875,44.5,43.78,44.22,3094800.0,0
1999-02-12,44.72,44.72,43.28,43.75,3335000.0,0
1999-02-16,43.94,44.94,43.875,44.845,3807600.0,0
1999-02-17,44.69,45.5,44.595,45.155,5881000.0,0
1999-02-18,45.315,45.97,45.155,45.815,5405600.0,0
1999-02-19,45.065,45.905,45.065,45.905,4339800.0,0
1999-02-22,45.69,46.5,45.53,46.5,5011600.0,0
1999-02-23,45.815,46.44,45.28,45.375,4010200.0,0
1999-02-24,45.315,45.595,44.5,44.78,3768000.0,0
1999-02-25,44.72,44.97,43.815,44.905,3625200.0,0
1999-02-26,44.78,45.095,44.125,44.75,3660200.0,0
1999-03-01,45.065,45.315,44.25,44.25,3521200.0,0
1999-03-02,44.655,45.44,44.5,45.095,3736400.0,0
1999-03-03,45.03,45.75,45.03,45.655,4053000.0,0
1999-03-04,45.78,46.5,45.565,46.0,6393600.0,0
1999-03-05,46.625,47.0,46.095,47.0,6977800.0,0
1999-03-08,46.565,46.72,46.095,46.5,3665200.0,0
1999-03-09,46.5,46.97,45.845,46.19,4754600.0,0
1999-03-10,46.095,46.405,45.595,46.095,4139400.0,0
1999-03-11,45.905,46.78,45.345,46.065,5185000.0,0
1999-03-12,46.0,46.0,45.03,45.155,5242200.0,0
1999-03-15,45.44,46.0,45.03,45.845,3374200.0,0
1999-03-16,45.25,46.44,45.25,45.97,4033200.0,0
1999-03-17,45.53,46.44,45.315,45.78,3873800.0,0
1999-03-18,45.655,46.565,45.065,46.375,4623800.0,0
1999-03-19,46.75,47.47,46.53,46.815,8882600.0,0
1999-03-22,46.875,47.845,46.72,47.75,6264200.0,0
1999-03-23,47.565,47.94,46.75,46.845,6480800.0,0
1999-03-24,47.22,47.75,46.875,47.69,6474600.0,0
1999-03-25,48.0,50.45,47.97,50.25,10818200.0,0
1999-03-26,49.78,49.97,49.595,49.625,5255600.0,0
1999-03-29,49.815,50.55,49.375,50.55,4042000.0,0
1999-03-30,49.94,50.55,49.815,50.1,5319000.0,0
1999-03-31,50.9,50.9,48.905,48.97,4708800.0,0
1999-04-01,49.065,49.595,48.69,49.22,3386000.0,0
1999-04-05,49.315,50.75,49.03,50.45,3811200.0,0
1999-04-06,50.05,50.95,49.19,50.3,5166800.0,0
1999-04-07,50.45,50.45,48.905,50.4,4773200.0,0
1999-04-08,50.4,51.0,49.565,50.4,4021200.0,0
1999-04-09,50.25,50.9,49.315,50.7,3697200.0,0
1999-04-12,50.05,51.45,50.05,51.45,3837200.0,0
1999-04-13,51.05,51.9,50.8,51.45,4220200.0,0
1999-04-14,51.45,51.45,49.47,49.565,5099000.0,0
1999-04-15,49.5,49.78,48.065,48.25,5565200.0,0
1999-04-16,48.19,49.47,47.565,49.095,5085200.0,0
1999-04-19,48.75,49.5,46.905,47.315,5063400.0,0
1999-04-20,47.44,48.095,47.25,47.905,4530400.0,0
1999-04-21,47.44,49.5,47.19,49.47,3781400.0,0
1999-04-22,49.595,49.875,47.0,47.065,11893200.0,0
1999-04-23,46.125,46.815,45.0,45.25,11759400.0,0
1999-04-26,45.125,47.44,44.94,47.405,9350800.0,0
1999-04-27,47.405,47.625,46.565,46.78,4280800.0,0
1999-04-28,46.905,47.065,46.03,46.19,3973600.0,0
1999-04-29,46.315,46.94,46.155,46.75,5548200.0,0
1999-04-30,45.875,47.315,45.875,46.905,7260200.0,0
1999-05-03,46.25,47.375,46.25,47.125,4339400.0,0
1999-05-04,46.625,47.03,45.375,45.875,6565000.0,0
1999-05-05,45.94,46.28,45.28,45.595,4690400.0,0
1999-05-06,45.315,46.25,45.125,46.065,4588000.0,0
1999-05-07,45.875,46.375,45.315,45.47,3077200.0,0
1999-05-10,45.345,45.47,44.69,45.125,4319600.0,0
1999-05-11,45.0,46.75,44.97,45.815,3645000.0,0
1999-05-12,45.315,46.5,45.0,46.47,3847600.0,0
1999-05-13,46.47,46.47,45.875,46.0,2896200.0,0
1999-05-14,45.375,46.405,45.125,46.155,3740800.0,0
1999-05-17,46.28,47.19,46.095,47.065,3214800.0,0
1999-05-18,47.03,47.28,46.375,46.94,3590400.0,0
1999-05-19,47.44,47.5,46.25,47.5,3241000.0,0
1999-05-20,47.5,48.655,47.44,48.345,4526000.0,0
1999-05-21,48.155,48.72,47.905,48.625,3949000.0,0
1999-05-24,48.595,49.0,46.905,46.97,4373400.0,0
1999-05-25,47.03,47.845,46.905,47.28,5595200.0,0
1999-05-26,47.28,48.095,47.065,47.875,5039200.0,0
1999-05-27,47.125,48.315,46.78,47.0,4313000.0,0
1999-05-28,46.875,47.595,46.405,46.69,3621000.0,0
