date,open,high,low,close,volume,padding
1999-01-04,42.63,43.38,42.44,42.88,348400.0,0
1999-01-05,42.88,43.31,42.63,42.81,287000.0,0
1999-01-06,42.75,43.0,41.75,42.75,312300.0,0
1999-01-07,42.75,42.75,42.0,42.38,86500.0,0
1999-01-08,42.13,42.25,40.88,41.44,434900.0,0
1999-01-11,41.19,41.19,40.44,41.06,244700.0,0
1999-01-12,40.81,41.5,40.81,41.25,172700.0,0
1999-01-13,41.25,41.25,40.75,41.13,211400.0,0
1999-01-14,41.0,41.0,40.0,40.56,268500.0,0
1999-01-15,40.81,40.88,39.88,40.19,173600.0,0
1999-01-19,40.38,41.0,40.25,40.94,305500.0,0
1999-01-20,40.88,41.25,40.75,40.94,472100.0,0
1999-01-21,40.94,41.38,40.81,41.25,284200.0,0
1999-01-22,41.06,42.0,41.06,41.88,291900.0,0
1999-01-25,41.63,42.38,41.63,42.25,296300.0,0
1999-01-26,42.25,42.5,42.06,42.06,244900.0,0
1999-01-27,42.13,42.13,41.31,41.31,287600.0,0
1999-01-28,41.19,41.31,40.5,40.94,3934800.0,0
1999-01-29,40.94,40.94,39.81,40.0,321700.0,0
1999-02-01,39.75,39.81,38.63,38.63,400200.0,0
1999-02-02,38.75,39.25,38.56,39.13,1458200.0,0
1999-02-03,39.19,40.13,38.88,39.69,462500.0,0
1999-02-04,39.56,40.0,39.13,39.88,411000.0,0
1999-02-05,39.88,40.06,39.69,39.94,193800.0,0
1999-02-08,39.81,40.56,39.44,39.94,148000.0,0
1999-02-09,39.88,40.38,39.13,39.25,213200.0,0
1999-02-10,39.25,39.5,38.0,38.19,594500.0,0
1999-02-11,38.75,38.75,37.69,38.0,442600.0,0
1999-02-12,37.88,37.88,36.88,36.94,671200.0,0
1999-02-16,37.19,37.69,36.75,36.88,827500.0,0
1999-02-17,36.63,38.25,36.5,37.38,1242900.0,0
1999-02-18,37.13,38.38,37.13,37.88,268600.0,0
1999-02-19,37.63,37.75,36.88,36.94,473700.0,0
1999-02-22,36.81,37.19,36.75,37.06,239200.0,0
1999-02-23,37.06,37.25,36.63,36.69,247200.0,0
1999-02-24,36.75,37.19,36.56,36.63,254200.0,0
1999-02-25,36.5,36.88,35.94,36.38,128900.0,0
1999-02-26,36.31,36.69,36.0,36.13,496300.0,0
1999-03-01,35.94,37.0,35.94,36.63,476100.0,0
1999-03-02,36.44,37.69,36.31,37.63,558700.0,0
1999-03-03,37.44,37.63,37.06,37.31,170400.0,0
1999-03-04,37.56,37.75,36.94,37.44,218700.0,0
1999-03-05,37.69,38.56,37.69,38.0,449400.0,0
1999-03-08,38.0,38.06,37.5,37.88,343700.0,0
1999-03-09,37.75,37.75,37.25,37.5,366300.0,0
1999-03-10,37.5,37.75,37.31,37.69,494500.0,0
1999-03-11,37.69,38.13,37.69,37.88,466100.0,0
1999-03-12,38.0,38.56,37.88,38.56,220300.0,0
1999-03-15,38.44,38.63,38.25,38.31,125400.0,0
1999-03-16,38.06,38.44,38.0,38.31,99500.0,0
1999-03-17,38.19,38.5,37.75,37.88,324400.0,0
1999-03-18,38.0,38.44,38.0,38.38,86800.0,0
1999-03-19,37.38,37.94,37.38,37.44,201700.0,0
1999-03-22,37.63,37.63,37.0,37.31,104100.0,0
1999-03-23,37.25,37.63,37.25,37.5,158300.0,0
1999-03-24,37.13,38.88,37.13,38.88,243600.0,0
1999-03-25,38.88,38.88,37.56,37.94,177900.0,0
1999-03-26,38.0,38.13,37.63,38.13,423000.0,0
1999-03-29,38.25,38.44,37.5,37.81,511000.0,0
1999-03-30,37.75,37.75,37.06,37.38,668400.0,0
1999-03-31,37.25,37.31,36.38,36.38,221100.0,0
1999-04-01,36.25,37.94,36.25,37.5,109700.0,0
1999-04-05,37.75,37.94,37.13,37.63,108100.0,0
1999-04-06,37.69,37.69,36.5,37.0,265200.0,0
1999-04-07,37.06,37.06,36.25,36.44,142900.0,0
1999-04-08,36.56,37.5,36.31,37.25,250700.0,0
1999-04-09,37.19,37.25,36.75,36.94,157300.0,0
1999-04-12,36.81,36.88,36.38,36.63,302300.0,0
1999-04-13,36.81,36.88,36.25,36.63,172000.0,0
1999-04-14,36.56,36.75,36.25,36.38,147800.0,0
1999-04-15,36.5,37.38,36.5,37.13,294500.0,0
1999-04-16,37.38,37.5,37.0,37.44,111600.0,0
1999-04-19,37.5,37.88,37.25,37.25,225500.0,0
1999-04-20,37.63,39.5,37.63,38.94,824500.0,0
1999-04-21,39.25,39.25,38.0,38.38,156700.0,0
1999-04-22,38.5,38.75,38.38,38.75,79300.0,0
1999-04-23,38.56,38.69,37.75,37.81,183500.0,0
1999-04-26,38.0,38.5,37.75,37.81,150400.0,0
1999-04-27,37.63,38.13,37.31,37.94,622100.0,0
1999-04-28,37.94,38.13,37.63,37.94,282400.0,0
1999-04-29,37.56,38.13,37.38,38.06,3780700.0,0
1999-04-30,38.19,38.88,37.75,38.81,596200.0,0
1999-05-03,38.69,39.44,38.31,39.38,230800.0,0
1999-05-04,39.38,39.5,38.75,39.0,46400.0,0
1999-05-05,39.06,39.25,38.94,39.0,214000.0,0
1999-05-06,39.0,39.13,38.31,38.75,239100.0,0
1999-05-07,39.0,39.13,38.25,38.88,128500.0,0
1999-05-10,39.06,39.75,39.06,39.63,214800.0,0
1999-05-11,39.69,39.69,38.94,39.0,112600.0,0
1999-05-12,39.0,39.06,38.69,39.0,113800.0,0
1999-05-13,39.0,40.19,38.88,40.0,355700.0,0
1999-05-14,39.75,39.75,39.25,39.38,129500.0,0
1999-05-17,39.44,40.13,39.25,39.5,230500.0,0
1999-05-18,40.25,41.19,40.13,40.88,439100.0,0
1999-05-19,41.13,41.5,41.06,41.13,422300.0,0
1999-05-20,41.13,42.0,40.81,41.69,532600.0,0
1999-05-21,41.63,42.06,41.63,41.75,274200.0,0
1999-05-24,41.5,42.06,41.5,42.06,76700.0,0
1999-05-25,41.94,42.56,41.94,42.44,99300.0,0
1999-05-26,42.13,42.25,41.75,41.94,297700.0,0
1999-05-27,42.0,42.06,41.19,41.69,128200.0,0
1999-05-28,41.69,42.06,41.5,41.88,348800.0,0
1999-06-01,41.75,41.75,41.0,41.56,266300.0,0
1999-06-02,41.75,42.13,41.63,41.75,508400.0,0
1999-06-03,41.5,41.69,41.0,41.19,705100.0,0
1999-06-04,41.31,41.38,41.19,41.38,42200.0,0
1999-06-07,41.31,41.69,41.19,41.56,131400.0,0
1999-06-08,41.56,41.56,41.06,41.25,176700.0,0
1999-06-09,41.13,41.69,41.13,41.31,229300.0,0
1999-06-10,41.31,41.31,39.88,40.13,435300.0,0
1999-06-11,40.25,40.56,40.25,40.44,108900.0,0
1999-06-14,40.31,40.44,40.31,40.38,315600.0,0
1999-06-15,40.38,40.88,40.25,40.88,350900.0,0
1999-06-16,40.94,41.56,40.75,41.13,265800.0,0
1999-06-17,41.0,41.13,40.63,41.06,117900.0,0
1999-06-18,40.81,40.94,40.69,40.81,90500.0,0
