date,open,high,low,close,volume,padding
1999-01-04,14.03,14.19,13.94,14.095,689600.0,0
1999-01-05,14.155,14.25,14.03,14.125,317800.0,0
1999-01-06,14.095,14.155,13.905,14.0,611800.0,0
1999-01-07,13.905,13.97,13.625,13.815,1664400.0,0
1999-01-08,13.72,13.875,13.69,13.72,752800.0,0
1999-01-11,13.69,13.72,13.375,13.5,512800.0,0
1999-01-12,13.375,13.655,13.345,13.44,826000.0,0
1999-01-13,13.47,13.69,13.19,13.5,1501800.0,0
1999-01-14,13.405,13.405,13.125,13.28,408200.0,0
1999-01-15,13.315,13.375,13.25,13.375,413800.0,0
1999-01-19,13.47,13.47,13.095,13.22,607800.0,0
1999-01-20,13.22,13.44,13.19,13.315,2997800.0,0
1999-01-21,13.405,13.5,13.25,13.375,606600.0,0
1999-01-22,13.44,13.53,13.345,13.5,514600.0,0
1999-01-25,13.5,13.565,13.375,13.44,360800.0,0
1999-01-26,13.375,13.5,13.25,13.44,1040400.0,0
1999-01-27,13.315,13.375,13.03,13.065,597200.0,0
1999-01-28,13.065,13.565,13.065,13.375,969600.0,0
1999-01-29,13.47,13.47,13.22,13.345,619000.0,0
1999-02-01,13.22,13.44,13.125,13.375,931200.0,0
1999-02-02,13.28,13.28,12.875,13.065,710200.0,0
1999-02-03,13.095,13.28,13.0,13.03,484200.0,0
1999-02-04,13.0,13.065,12.655,12.78,391600.0,0
1999-02-05,12.97,13.0,12.69,12.875,3222200.0,0
1999-02-08,12.94,13.065,12.69,12.905,315800.0,0
1999-02-09,12.845,13.25,12.75,13.095,486000.0,0
1999-02-10,13.03,13.125,12.5,12.75,877600.0,0
1999-02-11,12.625,13.065,12.625,13.065,940200.0,0
1999-02-12,13.065,13.065,12.655,12.72,948800.0,0
1999-02-16,12.78,12.92,12.69,12.815,914400.0,0
1999-02-17,12.875,13.19,12.845,13.065,825000.0,0
1999-02-18,13.125,13.565,13.125,13.405,966200.0,0
1999-02-19,13.405,13.405,13.0,13.155,868600.0,0
1999-02-22,13.155,13.44,13.155,13.405,298800.0,0
1999-02-23,13.47,13.47,13.25,13.345,399000.0,0
1999-02-24,13.345,13.47,13.125,13.19,791000.0,0
1999-02-25,13.125,13.22,12.875,13.065,1002600.0,0
1999-02-26,13.065,13.095,12.72,12.72,962800.0,0
1999-03-01,12.845,13.0,12.69,12.905,622800.0,0
1999-03-02,12.845,13.315,12.72,12.94,805200.0,0
1999-03-03,12.94,13.095,12.845,13.095,583400.0,0
1999-03-04,13.03,13.22,13.0,13.19,1031200.0,0
1999-03-05,13.315,13.44,13.25,13.28,1007800.0,0
1999-03-08,13.155,13.28,13.095,13.095,2022200.0,0
1999-03-09,12.97,13.155,12.845,12.94,460600.0,0
1999-03-10,12.815,12.94,12.72,12.75,954400.0,0
1999-03-11,12.75,12.845,12.625,12.845,1357400.0,0
1999-03-12,12.845,13.095,12.845,13.03,260800.0,0
1999-03-15,12.97,13.03,12.72,12.78,769600.0,0
1999-03-16,12.815,12.845,12.655,12.75,298400.0,0
1999-03-17,12.78,12.875,12.69,12.75,304600.0,0
1999-03-18,12.69,12.97,12.655,12.875,720200.0,0
1999-03-19,12.905,13.0,12.75,12.78,647400.0,0
1999-03-22,12.69,12.69,12.5,12.655,479400.0,0
1999-03-23,12.72,12.845,12.655,12.69,821600.0,0
1999-03-24,12.69,13.125,12.655,12.875,1560600.0,0
1999-03-25,13.0,13.22,13.0,13.0,1414600.0,0
1999-03-26,13.03,13.03,12.875,12.875,856200.0,0
1999-03-29,12.875,12.97,12.75,12.815,856000.0,0
1999-03-30,12.815,12.845,12.565,12.565,1083000.0,0
1999-03-31,12.565,12.69,12.375,12.375,1348000.0,0
1999-04-01,12.375,12.69,12.375,12.595,883600.0,0
1999-04-05,12.72,12.815,12.69,12.75,581800.0,0
1999-04-06,12.75,12.78,12.565,12.625,615000.0,0
1999-04-07,12.565,12.69,12.5,12.595,422800.0,0
1999-04-08,12.625,12.815,12.565,12.815,420400.0,0
1999-04-09,12.75,12.845,12.72,12.78,693600.0,0
1999-04-12,12.815,12.94,12.75,12.905,669800.0,0
1999-04-13,12.78,12.94,12.565,12.565,639200.0,0
1999-04-14,12.625,12.875,12.625,12.655,768600.0,0
1999-04-15,12.595,13.065,12.565,12.815,518000.0,0
1999-04-16,12.75,12.97,12.69,12.94,447600.0,0
1999-04-19,12.94,13.315,12.94,13.065,448400.0,0
1999-04-20,13.03,13.405,13.03,13.375,1305200.0,0
1999-04-21,13.375,13.815,13.28,13.565,740000.0,0
1999-04-22,13.5,13.5,13.155,13.375,358000.0,0
1999-04-23,13.375,13.53,13.315,13.5,348400.0,0
1999-04-26,13.44,13.625,13.375,13.53,588800.0,0
