date,open,high,low,close,volume,padding
1999-01-04,7.313,7.375,7.063,7.063,76600.0,0
1999-01-05,7.188,7.188,7.125,7.125,51100.0,0
1999-01-06,7.125,7.313,7.0,7.188,89200.0,0
1999-01-07,7.188,7.375,7.063,7.25,72000.0,0
1999-01-08,7.188,7.5,7.125,7.438,104000.0,0
1999-01-11,7.563,7.75,7.313,7.438,102900.0,0
1999-01-12,7.375,7.563,7.25,7.313,30200.0,0
1999-01-13,7.188,7.188,6.875,6.938,67000.0,0
1999-01-14,6.813,6.875,6.5,6.75,79900.0,0
1999-01-15,6.625,7.25,6.625,7.188,15700.0,0
1999-01-19,7.313,7.313,7.125,7.125,30000.0,0
1999-01-20,7.0,7.125,6.938,7.0,51400.0,0
1999-01-21,6.875,7.0,6.438,6.563,161100.0,0
1999-01-22,6.563,6.75,6.5,6.625,92000.0,0
1999-01-25,6.625,6.625,6.25,6.313,88700.0,0
1999-01-26,6.313,6.313,6.063,6.313,64700.0,0
1999-01-27,6.188,6.5,6.188,6.438,28300.0,0
1999-01-28,6.5,6.75,6.313,6.438,55700.0,0
1999-01-29,6.5,6.5,6.063,6.313,78800.0,0
1999-02-01,6.375,6.375,6.0,6.063,45900.0,0
1999-02-02,6.0,6.25,6.0,6.25,61200.0,0
1999-02-03,6.25,6.563,6.25,6.25,122100.0,0
1999-02-04,6.25,6.625,6.125,6.438,448100.0,0
1999-02-05,6.313,6.375,6.125,6.25,57200.0,0
1999-02-08,6.625,6.75,6.25,6.438,93200.0,0
1999-02-09,6.438,6.438,6.125,6.313,38900.0,0
1999-02-10,6.125,6.25,6.063,6.188,57900.0,0
1999-02-11,6.313,6.313,6.125,6.25,14900.0,0
1999-02-12,6.313,6.313,5.875,5.875,119000.0,0
1999-02-16,5.938,5.938,5.813,5.938,50000.0,0
1999-02-17,5.938,5.938,5.563,5.625,45600.0,0
1999-02-18,5.625,5.938,5.563,5.625,95400.0,0
1999-02-19,5.688,6.0,5.688,5.938,185700.0,0
1999-02-22,5.938,6.0,5.625,5.938,218100.0,0
1999-02-23,5.813,5.938,5.688,5.75,163200.0,0
1999-02-24,5.875,6.25,5.875,6.0,397400.0,0
1999-02-25,6.125,6.125,5.875,5.938,103000.0,0
1999-02-26,5.938,6.125,5.688,6.063,175400.0,0
1999-03-01,6.063,6.063,5.938,6.0,26900.0,0
1999-03-02,6.0,6.0,5.375,5.5,61000.0,0
1999-03-03,5.563,5.75,5.563,5.75,152200.0,0
1999-03-04,5.875,6.25,5.75,6.063,70500.0,0
1999-03-05,6.0,6.0,5.813,5.813,25400.0,0
1999-03-08,5.938,6.0,5.875,5.875,32900.0,0
1999-03-09,5.875,5.875,5.75,5.875,57100.0,0
1999-03-10,5.875,6.375,5.875,6.25,67900.0,0
1999-03-11,6.313,6.688,6.125,6.5,132300.0,0
1999-03-12,6.625,6.625,6.5,6.5,33900.0,0
1999-03-15,6.5,6.625,6.375,6.5,27600.0,0
1999-03-16,6.375,6.5,6.313,6.375,91200.0,0
1999-03-17,6.25,6.313,6.125,6.25,165300.0,0
1999-03-18,6.125,6.5,6.125,6.375,86500.0,0
1999-03-19,6.25,6.625,6.25,6.5,113300.0,0
1999-03-22,6.563,6.563,6.5,6.5,18700.0,0
1999-03-23,6.5,6.563,6.5,6.5,24200.0,0
1999-03-24,6.5,6.563,6.438,6.563,42600.0,0
1999-03-25,6.5,6.625,6.5,6.625,72700.0,0
1999-03-26,6.625,6.938,6.563,6.875,73500.0,0
1999-03-29,7.0,7.063,6.5,6.563,79200.0,0
1999-03-30,6.5,6.938,6.5,6.938,73400.0,0
1999-03-31,7.063,7.063,6.5,6.75,88400.0,0
1999-04-01,7.0,7.125,6.875,6.875,63300.0,0
1999-04-05,7.0,7.375,6.938,7.375,49100.0,0
1999-04-06,7.375,7.375,7.25,7.375,50100.0,0
1999-04-07,7.375,7.5,7.125,7.313,335700.0,0
1999-04-08,7.188,7.25,7.188,7.25,422500.0,0
1999-04-09,7.125,7.313,7.063,7.25,31100.0,0
1999-04-12,7.25,7.25,7.0,7.0,57100.0,0
1999-04-13,7.0,7.25,7.0,7.0,78000.0,0
1999-04-14,7.063,7.5,7.0,7.313,172300.0,0
1999-04-15,7.25,7.5,7.188,7.25,40300.0,0
1999-04-16,7.188,7.563,7.188,7.563,43000.0,0
1999-04-19,7.688,8.062999999999999,7.688,8.062999999999999,355000.0,0
1999-04-20,8.0,8.0,7.5,7.688,32100.0,0
1999-04-21,7.688,7.875,7.625,7.625,58600.0,0
1999-04-22,7.625,7.75,7.5,7.5,38500.0,0
1999-04-23,7.625,7.625,7.125,7.25,160400.0,0
1999-04-26,7.25,7.313,7.0,7.125,63300.0,0
1999-04-27,7.0,7.063,6.563,6.688,109800.0,0
1999-04-28,7.0,8.75,7.0,8.437999999999999,540300.0,0
1999-04-29,8.5,8.937999999999997,8.375,8.875,117800.0,0
1999-04-30,9.0,9.125,8.75,8.75,103400.0,0
1999-05-03,9.125,9.125,8.625,8.625,74200.0,0
1999-05-04,8.687999999999999,8.75,8.562999999999999,8.625,38700.0,0
1999-05-05,8.75,8.812999999999997,8.562999999999999,8.812999999999997,141600.0,0
1999-05-06,8.687999999999999,8.875,8.562999999999999,8.875,38200.0,0
1999-05-07,8.75,8.812999999999997,8.625,8.687999999999999,11100.0,0
1999-05-10,8.75,9.25,8.625,9.0,54500.0,0
1999-05-11,9.062999999999999,9.312999999999999,9.0,9.187999999999999,25300.0,0
1999-05-12,9.312999999999999,9.312999999999999,9.062999999999999,9.062999999999999,22500.0,0
1999-05-13,9.187999999999999,9.312999999999999,8.625,8.812999999999997,48600.0,0
1999-05-14,8.562999999999999,8.937999999999997,8.5,8.75,65800.0,0
1999-05-17,8.875,8.875,8.375,8.437999999999999,47400.0,0
1999-05-18,8.437999999999999,8.625,8.437999999999999,8.625,39500.0,0
1999-05-19,8.75,8.75,8.5,8.625,27900.0,0
1999-05-20,8.75,9.0,8.625,9.0,47000.0,0
1999-05-21,9.062999999999999,9.75,9.062999999999999,9.75,55100.0,0
1999-05-24,9.875,10.13,9.687999999999999,9.687999999999999,76600.0,0
1999-05-25,9.562999999999999,9.625,9.25,9.312999999999999,17500.0,0
1999-05-26,9.437999999999999,9.437999999999999,8.875,8.937999999999997,55200.0,0
1999-05-27,9.0,9.0,8.875,8.937999999999997,58400.0,0
1999-05-28,8.812999999999997,8.812999999999997,8.75,8.75,63000.0,0
1999-06-01,8.875,8.937999999999997,8.625,8.937999999999997,129900.0,0
1999-06-02,8.75,9.5,8.687999999999999,9.312999999999999,357600.0,0
1999-06-03,9.187999999999999,9.937999999999999,8.875,9.812999999999999,118800.0,0
1999-06-04,9.75,10.38,9.75,10.06,260900.0,0
1999-06-07,10.0,10.25,10.0,10.13,73100.0,0
1999-06-08,10.0,10.0,9.875,9.937999999999999,92300.0,0
1999-06-09,10.0,10.0,9.875,9.937999999999999,41400.0,0
1999-06-10,9.937999999999999,9.937999999999999,9.875,9.937999999999999,23900.0,0
1999-06-11,9.875,9.937999999999999,9.875,9.875,20100.0,0
1999-06-14,9.812999999999999,10.13,9.812999999999999,10.0,77600.0,0
1999-06-15,10.0,10.0,9.375,9.375,39200.0,0
1999-06-16,9.375,10.0,9.375,9.937999999999999,53400.0,0
1999-06-17,10.0,10.0,9.937999999999999,10.0,19800.0,0
1999-06-18,10.06,10.06,9.875,9.937999999999999,59100.0,0
1999-06-21,10.0,10.19,9.937999999999999,10.13,49400.0,0
1999-06-22,10.13,10.13,9.875,10.0,46100.0,0
1999-06-23,9.875,9.937999999999999,9.812999999999999,9.937999999999999,101400.0,0
1999-06-24,9.812999999999999,9.937999999999999,9.625,9.937999999999999,38300.0,0
1999-06-25,9.937999999999999,9.937999999999999,9.75,9.875,16700.0,0
1999-06-28,9.75,10.0,9.75,10.0,42100.0,0
1999-06-29,10.25,10.5,10.13,10.5,90700.0,0
1999-06-30,10.5,10.63,9.875,10.0,204100.0,0
1999-07-01,9.875,10.19,9.875,10.0,33300.0,0
1999-07-02,10.0,10.19,9.875,10.0,25200.0,0
1999-07-06,10.0,10.06,9.875,10.06,67100.0,0
1999-07-07,9.937999999999999,10.06,9.687999999999999,9.875,37400.0,0
1999-07-08,9.75,9.812999999999999,9.625,9.812999999999999,34000.0,0
1999-07-09,9.687999999999999,9.937999999999999,9.687999999999999,9.937999999999999,10500.0,0
1999-07-12,10.0,10.0,9.75,9.812999999999999,34800.0,0
1999-07-13,9.75,9.875,9.625,9.75,11300.0,0
1999-07-14,9.687999999999999,9.812999999999999,9.625,9.625,20000.0,0
1999-07-15,9.5,9.5,9.0,9.312999999999999,74800.0,0
1999-07-16,9.375,9.375,9.125,9.25,13600.0,0
1999-07-19,9.25,9.25,9.125,9.187999999999999,47300.0,0
1999-07-20,9.125,9.125,9.0,9.062999999999999,16800.0,0
1999-07-21,9.062999999999999,9.187999999999999,8.875,9.187999999999999,19700.0,0
1999-07-22,9.25,9.25,8.812999999999997,8.875,10000.0,0
1999-07-23,8.875,9.125,8.875,8.937999999999997,25900.0,0
1999-07-26,8.937999999999997,9.0,8.75,8.75,7600.0,0
1999-07-27,8.75,8.75,8.625,8.687999999999999,9200.0,0
1999-07-28,8.75,8.75,8.5,8.562999999999999,11400.0,0
1999-07-29,8.562999999999999,8.75,8.312999999999999,8.375,65000.0,0
1999-07-30,8.562999999999999,8.562999999999999,8.437999999999999,8.5,57100.0,0
1999-08-02,8.375,8.625,8.0,8.312999999999999,38000.0,0
1999-08-03,8.187999999999999,8.25,8.0,8.187999999999999,41800.0,0
1999-08-04,8.187999999999999,8.187999999999999,7.5,7.5,66300.0,0
