date,open,high,low,close,volume,padding
1999-01-04,8.875,9.687999999999999,8.875,9.375,418000.0,0
1999-01-05,9.437999999999999,9.75,9.062999999999999,9.125,636500.0,0
1999-01-06,9.125,9.312999999999999,8.937999999999997,9.062999999999999,777000.0,0
1999-01-07,9.062999999999999,9.062999999999999,8.75,8.937999999999997,768200.0,0
1999-01-08,9.062999999999999,9.062999999999999,8.687999999999999,8.875,430600.0,0
1999-01-11,9.0,9.125,8.937999999999997,9.125,474500.0,0
1999-01-12,9.062999999999999,9.125,8.75,8.875,138300.0,0
1999-01-13,8.875,8.875,8.5,8.875,137200.0,0
1999-01-14,8.937999999999997,9.125,8.875,9.062999999999999,377100.0,0
1999-01-15,9.0,9.125,8.875,9.0,201100.0,0
1999-01-19,9.0,9.125,8.562999999999999,9.125,369700.0,0
1999-01-20,9.25,9.25,8.625,8.687999999999999,203100.0,0
1999-01-21,8.812999999999997,9.5,8.687999999999999,9.062999999999999,170200.0,0
1999-01-22,9.187999999999999,9.375,9.0,9.062999999999999,128400.0,0
1999-01-25,9.125,9.312999999999999,9.0,9.125,78800.0,0
1999-01-26,9.25,9.25,8.62,8.69,637900.0,0
1999-01-27,8.625,8.812999999999997,8.187999999999999,8.437999999999999,104900.0,0
1999-01-28,8.375,8.625,8.0,8.0,125700.0,0
1999-01-29,8.0,8.312999999999999,7.938,8.25,165800.0,0
1999-02-01,8.125,8.5,8.062999999999999,8.25,86900.0,0
1999-02-02,8.375,8.437999999999999,7.813,8.437999999999999,187300.0,0
1999-02-03,8.312999999999999,8.562999999999999,8.25,8.562999999999999,126700.0,0
1999-02-04,8.687999999999999,8.687999999999999,8.25,8.375,109300.0,0
1999-02-05,8.437999999999999,8.437999999999999,8.312999999999999,8.375,84100.0,0
1999-02-08,8.312999999999999,8.437999999999999,8.062999999999999,8.125,107100.0,0
1999-02-09,8.187999999999999,8.25,8.0,8.0,58500.0,0
1999-02-10,8.0,8.062999999999999,7.875,8.062999999999999,61000.0,0
1999-02-11,8.125,8.125,7.438,7.563,264900.0,0
1999-02-12,7.438,7.5,7.0,7.125,298900.0,0
1999-02-16,7.25,7.5,7.0,7.063,285300.0,0
1999-02-17,7.125,7.125,6.688,6.938,129300.0,0
1999-02-18,7.063,7.188,5.938,6.063,599100.0,0
1999-02-19,6.0,6.25,5.75,5.813,449900.0,0
1999-02-22,5.938,6.0,5.375,5.375,152200.0,0
1999-02-23,5.5,6.0,5.5,5.813,234300.0,0
1999-02-24,5.813,6.25,5.688,5.813,404200.0,0
1999-02-25,5.813,5.813,5.438,5.5,171100.0,0
1999-02-26,5.5,5.5,5.0,5.188,216100.0,0
1999-03-01,5.25,5.375,5.0,5.125,261800.0,0
1999-03-02,5.188,5.375,5.125,5.25,151400.0,0
1999-03-03,5.375,5.5,5.25,5.25,261800.0,0
1999-03-04,5.313,5.5,5.188,5.25,309400.0,0
1999-03-05,5.25,5.438,5.188,5.25,216900.0,0
1999-03-08,5.25,5.688,5.188,5.625,688700.0,0
1999-03-09,5.813,5.875,5.25,5.813,471800.0,0
1999-03-10,5.875,6.313,5.75,6.063,616600.0,0
1999-03-11,6.06,6.5,6.06,6.31,522100.0,0
1999-03-12,6.438,7.0,6.375,6.625,386900.0,0
1999-03-15,7.5,7.5,6.938,7.0,279500.0,0
1999-03-16,7.125,7.375,6.875,7.063,194900.0,0
1999-03-17,7.063,7.375,6.938,7.25,114700.0,0
1999-03-18,7.5,7.75,7.5,7.688,208300.0,0
1999-03-19,7.563,7.688,7.188,7.313,163700.0,0
1999-03-22,7.438,8.125,7.438,8.062999999999999,158300.0,0
1999-03-23,8.187999999999999,8.562999999999999,7.563,7.625,294500.0,0
1999-03-24,7.75,8.125,7.688,8.062999999999999,274600.0,0
1999-03-25,8.25,8.312999999999999,7.688,7.688,212800.0,0
1999-03-26,7.625,8.0,7.625,7.813,299700.0,0
1999-03-29,8.25,9.375,8.062999999999999,8.312999999999999,489700.0,0
1999-03-30,8.375,8.437999999999999,8.0,8.0,298400.0,0
1999-03-31,8.0,8.062999999999999,7.563,7.75,529800.0,0
1999-04-01,7.875,7.938,7.375,7.5,179700.0,0
1999-04-05,7.5,7.625,7.188,7.25,197600.0,0
1999-04-06,7.375,7.375,7.063,7.188,189600.0,0
1999-04-07,7.125,7.438,7.125,7.375,252800.0,0
1999-04-08,7.313,8.0,7.25,7.938,250400.0,0
1999-04-09,8.0,8.562999999999999,8.0,8.437999999999999,160000.0,0
1999-04-12,8.5,8.562999999999999,8.25,8.437999999999999,224600.0,0
1999-04-13,8.5,8.75,8.437999999999999,8.687999999999999,343200.0,0
1999-04-14,8.75,8.75,8.375,8.5,401200.0,0
1999-04-15,8.5,8.687999999999999,8.375,8.687999999999999,140600.0,0
1999-04-16,8.562999999999999,8.937999999999997,8.187999999999999,8.812999999999997,239700.0,0
1999-04-19,9.312999999999999,10.0,8.937999999999997,9.75,512900.0,0
1999-04-20,9.875,9.875,8.875,8.875,357900.0,0
1999-04-21,9.0,9.875,8.875,9.375,194000.0,0
1999-04-22,9.375,9.375,8.875,9.125,235500.0,0
1999-04-23,9.25,9.312999999999999,9.062999999999999,9.125,184900.0,0
1999-04-26,9.5,9.687999999999999,9.062999999999999,9.125,267300.0,0
1999-04-27,9.125,9.625,9.062999999999999,9.5,321100.0,0
1999-04-28,9.5,10.5,9.375,10.13,358600.0,0
1999-04-29,10.38,11.5,10.31,11.25,391800.0,0
1999-04-30,11.38,12.0,11.38,11.69,320200.0,0
1999-05-03,11.81,12.31,11.69,12.31,250000.0,0
1999-05-04,12.31,13.0,12.25,13.0,401500.0,0
1999-05-05,12.88,13.19,12.75,13.19,453300.0,0
1999-05-06,13.06,13.13,12.75,12.94,254800.0,0
1999-05-07,12.81,12.88,11.94,12.06,285100.0,0
1999-05-10,12.13,12.38,11.94,12.38,310500.0,0
1999-05-11,12.31,12.5,12.0,12.0,216700.0,0
1999-05-12,12.06,12.13,11.56,11.75,323100.0,0
1999-05-13,11.94,12.5,11.88,12.38,340200.0,0
1999-05-14,12.44,12.44,12.25,12.38,58000.0,0
1999-05-17,12.25,12.5,11.88,11.88,303400.0,0
1999-05-18,11.88,11.88,11.0,11.0,232600.0,0
1999-05-19,11.0,11.25,10.31,10.75,218300.0,0
1999-05-20,11.13,11.13,10.31,10.81,110900.0,0
1999-05-21,11.13,11.25,10.5,11.0,138600.0,0
1999-05-24,11.0,11.25,10.88,10.88,177900.0,0
1999-05-25,10.88,10.88,10.25,10.63,105800.0,0
1999-05-26,10.75,10.75,10.5,10.5,177900.0,0
1999-05-27,10.63,10.75,10.25,10.63,144300.0,0
1999-05-28,10.56,11.0,10.56,10.88,168600.0,0
1999-06-01,10.38,11.25,10.25,10.69,428000.0,0
1999-06-02,10.56,10.88,10.25,10.75,301000.0,0
1999-06-03,11.0,11.19,10.56,10.69,122800.0,0
1999-06-04,10.63,10.81,10.44,10.75,211600.0,0
1999-06-07,10.81,11.38,10.69,11.06,512800.0,0
1999-06-08,11.25,11.25,10.94,11.06,136600.0,0
1999-06-09,11.0,11.13,10.88,11.06,186500.0,0
1999-06-10,10.94,11.19,10.88,11.19,161800.0,0
1999-06-11,11.06,11.31,11.0,11.19,195200.0,0
1999-06-14,11.25,11.25,10.94,10.94,85400.0,0
1999-06-15,11.06,11.13,10.88,11.13,54100.0,0
1999-06-16,11.19,11.31,11.13,11.25,185700.0,0
1999-06-17,11.13,11.5,11.06,11.38,517800.0,0
1999-06-18,11.25,11.31,10.88,11.31,201100.0,0
1999-06-21,11.38,11.38,10.69,11.13,121500.0,0
1999-06-22,11.06,11.13,10.5,11.0,217500.0,0
1999-06-23,11.13,11.13,10.69,10.75,257800.0,0
1999-06-24,10.88,10.94,10.31,10.31,213100.0,0
1999-06-25,10.31,10.56,10.13,10.25,153300.0,0
1999-06-28,10.31,10.38,10.06,10.31,165900.0,0
1999-06-29,10.44,10.88,10.44,10.81,201400.0,0
1999-06-30,10.81,11.25,10.38,11.0,717400.0,0
1999-07-01,11.0,11.5,10.81,11.44,226300.0,0
1999-07-02,11.44,11.44,11.06,11.38,274200.0,0
1999-07-06,11.31,11.94,11.31,11.88,245300.0,0
1999-07-07,11.75,11.75,11.13,11.38,254500.0,0
1999-07-08,11.44,11.81,11.38,11.69,187600.0,0
1999-07-09,11.56,11.63,11.13,11.5,87800.0,0
1999-07-12,11.63,11.63,11.06,11.25,151400.0,0
1999-07-13,11.38,11.38,10.75,11.31,201800.0,0
1999-07-14,11.44,11.5,11.19,11.5,122100.0,0
1999-07-15,11.44,11.5,11.13,11.19,186300.0,0
1999-07-16,11.31,11.31,10.94,11.0,267200.0,0
1999-07-19,11.0,11.13,10.88,10.94,292700.0,0
1999-07-20,10.94,11.13,10.75,10.94,128900.0,0
1999-07-21,11.0,11.0,10.75,11.0,206800.0,0
1999-07-22,10.94,10.94,10.75,10.94,119000.0,0
1999-07-23,10.88,11.19,10.88,11.06,154400.0,0
1999-07-26,11.0,11.19,10.88,10.94,161000.0,0
1999-07-27,10.81,11.25,10.75,11.13,171500.0,0
1999-07-28,11.06,11.19,11.0,11.06,209700.0,0
1999-07-29,11.13,11.75,11.0,11.63,486100.0,0
1999-07-30,11.63,11.75,11.5,11.63,296900.0,0
1999-08-02,11.56,11.56,11.25,11.38,73700.0,0
1999-08-03,11.38,11.38,10.94,11.19,109200.0,0
1999-08-04,11.13,11.31,10.75,10.94,113900.0,0
1999-08-05,11.06,11.25,10.81,11.25,490800.0,0
1999-08-06,11.38,11.38,11.13,11.25,150600.0,0
1999-08-09,11.31,11.63,11.25,11.63,127000.0,0
1999-08-10,11.63,12.0,11.38,11.5,204200.0,0
1999-08-11,11.5,12.06,11.38,12.0,205100.0,0
1999-08-12,12.0,12.63,11.88,12.56,407700.0,0
1999-08-13,12.5,12.75,12.5,12.63,951900.0,0
1999-08-16,12.75,12.81,12.19,12.38,822400.0,0
1999-08-17,12.63,12.69,12.38,12.56,129200.0,0
1999-08-18,12.5,12.63,12.31,12.44,127100.0,0
1999-08-19,12.5,12.56,12.25,12.44,446000.0,0
1999-08-20,12.5,12.5,12.38,12.44,144600.0,0
1999-08-23,12.5,12.5,12.25,12.44,189700.0,0
1999-08-24,12.38,12.44,12.13,12.19,203700.0,0
1999-08-25,12.31,12.31,11.75,12.0,218500.0,0
1999-08-26,11.94,12.0,11.56,11.81,240600.0,0
1999-08-27,11.81,11.81,11.25,11.31,209600.0,0
1999-08-30,11.19,11.25,11.06,11.19,195100.0,0
1999-08-31,11.5,11.63,11.31,11.38,147800.0,0
1999-09-01,11.5,11.63,11.25,11.38,128700.0,0
1999-09-02,11.38,11.38,11.0,11.0,76300.0,0
1999-09-03,11.0,11.25,10.81,10.94,202200.0,0
1999-09-07,11.0,11.19,10.5,11.0,218500.0,0
1999-09-08,11.13,11.19,10.75,10.88,121200.0,0
1999-09-09,11.13,11.5,11.13,11.38,254500.0,0
1999-09-10,11.5,11.5,11.0,11.13,241200.0,0
1999-09-13,11.13,11.25,10.75,10.88,164900.0,0
1999-09-14,10.81,11.13,10.75,10.94,301800.0,0
1999-09-15,10.81,11.0,10.56,11.0,260400.0,0
1999-09-16,11.06,11.06,10.81,10.94,129100.0,0
1999-09-17,10.81,11.0,10.69,10.94,143800.0,0
1999-09-20,11.0,11.06,10.63,10.69,108100.0,0
1999-09-21,10.56,10.75,10.25,10.5,99100.0,0
1999-09-22,10.5,10.5,10.31,10.44,101200.0,0
1999-09-23,10.38,10.5,10.25,10.25,91900.0,0
1999-09-24,10.25,10.25,9.937999999999999,10.13,102700.0,0
1999-09-27,10.13,10.5,10.06,10.19,64300.0,0
1999-09-28,10.25,10.25,9.562999999999999,10.0,132800.0,0
1999-09-29,9.937999999999999,10.25,9.875,9.937999999999999,247000.0,0
1999-09-30,10.0,10.75,9.375,10.63,2061300.0,0
1999-10-01,10.63,10.75,10.25,10.75,149700.0,0
1999-10-04,10.75,10.94,10.25,10.31,178000.0,0
1999-10-05,10.44,10.63,9.875,10.13,125200.0,0
1999-10-06,10.06,10.63,10.06,10.5,182300.0,0
1999-10-07,10.69,10.81,10.19,10.19,216300.0,0
1999-10-08,10.06,10.25,10.06,10.06,146900.0,0
1999-10-11,10.13,10.5,10.13,10.5,86200.0,0
1999-10-12,10.63,10.75,10.5,10.5,114500.0,0
1999-10-13,10.5,10.88,10.5,10.88,84900.0,0
1999-10-14,10.81,10.88,10.56,10.88,124200.0,0
1999-10-15,10.63,10.88,10.5,10.88,109500.0,0
1999-10-18,10.94,11.0,10.63,10.69,155800.0,0
1999-10-19,10.81,10.81,10.63,10.69,36500.0,0
1999-10-20,10.69,10.75,10.38,10.5,236900.0,0
1999-10-21,10.38,10.5,10.25,10.44,186300.0,0
1999-10-22,10.44,10.75,10.44,10.63,135400.0,0
1999-10-25,10.63,10.88,10.56,10.75,68900.0,0
1999-10-26,10.69,10.88,10.19,10.19,296300.0,0
1999-10-27,10.19,10.5,10.19,10.31,148300.0,0
1999-10-28,10.38,10.44,9.937999999999999,10.0,233900.0,0
1999-10-29,9.937999999999999,10.13,9.375,9.375,208100.0,0
1999-11-01,9.437999999999999,10.25,9.312999999999999,10.06,216700.0,0
1999-11-02,10.06,10.38,9.812999999999999,9.875,86700.0,0
1999-11-03,9.937999999999999,10.0,9.75,9.937999999999999,75500.0,0
1999-11-04,9.875,10.5,9.812999999999999,10.5,180000.0,0
1999-11-05,10.5,11.0,10.5,10.94,643300.0,0
1999-11-08,11.0,11.5,10.63,10.63,160600.0,0
1999-11-09,10.75,11.19,10.63,10.75,127800.0,0
1999-11-10,10.69,10.81,9.75,10.0,274200.0,0
1999-11-11,10.0,10.06,9.562999999999999,9.75,148900.0,0
1999-11-12,9.875,10.06,9.5,10.06,102700.0,0
1999-11-15,10.06,10.13,9.75,10.0,89500.0,0
1999-11-16,10.31,10.31,10.13,10.19,149300.0,0
1999-11-17,10.25,10.44,10.0,10.25,284100.0,0
1999-11-18,10.38,10.38,10.06,10.25,152700.0,0
1999-11-19,10.25,10.25,9.875,10.0,89500.0,0
1999-11-22,10.0,10.13,9.75,9.875,143500.0,0
1999-11-23,9.75,9.812999999999999,9.25,9.312999999999999,99200.0,0
1999-11-24,9.25,9.312999999999999,9.0,9.312999999999999,147600.0,0
1999-11-26,9.437999999999999,9.5,9.062999999999999,9.125,51000.0,0
1999-11-29,9.25,9.25,8.5,8.625,191100.0,0
1999-11-30,8.5,8.687999999999999,8.25,8.312999999999999,187900.0,0
1999-12-01,8.437999999999999,8.5,8.062999999999999,8.375,245200.0,0
1999-12-02,8.25,9.125,8.187999999999999,8.875,198200.0,0
1999-12-03,9.0,9.187999999999999,8.937999999999997,9.125,157100.0,0
1999-12-06,9.125,9.25,8.375,8.375,257500.0,0
1999-12-07,8.437999999999999,8.437999999999999,8.0,8.125,242700.0,0
