date,open,high,low,close,volume,padding
1999-01-04,36.5,36.56,35.12,35.25,400900.0,0
1999-01-05,35.25,37.12,35.25,36.62,458300.0,0
1999-01-06,37.75,38.88,37.69,38.5,697200.0,0
1999-01-07,37.62,37.94,36.94,37.62,379200.0,0
1999-01-08,38.12,39.19,38.12,38.31,318900.0,0
1999-01-11,38.31,38.31,37.38,37.69,184400.0,0
1999-01-12,37.94,38.25,36.88,37.0,348000.0,0
1999-01-13,34.88,35.62,34.12,35.38,940600.0,0
1999-01-14,36.12,37.12,35.06,35.06,228000.0,0
1999-01-15,36.0,36.94,35.88,35.88,204600.0,0
1999-01-19,36.38,37.38,35.38,37.38,335600.0,0
1999-01-20,37.75,39.38,37.12,39.06,392700.0,0
1999-01-21,38.56,38.56,37.69,37.88,454200.0,0
1999-01-22,37.38,37.38,35.25,37.0,202500.0,0
1999-01-25,37.0,37.75,37.0,37.25,301700.0,0
1999-01-26,37.12,38.0,37.12,37.88,450700.0,0
1999-01-27,38.25,39.5,38.25,38.88,297800.0,0
1999-01-28,39.75,39.94,39.0,39.12,525900.0,0
1999-01-29,39.88,40.0,39.12,39.75,235200.0,0
1999-02-01,39.69,40.25,37.38,38.0,557500.0,0
1999-02-02,37.75,37.88,35.75,36.56,619000.0,0
1999-02-03,36.62,37.94,36.62,37.0,1034800.0,0
1999-02-04,37.0,37.0,35.31,35.56,353100.0,0
1999-02-05,35.69,35.81,34.38,34.56,495200.0,0
1999-02-08,34.81,36.0,34.75,35.0,275700.0,0
1999-02-09,34.88,35.0,34.25,34.25,219000.0,0
1999-02-10,34.0,34.25,32.75,34.06,269100.0,0
1999-02-11,34.62,35.06,34.12,34.62,377300.0,0
1999-02-12,34.62,34.62,33.5,33.62,205000.0,0
1999-02-16,33.38,33.94,32.25,32.88,575700.0,0
1999-02-17,32.62,32.94,31.38,31.75,458200.0,0
1999-02-18,32.25,33.62,32.25,33.5,502900.0,0
1999-02-19,33.62,34.5,33.31,33.81,360200.0,0
1999-02-22,34.06,34.5,33.94,34.19,197400.0,0
1999-02-23,34.44,34.81,33.5,34.5,181800.0,0
1999-02-24,34.75,35.38,33.75,33.88,512000.0,0
1999-02-25,33.12,33.5,32.19,33.12,502500.0,0
1999-02-26,33.12,33.81,32.62,33.19,373800.0,0
1999-03-01,33.12,33.12,32.62,32.75,179600.0,0
1999-03-02,32.5,32.62,31.75,32.56,318500.0,0
1999-03-03,32.81,33.38,32.5,32.75,175400.0,0
1999-03-04,33.0,34.75,33.0,34.0,282200.0,0
1999-03-05,34.94,36.0,34.62,36.0,262800.0,0
1999-03-08,36.0,36.0,34.19,34.5,254300.0,0
1999-03-09,34.5,35.5,34.12,34.12,200200.0,0
1999-03-10,34.31,37.25,34.31,36.56,545900.0,0
1999-03-11,36.81,39.0,36.25,38.5,513100.0,0
1999-03-12,38.31,38.5,36.06,37.0,1357900.0,0
1999-03-15,37.0,37.5,36.88,37.44,189300.0,0
1999-03-16,37.38,37.62,36.75,36.88,322300.0,0
1999-03-17,36.88,36.94,36.12,36.12,602500.0,0
1999-03-18,36.38,37.44,35.62,35.94,535500.0,0
1999-03-19,36.0,36.38,35.62,35.88,232100.0,0
1999-03-22,35.88,35.88,34.62,35.5,162800.0,0
1999-03-23,35.25,35.25,33.75,34.0,193100.0,0
1999-03-24,34.0,34.44,33.88,34.31,177500.0,0
1999-03-25,34.56,35.38,34.56,35.38,362100.0,0
1999-03-26,36.38,36.62,36.19,36.5,749400.0,0
1999-03-29,36.94,37.25,36.25,36.81,249300.0,0
1999-03-30,36.62,37.88,36.31,37.44,230600.0,0
1999-03-31,38.0,39.12,37.94,39.0,441100.0,0
1999-04-01,39.0,39.0,37.62,38.75,218000.0,0
1999-04-05,39.12,39.38,38.62,38.69,540400.0,0
1999-04-06,38.62,38.62,37.44,37.44,207600.0,0
1999-04-07,37.56,37.94,37.5,37.69,387000.0,0
1999-04-08,37.75,38.75,37.75,38.69,378300.0,0
1999-04-09,38.88,39.5,38.12,39.5,712100.0,0
1999-04-12,39.38,40.0,38.75,39.69,269100.0,0
1999-04-13,39.94,39.94,37.5,38.12,237800.0,0
1999-04-14,38.38,38.5,37.88,38.0,443800.0,0
1999-04-15,38.12,38.25,35.88,36.38,535300.0,0
1999-04-16,36.62,36.75,35.25,36.0,510200.0,0
1999-04-19,36.06,36.38,33.62,33.75,383000.0,0
1999-04-20,34.25,35.75,34.06,34.19,369400.0,0
1999-04-21,34.44,34.5,31.88,33.25,1401400.0,0
1999-04-22,33.62,37.0,33.62,36.75,1259700.0,0
1999-04-23,36.81,38.5,36.75,38.12,311500.0,0
1999-04-26,37.5,37.56,34.56,36.56,638700.0,0
1999-04-27,36.69,36.88,35.38,35.5,490400.0,0
1999-04-28,35.56,37.12,35.56,37.12,702000.0,0
1999-04-29,37.0,37.19,36.62,36.62,374900.0,0
1999-04-30,36.62,37.56,36.62,36.94,154900.0,0
1999-05-03,37.0,38.25,37.0,38.19,258100.0,0
1999-05-04,38.31,38.31,36.31,37.31,211500.0,0
1999-05-05,37.38,37.88,36.62,37.0,198500.0,0
1999-05-06,36.75,37.75,36.62,37.75,116700.0,0
1999-05-07,38.12,38.19,37.0,37.62,195600.0,0
1999-05-10,37.62,37.94,36.94,37.19,245100.0,0
1999-05-11,37.06,37.56,36.62,37.19,96200.0,0
1999-05-12,37.19,38.12,36.38,38.12,228900.0,0
1999-05-13,38.25,39.75,38.25,38.88,314100.0,0
1999-05-14,38.0,38.5,37.75,38.0,110400.0,0
1999-05-17,37.75,38.25,37.62,37.81,133800.0,0
1999-05-18,37.56,38.88,37.56,38.5,337300.0,0
1999-05-19,38.38,41.75,38.0,41.75,1053700.0,0
1999-05-20,41.5,44.5,40.62,43.25,809000.0,0
1999-05-21,42.0,42.25,41.0,41.12,607600.0,0
