date,open,high,low,close,volume,padding
1999-01-04,22.565,22.875,21.19,21.44,1978400.0,0
1999-01-05,21.375,21.375,20.78,20.94,1321200.0,0
1999-01-06,21.44,21.44,20.94,21.0,1651000.0,0
1999-01-07,20.5,21.5,20.5,21.47,1337200.0,0
1999-01-08,21.405,23.5,21.405,23.5,1709200.0,0
1999-01-11,23.375,24.19,23.375,23.72,1234800.0,0
1999-01-12,23.72,23.97,22.72,22.845,768800.0,0
1999-01-13,22.095,22.875,22.03,22.69,940200.0,0
1999-01-14,22.69,22.69,21.94,22.125,411800.0,0
1999-01-15,22.25,22.345,22.03,22.345,585000.0,0
1999-01-19,22.5,22.69,21.97,22.25,916200.0,0
1999-01-20,22.375,23.5,22.375,23.25,668400.0,0
1999-01-21,23.125,23.19,22.94,23.03,880800.0,0
1999-01-22,22.905,23.5,22.845,23.5,430000.0,0
1999-01-25,23.44,23.44,18.315,19.0,7496000.0,0
1999-01-26,19.565,19.565,17.875,18.97,5054400.0,0
1999-01-27,19.0,19.19,18.78,19.0,4274000.0,0
1999-01-28,19.125,19.47,18.815,19.065,2182200.0,0
1999-01-29,19.065,19.095,18.69,18.875,1404800.0,0
1999-02-01,19.0,20.22,19.0,20.125,1271800.0,0
1999-02-02,20.0,20.19,19.53,19.69,1028000.0,0
1999-02-03,19.625,19.845,19.315,19.815,637000.0,0
1999-02-04,19.69,19.815,19.065,19.47,693400.0,0
1999-02-05,19.405,19.845,19.125,19.5,607400.0,0
1999-02-08,19.5,19.75,18.78,19.015,1704800.0,0
1999-02-09,19.0,19.0,18.375,18.375,651800.0,0
1999-02-10,18.375,18.375,17.815,17.905,1108400.0,0
1999-02-11,17.94,18.44,17.565,17.97,1504200.0,0
1999-02-12,17.97,18.315,17.815,17.97,559000.0,0
1999-02-16,17.845,18.155,17.78,17.815,412600.0,0
1999-02-17,17.69,17.69,16.97,17.155,597000.0,0
1999-02-18,17.095,17.095,16.815,17.0,456000.0,0
1999-02-19,17.0,17.125,16.375,16.625,1074800.0,0
1999-02-22,16.69,17.69,16.625,17.69,882200.0,0
1999-02-23,17.625,18.125,17.565,18.03,1236400.0,0
1999-02-24,18.19,18.655,18.125,18.155,846400.0,0
1999-02-25,18.19,18.25,17.625,18.03,543600.0,0
1999-02-26,17.97,18.065,17.78,18.0,1010600.0,0
1999-03-01,17.94,18.19,17.905,18.19,709400.0,0
1999-03-02,18.19,18.625,18.03,18.19,251200.0,0
1999-03-03,18.125,18.22,17.905,18.095,592600.0,0
1999-03-04,18.095,18.875,18.095,18.47,1138400.0,0
1999-03-05,18.5,18.565,17.845,18.095,1030600.0,0
1999-03-08,18.065,18.44,18.0,18.03,1336800.0,0
1999-03-09,18.065,18.155,17.815,17.97,1513400.0,0
1999-03-10,17.97,18.095,15.75,16.845,2684200.0,0
1999-03-11,16.845,16.845,16.0,16.47,2508800.0,0
1999-03-12,16.47,16.595,16.065,16.47,1518600.0,0
1999-03-15,16.44,16.905,16.44,16.69,409400.0,0
1999-03-16,16.78,17.0,16.72,16.75,448600.0,0
1999-03-17,16.75,16.875,16.25,16.5,2069400.0,0
1999-03-18,16.25,16.47,15.03,15.03,3863800.0,0
1999-03-19,15.0,15.69,15.0,15.375,1611800.0,0
1999-03-22,15.315,15.375,15.03,15.25,729600.0,0
1999-03-23,15.315,15.44,15.03,15.44,650000.0,0
1999-03-24,15.19,15.815,15.155,15.815,496400.0,0
1999-03-25,16.815,17.315,16.72,16.94,1114000.0,0
1999-03-26,16.625,16.69,16.03,16.19,682600.0,0
1999-03-29,16.125,16.53,16.03,16.22,425800.0,0
1999-03-30,16.155,16.28,16.065,16.28,815400.0,0
1999-03-31,16.655,16.75,16.25,16.405,553800.0,0
1999-04-01,16.47,16.565,16.25,16.28,563800.0,0
1999-04-05,16.28,16.905,16.28,16.815,973000.0,0
1999-04-06,16.845,16.875,16.25,16.28,830600.0,0
1999-04-07,16.28,16.28,15.69,15.815,632800.0,0
1999-04-08,15.625,15.97,15.25,15.25,1020400.0,0
1999-04-09,15.25,15.375,14.655,15.0,1182600.0,0
1999-04-12,15.125,15.595,15.0,15.53,594200.0,0
1999-04-13,15.53,16.03,15.53,15.845,693600.0,0
1999-04-14,15.875,16.815,15.78,16.595,592000.0,0
1999-04-15,17.0,17.19,16.75,17.0,911400.0,0
1999-04-16,17.065,17.375,16.94,17.28,557000.0,0
1999-04-19,17.625,18.375,17.405,18.375,859400.0,0
1999-04-20,18.565,18.75,17.44,17.5,1057000.0,0
1999-04-21,12.065,12.565,10.94,12.44,16785000.0,0
1999-04-22,12.44,12.78,12.065,12.5,5461000.0,0
1999-04-23,12.75,12.75,12.405,12.72,3459200.0,0
1999-04-26,13.0,13.22,12.72,13.19,2841600.0,0
1999-04-27,13.155,13.19,12.5,12.75,2435400.0,0
1999-04-28,12.815,12.94,12.47,12.625,4223000.0,0
1999-04-29,12.5,12.655,12.345,12.405,1169200.0,0
1999-04-30,12.375,12.44,11.75,11.94,3672800.0,0
1999-05-03,12.0,12.625,11.905,12.625,4347000.0,0
1999-05-04,12.69,12.815,12.53,12.625,1526800.0,0
1999-05-05,12.565,13.065,12.565,13.0,1804400.0,0
1999-05-06,12.69,12.94,12.625,12.815,1052000.0,0
1999-05-07,12.875,12.875,12.69,12.78,794000.0,0
1999-05-10,12.78,14.5,12.78,14.44,933200.0,0
1999-05-11,14.5,14.625,13.905,14.22,1103400.0,0
1999-05-12,14.155,14.155,13.655,13.655,621000.0,0
1999-05-13,13.595,13.94,13.595,13.815,782400.0,0
1999-05-14,13.69,13.845,13.5,13.69,823600.0,0
1999-05-17,13.75,13.75,13.5,13.75,397800.0,0
1999-05-18,13.655,13.78,13.565,13.69,477000.0,0
1999-05-19,13.655,14.44,13.655,14.405,408600.0,0
1999-05-20,14.375,14.47,14.0,14.065,342800.0,0
1999-05-21,14.19,14.44,14.155,14.22,200000.0,0
1999-05-24,14.25,14.28,14.03,14.125,1113800.0,0
1999-05-25,14.25,14.25,14.125,14.155,922000.0,0
1999-05-26,14.155,14.19,14.03,14.095,1345200.0,0
1999-05-27,14.155,14.19,14.065,14.095,597400.0,0
1999-05-28,14.125,14.25,14.03,14.19,497800.0,0
1999-06-01,14.315,14.5,14.22,14.375,429400.0,0
1999-06-02,14.69,15.0,14.345,14.625,619600.0,0
1999-06-03,14.595,14.875,14.44,14.75,283200.0,0
1999-06-04,14.565,14.69,14.28,14.375,253600.0,0
1999-06-07,14.5,14.5,14.25,14.5,342200.0,0
1999-06-08,14.5,14.625,14.28,14.28,824600.0,0
1999-06-09,14.315,14.565,14.125,14.5,992200.0,0
1999-06-10,14.47,14.565,14.28,14.5,707000.0,0
1999-06-11,14.405,14.53,14.315,14.375,365200.0,0
1999-06-14,14.44,14.595,14.315,14.44,1039200.0,0
1999-06-15,14.565,14.595,14.315,14.315,482400.0,0
1999-06-16,14.44,14.625,14.375,14.47,2210600.0,0
1999-06-17,14.405,14.94,14.315,14.655,1021000.0,0
1999-06-18,14.44,14.595,14.405,14.44,531400.0,0
1999-06-21,14.565,14.75,14.47,14.625,1069000.0,0
1999-06-22,14.595,14.595,14.28,14.315,1226000.0,0
1999-06-23,14.25,14.25,13.19,13.19,5178800.0,0
1999-06-24,13.25,13.375,13.065,13.065,3996400.0,0
1999-06-25,13.0,13.03,12.69,12.75,1996600.0,0
1999-06-28,12.75,12.905,12.595,12.72,2375600.0,0
1999-06-29,12.5,13.125,12.5,12.97,2069000.0,0
1999-06-30,12.97,13.0,12.75,12.905,1727600.0,0
1999-07-01,12.97,12.97,12.75,12.815,994400.0,0
1999-07-02,12.815,13.065,12.75,13.0,441800.0,0
1999-07-06,13.0,13.595,12.94,13.44,937800.0,0
1999-07-07,13.25,13.28,12.815,12.905,1267600.0,0
1999-07-08,12.94,13.0,12.375,12.595,1322600.0,0
1999-07-09,12.655,12.655,12.47,12.565,329800.0,0
1999-07-12,12.53,12.595,12.405,12.44,435400.0,0
1999-07-13,12.44,12.44,12.25,12.345,427200.0,0
1999-07-14,12.345,12.345,12.065,12.095,831400.0,0
1999-07-15,12.22,12.25,12.03,12.065,590400.0,0
1999-07-16,12.125,12.565,12.095,12.5,998200.0,0
1999-07-19,12.5,12.565,12.28,12.375,440600.0,0
1999-07-20,12.315,12.44,12.28,12.345,497600.0,0
1999-07-21,12.25,13.375,12.125,13.25,2262400.0,0
1999-07-22,13.28,13.47,12.845,12.94,1535400.0,0
1999-07-23,12.875,13.095,12.875,12.97,766200.0,0
1999-07-26,12.97,13.095,12.875,13.065,1079200.0,0
1999-07-27,13.095,13.155,13.03,13.03,549400.0,0
1999-07-28,13.03,13.22,13.03,13.19,649200.0,0
1999-07-29,13.095,13.22,13.065,13.095,600000.0,0
1999-07-30,13.155,13.345,13.125,13.22,796800.0,0
1999-08-02,13.155,13.19,13.0,13.0,914400.0,0
1999-08-03,13.03,13.19,13.0,13.065,804400.0,0
1999-08-04,13.065,13.095,13.0,13.065,770000.0,0
1999-08-05,13.19,13.19,13.03,13.095,846800.0,0
1999-08-06,13.03,13.155,13.0,13.125,559800.0,0
1999-08-09,13.095,13.19,13.03,13.125,569000.0,0
1999-08-10,13.065,13.22,13.0,13.155,653600.0,0
1999-08-11,13.155,13.345,12.97,13.065,718000.0,0
1999-08-12,13.125,13.25,13.065,13.22,934800.0,0
1999-08-13,13.19,13.405,13.19,13.315,414400.0,0
1999-08-16,13.375,13.47,13.315,13.315,340800.0,0
1999-08-17,13.345,13.47,13.155,13.22,524800.0,0
1999-08-18,13.25,13.28,13.22,13.22,417800.0,0
1999-08-19,13.22,13.345,13.22,13.25,888200.0,0
1999-08-20,13.19,13.405,13.19,13.345,510400.0,0
1999-08-23,13.405,13.53,13.315,13.315,480400.0,0
1999-08-24,13.44,13.5,13.315,13.405,362400.0,0
1999-08-25,13.405,13.47,13.125,13.25,673600.0,0
1999-08-26,13.28,13.5,13.125,13.5,1087600.0,0
1999-08-27,13.5,13.5,13.28,13.315,528600.0,0
1999-08-30,13.345,13.345,13.095,13.125,556600.0,0
1999-08-31,13.125,13.125,12.905,13.125,1199000.0,0
1999-09-01,13.25,13.25,12.94,12.94,344000.0,0
1999-09-02,13.03,13.03,12.78,12.815,398600.0,0
1999-09-03,12.94,12.97,12.69,12.75,569600.0,0
1999-09-07,12.75,12.845,12.625,12.655,668000.0,0
1999-09-08,12.595,12.625,12.405,12.565,943200.0,0
1999-09-09,12.44,12.595,12.44,12.595,469200.0,0
1999-09-10,12.655,12.69,12.47,12.595,439200.0,0
1999-09-13,12.53,12.625,12.53,12.53,1223400.0,0
1999-09-14,12.565,12.565,12.28,12.405,757400.0,0
1999-09-15,12.28,12.345,11.94,11.94,559400.0,0
1999-09-16,12.0,12.0,11.875,11.94,451600.0,0
1999-09-17,11.97,12.095,11.94,12.03,382600.0,0
1999-09-20,12.03,12.065,11.94,11.97,557400.0,0
1999-09-21,11.875,11.905,11.565,11.655,518200.0,0
1999-09-22,11.655,11.655,10.815,11.125,1608400.0,0
1999-09-23,11.125,11.28,11.0,11.095,486400.0,0
1999-09-24,11.095,11.345,11.095,11.25,1062600.0,0
1999-09-27,11.28,11.815,11.28,11.69,1565200.0,0
1999-09-28,11.595,11.69,11.5,11.53,872000.0,0
1999-09-29,11.53,11.595,11.5,11.53,704400.0,0
1999-09-30,11.5,12.095,11.5,11.875,701600.0,0
1999-10-01,11.75,11.75,11.095,11.44,361800.0,0
1999-10-04,11.5,11.69,11.25,11.345,241200.0,0
1999-10-05,11.315,11.405,11.155,11.19,391600.0,0
1999-10-06,11.25,11.25,10.94,11.03,1669000.0,0
1999-10-07,10.97,11.0,10.905,10.97,482600.0,0
1999-10-08,10.97,10.97,10.78,10.78,248200.0,0
1999-10-11,10.75,10.75,10.315,10.565,1322200.0,0
1999-10-12,10.53,10.75,10.47,10.565,1524800.0,0
1999-10-13,10.44,10.5,10.22,10.405,566000.0,0
1999-10-14,10.5,10.5,10.375,10.47,707000.0,0
1999-10-15,10.345,10.47,10.22,10.405,323000.0,0
1999-10-18,10.405,10.47,10.25,10.405,659800.0,0
1999-10-19,10.44,10.625,10.44,10.47,723600.0,0
1999-10-20,11.44,12.19,11.03,12.19,2530000.0,0
1999-10-21,12.0,13.095,11.94,13.065,3887200.0,0
