date,open,high,low,close,volume,padding
1999-01-04,39.94,41.31,39.94,41.13,521300.0,0
1999-01-05,41.25,43.06,41.19,42.88,1061900.0,0
1999-01-06,43.0,44.25,42.56,44.19,711000.0,0
1999-01-07,43.88,44.88,43.44,44.06,608900.0,0
1999-01-08,44.5,44.88,43.69,44.13,605400.0,0
1999-01-11,44.06,44.31,43.31,43.5,544000.0,0
1999-01-12,43.5,43.88,42.06,42.38,542000.0,0
1999-01-13,41.75,42.31,41.75,42.16,593100.0,0
1999-01-14,41.63,41.69,40.69,40.94,822700.0,0
1999-01-15,41.06,41.25,40.75,41.13,757300.0,0
1999-01-19,42.75,42.88,40.25,41.0,1005200.0,0
1999-01-20,41.38,42.0,40.44,41.0,602600.0,0
1999-01-21,42.0,42.44,41.31,42.06,931400.0,0
1999-01-22,41.75,42.31,41.38,41.63,578900.0,0
1999-01-25,41.38,42.44,41.38,42.0,1077400.0,0
1999-01-26,42.0,43.94,41.94,43.75,499900.0,0
1999-01-27,44.0,44.19,43.25,43.63,477300.0,0
1999-01-28,43.56,43.75,42.81,43.25,621800.0,0
1999-01-29,43.25,43.81,43.0,43.44,782500.0,0
1999-02-01,43.5,44.0,43.5,44.0,369200.0,0
1999-02-02,43.38,45.5,43.06,45.38,866800.0,0
1999-02-03,45.0,46.06,44.44,46.06,1230700.0,0
1999-02-04,46.0,46.25,44.75,45.38,801000.0,0
1999-02-05,45.31,46.06,45.31,45.69,483400.0,0
1999-02-08,46.5,46.63,45.56,45.88,423200.0,0
1999-02-09,45.63,46.25,45.5,46.25,389600.0,0
1999-02-10,46.0,46.0,44.75,45.56,436700.0,0
1999-02-11,45.0,45.19,44.56,44.81,350000.0,0
1999-02-12,44.0,44.56,43.56,44.5,623400.0,0
1999-02-16,44.75,45.0,44.13,44.81,465800.0,0
1999-02-17,45.06,45.06,44.0,44.69,380200.0,0
1999-02-18,44.94,45.44,44.56,45.13,407000.0,0
1999-02-19,44.63,46.0,44.63,46.0,552100.0,0
1999-02-22,45.75,47.94,45.63,47.75,697200.0,0
1999-02-23,47.88,49.44,47.19,49.19,895200.0,0
1999-02-24,48.94,49.06,46.13,47.0,439700.0,0
1999-02-25,46.75,46.75,44.75,46.69,637500.0,0
1999-02-26,46.69,46.75,44.38,44.44,377100.0,0
1999-03-01,44.56,45.38,43.88,45.38,350300.0,0
1999-03-02,44.88,45.44,43.75,44.69,314400.0,0
1999-03-03,44.5,44.94,43.94,43.94,447200.0,0
1999-03-04,44.31,45.06,44.06,44.31,702400.0,0
1999-03-05,44.38,44.88,44.06,44.75,336500.0,0
1999-03-08,44.88,45.0,44.38,44.81,290700.0,0
1999-03-09,44.81,44.81,44.38,44.69,407500.0,0
1999-03-10,44.56,44.88,44.38,44.38,413800.0,0
1999-03-11,44.5,46.44,44.38,45.0,754700.0,0
1999-03-12,45.0,45.44,44.94,45.38,369100.0,0
1999-03-15,45.06,46.69,45.06,46.44,540700.0,0
1999-03-16,46.5,47.63,46.44,47.56,529900.0,0
1999-03-17,47.56,47.75,46.5,46.75,497100.0,0
1999-03-18,46.56,47.06,46.19,46.63,345800.0,0
1999-03-19,46.88,46.88,45.25,46.19,435200.0,0
1999-03-22,45.94,45.94,44.19,44.19,276500.0,0
1999-03-23,43.88,43.88,42.44,43.19,448700.0,0
1999-03-24,43.25,43.88,42.5,43.25,254000.0,0
1999-03-25,43.13,43.25,42.5,42.94,241700.0,0
1999-03-26,42.88,43.31,42.06,42.31,339100.0,0
1999-03-29,41.63,42.63,41.63,42.19,241700.0,0
1999-03-30,41.63,42.19,41.31,41.94,446800.0,0
1999-03-31,42.19,43.19,42.0,42.44,428500.0,0
1999-04-01,42.44,42.44,42.0,42.19,218100.0,0
1999-04-05,41.5,44.31,41.25,44.31,291700.0,0
1999-04-06,44.44,44.75,43.69,43.75,371600.0,0
1999-04-07,43.63,45.44,43.63,45.13,433800.0,0
1999-04-08,45.0,46.69,45.0,45.94,491800.0,0
1999-04-09,45.94,46.5,45.0,46.13,433400.0,0
1999-04-12,45.63,46.25,45.31,45.69,325700.0,0
1999-04-13,44.5,45.31,44.5,44.94,208300.0,0
1999-04-14,44.69,46.0,43.75,45.69,526400.0,0
1999-04-15,45.94,48.5,45.81,48.5,1302100.0,0
1999-04-16,47.94,48.94,47.75,48.94,625800.0,0
1999-04-19,49.0,53.5,49.0,52.81,2660300.0,0
1999-04-20,52.0,53.13,50.63,51.94,936900.0,0
1999-04-21,51.0,52.5,50.13,52.5,737600.0,0
1999-04-22,52.38,52.88,51.63,52.56,463600.0,0
1999-04-23,52.31,52.31,51.69,51.94,445400.0,0
1999-04-26,52.06,52.25,50.5,51.0,407200.0,0
1999-04-27,50.94,51.44,49.06,49.94,431800.0,0
1999-04-28,50.19,51.19,50.06,50.94,462600.0,0
1999-04-29,50.38,51.94,50.38,51.5,620800.0,0
