date,open,high,low,close,volume,padding
1999-01-04,25.53,25.655,24.625,24.905,1547600.0,0
1999-01-05,24.905,25.565,24.875,25.345,1294800.0,0
1999-01-06,25.375,26.22,25.315,26.095,1347200.0,0
1999-01-07,25.875,26.345,25.625,26.345,474800.0,0
1999-01-08,26.25,26.655,26.125,26.405,830800.0,0
1999-01-11,26.47,26.655,26.155,26.53,1032800.0,0
1999-01-12,26.5,26.75,26.375,26.5,3879400.0,0
1999-01-13,25.565,25.845,25.155,25.69,1560200.0,0
1999-01-14,25.565,26.375,25.5,25.905,881200.0,0
1999-01-15,25.905,26.155,25.625,26.155,687800.0,0
1999-01-19,26.25,26.25,25.625,26.22,523800.0,0
1999-01-20,26.125,26.19,25.565,25.97,453000.0,0
1999-01-21,26.25,26.25,25.905,26.125,996400.0,0
1999-01-22,26.065,26.125,25.75,26.03,534200.0,0
1999-01-25,25.97,26.22,25.97,26.22,365000.0,0
1999-01-26,26.22,27.25,26.155,27.25,1110400.0,0
1999-01-27,27.25,27.44,27.065,27.405,1086800.0,0
1999-01-28,27.875,28.375,26.815,26.815,1725800.0,0
1999-01-29,27.065,27.065,26.125,26.53,1580000.0,0
1999-02-01,26.625,27.125,26.5,26.905,1202800.0,0
1999-02-02,26.875,27.0,26.72,26.875,912000.0,0
1999-02-03,26.75,26.97,26.69,26.875,856600.0,0
1999-02-04,26.97,27.22,26.875,27.0,1436600.0,0
1999-02-05,27.065,27.125,26.625,27.065,819200.0,0
1999-02-08,27.065,27.125,26.97,27.03,515000.0,0
1999-02-09,27.0,27.125,26.815,26.845,933600.0,0
1999-02-10,26.845,26.845,25.815,26.22,1034200.0,0
1999-02-11,26.565,26.625,26.22,26.47,213200.0,0
1999-02-12,26.5,26.565,26.095,26.44,356400.0,0
1999-02-16,26.375,26.72,25.72,25.72,264000.0,0
1999-02-17,25.595,26.625,25.565,25.565,456400.0,0
1999-02-18,25.69,25.815,25.565,25.72,801000.0,0
1999-02-19,25.875,26.47,25.375,25.5,583800.0,0
1999-02-22,25.5,25.69,25.065,25.315,1235000.0,0
1999-02-23,25.44,25.815,24.75,25.25,748000.0,0
1999-02-24,25.625,25.845,25.44,25.5,329200.0,0
1999-02-25,25.375,25.69,25.065,25.69,498200.0,0
1999-02-26,25.625,25.625,24.905,25.375,726800.0,0
1999-03-01,25.375,25.44,24.875,25.0,579200.0,0
1999-03-02,25.0,25.065,24.53,24.655,435200.0,0
1999-03-03,24.94,24.94,23.69,24.28,738400.0,0
1999-03-04,24.315,24.315,23.375,24.25,1066800.0,0
1999-03-05,24.375,25.25,24.375,25.125,1386000.0,0
1999-03-08,25.25,25.315,24.53,24.72,1136400.0,0
1999-03-09,25.0,25.19,24.625,24.905,571600.0,0
1999-03-10,25.03,25.03,24.655,25.0,302600.0,0
1999-03-11,25.0,25.19,24.0,24.315,790600.0,0
1999-03-12,24.315,25.44,24.315,25.19,771200.0,0
1999-03-15,25.19,26.72,25.19,26.72,973800.0,0
1999-03-16,26.72,26.72,25.69,26.22,1308800.0,0
1999-03-17,26.095,26.53,25.875,26.345,655400.0,0
1999-03-18,26.095,26.565,25.94,26.5,539400.0,0
1999-03-19,25.75,26.655,25.75,26.155,590400.0,0
1999-03-22,26.25,26.375,25.875,25.875,383600.0,0
1999-03-23,25.905,25.905,24.155,24.565,1316000.0,0
1999-03-24,24.655,25.0,23.875,24.345,606800.0,0
1999-03-25,24.47,25.125,24.44,25.03,488800.0,0
1999-03-26,24.94,25.125,24.5,24.875,551800.0,0
1999-03-29,24.94,26.0,24.94,25.78,728800.0,0
1999-03-30,25.875,25.875,24.315,24.655,609200.0,0
1999-03-31,24.78,25.25,24.375,24.595,549600.0,0
1999-04-01,24.625,24.625,24.065,24.44,1607200.0,0
1999-04-05,24.5,25.53,24.125,25.5,741200.0,0
1999-04-06,25.5,26.0,25.315,25.595,816600.0,0
1999-04-07,25.69,25.97,24.595,24.72,628000.0,0
1999-04-08,24.69,25.155,24.44,25.155,694600.0,0
1999-04-09,25.065,25.375,24.845,24.97,453400.0,0
1999-04-12,24.845,25.0,24.25,24.5,501000.0,0
1999-04-13,24.125,25.815,24.125,25.405,1275400.0,0
1999-04-14,25.44,26.345,25.19,26.0,1185200.0,0
1999-04-15,26.75,27.75,26.47,27.655,961400.0,0
1999-04-16,28.625,30.0,28.53,28.78,3647200.0,0
1999-04-19,28.78,29.5,28.78,28.875,1115200.0,0
1999-04-20,28.94,29.19,28.03,29.065,813400.0,0
1999-04-21,28.94,29.03,28.625,28.78,287200.0,0
1999-04-22,28.69,28.815,27.28,27.5,1015000.0,0
1999-04-23,27.625,27.875,27.25,27.69,824000.0,0
1999-04-26,27.625,27.625,26.565,26.815,592200.0,0
1999-04-27,27.065,28.94,26.875,28.22,1640600.0,0
1999-04-28,28.315,29.5,28.315,29.19,2370200.0,0
1999-04-29,29.19,30.94,29.19,30.565,2882200.0,0
1999-04-30,31.0,31.0,30.155,30.405,1101800.0,0
1999-05-03,30.345,30.625,30.125,30.5,1273200.0,0
1999-05-04,30.53,30.905,30.28,30.315,996600.0,0
1999-05-05,30.315,30.845,30.22,30.53,1767400.0,0
1999-05-06,31.125,31.655,30.565,31.47,2147400.0,0
1999-05-07,31.565,32.125,31.5,32.065,2294000.0,0
1999-05-10,32.095,32.845,32.095,32.47,866600.0,0
1999-05-11,32.47,33.595,32.47,32.94,2852200.0,0
1999-05-12,32.94,32.94,32.315,32.5,1166800.0,0
1999-05-13,32.53,32.69,31.75,31.875,768800.0,0
1999-05-14,31.845,31.845,31.25,31.47,1353600.0,0
1999-05-17,31.345,31.345,30.875,31.315,783600.0,0
1999-05-18,31.25,31.565,31.125,31.25,765600.0,0
1999-05-19,31.25,31.75,31.22,31.75,1606400.0,0
1999-05-20,31.75,32.315,31.75,31.845,937000.0,0
1999-05-21,31.905,32.69,31.625,32.625,632400.0,0
1999-05-24,32.905,33.405,32.69,32.905,1057800.0,0
1999-05-25,32.815,33.345,32.815,33.28,1127600.0,0
1999-05-26,33.22,33.375,32.5,32.625,1240000.0,0
1999-05-27,32.565,32.565,31.405,31.5,1238800.0,0
1999-05-28,31.5,31.69,31.0,31.065,1098000.0,0
1999-06-01,31.25,31.315,31.0,31.28,871200.0,0
1999-06-02,31.375,31.94,31.095,31.91,643800.0,0
1999-06-03,31.815,33.47,31.75,33.125,1260000.0,0
1999-06-04,33.5,34.22,33.375,33.875,960000.0,0
1999-06-07,33.75,33.845,33.5,33.625,1412600.0,0
1999-06-08,33.5,33.875,33.0,33.19,3780200.0,0
1999-06-09,33.19,33.19,32.565,32.75,885000.0,0
1999-06-10,31.875,32.095,31.44,31.72,679000.0,0
1999-06-11,32.125,32.69,31.75,31.78,521600.0,0
1999-06-14,31.875,32.155,31.375,31.44,1484600.0,0
1999-06-15,31.69,31.815,31.44,31.595,773600.0,0
1999-06-16,31.72,32.125,31.44,31.72,632800.0,0
1999-06-17,31.625,32.25,31.375,31.97,802200.0,0
1999-06-18,32.0,32.315,31.97,32.19,1500000.0,0
1999-06-21,32.405,32.69,32.125,32.53,1179000.0,0
1999-06-22,32.47,32.75,32.0,32.065,657200.0,0
1999-06-23,32.065,32.5,31.095,32.375,802800.0,0
1999-06-24,32.44,32.44,31.69,31.72,728200.0,0
1999-06-25,31.625,32.19,31.565,31.845,446800.0,0
1999-06-28,32.03,32.25,31.375,31.53,520800.0,0
1999-06-29,31.78,32.75,31.625,32.565,708800.0,0
1999-06-30,32.5,32.595,31.44,32.44,782000.0,0
1999-07-01,32.315,32.595,32.19,32.28,912200.0,0
1999-07-02,32.405,32.595,32.28,32.47,295200.0,0
1999-07-06,32.47,32.565,31.875,32.565,528800.0,0
1999-07-07,32.565,32.815,32.405,32.5,456200.0,0
1999-07-08,32.375,32.375,31.815,31.845,1179400.0,0
1999-07-09,31.97,32.22,31.875,31.97,516200.0,0
1999-07-12,32.065,32.065,31.565,32.0,686000.0,0
1999-07-13,32.0,32.065,31.5,31.72,1082200.0,0
1999-07-14,31.72,31.72,31.19,31.47,305400.0,0
1999-07-15,31.5,31.5,30.5,30.595,1624000.0,0
1999-07-16,30.75,31.44,30.75,31.25,837600.0,0
1999-07-19,31.375,31.375,29.815,30.315,1220400.0,0
1999-07-20,30.22,30.875,30.065,30.44,1310200.0,0
1999-07-21,30.565,31.845,30.565,31.845,1277600.0,0
1999-07-22,31.845,32.595,31.815,32.44,1168600.0,0
1999-07-23,32.315,32.565,31.625,32.405,733600.0,0
1999-07-26,32.315,32.44,31.065,31.5,519600.0,0
1999-07-27,31.565,32.19,31.345,31.53,1485400.0,0
1999-07-28,31.875,31.875,31.5,31.69,659400.0,0
1999-07-29,31.5,32.875,31.405,31.875,1101200.0,0
1999-07-30,31.905,32.19,31.72,32.125,329400.0,0
1999-08-02,32.065,32.94,32.03,32.28,610400.0,0
1999-08-03,32.405,32.75,31.69,31.845,384000.0,0
1999-08-04,31.94,32.0,31.375,31.47,249400.0,0
1999-08-05,31.5,31.5,29.625,29.875,2189200.0,0
1999-08-06,29.875,29.905,29.0,29.125,1829200.0,0
1999-08-09,28.0,29.19,27.875,28.845,2158800.0,0
1999-08-10,29.125,29.53,28.25,28.53,1624400.0,0
1999-08-11,28.53,29.19,28.065,29.095,1744400.0,0
1999-08-12,28.97,29.44,28.97,29.28,344000.0,0
1999-08-13,29.405,29.94,29.405,29.72,630200.0,0
1999-08-16,29.845,29.875,29.53,29.78,288600.0,0
1999-08-17,29.875,30.0,29.655,29.875,326800.0,0
1999-08-18,29.875,30.125,29.78,30.0,408400.0,0
1999-08-19,29.94,30.155,29.75,29.875,744400.0,0
1999-08-20,30.065,30.47,30.03,30.375,441400.0,0
1999-08-23,30.28,30.78,30.28,30.5,228600.0,0
1999-08-24,30.625,136.0,30.25,30.565,575600.0,0
1999-08-25,30.315,30.845,30.315,30.405,400400.0,0
1999-08-26,30.44,30.69,29.875,29.905,474200.0,0
1999-08-27,29.94,30.565,29.5,29.53,778800.0,0
1999-08-30,29.625,29.875,29.565,29.565,401600.0,0
1999-08-31,29.69,30.125,29.22,29.375,574000.0,0
1999-09-01,29.315,29.94,29.315,29.845,426200.0,0
1999-09-02,29.97,29.97,29.19,29.47,580600.0,0
1999-09-03,29.69,30.25,29.69,29.72,477200.0,0
1999-09-07,29.595,30.065,29.595,30.0,1285600.0,0
1999-09-08,30.0,30.095,29.815,29.905,1503000.0,0
1999-09-09,29.815,29.97,29.25,29.595,977000.0,0
1999-09-10,29.565,30.375,29.25,30.19,473000.0,0
1999-09-13,30.22,30.22,29.875,30.095,372200.0,0
1999-09-14,30.095,30.095,29.155,29.19,761000.0,0
1999-09-15,29.155,29.25,28.44,28.44,1074000.0,0
1999-09-16,28.5,28.875,27.44,27.53,1224400.0,0
1999-09-17,27.565,28.0,27.405,27.405,1041800.0,0
1999-09-20,27.405,27.44,26.815,27.44,630200.0,0
1999-09-21,27.315,27.315,26.5,26.815,665600.0,0
1999-09-22,26.72,27.125,26.565,26.595,459400.0,0
1999-09-23,26.69,26.75,25.625,25.905,874000.0,0
1999-09-24,25.875,26.44,25.565,25.815,658200.0,0
1999-09-27,25.75,27.0,25.75,26.155,615200.0,0
1999-09-28,26.28,26.375,25.625,25.875,830600.0,0
1999-09-29,25.845,26.155,25.565,25.625,1168400.0,0
1999-09-30,25.75,25.94,25.625,25.655,597400.0,0
1999-10-01,25.625,26.75,25.405,26.47,1564600.0,0
1999-10-04,26.595,27.565,26.595,27.345,960200.0,0
1999-10-05,27.345,27.94,27.315,27.44,669400.0,0
1999-10-06,27.565,27.905,26.94,27.815,534400.0,0
1999-10-07,28.44,29.065,28.405,28.905,1227200.0,0
1999-10-08,28.94,28.94,28.53,28.655,443400.0,0
1999-10-11,28.655,28.655,28.065,28.375,409800.0,0
1999-10-12,28.25,28.405,28.0,28.0,921000.0,0
1999-10-13,27.875,27.905,27.315,27.315,476200.0,0
1999-10-14,27.28,28.0,26.875,27.315,648600.0,0
1999-10-15,27.315,27.75,26.905,27.345,511800.0,0
1999-10-18,27.19,27.19,26.75,27.0,534200.0,0
1999-10-19,27.375,27.69,27.095,27.315,832000.0,0
1999-10-20,27.315,27.315,26.94,27.065,775000.0,0
1999-10-21,27.0,27.25,26.53,27.095,522000.0,0
1999-10-22,27.25,27.375,27.125,27.28,568400.0,0
1999-10-25,27.28,29.0,27.28,28.595,738600.0,0
1999-10-26,28.0,28.0,26.125,26.25,2123000.0,0
1999-10-27,26.25,27.75,25.94,27.5,2680200.0,0
1999-10-28,27.75,28.125,27.19,27.405,792000.0,0
1999-10-29,27.69,27.97,27.565,27.69,691800.0,0
1999-11-01,27.94,27.97,27.315,27.5,300800.0,0
1999-11-02,27.125,27.75,26.875,26.97,435200.0,0
1999-11-03,26.845,27.44,26.625,27.345,308400.0,0
1999-11-04,27.345,27.44,26.625,26.72,619800.0,0
1999-11-05,26.94,27.315,26.815,26.815,629200.0,0
1999-11-08,26.75,26.94,26.75,26.845,310600.0,0
1999-11-09,26.97,27.065,26.69,26.815,261600.0,0
1999-11-10,26.565,26.94,26.5,26.69,916200.0,0
1999-11-11,26.625,26.815,26.5,26.565,526000.0,0
1999-11-12,26.595,26.595,26.405,26.5,616200.0,0
1999-11-15,26.5,26.625,26.315,26.44,1459000.0,0
1999-11-16,26.44,26.5,25.75,25.97,921200.0,0
1999-11-17,26.03,26.47,26.03,26.22,466000.0,0
1999-11-18,26.5,26.815,26.065,26.125,837600.0,0
1999-11-19,25.25,26.0,25.0,25.94,644200.0,0
1999-11-22,25.815,26.0,25.625,25.75,417000.0,0
1999-11-23,25.565,25.625,24.97,25.0,561600.0,0
1999-11-24,24.69,24.72,23.875,24.125,1503600.0,0
1999-11-26,24.155,24.25,23.94,24.22,256800.0,0
1999-11-29,24.19,24.22,23.47,23.47,669600.0,0
1999-11-30,23.125,23.69,22.75,23.5,1408600.0,0
1999-12-01,23.47,23.47,23.0,23.25,1206800.0,0
1999-12-02,23.25,23.44,22.94,23.03,1852400.0,0
1999-12-03,23.03,24.25,23.03,23.69,1263800.0,0
1999-12-06,23.625,24.125,23.315,23.405,614000.0,0
1999-12-07,23.5,23.72,22.375,22.565,1479200.0,0
1999-12-08,23.315,24.44,23.0,23.94,3625800.0,0
1999-12-09,23.94,23.94,23.44,23.5,1272400.0,0
1999-12-10,23.5,23.5,22.75,22.78,1051200.0,0
1999-12-13,22.78,22.94,22.5,22.69,865400.0,0
1999-12-14,22.815,22.815,22.47,22.5,836800.0,0
1999-12-15,22.44,23.72,22.25,23.69,1283800.0,0
1999-12-16,23.72,24.0,23.345,23.44,1340200.0,0
1999-12-17,23.405,23.875,23.405,23.69,951000.0,0
1999-12-20,23.69,23.78,23.0,23.065,761600.0,0
1999-12-21,23.19,23.19,22.565,22.565,698200.0,0
1999-12-22,22.595,23.815,22.595,23.53,689000.0,0
1999-12-23,23.625,24.97,23.595,24.69,1277400.0,0
1999-12-27,24.72,24.97,24.53,24.655,433800.0,0
1999-12-28,24.625,25.625,24.595,25.095,448800.0,0
1999-12-29,25.095,25.875,25.095,25.69,824000.0,0
1999-12-30,25.75,25.875,25.625,25.815,507000.0,0
1999-12-31,25.815,25.97,25.815,25.905,194800.0,0
2000-01-03,25.69,26.19,25.565,26.095,987600.0,0
2000-01-04,25.815,27.565,25.815,27.095,1704600.0,0
2000-01-05,27.125,27.25,26.625,27.155,1033800.0,0
2000-01-06,27.19,27.94,27.125,27.815,925800.0,0
2000-01-07,28.25,28.875,28.19,28.815,1197400.0,0
2000-01-10,29.125,29.875,28.92,29.655,1759400.0,0
2000-01-11,29.565,29.625,29.22,29.28,940400.0,0
2000-01-12,29.375,30.19,29.19,29.875,1231400.0,0
2000-01-13,29.905,30.94,29.845,30.375,3895600.0,0
2000-01-14,30.5,30.565,29.47,30.095,2019000.0,0
2000-01-18,30.095,30.095,29.125,29.595,783600.0,0
2000-01-19,29.25,29.375,28.44,28.815,979600.0,0
2000-01-20,28.69,28.75,27.25,27.72,1358600.0,0
2000-01-21,28.25,28.375,27.405,27.47,918400.0,0
2000-01-24,27.5,27.75,26.75,27.0,1201000.0,0
2000-01-25,27.0,27.375,26.5,26.655,469000.0,0
2000-01-26,27.5,28.5,27.375,28.03,1418800.0,0
2000-01-27,27.94,28.97,27.94,28.625,915600.0,0
2000-01-28,28.625,29.375,27.94,28.655,939200.0,0
2000-01-31,28.53,28.53,27.125,28.065,923000.0,0
2000-02-01,27.94,28.065,27.375,27.565,544200.0,0
2000-02-02,27.69,28.0,27.095,27.19,604200.0,0
2000-02-03,27.315,27.565,26.5,26.72,810800.0,0
2000-02-04,26.845,26.97,26.0,26.25,860000.0,0
2000-02-07,26.125,26.125,25.25,25.5,770400.0,0
2000-02-08,24.75,25.875,24.75,25.565,1447800.0,0
2000-02-09,26.065,26.5,25.815,25.905,1011200.0,0
2000-02-10,26.03,26.69,25.565,25.905,1902400.0,0
2000-02-11,26.0,26.0,25.25,25.345,784400.0,0
2000-02-14,25.19,25.44,24.97,25.0,401400.0,0
2000-02-15,25.315,25.565,24.97,25.375,611000.0,0
2000-02-16,25.25,25.44,24.47,24.5,824800.0,0
2000-02-17,24.375,25.125,24.25,24.595,1256800.0,0
2000-02-18,24.47,24.5,23.25,23.875,914200.0,0
2000-02-22,24.125,24.845,24.0,24.72,529200.0,0
2000-02-23,24.72,25.125,24.72,24.97,543400.0,0
2000-02-24,24.97,24.97,24.22,24.315,1013200.0,0
2000-02-25,24.28,24.815,24.125,24.125,485800.0,0
2000-02-28,23.875,23.94,23.595,23.655,606800.0,0
2000-02-29,23.655,25.155,23.655,24.845,1237000.0,0
2000-03-01,25.25,25.905,25.125,25.72,1147400.0,0
2000-03-02,25.72,26.065,25.44,25.5,1119600.0,0
2000-03-03,25.47,26.065,25.315,25.565,976800.0,0
2000-03-06,25.565,25.565,24.595,24.815,692000.0,0
2000-03-07,25.0,25.065,23.845,24.03,3306400.0,0
2000-03-08,23.69,23.75,22.125,22.19,4690800.0,0
2000-03-09,22.5,22.815,22.19,22.47,1624600.0,0
2000-03-10,22.44,23.0,22.315,22.375,1019000.0,0
2000-03-13,21.875,22.815,21.69,22.565,1283600.0,0
2000-03-14,22.595,23.22,21.97,22.19,1840800.0,0
2000-03-15,22.25,23.22,21.72,22.72,2136600.0,0
2000-03-16,23.25,25.0,23.125,24.53,1833400.0,0
2000-03-17,24.565,24.75,23.94,24.0,883600.0,0
2000-03-20,24.28,25.0,24.25,24.315,850000.0,0
2000-03-21,24.315,25.125,24.19,25.065,1335600.0,0
2000-03-22,25.03,25.095,24.375,24.44,2615200.0,0
2000-03-23,24.375,26.315,24.375,25.78,3031800.0,0
2000-03-24,25.78,26.25,25.5,26.0,818400.0,0
2000-03-27,26.0,26.095,24.69,24.905,896600.0,0
2000-03-28,25.03,25.565,24.75,24.97,683400.0,0
2000-03-29,24.97,25.345,24.095,24.815,1248000.0,0
2000-03-30,25.5,26.815,25.47,26.345,1448800.0,0
2000-03-31,26.22,27.53,26.125,27.155,1217200.0,0
2000-04-03,27.28,27.875,27.065,27.625,718400.0,0
2000-04-04,27.75,27.905,26.625,27.375,1537200.0,0
2000-04-05,27.75,27.75,26.69,26.845,520600.0,0
2000-04-06,26.94,27.22,26.69,26.78,364600.0,0
2000-04-07,27.565,28.22,26.94,28.095,867200.0,0
2000-04-10,28.72,29.5,28.565,29.345,1803200.0,0
2000-04-11,29.22,29.375,28.845,29.315,1244200.0,0
2000-04-12,29.5,29.75,28.875,28.905,1085400.0,0
2000-04-13,28.97,28.97,28.22,28.47,625800.0,0
2000-04-14,28.095,28.19,27.125,27.405,659200.0,0
2000-04-17,27.28,27.28,26.44,26.69,859000.0,0
2000-04-18,26.69,28.0,26.125,26.97,1152000.0,0
2000-04-19,26.905,27.19,26.69,26.97,370200.0,0
2000-04-20,26.655,27.375,26.5,27.345,697400.0,0
2000-04-24,27.22,27.5,27.095,27.375,1013600.0,0
2000-04-25,27.25,28.875,27.25,28.69,738800.0,0
2000-04-26,28.69,28.875,27.94,28.53,763600.0,0
2000-04-27,27.845,28.405,26.53,28.22,2119600.0,0
2000-04-28,28.5,28.5,27.47,27.815,755800.0,0
2000-05-01,27.815,28.125,27.655,28.095,658400.0,0
2000-05-02,27.75,28.0,26.78,27.155,765600.0,0
2000-05-03,27.065,27.28,26.75,26.97,1214400.0,0
2000-05-04,26.875,27.125,26.78,26.845,920200.0,0
2000-05-05,26.78,27.065,26.345,26.905,1068800.0,0
2000-05-08,26.78,27.47,26.75,27.155,825200.0,0
2000-05-09,27.095,27.75,26.72,26.72,1631400.0,0
2000-05-10,26.5,26.845,25.565,26.315,1768600.0,0
2000-05-11,26.315,27.565,26.315,27.125,830400.0,0
2000-05-12,27.0,27.25,26.5,26.69,635400.0,0
2000-05-15,26.69,27.815,26.625,27.5,1120800.0,0
2000-05-16,27.625,27.815,27.47,27.75,860000.0,0
2000-05-17,27.44,27.97,27.44,27.69,594600.0,0
2000-05-18,27.625,28.19,27.565,27.94,528000.0,0
2000-05-19,27.94,28.0,27.655,27.655,526000.0,0
2000-05-22,27.78,28.345,27.655,27.69,732200.0,0
2000-05-23,28.19,29.125,28.0,28.25,2180400.0,0
2000-05-24,28.28,29.0,28.19,28.94,1165200.0,0
2000-05-25,28.94,29.25,28.345,28.845,2692800.0,0
2000-05-26,28.845,29.095,28.095,28.22,1584600.0,0
2000-05-30,28.315,28.625,27.94,28.375,577600.0,0
2000-05-31,28.25,28.625,28.065,28.065,958000.0,0
2000-06-01,28.0,28.19,27.655,28.095,2165800.0,0
2000-06-02,28.75,28.905,28.315,28.565,1506600.0,0
2000-06-05,28.44,28.78,28.44,28.565,1139600.0,0
2000-06-06,28.44,28.47,27.72,28.0,1041200.0,0
2000-06-07,28.0,28.0,27.69,27.69,4430200.0,0
2000-06-08,27.75,28.25,27.75,28.03,4784200.0,0
2000-06-09,28.065,28.125,27.69,27.875,616200.0,0
2000-06-12,27.815,28.065,27.625,27.655,1128200.0,0
2000-06-13,27.53,27.75,26.75,26.845,726000.0,0
2000-06-14,26.97,27.69,26.97,27.405,880200.0,0
2000-06-15,27.405,27.5,26.75,27.0,1215600.0,0
2000-06-16,26.75,27.315,26.75,26.92,1301800.0,0
2000-06-19,26.94,26.94,26.315,26.565,612400.0,0
2000-06-20,26.44,26.565,25.94,26.065,633600.0,0
2000-06-21,26.0,26.19,25.565,26.155,1418800.0,0
2000-06-22,26.0,26.125,25.72,25.78,514000.0,0
2000-06-23,25.78,26.0,25.375,25.72,533200.0,0
2000-06-26,25.72,25.75,25.315,25.595,716600.0,0
2000-06-27,25.72,26.375,25.375,26.095,1056200.0,0
2000-06-28,26.03,26.72,25.315,26.52,997200.0,0
2000-06-29,26.5,26.75,26.0,26.53,424400.0,0
2000-06-30,26.5,26.53,26.18,26.19,761000.0,0
2000-07-03,26.315,26.97,26.315,26.875,346400.0,0
2000-07-05,26.845,27.375,26.815,27.065,684000.0,0
2000-07-06,24.375,24.94,22.0,24.94,12296200.0,0
2000-07-07,24.815,24.815,23.97,24.405,3596400.0,0
2000-07-10,24.155,24.375,23.78,24.25,2318600.0,0
2000-07-11,24.155,24.565,23.815,24.5,2608000.0,0
2000-07-12,24.815,24.815,23.97,24.25,1875800.0,0
2000-07-13,24.25,24.44,24.155,24.405,2187600.0,0
2000-07-14,24.565,24.905,24.375,24.69,1573800.0,0
2000-07-17,24.69,24.845,24.375,24.765,1352600.0,0
2000-07-18,24.69,24.94,24.625,24.875,3671600.0,0
2000-07-19,24.875,25.375,24.72,25.345,808000.0,0
2000-07-20,25.375,25.44,24.94,25.065,900200.0,0
2000-07-21,25.095,25.5,24.94,25.375,1325200.0,0
2000-07-24,25.375,25.375,24.75,25.0,948600.0,0
2000-07-25,25.0,25.345,24.905,25.095,591800.0,0
2000-07-26,25.065,25.095,24.19,24.345,3155000.0,0
2000-07-27,24.25,25.875,24.22,25.5,1641400.0,0
2000-07-28,25.565,25.94,25.315,25.345,561800.0,0
2000-07-31,25.345,25.815,24.75,25.19,770400.0,0
2000-08-01,25.065,25.72,25.065,25.625,515600.0,0
2000-08-02,25.5,25.845,25.065,25.72,378600.0,0
2000-08-03,25.875,26.47,25.72,26.155,716800.0,0
2000-08-04,26.03,26.03,25.5,25.625,392000.0,0
2000-08-07,25.625,26.405,25.625,26.095,377000.0,0
2000-08-08,26.22,26.44,25.97,26.065,412000.0,0
2000-08-09,26.065,26.19,25.845,26.065,398800.0,0
2000-08-10,26.095,26.315,25.595,25.72,254800.0,0
2000-08-11,25.75,26.565,25.72,26.25,470200.0,0
2000-08-14,26.28,26.625,26.28,26.375,261400.0,0
2000-08-15,26.375,26.565,26.315,26.5,583000.0,0
