date,open,high,low,close,volume,padding
1999-01-04,29.38,29.94,29.38,29.69,443900.0,0
1999-01-05,29.88,30.44,29.88,30.19,419100.0,0
1999-01-06,30.19,30.69,29.81,29.94,522500.0,0
1999-01-07,29.88,29.94,29.13,29.5,589600.0,0
1999-01-08,29.38,29.38,28.88,29.25,534200.0,0
1999-01-11,29.06,29.25,28.94,29.19,2119100.0,0
1999-01-12,29.06,29.13,28.75,29.0,549400.0,0
1999-01-13,28.63,29.0,28.5,28.81,495400.0,0
1999-01-14,28.81,29.19,28.5,28.75,856900.0,0
1999-01-15,28.75,28.81,27.69,28.38,610100.0,0
1999-01-19,27.75,28.25,26.94,27.38,471400.0,0
1999-01-20,27.5,27.81,27.06,27.13,668700.0,0
1999-01-21,27.0,27.5,26.69,26.75,817600.0,0
1999-01-22,26.75,27.0,26.06,26.06,610300.0,0
1999-01-25,24.5,25.94,24.5,25.5,1104000.0,0
1999-01-26,25.63,26.38,25.56,26.06,863700.0,0
1999-01-27,26.25,26.38,25.19,25.19,700900.0,0
1999-01-28,25.44,26.06,25.38,26.0,492300.0,0
1999-01-29,25.63,25.88,25.19,25.63,466400.0,0
1999-02-01,25.5,25.56,24.5,24.69,548100.0,0
1999-02-02,24.69,25.38,24.69,25.25,691700.0,0
1999-02-03,25.0,25.38,24.75,25.38,640800.0,0
1999-02-04,25.75,26.38,25.75,26.13,808800.0,0
1999-02-05,26.38,26.38,25.69,25.81,705600.0,0
1999-02-08,26.0,26.31,25.81,26.25,558700.0,0
1999-02-09,26.25,26.5,25.88,25.94,448500.0,0
1999-02-10,25.81,26.0,25.0,25.25,336400.0,0
1999-02-11,25.19,25.31,24.75,25.06,557900.0,0
1999-02-12,25.44,25.44,24.81,25.0,562100.0,0
1999-02-16,25.25,25.5,24.75,24.75,553800.0,0
1999-02-17,25.0,25.13,23.5,23.88,1121700.0,0
1999-02-18,24.0,24.13,23.75,24.0,899800.0,0
1999-02-19,23.5,23.75,23.06,23.31,790900.0,0
1999-02-22,23.31,23.44,23.13,23.31,1033400.0,0
1999-02-23,23.56,23.88,23.19,23.44,1470200.0,0
1999-02-24,23.63,24.06,23.63,23.75,659700.0,0
1999-02-25,23.56,23.69,23.38,23.56,1020700.0,0
1999-02-26,23.5,24.13,23.5,24.06,864500.0,0
1999-03-01,24.0,24.0,23.31,23.31,719800.0,0
1999-03-02,23.31,24.31,23.31,24.25,1036100.0,0
1999-03-03,24.25,24.5,24.06,24.31,936000.0,0
1999-03-04,24.31,25.44,24.31,25.31,1698400.0,0
1999-03-05,25.5,26.56,25.44,26.5,903700.0,0
1999-03-08,26.13,26.38,25.88,26.31,564300.0,0
1999-03-09,26.19,26.19,25.38,25.88,596100.0,0
