date,open,high,low,close,volume,padding
1999-01-04,8.47,8.75,8.47,8.625,279800.0,0
1999-01-05,8.75,9.565,8.655,9.345,603400.0,0
1999-01-06,9.315,9.5,9.315,9.44,224400.0,0
1999-01-07,9.405,9.5,9.315,9.47,283200.0,0
1999-01-08,9.405,9.47,9.345,9.375,231600.0,0
1999-01-11,9.315,9.44,9.25,9.375,122400.0,0
1999-01-12,9.19,9.28,8.5,8.565,604400.0,0
1999-01-13,8.22,8.905,7.5,8.905,235600.0,0
1999-01-14,8.905,9.0,8.5,8.565,191600.0,0
1999-01-15,8.625,8.75,8.065,8.405,217000.0,0
1999-01-19,9.065,9.065,8.5,8.875,263400.0,0
1999-01-20,8.94,9.065,8.75,9.0,604200.0,0
1999-01-21,9.03,9.065,8.94,8.94,345000.0,0
1999-01-22,8.94,9.065,8.875,9.0,305600.0,0
1999-01-25,9.0,9.065,8.94,9.0,547400.0,0
1999-01-26,9.0,9.625,9.0,9.44,437400.0,0
1999-01-27,9.405,9.47,8.94,9.125,502400.0,0
1999-01-28,9.125,9.125,8.94,9.065,147400.0,0
1999-01-29,9.0,9.53,8.94,9.405,393200.0,0
1999-02-01,9.5,9.815,9.315,9.565,568800.0,0
1999-02-02,9.565,9.565,9.44,9.5,327600.0,0
1999-02-03,9.44,9.5,9.25,9.375,448000.0,0
1999-02-04,9.44,9.44,9.345,9.345,265200.0,0
1999-02-05,9.315,9.315,9.0,9.0,334400.0,0
1999-02-08,9.0,9.125,8.94,9.125,230200.0,0
1999-02-09,9.125,9.125,8.94,8.985,475600.0,0
1999-02-10,8.94,9.03,8.875,8.875,414000.0,0
1999-02-11,9.0,9.03,8.78,8.94,631000.0,0
1999-02-12,8.815,9.03,8.815,9.0,307800.0,0
1999-02-16,8.94,9.03,8.94,9.0,399600.0,0
1999-02-17,9.0,9.155,8.94,9.065,483400.0,0
1999-02-18,9.065,9.19,9.0,9.065,156200.0,0
1999-02-19,9.125,9.25,9.095,9.19,103000.0,0
1999-02-22,9.19,9.25,9.095,9.125,187800.0,0
1999-02-23,9.19,9.19,9.095,9.125,129400.0,0
1999-02-24,9.095,9.28,9.095,9.19,175200.0,0
1999-02-25,9.22,9.5,9.095,9.5,148000.0,0
1999-02-26,9.375,9.72,9.19,9.595,179800.0,0
1999-03-01,9.625,9.875,9.5,9.655,143000.0,0
1999-03-02,9.625,9.78,9.5,9.595,122400.0,0
1999-03-03,9.625,10.0,9.625,9.75,179200.0,0
1999-03-04,9.75,9.75,9.44,9.5,158200.0,0
1999-03-05,9.53,9.845,9.53,9.72,89200.0,0
1999-03-08,9.69,9.845,9.625,9.625,117400.0,0
1999-03-09,9.565,9.625,9.44,9.485,239800.0,0
1999-03-10,9.44,9.655,9.44,9.655,124600.0,0
1999-03-11,9.53,9.69,9.53,9.69,45800.0,0
1999-03-12,9.565,9.97,9.565,9.875,139400.0,0
1999-03-15,9.845,10.065,9.815,10.03,183800.0,0
1999-03-16,10.065,10.065,9.875,9.905,67000.0,0
1999-03-17,9.845,10.095,9.845,10.065,216400.0,0
1999-03-18,10.095,10.5,9.875,10.5,372400.0,0
1999-03-19,10.5,11.0,10.065,10.25,314400.0,0
1999-03-22,10.28,10.44,9.845,9.845,123200.0,0
1999-03-23,9.845,9.845,9.28,9.315,238000.0,0
1999-03-24,9.565,9.69,9.19,9.47,124600.0,0
1999-03-25,9.315,9.94,9.315,9.94,87000.0,0
1999-03-26,9.905,10.155,9.595,9.94,138000.0,0
1999-03-29,9.875,10.155,9.875,9.97,58200.0,0
1999-03-30,9.94,10.19,9.815,10.03,345800.0,0
1999-03-31,10.155,10.375,10.095,10.345,208400.0,0
1999-04-01,10.375,10.375,10.25,10.345,64400.0,0
1999-04-05,10.25,10.375,9.875,10.125,186600.0,0
1999-04-06,10.0,10.19,9.405,9.44,174000.0,0
1999-04-07,9.5,9.565,8.78,8.97,245400.0,0
1999-04-08,9.0,9.0,8.5,8.69,424600.0,0
1999-04-09,8.565,8.815,8.5,8.815,210600.0,0
1999-04-12,8.72,9.25,8.69,9.125,235800.0,0
1999-04-13,9.345,9.69,9.155,9.5,407400.0,0
1999-04-14,9.655,12.67,9.565,10.875,1650600.0,0
1999-04-15,10.94,10.94,9.75,10.03,95800.0,0
1999-04-16,9.28,9.67,8.53,8.94,834200.0,0
1999-04-19,8.94,9.22,8.94,9.125,320200.0,0
1999-04-20,9.125,9.315,8.845,9.0,191800.0,0
1999-04-21,9.0,9.345,9.0,9.155,134400.0,0
1999-04-22,9.25,9.375,9.065,9.25,185800.0,0
1999-04-23,9.155,9.22,8.19,8.5,468400.0,0
1999-04-26,8.375,8.625,8.25,8.47,368200.0,0
1999-04-27,8.595,8.875,8.375,8.78,721400.0,0
1999-04-28,8.75,8.94,8.72,8.875,362000.0,0
1999-04-29,8.815,8.94,8.5,8.94,637600.0,0
1999-04-30,9.0,9.19,8.75,8.78,308600.0,0
1999-05-03,8.78,8.875,8.625,8.72,99800.0,0
1999-05-04,8.75,9.315,8.625,9.015,108200.0,0
1999-05-05,8.94,9.065,8.375,8.815,156600.0,0
1999-05-06,8.875,9.125,8.625,9.0,105400.0,0
1999-05-07,8.94,9.25,8.94,9.125,134000.0,0
1999-05-10,9.065,9.405,9.065,9.25,265000.0,0
1999-05-11,9.25,9.47,9.19,9.28,69400.0,0
1999-05-12,9.19,9.345,9.065,9.28,135400.0,0
1999-05-13,9.375,9.875,9.28,9.875,274800.0,0
1999-05-14,9.69,9.75,9.25,9.69,202000.0,0
1999-05-17,9.69,9.69,9.375,9.545,27600.0,0
1999-05-18,9.75,9.75,9.47,9.5,46000.0,0
1999-05-19,9.565,9.875,9.44,9.44,204200.0,0
1999-05-20,9.5,9.655,9.44,9.5,176200.0,0
1999-05-21,9.47,9.69,9.44,9.595,165000.0,0
1999-05-24,9.595,9.875,9.53,9.69,148000.0,0
1999-05-25,9.625,9.75,9.565,9.625,161800.0,0
1999-05-26,9.625,9.69,9.565,9.595,141600.0,0
1999-05-27,9.58,9.625,9.44,9.485,129400.0,0
1999-05-28,9.565,9.625,9.53,9.625,125400.0,0
1999-06-01,9.5,9.97,9.5,9.94,65000.0,0
1999-06-02,9.94,10.25,9.625,10.25,253200.0,0
1999-06-03,10.095,10.125,9.78,9.815,122000.0,0
1999-06-04,9.94,10.25,9.78,10.04,49800.0,0
1999-06-07,10.03,10.75,10.03,10.625,108800.0,0
1999-06-08,10.75,10.75,9.905,10.0,157000.0,0
1999-06-09,9.97,10.0,9.75,9.875,231600.0,0
1999-06-10,9.845,10.03,9.78,9.97,266800.0,0
1999-06-11,9.97,10.125,9.875,10.065,200200.0,0
1999-06-14,9.97,10.125,9.94,10.0,106600.0,0
1999-06-15,10.0,11.065,9.875,11.065,313200.0,0
1999-06-16,11.125,12.315,11.065,11.065,273600.0,0
1999-06-17,10.875,11.065,10.75,11.0,57800.0,0
1999-06-18,11.11,11.25,10.905,10.905,147600.0,0
1999-06-21,11.0,11.19,10.94,11.065,70200.0,0
1999-06-22,11.0,11.125,10.94,11.045,94800.0,0
1999-06-23,10.94,11.125,10.875,11.065,67600.0,0
1999-06-24,11.11,11.25,11.0,11.125,52400.0,0
1999-06-25,11.155,11.44,11.155,11.315,96600.0,0
1999-06-28,11.375,11.72,11.315,11.69,95800.0,0
1999-06-29,12.0,12.125,11.905,12.065,240400.0,0
1999-06-30,12.0,12.44,11.94,12.375,205800.0,0
1999-07-01,12.44,12.5,12.065,12.315,383800.0,0
1999-07-02,12.47,12.5,12.19,12.295,46800.0,0
1999-07-06,12.0,12.47,12.0,12.405,109400.0,0
1999-07-07,12.405,12.47,12.065,12.19,105800.0,0
