date,open,high,low,close,volume,padding
1999-01-04,23.315,24.155,23.315,23.905,6812400.0,0
1999-01-05,24.03,24.315,23.625,23.875,5456400.0,0
1999-01-06,24.5,25.75,24.345,25.655,9907200.0,0
1999-01-07,25.155,26.75,24.97,26.69,12249600.0,0
1999-01-08,26.655,26.97,26.0,26.03,8321600.0,0
1999-01-11,26.125,26.655,26.0,26.44,8098600.0,0
1999-01-12,26.565,26.78,25.5,25.5,6900200.0,0
1999-01-13,24.69,24.815,24.19,24.5,8112800.0,0
1999-01-14,24.44,24.905,23.94,24.065,5536000.0,0
1999-01-15,24.25,24.75,24.0,24.69,4657800.0,0
1999-01-19,24.655,24.94,24.345,24.875,5761400.0,0
1999-01-20,25.065,25.065,23.75,24.125,6593000.0,0
1999-01-21,24.25,25.28,24.25,24.94,10441200.0,0
1999-01-22,25.565,25.75,25.345,25.75,7725000.0,0
1999-01-25,25.75,25.75,24.97,25.0,4101800.0,0
1999-01-26,24.78,24.845,23.5,24.0,6266400.0,0
1999-01-27,24.125,24.405,23.565,23.565,5149200.0,0
1999-01-28,23.595,23.97,23.0,23.22,5703000.0,0
1999-01-29,23.095,23.905,22.72,23.815,6253400.0,0
1999-02-01,23.75,24.25,23.595,23.875,5360600.0,0
1999-02-02,23.875,24.97,23.75,24.815,8198200.0,0
1999-02-03,24.97,26.375,24.905,26.22,9922200.0,0
1999-02-04,26.25,26.25,25.69,25.72,6216600.0,0
1999-02-05,25.595,26.5,25.595,26.5,6898600.0,0
1999-02-08,26.155,26.405,25.815,26.065,4516200.0,0
1999-02-09,26.19,26.19,25.125,25.19,4036600.0,0
1999-02-10,25.405,25.75,25.315,25.405,3092400.0,0
1999-02-11,25.375,25.97,25.155,25.97,3698600.0,0
1999-02-12,25.94,26.28,25.155,25.155,2961000.0,0
1999-02-16,25.155,25.345,24.78,24.845,4986400.0,0
1999-02-17,24.53,24.75,24.315,24.315,3296800.0,0
1999-02-18,24.47,25.375,24.095,25.125,4477800.0,0
1999-02-19,24.905,24.905,24.565,24.595,3190000.0,0
1999-02-22,24.565,24.845,24.125,24.25,5007000.0,0
1999-02-23,24.25,24.625,23.94,24.065,7351600.0,0
1999-02-24,23.815,24.595,23.815,24.03,7286000.0,0
1999-02-25,23.875,24.94,23.845,24.44,6808200.0,0
1999-02-26,24.69,24.815,24.125,24.28,4180400.0,0
1999-03-01,24.28,24.69,24.0,24.345,3037000.0,0
1999-03-02,24.28,24.75,24.28,24.75,3142000.0,0
1999-03-03,25.0,25.94,24.97,25.875,8033000.0,0
1999-03-04,25.97,28.25,25.75,28.19,14836800.0,0
1999-03-05,28.595,28.595,27.25,27.5,10448200.0,0
1999-03-08,27.97,28.565,27.875,27.875,8938200.0,0
1999-03-09,27.75,28.19,27.25,27.655,7305000.0,0
1999-03-10,28.22,29.315,28.03,29.25,18893400.0,0
1999-03-11,29.5,29.625,28.345,28.5,14213000.0,0
1999-03-12,29.0,29.155,28.065,28.22,10827200.0,0
1999-03-15,27.78,28.44,27.25,28.44,5915600.0,0
1999-03-16,28.375,28.625,27.53,27.94,5775000.0,0
1999-03-17,28.315,29.905,28.28,29.875,9778000.0,0
1999-03-18,30.065,30.315,29.375,29.565,9898200.0,0
1999-03-19,29.625,29.69,28.5,28.53,9161600.0,0
