date,open,high,low,close,volume,padding
1999-01-04,21.75,22.0,21.5,22.0,88200.0,0
1999-01-05,21.81,22.19,21.81,22.19,64000.0,0
1999-01-06,22.19,22.19,21.69,21.94,38500.0,0
1999-01-07,21.94,21.94,21.62,21.81,44300.0,0
1999-01-08,21.75,21.81,21.38,21.69,46600.0,0
1999-01-11,21.81,21.81,21.06,21.19,32500.0,0
1999-01-12,21.31,21.94,21.06,21.94,88600.0,0
1999-01-13,21.75,22.0,21.69,22.0,28100.0,0
1999-01-14,22.06,22.06,21.06,21.25,46700.0,0
1999-01-15,21.06,21.75,21.0,21.75,46600.0,0
1999-01-19,21.75,21.81,21.0,21.5,47100.0,0
1999-01-20,21.38,21.5,20.81,20.81,36800.0,0
1999-01-21,20.94,21.0,20.5,20.5,33900.0,0
1999-01-22,20.62,20.62,19.88,20.0,70400.0,0
1999-01-25,20.12,20.31,19.88,20.0,30400.0,0
1999-01-26,19.94,20.44,19.94,20.44,22300.0,0
1999-01-27,20.69,20.69,20.19,20.5,46100.0,0
1999-01-28,20.5,20.88,20.5,20.75,48500.0,0
1999-01-29,20.81,20.81,20.0,20.25,48300.0,0
1999-02-01,20.19,20.19,19.94,19.94,9300.0,0
1999-02-02,19.94,20.12,19.75,19.75,26600.0,0
1999-02-03,19.62,19.88,19.62,19.88,29900.0,0
1999-02-04,19.94,20.69,19.75,20.56,54300.0,0
1999-02-05,20.5,20.94,20.12,20.69,54000.0,0
1999-02-08,20.5,20.81,20.38,20.69,44400.0,0
1999-02-09,20.75,20.75,20.19,20.31,50400.0,0
1999-02-10,20.25,20.31,20.19,20.19,36100.0,0
1999-02-11,20.19,20.25,19.88,20.06,46300.0,0
1999-02-12,20.19,20.25,19.88,20.25,21600.0,0
1999-02-16,20.31,20.31,19.56,19.69,72200.0,0
1999-02-17,19.75,19.94,19.56,19.69,14200.0,0
1999-02-18,19.69,19.94,19.19,19.31,18800.0,0
1999-02-19,19.31,19.62,19.0,19.62,24600.0,0
1999-02-22,19.5,20.19,19.5,20.12,29800.0,0
1999-02-23,20.12,20.31,19.62,19.88,24200.0,0
1999-02-24,19.88,20.12,19.69,19.88,64000.0,0
1999-02-25,19.62,19.75,19.34,19.38,65000.0,0
1999-02-26,19.38,19.38,19.19,19.31,25400.0,0
1999-03-01,19.5,19.56,19.25,19.31,248100.0,0
1999-03-02,19.38,19.5,19.25,19.44,34700.0,0
1999-03-03,19.44,19.44,19.0,19.12,125900.0,0
1999-03-04,19.06,19.12,19.0,19.12,33900.0,0
1999-03-05,19.0,19.19,19.0,19.19,36600.0,0
1999-03-08,19.06,19.62,19.06,19.31,26500.0,0
1999-03-09,19.19,19.19,18.38,18.94,189900.0,0
1999-03-10,18.81,18.81,18.5,18.5,91200.0,0
1999-03-11,18.69,18.69,18.12,18.19,75300.0,0
1999-03-12,18.06,18.12,17.5,17.88,258400.0,0
1999-03-15,17.88,17.94,17.75,17.81,23400.0,0
1999-03-16,17.88,18.25,17.75,18.19,31800.0,0
1999-03-17,18.19,18.31,17.81,17.94,64600.0,0
1999-03-18,18.0,18.0,17.88,17.88,23400.0,0
1999-03-19,17.81,17.94,17.5,17.75,35900.0,0
1999-03-22,17.75,18.12,17.75,18.06,65500.0,0
1999-03-23,18.12,18.12,17.94,18.12,43300.0,0
1999-03-24,18.12,18.12,17.88,17.94,30700.0,0
1999-03-25,17.81,18.06,17.5,18.06,23500.0,0
1999-03-26,18.0,18.19,17.56,18.19,82700.0,0
1999-03-29,18.06,18.31,18.0,18.06,510100.0,0
1999-03-30,17.81,18.12,17.75,17.81,154200.0,0
1999-03-31,17.81,18.81,17.75,18.81,63300.0,0
1999-04-01,18.75,18.75,18.0,18.06,73100.0,0
1999-04-05,18.25,18.25,17.94,18.25,34200.0,0
1999-04-06,18.12,18.44,18.12,18.31,54100.0,0
1999-04-07,18.56,18.56,17.69,17.69,55100.0,0
1999-04-08,17.88,18.06,17.62,17.75,24300.0,0
1999-04-09,17.88,18.0,17.88,17.88,18400.0,0
1999-04-12,17.94,18.31,17.62,18.25,54700.0,0
1999-04-13,18.12,18.19,17.81,18.0,15500.0,0
1999-04-14,18.0,18.19,17.81,18.19,118100.0,0
1999-04-15,18.19,18.94,18.19,18.94,55300.0,0
1999-04-16,18.88,19.88,18.75,19.44,406900.0,0
1999-04-19,19.69,20.0,19.5,19.69,56300.0,0
1999-04-20,19.81,20.12,19.62,19.88,62900.0,0
1999-04-21,20.12,20.5,19.62,19.62,37400.0,0
1999-04-22,19.75,20.06,19.5,20.0,80300.0,0
1999-04-23,20.06,20.19,19.81,20.0,81800.0,0
1999-04-26,19.88,20.06,19.38,19.88,118300.0,0
1999-04-27,19.81,19.94,19.81,19.81,13700.0,0
1999-04-28,19.88,20.25,19.88,20.12,23300.0,0
1999-04-29,19.88,20.12,19.62,19.88,51100.0,0
1999-04-30,20.12,20.25,19.81,19.88,103900.0,0
1999-05-03,19.94,20.25,19.94,20.0,61600.0,0
1999-05-04,20.12,20.12,19.94,20.0,134300.0,0
1999-05-05,19.94,20.31,19.88,20.31,84600.0,0
