date,open,high,low,close,volume,padding
1999-01-04,26.94,27.53,26.69,27.03,1422600.0,0
1999-01-05,26.94,27.69,26.875,27.625,1437200.0,0
1999-01-06,27.78,30.5,27.75,29.625,3823200.0,0
1999-01-07,29.0,29.53,28.5,28.875,1392400.0,0
1999-01-08,29.0,29.03,27.19,28.065,1398000.0,0
1999-01-11,27.75,28.53,27.69,28.53,651600.0,0
1999-01-12,28.125,29.97,27.97,29.315,1278400.0,0
1999-01-13,28.69,30.03,28.315,29.42,1539600.0,0
1999-01-14,29.69,29.69,27.405,27.69,824600.0,0
1999-01-15,27.69,29.845,27.625,29.5,959600.0,0
1999-01-19,29.875,30.315,29.0,30.28,1388600.0,0
1999-01-20,30.375,30.625,26.69,26.69,1552800.0,0
1999-01-21,26.565,28.94,26.5,27.345,2726400.0,0
1999-01-22,27.345,28.375,27.0,27.565,1013400.0,0
1999-01-25,27.75,27.94,26.75,27.565,596600.0,0
1999-01-26,27.5,28.405,27.25,27.565,843800.0,0
1999-01-27,27.69,28.25,27.565,27.875,1155200.0,0
1999-01-28,28.065,29.815,27.75,29.405,885200.0,0
1999-01-29,29.69,29.69,28.78,29.03,974800.0,0
1999-02-01,28.815,29.97,28.75,29.905,940800.0,0
1999-02-02,29.78,29.78,27.75,28.44,1070400.0,0
1999-02-03,28.375,29.25,28.22,28.375,625000.0,0
1999-02-04,28.25,28.375,27.125,27.5,677600.0,0
1999-02-05,27.5,27.53,26.315,27.03,1658000.0,0
1999-02-08,27.125,27.44,26.315,27.065,834000.0,0
1999-02-09,26.75,27.78,25.5,25.625,704000.0,0
1999-02-10,25.125,26.44,24.595,25.095,1924200.0,0
1999-02-11,25.375,27.28,24.75,27.125,2278000.0,0
1999-02-12,26.94,27.0,25.0,25.155,893200.0,0
1999-02-16,25.5,25.875,24.19,24.375,931000.0,0
1999-02-17,24.19,24.25,23.315,23.75,729400.0,0
1999-02-18,23.78,24.315,22.44,23.625,2377000.0,0
1999-02-19,23.625,24.72,23.5,24.69,1213400.0,0
1999-02-22,24.875,25.625,24.25,25.03,1416600.0,0
1999-02-23,25.065,25.595,25.0,25.5,2340000.0,0
1999-02-24,25.25,25.75,24.565,24.625,992800.0,0
1999-02-25,24.565,24.565,23.44,23.75,1193000.0,0
1999-02-26,23.875,23.875,21.75,23.125,1375400.0,0
1999-03-01,23.125,23.905,22.5,23.905,1167200.0,0
1999-03-02,23.69,25.0,23.69,24.375,1520800.0,0
1999-03-03,24.315,24.595,22.625,23.0,1626600.0,0
1999-03-04,23.125,24.625,23.0,23.155,1061400.0,0
1999-03-05,23.815,24.0,22.315,22.94,1688600.0,0
1999-03-08,23.155,24.125,22.875,23.565,2388400.0,0
1999-03-09,23.44,24.625,23.19,23.75,1345800.0,0
1999-03-10,23.625,24.0,23.5,23.72,631600.0,0
1999-03-11,23.625,24.53,23.095,23.815,519400.0,0
1999-03-12,23.69,23.815,23.125,23.25,1755800.0,0
1999-03-15,23.375,24.565,23.25,24.5,1315600.0,0
1999-03-16,24.44,25.405,24.25,25.19,1046800.0,0
1999-03-17,24.94,25.565,24.5,25.22,827200.0,0
1999-03-18,24.94,25.565,24.75,25.565,714600.0,0
1999-03-19,25.69,25.875,25.065,25.25,2419400.0,0
1999-03-22,25.25,25.75,24.565,24.72,1243000.0,0
1999-03-23,24.565,24.75,23.44,23.44,2058000.0,0
1999-03-24,23.47,24.625,23.065,24.625,1047000.0,0
1999-03-25,24.565,25.565,24.44,25.5,1024000.0,0
1999-03-26,25.405,25.5,24.565,24.94,818600.0,0
1999-03-29,24.875,27.19,24.78,26.69,1295200.0,0
1999-03-30,26.315,27.25,26.125,26.25,1043400.0,0
1999-03-31,26.375,26.875,26.25,26.875,1035000.0,0
1999-04-01,26.94,27.0,26.25,26.565,320400.0,0
1999-04-05,25.94,26.19,18.565,23.0,11843000.0,0
1999-04-06,23.875,24.94,23.845,24.375,4616800.0,0
1999-04-07,24.28,24.47,22.845,23.405,2354400.0,0
1999-04-08,23.625,23.875,22.565,23.845,1455400.0,0
1999-04-09,23.815,24.125,23.315,23.345,514800.0,0
1999-04-12,23.28,23.28,22.065,22.595,1716200.0,0
1999-04-13,22.565,22.69,20.03,21.125,2623400.0,0
1999-04-14,21.69,23.0,20.905,21.315,4791000.0,0
1999-04-15,22.125,22.69,21.44,22.5,2505600.0,0
1999-04-16,22.69,22.815,22.0,22.5,1144200.0,0
1999-04-19,22.75,24.405,22.405,23.03,2950600.0,0
1999-04-20,23.375,23.5,22.69,23.19,1080200.0,0
1999-04-21,22.875,22.97,19.815,21.065,8158200.0,0
1999-04-22,22.19,22.25,20.065,21.625,5718600.0,0
1999-04-23,21.97,24.315,21.565,22.53,3658800.0,0
1999-04-26,23.065,23.75,22.845,23.44,2242800.0,0
1999-04-27,23.655,24.125,23.25,23.905,1569600.0,0
1999-04-28,24.0,24.75,23.905,24.44,2267200.0,0
1999-04-29,24.5,24.69,23.25,23.345,1440600.0,0
1999-04-30,23.565,24.53,22.875,23.565,1515000.0,0
1999-05-03,24.315,24.375,23.5,24.19,611400.0,0
1999-05-04,24.19,25.875,24.125,25.53,1646400.0,0
1999-05-05,25.565,26.375,24.94,25.905,2374800.0,0
1999-05-06,25.875,25.875,24.25,24.565,1428400.0,0
1999-05-07,24.625,25.03,24.375,24.44,543000.0,0
1999-05-10,24.405,24.625,23.75,24.155,1204800.0,0
1999-05-11,24.095,25.065,23.905,24.345,1077000.0,0
1999-05-12,24.565,24.875,24.19,24.875,1521400.0,0
1999-05-13,24.94,25.0,24.125,24.22,1337400.0,0
1999-05-14,24.065,24.19,23.44,23.5,1523400.0,0
1999-05-17,23.44,23.5,22.315,22.905,1378600.0,0
1999-05-18,22.97,23.5,22.75,23.03,700200.0,0
1999-05-19,23.065,23.125,22.69,23.125,1248600.0,0
1999-05-20,23.065,23.625,22.72,22.875,918600.0,0
1999-05-21,23.0,23.065,22.155,22.97,994600.0,0
1999-05-24,23.0,23.69,22.75,23.19,2170600.0,0
1999-05-25,23.125,23.19,21.845,21.845,1340600.0,0
1999-05-26,22.065,22.25,20.53,21.25,1339800.0,0
1999-05-27,21.315,21.69,20.94,21.595,1204000.0,0
1999-05-28,21.69,22.595,21.625,22.19,1329800.0,0
1999-06-01,22.065,22.065,21.22,21.625,2570600.0,0
1999-06-02,22.0,22.125,21.405,22.0,981600.0,0
1999-06-03,21.97,22.375,21.75,21.815,1298800.0,0
1999-06-04,22.0,22.19,21.155,21.815,1455000.0,0
1999-06-07,22.125,23.94,22.125,23.94,2535600.0,0
1999-06-08,24.0,24.94,23.69,24.75,2076000.0,0
1999-06-09,24.75,26.72,24.75,26.69,3941800.0,0
1999-06-10,26.19,27.375,25.94,26.815,2372800.0,0
1999-06-11,26.94,28.53,26.75,28.125,3168600.0,0
1999-06-14,27.97,29.595,27.875,28.25,3326400.0,0
1999-06-15,28.25,28.44,27.25,27.69,2027200.0,0
1999-06-16,27.625,28.69,27.625,28.53,1611400.0,0
1999-06-17,28.25,28.75,27.72,28.625,945400.0,0
1999-06-18,28.0,28.565,27.75,28.53,1120000.0,0
1999-06-21,28.565,28.565,27.625,28.44,561400.0,0
1999-06-22,28.315,28.78,27.75,27.815,663200.0,0
1999-06-23,27.69,27.815,26.875,27.53,1043000.0,0
1999-06-24,27.53,27.815,26.375,26.72,1853000.0,0
1999-06-25,26.815,28.095,26.75,27.375,1433200.0,0
1999-06-28,27.78,27.875,27.0,27.595,899800.0,0
1999-06-29,27.53,28.125,27.375,28.065,1412800.0,0
1999-06-30,28.0,28.065,27.315,27.595,1618200.0,0
1999-07-01,27.565,29.125,27.315,28.53,1375200.0,0
1999-07-02,28.44,28.5,27.5,28.0,559600.0,0
1999-07-06,28.405,28.94,28.315,28.72,1003800.0,0
1999-07-07,28.845,28.845,28.155,28.5,762200.0,0
1999-07-08,28.5,30.155,28.375,30.155,1932800.0,0
1999-07-09,30.065,30.155,29.595,29.78,878200.0,0
1999-07-12,29.78,30.625,29.125,30.44,1215400.0,0
1999-07-13,30.125,30.25,29.345,29.47,1791200.0,0
