date,open,high,low,close,volume,padding
1999-01-04,28.25,28.5,28.0,28.38,593250.0,0
1999-01-05,28.31,28.5,28.31,28.38,307517.0,0
1999-01-06,28.38,28.75,28.31,28.44,369743.0,0
1999-01-07,28.38,28.56,28.06,28.13,338972.0,0
1999-01-08,27.88,28.38,27.88,28.13,392016.0,0
1999-01-11,28.19,28.19,27.81,28.06,408232.0,0
1999-01-12,28.0,28.13,27.88,28.0,473389.0,0
1999-01-13,27.63,28.06,27.31,27.94,236890.0,0
1999-01-14,28.06,28.25,27.75,27.81,101692.0,0
1999-01-15,27.81,28.06,27.75,27.75,113414.0,0
1999-01-19,28.38,28.5,28.13,28.38,247245.0,0
1999-01-20,28.5,28.56,28.19,28.31,304684.0,0
1999-01-21,28.38,28.5,28.25,28.5,219404.0,0
1999-01-22,28.69,28.75,28.31,28.5,188828.0,0
1999-01-25,28.5,28.56,28.25,28.44,262777.0,0
1999-01-26,28.38,28.44,27.81,27.81,256622.0,0
1999-01-27,28.0,28.06,27.0,27.38,676284.0,0
1999-01-28,27.38,27.5,27.25,27.38,164211.0,0
1999-01-29,27.25,27.5,26.31,26.31,823009.0,0
1999-02-01,26.31,27.13,26.31,26.94,691913.0,0
1999-02-02,27.0,27.13,26.88,27.0,1814820.0,0
1999-02-03,26.44,26.81,26.44,26.56,89872.0,0
1999-02-04,26.75,26.88,26.31,26.5,420443.0,0
1999-02-05,26.75,26.75,26.38,26.5,106869.0,0
1999-02-08,26.44,26.75,26.31,26.56,110288.0,0
1999-02-09,26.75,26.88,26.25,26.5,728644.0,0
1999-02-10,26.63,26.69,26.06,26.25,253301.0,0
1999-02-11,26.25,26.5,25.94,26.13,130314.0,0
1999-02-12,26.31,26.38,26.0,26.13,122499.0,0
1999-02-16,26.25,26.5,25.75,25.94,154540.0,0
1999-02-17,26.06,26.13,25.69,26.0,223409.0,0
1999-02-18,25.94,26.0,25.56,25.63,204849.0,0
1999-02-19,25.69,25.88,25.19,25.31,490777.0,0
1999-02-22,25.5,25.63,25.13,25.19,517348.0,0
1999-02-23,25.25,25.69,25.0,25.25,3145700.0,0
1999-02-24,25.38,25.94,25.25,25.63,400808.0,0
1999-02-25,25.5,26.25,25.5,25.63,1220690.0,0
1999-02-26,25.63,25.63,25.25,25.44,239723.0,0
1999-03-01,25.63,25.75,25.25,25.38,1307241.0,0
1999-03-02,25.5,25.56,24.75,24.88,453363.0,0
1999-03-03,25.0,25.0,24.25,24.5,788037.0,0
1999-03-04,24.5,24.5,24.38,24.5,361635.0,0
1999-03-05,24.63,24.63,24.38,24.5,210710.0,0
1999-03-08,24.5,24.56,24.06,24.44,183846.0,0
1999-03-09,24.19,24.5,23.88,24.25,642386.0,0
1999-03-10,24.25,25.13,24.25,25.0,451409.0,0
1999-03-11,25.13,25.44,25.06,25.13,643363.0,0
1999-03-12,25.38,25.88,25.25,25.88,592078.0,0
1999-03-15,25.5,25.69,25.13,25.5,499178.0,0
1999-03-16,25.63,26.06,25.5,25.88,305661.0,0
1999-03-17,25.69,26.06,25.56,25.94,343270.0,0
1999-03-18,25.94,26.0,25.63,25.63,246658.0,0
1999-03-19,25.88,25.88,25.5,25.5,309373.0,0
1999-03-22,25.31,25.69,25.31,25.38,263754.0,0
1999-03-23,25.31,25.5,25.25,25.38,162257.0,0
1999-03-24,25.63,25.69,25.38,25.5,234155.0,0
1999-03-25,25.5,25.69,25.38,25.63,192931.0,0
1999-03-26,25.5,25.81,25.5,25.75,232103.0,0
1999-03-29,26.0,26.63,26.0,26.38,354700.0,0
1999-03-30,26.38,26.75,26.38,26.75,197424.0,0
1999-03-31,26.75,27.5,26.75,27.44,398952.0,0
1999-04-01,27.25,27.25,26.25,26.5,176031.0,0
1999-04-05,26.63,26.69,26.0,26.19,183651.0,0
1999-04-06,26.0,26.63,25.81,26.63,197815.0,0
1999-04-07,26.44,27.19,26.44,26.63,679507.0,0
1999-04-08,26.56,26.88,26.38,26.81,427769.0,0
1999-04-09,26.75,26.81,26.25,26.5,94561.0,0
1999-04-12,25.88,26.19,25.63,26.0,277234.0,0
1999-04-13,26.0,26.56,26.0,26.38,153368.0,0
1999-04-14,26.31,26.63,26.13,26.31,316993.0,0
1999-04-15,26.06,27.0,26.0,27.0,488823.0,0
1999-04-16,27.0,28.25,27.0,28.06,433630.0,0
1999-04-19,28.25,29.25,28.06,28.81,538155.0,0
1999-04-20,28.94,29.06,28.19,28.56,157568.0,0
1999-04-21,28.31,29.13,28.06,28.88,188144.0,0
1999-04-22,28.88,29.44,28.88,28.94,408818.0,0
1999-04-23,29.19,29.25,28.94,29.0,301363.0,0
1999-04-26,29.0,29.06,28.25,28.38,194201.0,0
1999-04-27,28.5,28.63,27.88,27.88,114391.0,0
1999-04-28,28.13,28.56,27.81,28.31,235034.0,0
1999-04-29,28.56,28.75,28.25,28.31,124062.0,0
1999-04-30,28.31,28.75,28.31,28.69,191856.0,0
1999-05-03,28.56,29.0,28.56,28.94,319923.0,0
1999-05-04,29.0,29.19,28.69,29.0,141450.0,0
1999-05-05,28.44,28.63,28.31,28.56,115465.0,0
1999-05-06,28.5,28.81,28.31,28.63,150633.0,0
1999-05-07,28.62,29.12,28.5,28.88,236890.0,0
1999-05-10,28.75,29.63,28.63,29.44,240211.0,0
1999-05-11,29.31,29.75,29.31,29.5,264828.0,0
1999-05-12,29.5,29.88,29.38,29.81,187167.0,0
1999-05-13,30.0,30.25,29.75,30.13,231126.0,0
1999-05-14,30.13,30.13,29.38,29.63,114293.0,0
1999-05-17,29.88,29.88,28.69,28.88,120741.0,0
1999-05-18,28.88,28.88,28.0,28.44,119178.0,0
1999-05-19,28.5,28.94,28.5,28.69,214129.0,0
1999-05-20,28.94,29.5,28.69,29.19,229661.0,0
1999-05-21,29.69,30.0,29.5,30.0,147897.0,0
1999-05-24,30.94,30.94,29.75,30.0,251445.0,0
1999-05-25,30.0,30.13,29.5,29.63,145651.0,0
1999-05-26,29.69,29.88,29.31,29.31,108530.0,0
1999-05-27,29.31,29.5,28.75,29.06,143990.0,0
1999-05-28,29.06,29.31,28.88,29.25,154052.0,0
1999-06-01,29.5,29.5,28.75,28.75,160597.0,0
1999-06-02,28.75,29.13,28.56,29.0,134710.0,0
1999-06-03,29.0,29.13,28.88,29.13,223116.0,0
1999-06-04,29.19,29.25,28.94,29.0,177887.0,0
1999-06-07,28.81,28.94,28.38,28.5,132365.0,0
1999-06-08,28.5,28.5,28.25,28.25,103059.0,0
1999-06-09,28.38,28.81,28.31,28.5,121620.0,0
1999-06-10,28.63,28.69,28.13,28.31,213445.0,0
1999-06-11,28.31,28.44,28.06,28.31,60370.0,0
1999-06-14,28.19,28.75,28.19,28.44,90946.0,0
1999-06-15,28.69,28.94,28.31,28.63,179743.0,0
1999-06-16,29.13,29.19,28.88,28.88,215789.0,0
1999-06-17,28.88,29.19,28.69,29.06,117810.0,0
1999-06-18,28.81,29.25,28.81,29.19,255939.0,0
1999-06-21,29.81,29.81,28.88,28.88,174077.0,0
1999-06-22,28.94,28.94,28.75,28.75,107455.0,0
1999-06-23,28.69,28.81,28.25,28.31,79126.0,0
1999-06-24,28.06,28.25,27.44,27.5,314062.0,0
1999-06-25,27.63,27.75,27.13,27.13,183748.0,0
1999-06-28,27.31,27.38,26.75,26.94,367399.0,0
1999-06-29,27.0,27.13,26.88,26.88,296479.0,0
1999-06-30,27.0,27.0,25.38,25.38,1137755.0,0
1999-07-01,26.38,27.13,26.38,27.13,500448.0,0
1999-07-02,27.06,27.38,27.0,27.13,190293.0,0
1999-07-06,27.0,27.38,26.75,27.25,204849.0,0
1999-07-07,27.38,27.5,27.25,27.25,201527.0,0
1999-07-08,27.44,27.44,26.88,27.38,489605.0,0
1999-07-09,27.38,27.38,27.0,27.06,241286.0,0
1999-07-12,27.5,27.5,26.63,27.0,126602.0,0
1999-07-13,27.0,27.13,26.81,27.06,331743.0,0
1999-07-14,27.13,27.13,27.0,27.13,91728.0,0
1999-07-15,27.25,27.25,27.0,27.13,266879.0,0
1999-07-16,27.06,27.38,27.0,27.19,178082.0,0
1999-07-19,27.31,27.31,27.0,27.13,65450.0,0
1999-07-20,27.06,27.13,26.81,26.88,278309.0,0
1999-07-21,27.06,27.06,26.81,27.0,115270.0,0
1999-07-22,27.0,27.13,26.75,26.75,237964.0,0
1999-07-23,27.06,27.13,26.88,26.88,151707.0,0
1999-07-26,27.13,27.19,26.75,26.88,164992.0,0
1999-07-27,26.88,27.13,26.75,27.13,220576.0,0
