date,open,high,low,close,volume,padding
1999-01-04,25.31,25.69,25.25,25.56,322800.0,0
1999-01-05,25.88,26.0,25.69,26.0,441300.0,0
1999-01-06,25.94,25.94,25.44,25.69,441200.0,0
1999-01-07,25.56,25.94,25.5,25.69,357200.0,0
1999-01-08,25.63,25.69,25.06,25.31,462600.0,0
1999-01-11,25.19,25.25,24.44,24.75,457100.0,0
1999-01-12,24.75,25.0,24.75,25.0,568600.0,0
1999-01-13,24.88,25.44,24.88,25.13,398800.0,0
1999-01-14,25.06,25.06,24.63,24.88,497900.0,0
1999-01-15,25.0,25.0,24.69,24.75,853900.0,0
1999-01-19,24.81,24.88,24.56,24.63,610500.0,0
1999-01-20,24.56,24.75,24.13,24.13,625800.0,0
1999-01-21,24.38,24.63,24.31,24.63,359800.0,0
1999-01-22,24.63,24.69,24.31,24.44,218900.0,0
1999-01-25,24.06,24.56,24.06,24.56,280200.0,0
1999-01-26,24.56,24.63,24.19,24.38,251000.0,0
1999-01-27,24.38,24.5,24.13,24.31,329500.0,0
1999-01-28,24.0,24.13,23.38,23.5,531300.0,0
1999-01-29,23.44,23.44,22.75,23.0,392800.0,0
1999-02-01,22.88,22.94,22.5,22.63,317600.0,0
1999-02-02,22.5,22.5,22.06,22.25,488400.0,0
1999-02-03,22.19,22.81,22.19,22.81,395300.0,0
1999-02-04,22.94,22.94,22.38,22.56,274400.0,0
1999-02-05,22.44,22.5,21.88,22.13,341500.0,0
1999-02-08,22.06,22.81,21.88,22.63,301400.0,0
1999-02-09,22.69,22.75,22.25,22.31,170600.0,0
1999-02-10,22.13,22.25,21.75,21.94,286700.0,0
1999-02-11,21.69,21.94,21.63,21.75,252800.0,0
1999-02-12,21.63,21.81,21.5,21.63,390600.0,0
1999-02-16,21.75,22.19,21.69,22.06,533300.0,0
1999-02-17,22.06,22.31,21.75,21.81,646800.0,0
1999-02-18,21.81,22.31,21.69,22.13,407200.0,0
1999-02-19,22.0,22.44,21.94,22.31,602000.0,0
1999-02-22,22.31,22.31,21.31,21.56,912000.0,0
1999-02-23,21.56,21.56,21.19,21.56,627600.0,0
1999-02-24,21.63,21.75,21.25,21.31,508900.0,0
1999-02-25,21.31,21.44,20.56,20.94,452500.0,0
1999-02-26,21.31,21.38,20.81,21.0,589800.0,0
1999-03-01,21.0,21.19,20.88,21.13,598500.0,0
1999-03-02,21.13,21.31,20.88,21.06,616300.0,0
1999-03-03,21.19,21.25,20.31,20.63,529700.0,0
1999-03-04,20.81,21.19,20.56,21.19,884400.0,0
1999-03-05,21.19,21.56,21.19,21.5,1155200.0,0
1999-03-08,21.56,21.63,21.06,21.25,486900.0,0
1999-03-09,21.25,21.31,20.69,20.75,609300.0,0
1999-03-10,20.81,21.06,20.5,20.5,1128100.0,0
1999-03-11,20.63,20.75,20.31,20.5,941500.0,0
1999-03-12,20.63,20.94,20.56,20.94,1338600.0,0
1999-03-15,20.94,21.19,20.94,21.13,789600.0,0
1999-03-16,21.13,21.44,21.13,21.44,3539200.0,0
1999-03-17,21.06,21.06,20.56,20.88,498800.0,0
1999-03-18,20.75,20.81,20.56,20.63,506200.0,0
1999-03-19,20.63,20.63,20.31,20.38,466200.0,0
1999-03-22,20.38,20.5,20.13,20.44,524400.0,0
1999-03-23,20.38,20.44,19.94,20.0,630700.0,0
1999-03-24,20.19,20.56,20.0,20.44,811500.0,0
1999-03-25,20.44,20.44,19.94,19.94,541800.0,0
1999-03-26,20.0,20.0,19.69,20.0,674800.0,0
1999-03-29,19.81,20.13,19.81,19.88,927900.0,0
1999-03-30,19.81,19.88,19.25,19.25,518700.0,0
1999-03-31,19.31,19.5,19.13,19.19,717900.0,0
1999-04-01,19.06,19.25,19.06,19.25,721100.0,0
1999-04-05,19.25,19.31,19.06,19.25,511900.0,0
1999-04-06,19.25,19.38,19.06,19.13,442200.0,0
1999-04-07,19.13,19.13,18.5,18.5,567000.0,0
1999-04-08,18.56,19.13,18.5,18.94,712300.0,0
1999-04-09,18.81,19.0,18.69,18.88,559600.0,0
1999-04-12,18.81,19.06,18.69,19.06,659000.0,0
1999-04-13,19.06,19.25,18.75,19.0,569000.0,0
1999-04-14,19.0,19.06,18.75,18.75,381100.0,0
1999-04-15,19.13,19.25,18.88,19.0,902000.0,0
1999-04-16,19.38,19.5,19.25,19.5,536700.0,0
1999-04-19,19.88,20.25,19.56,19.69,641300.0,0
1999-04-20,19.81,20.25,19.75,20.25,960300.0,0
1999-04-21,20.25,20.56,20.0,20.19,910300.0,0
1999-04-22,20.38,20.63,20.25,20.38,517500.0,0
1999-04-23,20.38,20.69,20.31,20.38,463100.0,0
1999-04-26,20.44,21.06,20.44,21.0,905100.0,0
1999-04-27,21.0,21.31,20.69,21.25,588400.0,0
1999-04-28,21.31,21.5,21.06,21.25,389900.0,0
1999-04-29,21.44,21.59,21.06,21.13,503200.0,0
1999-04-30,21.13,21.19,20.5,20.75,480800.0,0
1999-05-03,20.88,21.06,20.75,20.88,605700.0,0
1999-05-04,20.88,21.0,20.75,21.0,446100.0,0
1999-05-05,21.25,21.38,20.75,20.81,614700.0,0
1999-05-06,20.81,20.81,20.56,20.63,1010800.0,0
1999-05-07,20.63,20.75,20.5,20.69,428600.0,0
1999-05-10,20.69,21.25,20.63,21.13,986400.0,0
1999-05-11,21.25,21.63,21.13,21.44,975100.0,0
1999-05-12,21.44,21.69,21.31,21.5,1011200.0,0
1999-05-13,21.44,22.06,21.44,21.88,828100.0,0
1999-05-14,21.94,21.94,21.56,21.63,747000.0,0
1999-05-17,21.56,21.63,21.31,21.63,502200.0,0
1999-05-18,21.56,21.69,21.13,21.44,432500.0,0
1999-05-19,21.63,21.63,21.31,21.5,346000.0,0
1999-05-20,21.5,21.5,21.25,21.38,526100.0,0
1999-05-21,21.38,21.75,21.31,21.63,1256900.0,0
1999-05-24,21.63,21.81,21.38,21.69,401600.0,0
1999-05-25,21.69,22.13,21.69,21.75,348900.0,0
1999-05-26,21.81,22.13,21.63,22.06,1568000.0,0
1999-05-27,21.81,22.27,21.75,21.88,1314700.0,0
1999-05-28,22.0,22.38,21.5,21.5,798300.0,0
1999-06-01,21.63,21.88,21.44,21.88,469800.0,0
1999-06-02,21.81,21.88,21.25,21.44,343200.0,0
1999-06-03,21.44,21.81,21.44,21.63,427700.0,0
1999-06-04,21.63,22.1,21.63,22.06,708300.0,0
1999-06-07,22.0,22.31,21.94,22.25,506400.0,0
1999-06-08,22.19,22.44,22.13,22.38,898900.0,0
1999-06-09,22.38,22.56,22.19,22.25,487100.0,0
1999-06-10,22.13,22.13,21.56,21.56,583000.0,0
1999-06-11,21.69,21.94,21.63,21.69,389000.0,0
1999-06-14,21.88,22.31,21.88,22.31,534500.0,0
1999-06-15,22.25,22.81,22.13,22.81,964300.0,0
1999-06-16,22.81,22.81,22.44,22.75,3780700.0,0
1999-06-17,22.5,22.56,22.25,22.38,417000.0,0
1999-06-18,22.06,24.0,22.06,23.94,2964500.0,0
1999-06-21,24.69,24.88,22.81,22.81,5272300.0,0
1999-06-22,22.75,23.19,22.63,22.88,933100.0,0
1999-06-23,22.81,22.94,22.56,22.56,399200.0,0
1999-06-24,22.75,22.94,22.44,22.44,286300.0,0
1999-06-25,22.38,22.94,22.38,22.5,666700.0,0
1999-06-28,22.63,23.13,22.63,22.81,567300.0,0
1999-06-29,22.75,22.88,22.69,22.75,403000.0,0
1999-06-30,22.69,22.75,22.44,22.63,593400.0,0
1999-07-01,22.63,22.69,22.5,22.56,339100.0,0
1999-07-02,22.5,22.56,22.38,22.56,306100.0,0
1999-07-06,22.44,22.88,22.38,22.69,432900.0,0
1999-07-07,22.38,22.63,22.38,22.63,282300.0,0
1999-07-08,22.5,22.63,22.38,22.56,348200.0,0
1999-07-09,22.5,23.06,22.5,23.06,815500.0,0
1999-07-12,23.06,23.13,22.81,23.0,280300.0,0
1999-07-13,22.88,23.0,22.75,22.75,813400.0,0
1999-07-14,22.75,22.75,22.31,22.69,493800.0,0
1999-07-15,22.88,23.06,22.75,23.06,438400.0,0
1999-07-16,23.13,23.19,23.0,23.13,470400.0,0
1999-07-19,23.06,23.19,22.81,23.06,483400.0,0
1999-07-20,23.06,23.13,22.63,22.88,587000.0,0
1999-07-21,22.94,23.13,22.81,23.13,245400.0,0
1999-07-22,23.0,23.06,22.81,23.06,188500.0,0
1999-07-23,23.06,23.06,22.56,22.69,334800.0,0
1999-07-26,22.69,23.06,22.69,22.94,139100.0,0
1999-07-27,22.88,23.0,22.56,22.94,234200.0,0
1999-07-28,22.75,22.75,22.44,22.5,222000.0,0
1999-07-29,22.44,22.44,22.0,22.13,203800.0,0
1999-07-30,22.13,22.56,22.06,22.19,262900.0,0
1999-08-02,22.25,22.75,22.13,22.38,214200.0,0
1999-08-03,22.38,22.56,22.31,22.44,224600.0,0
1999-08-04,22.44,22.44,22.25,22.25,543800.0,0
1999-08-05,22.13,22.31,21.81,22.13,438500.0,0
1999-08-06,22.13,22.38,21.81,22.25,293100.0,0
1999-08-09,22.13,22.5,22.0,22.13,294300.0,0
1999-08-10,22.06,22.13,21.63,21.75,342500.0,0
1999-08-11,21.81,22.25,21.81,22.25,354600.0,0
1999-08-12,22.13,22.19,22.0,22.19,173700.0,0
1999-08-13,22.13,22.13,21.75,21.88,364000.0,0
1999-08-16,21.88,21.88,21.63,21.69,577100.0,0
1999-08-17,21.81,22.19,21.75,22.13,344900.0,0
1999-08-18,22.13,22.13,21.81,21.94,190300.0,0
1999-08-19,21.81,22.06,21.63,22.0,320100.0,0
1999-08-20,22.0,22.25,21.88,22.13,294400.0,0
1999-08-23,22.25,22.44,22.13,22.44,274900.0,0
1999-08-24,22.44,22.5,22.13,22.38,198000.0,0
1999-08-25,22.56,22.88,22.38,22.88,223800.0,0
1999-08-26,22.88,23.0,22.75,22.94,240000.0,0
1999-08-27,22.88,23.0,22.81,23.0,274700.0,0
1999-08-30,23.13,23.19,22.5,22.5,480100.0,0
1999-08-31,22.5,22.69,22.06,22.31,460600.0,0
1999-09-01,22.25,22.5,22.13,22.31,380200.0,0
1999-09-02,22.19,22.44,21.81,22.31,256300.0,0
1999-09-03,22.25,22.69,22.25,22.56,270500.0,0
1999-09-07,22.63,22.63,22.06,22.06,421800.0,0
1999-09-08,22.13,22.19,21.81,21.94,235700.0,0
1999-09-09,21.88,22.31,21.75,22.25,396300.0,0
1999-09-10,22.25,22.38,22.19,22.38,155800.0,0
1999-09-13,22.13,22.5,22.06,22.38,351300.0,0
1999-09-14,22.38,22.44,22.0,22.13,206600.0,0
1999-09-15,22.25,22.56,22.25,22.31,824400.0,0
1999-09-16,22.13,22.13,21.75,21.94,2606500.0,0
1999-09-17,21.88,22.06,21.88,21.94,294100.0,0
1999-09-20,21.94,22.0,21.5,21.5,283400.0,0
1999-09-21,21.44,21.44,21.06,21.06,513200.0,0
1999-09-22,21.06,21.25,20.94,21.0,217300.0,0
1999-09-23,21.0,21.06,20.56,20.63,213000.0,0
1999-09-24,20.5,20.75,20.5,20.56,190900.0,0
1999-09-27,20.5,20.75,20.44,20.5,246500.0,0
1999-09-28,20.19,20.63,20.0,20.63,394500.0,0
1999-09-29,20.63,20.63,20.25,20.44,217500.0,0
1999-09-30,20.44,20.88,20.44,20.81,333000.0,0
1999-10-01,20.88,21.19,20.69,21.19,380000.0,0
1999-10-04,21.13,21.75,21.13,21.38,578700.0,0
1999-10-05,21.38,21.38,20.69,21.06,1026800.0,0
1999-10-06,21.06,21.19,21.0,21.13,421800.0,0
1999-10-07,21.0,21.06,20.56,20.69,443600.0,0
1999-10-08,20.81,20.88,20.69,20.88,262400.0,0
1999-10-11,20.63,21.0,20.56,20.75,195300.0,0
1999-10-12,20.63,20.63,20.38,20.44,233100.0,0
1999-10-13,20.44,20.81,20.38,20.56,214500.0,0
1999-10-14,20.56,20.81,20.44,20.81,437800.0,0
1999-10-15,20.81,20.81,20.44,20.63,393800.0,0
1999-10-18,20.63,21.06,20.56,20.81,522400.0,0
1999-10-19,20.94,20.94,20.31,20.44,364800.0,0
1999-10-20,20.38,20.56,20.0,20.06,564000.0,0
1999-10-21,20.06,20.38,20.0,20.06,312400.0,0
1999-10-22,20.19,20.56,20.06,20.44,395900.0,0
1999-10-25,20.06,20.63,20.0,20.44,377100.0,0
1999-10-26,20.31,20.69,20.06,20.06,280900.0,0
