date,open,high,low,close,volume,padding
1999-01-04,35.19,35.94,35.19,35.375,1129200.0,0
1999-01-05,35.5,36.125,35.5,36.125,973000.0,0
1999-01-06,36.25,37.5,36.19,37.25,1223400.0,0
1999-01-07,37.0,37.28,36.815,37.065,835000.0,0
1999-01-08,37.47,37.47,36.345,36.69,943600.0,0
1999-01-11,36.69,36.72,35.625,35.845,546000.0,0
1999-01-12,35.97,35.97,35.28,35.28,664400.0,0
1999-01-13,34.53,35.345,34.315,34.655,787400.0,0
1999-01-14,34.78,34.97,33.5,33.905,703800.0,0
1999-01-15,34.0,35.905,34.0,35.905,954000.0,0
1999-01-19,35.78,35.97,34.69,35.845,737600.0,0
1999-01-20,35.72,36.0,35.125,35.315,755200.0,0
1999-01-21,35.5,36.625,35.155,35.905,2483800.0,0
1999-01-22,35.78,35.78,34.845,35.565,1380000.0,0
1999-01-25,35.5,36.375,35.28,36.315,961800.0,0
1999-01-26,36.44,36.44,34.815,34.97,1163800.0,0
1999-01-27,34.97,34.97,34.065,34.28,663400.0,0
1999-01-28,34.405,35.25,34.405,35.22,534600.0,0
1999-01-29,35.095,35.78,34.69,35.75,763400.0,0
1999-02-01,35.655,35.655,34.75,35.0,573200.0,0
1999-02-02,34.875,35.065,34.5,34.655,764200.0,0
1999-02-03,35.0,35.655,34.5,35.655,704200.0,0
1999-02-04,35.53,35.625,34.125,34.22,854600.0,0
1999-02-05,34.25,34.47,33.75,34.25,700600.0,0
1999-02-08,34.565,35.125,34.25,35.0,870000.0,0
1999-02-09,34.69,35.19,34.28,34.405,489400.0,0
1999-02-10,34.625,35.065,34.44,34.97,573600.0,0
1999-02-11,35.0,36.5,34.78,36.0,1084800.0,0
1999-02-12,35.97,35.97,34.815,35.72,956600.0,0
1999-02-16,35.845,37.095,35.845,36.5,903800.0,0
1999-02-17,36.625,36.97,35.94,36.19,1045200.0,0
1999-02-18,36.19,36.905,36.065,36.5,713200.0,0
1999-02-19,37.315,37.375,36.25,36.44,905400.0,0
1999-02-22,36.44,38.72,36.315,38.625,1370000.0,0
1999-02-23,39.25,39.25,37.75,38.125,956800.0,0
1999-02-24,38.155,39.095,38.125,38.315,1362200.0,0
1999-02-25,38.0,38.44,37.5,37.875,721000.0,0
1999-02-26,38.19,38.44,37.69,38.345,588800.0,0
1999-03-01,38.22,38.595,38.125,38.5,589000.0,0
1999-03-02,38.75,38.815,38.065,38.155,471000.0,0
1999-03-03,38.25,38.565,38.065,38.25,396600.0,0
1999-03-04,38.25,39.44,38.25,39.44,689200.0,0
1999-03-05,40.125,41.94,40.125,41.595,2215600.0,0
1999-03-08,42.0,42.0,40.595,41.065,819200.0,0
1999-03-09,40.94,41.5,40.25,40.44,528400.0,0
1999-03-10,40.875,42.22,40.53,42.22,636800.0,0
1999-03-11,42.875,44.595,42.845,44.125,2102000.0,0
