date,open,high,low,close,volume,padding
1999-01-04,27.5,27.94,27.5,27.75,252700.0,0
1999-01-05,27.81,28.25,27.56,28.0,527100.0,0
1999-01-06,28.25,28.25,27.63,27.94,343400.0,0
1999-01-07,27.25,27.69,27.25,27.5,270200.0,0
1999-01-08,27.5,27.75,27.38,27.56,298100.0,0
1999-01-11,27.56,28.75,27.56,27.88,581100.0,0
1999-01-12,27.25,27.88,27.06,27.69,702400.0,0
1999-01-13,26.5,27.31,26.5,27.06,237200.0,0
1999-01-14,27.0,27.0,26.0,26.06,611100.0,0
1999-01-15,26.06,27.0,26.06,27.0,144000.0,0
1999-01-19,26.88,27.0,26.06,26.75,206500.0,0
1999-01-20,26.75,26.88,26.19,26.5,262100.0,0
1999-01-21,26.75,27.69,26.75,27.13,355200.0,0
1999-01-22,27.0,27.63,26.69,26.88,513200.0,0
1999-01-25,26.75,27.0,26.19,26.56,159000.0,0
1999-01-26,26.69,26.69,26.13,26.31,420400.0,0
1999-01-27,26.44,26.56,26.19,26.19,314200.0,0
1999-01-28,25.0,26.0,24.63,25.69,656100.0,0
1999-01-29,25.38,25.94,25.19,25.19,462000.0,0
1999-02-01,25.44,25.56,25.13,25.31,236300.0,0
1999-02-02,25.0,25.0,24.19,25.0,676000.0,0
1999-02-03,24.75,25.63,24.75,25.31,347800.0,0
1999-02-04,25.56,25.88,25.25,25.56,423600.0,0
1999-02-05,25.56,26.25,25.44,25.75,295700.0,0
1999-02-08,25.75,25.94,25.5,25.63,557400.0,0
1999-02-09,25.38,25.69,24.75,25.0,678500.0,0
1999-02-10,25.0,25.44,25.0,25.44,171400.0,0
1999-02-11,25.19,25.5,25.0,25.44,138600.0,0
1999-02-12,25.44,25.56,25.25,25.25,181400.0,0
1999-02-16,25.19,25.69,24.75,25.38,164000.0,0
1999-02-17,25.19,25.31,24.81,24.88,112500.0,0
1999-02-18,24.63,24.75,24.31,24.44,367600.0,0
1999-02-19,24.31,24.88,24.13,24.38,86400.0,0
1999-02-22,24.44,25.13,24.38,24.94,173000.0,0
1999-02-23,24.81,25.13,24.31,24.88,160200.0,0
1999-02-24,25.0,25.56,24.38,24.69,146800.0,0
1999-02-25,24.5,25.38,24.31,25.25,249400.0,0
1999-02-26,25.25,25.25,24.13,24.31,193300.0,0
1999-03-01,24.19,24.5,23.56,24.44,166100.0,0
1999-03-02,24.31,24.69,24.31,24.44,191100.0,0
1999-03-03,24.44,24.5,24.13,24.5,313900.0,0
1999-03-04,24.25,24.94,23.94,24.94,162100.0,0
1999-03-05,24.94,24.94,23.75,24.38,192900.0,0
1999-03-08,24.75,24.88,24.5,24.81,167300.0,0
1999-03-09,24.56,24.94,24.13,24.81,143800.0,0
1999-03-10,24.81,25.31,24.69,25.19,244800.0,0
1999-03-11,25.19,25.25,24.88,25.0,127500.0,0
1999-03-12,25.0,25.13,24.81,25.0,221900.0,0
1999-03-15,25.0,25.63,24.75,24.94,178900.0,0
1999-03-16,25.06,25.06,24.81,24.94,263000.0,0
1999-03-17,24.94,25.06,24.75,25.06,293300.0,0
1999-03-18,24.81,25.13,24.81,25.0,371000.0,0
1999-03-19,25.0,25.0,24.75,25.0,309900.0,0
1999-03-22,24.88,24.94,24.63,24.75,207500.0,0
1999-03-23,24.5,24.63,23.81,23.94,325700.0,0
1999-03-24,23.94,24.13,23.75,23.94,748600.0,0
1999-03-25,23.25,24.38,23.25,24.25,429900.0,0
1999-03-26,24.13,24.5,23.75,24.25,265900.0,0
1999-03-29,24.31,25.0,24.31,24.69,373800.0,0
1999-03-30,24.44,25.13,24.44,25.06,337100.0,0
1999-03-31,25.06,25.69,25.06,25.63,410000.0,0
1999-04-01,25.63,25.81,25.38,25.75,558400.0,0
1999-04-05,25.75,27.19,25.75,27.0,384600.0,0
1999-04-06,26.88,27.19,26.81,27.06,251400.0,0
1999-04-07,27.06,27.56,27.0,27.0,322200.0,0
1999-04-08,26.88,27.13,26.75,26.94,99500.0,0
1999-04-09,26.88,27.5,26.81,27.31,122800.0,0
1999-04-12,27.13,28.31,27.13,28.25,166000.0,0
1999-04-13,28.25,28.25,27.31,27.5,213200.0,0
1999-04-14,27.5,28.81,26.75,28.31,348500.0,0
1999-04-15,28.38,30.31,28.25,30.13,540000.0,0
1999-04-16,30.88,34.0,30.69,32.94,679200.0,0
1999-04-19,34.13,35.0,32.13,32.56,524500.0,0
1999-04-20,32.44,32.5,31.25,31.69,223300.0,0
1999-04-21,31.44,31.75,29.88,31.0,789000.0,0
1999-04-22,30.81,30.81,29.63,30.81,133500.0,0
1999-04-23,31.06,31.13,30.63,30.75,189700.0,0
1999-04-26,30.56,31.0,30.25,30.69,232400.0,0
1999-04-27,30.94,31.06,30.44,30.63,268300.0,0
1999-04-28,30.44,31.38,30.44,30.88,487600.0,0
1999-04-29,31.0,31.0,30.44,30.75,318400.0,0
1999-04-30,30.56,30.94,30.38,30.44,192000.0,0
1999-05-03,30.44,31.75,29.69,31.63,346400.0,0
1999-05-04,31.75,32.88,31.19,32.13,195600.0,0
1999-05-05,32.38,32.69,31.38,32.38,150900.0,0
1999-05-06,32.31,32.31,31.44,31.75,153600.0,0
1999-05-07,32.0,33.19,32.0,32.31,188400.0,0
1999-05-10,32.5,33.88,32.5,33.38,258400.0,0
1999-05-11,33.25,33.88,33.13,33.44,192300.0,0
1999-05-12,33.13,33.13,32.5,32.69,114500.0,0
1999-05-13,33.0,33.19,32.31,32.31,184000.0,0
1999-05-14,31.69,32.44,31.69,32.13,78300.0,0
1999-05-17,32.38,32.94,31.88,32.69,149100.0,0
1999-05-18,32.44,32.88,32.13,32.38,200200.0,0
1999-05-19,32.88,33.13,32.5,32.69,258500.0,0
1999-05-20,32.5,34.06,32.38,33.38,210200.0,0
1999-05-21,33.44,34.13,33.25,33.94,136700.0,0
1999-05-24,34.06,34.88,33.5,33.81,233200.0,0
1999-05-25,33.56,34.31,33.06,33.13,283800.0,0
1999-05-26,33.06,33.5,32.31,32.5,151500.0,0
1999-05-27,33.0,33.0,31.56,31.69,177400.0,0
1999-05-28,31.56,33.0,31.56,32.56,86600.0,0
1999-06-01,32.5,33.38,32.06,33.25,139900.0,0
1999-06-02,33.5,33.56,32.69,33.31,242600.0,0
1999-06-03,32.81,33.06,32.5,32.81,127900.0,0
1999-06-04,32.94,33.38,32.69,33.19,155500.0,0
1999-06-07,33.06,33.25,32.81,33.19,86900.0,0
1999-06-08,33.13,33.44,32.69,33.38,99700.0,0
1999-06-09,33.25,33.44,33.13,33.38,81800.0,0
1999-06-10,33.19,33.38,32.75,32.94,234600.0,0
1999-06-11,32.69,32.75,32.06,32.06,142900.0,0
1999-06-14,32.38,33.63,32.31,33.38,166900.0,0
1999-06-15,33.38,33.44,32.88,33.06,181100.0,0
1999-06-16,33.19,33.31,32.5,33.06,236100.0,0
1999-06-17,32.81,32.94,32.13,32.75,184000.0,0
1999-06-18,32.63,33.0,32.38,32.75,159500.0,0
1999-06-21,32.75,32.75,32.25,32.44,72100.0,0
1999-06-22,32.44,32.5,31.56,31.94,147000.0,0
1999-06-23,32.0,32.13,31.69,32.06,221300.0,0
1999-06-24,31.94,32.19,31.38,31.63,125200.0,0
1999-06-25,31.63,31.94,31.63,31.75,82000.0,0
1999-06-28,31.81,31.94,30.56,31.19,206100.0,0
1999-06-29,31.19,31.94,30.88,31.5,140400.0,0
1999-06-30,31.5,32.25,31.31,32.19,120600.0,0
1999-07-01,32.19,32.31,31.38,31.75,257100.0,0
1999-07-02,31.69,32.38,31.69,32.31,209100.0,0
1999-07-06,32.31,32.31,31.94,32.19,100900.0,0
1999-07-07,31.94,32.19,31.25,31.44,135600.0,0
1999-07-08,31.19,31.38,30.56,30.81,192200.0,0
1999-07-09,30.5,31.19,30.5,31.0,144400.0,0
1999-07-12,31.19,31.31,30.94,31.0,154700.0,0
1999-07-13,30.75,31.31,30.75,31.31,160000.0,0
1999-07-14,31.75,31.75,30.75,30.81,272300.0,0
1999-07-15,30.44,30.5,29.56,30.0,307300.0,0
1999-07-16,30.38,31.0,30.19,30.31,211500.0,0
1999-07-19,29.88,30.0,29.31,29.5,208700.0,0
1999-07-20,29.44,29.94,29.31,29.56,134200.0,0
1999-07-21,29.31,29.94,29.25,29.56,100500.0,0
1999-07-22,28.88,29.88,28.63,29.06,261500.0,0
1999-07-23,29.06,29.75,29.06,29.63,115300.0,0
1999-07-26,29.25,30.0,29.0,29.31,254000.0,0
1999-07-27,29.06,29.06,27.0,27.94,806200.0,0
1999-07-28,28.0,28.44,28.0,28.31,439500.0,0
1999-07-29,28.13,28.5,27.69,27.94,350000.0,0
1999-07-30,27.88,28.44,27.88,27.94,203300.0,0
1999-08-02,28.0,28.5,28.0,28.19,206400.0,0
1999-08-03,28.0,28.25,27.69,27.75,168200.0,0
1999-08-04,27.81,27.81,26.94,27.0,164200.0,0
1999-08-05,27.25,27.69,26.94,27.06,192000.0,0
1999-08-06,27.06,27.06,25.63,26.0,299900.0,0
1999-08-09,25.94,26.69,25.88,26.25,509800.0,0
1999-08-10,26.0,26.19,25.44,25.56,156600.0,0
1999-08-11,25.44,25.88,25.44,25.81,209000.0,0
1999-08-12,25.75,26.0,25.56,25.63,190900.0,0
1999-08-13,25.25,25.81,25.0,25.75,227200.0,0
1999-08-16,25.69,25.75,25.19,25.63,69700.0,0
1999-08-17,25.75,25.94,25.13,25.44,376400.0,0
1999-08-18,25.38,25.69,25.0,25.13,2215700.0,0
1999-08-19,25.0,25.31,24.63,25.19,184600.0,0
1999-08-20,25.31,25.31,25.06,25.13,52000.0,0
1999-08-23,24.75,25.5,24.5,25.31,123100.0,0
1999-08-24,25.31,25.81,25.31,25.56,241100.0,0
1999-08-25,25.63,26.25,25.63,25.88,435900.0,0
1999-08-26,25.81,26.81,25.81,26.44,382000.0,0
1999-08-27,26.25,26.63,26.13,26.25,192700.0,0
1999-08-30,26.25,26.56,26.13,26.31,276200.0,0
1999-08-31,26.31,26.5,26.19,26.38,429000.0,0
1999-09-01,26.5,27.06,26.38,27.06,524600.0,0
1999-09-02,26.81,26.94,26.56,26.94,317300.0,0
1999-09-03,26.94,27.25,26.81,27.13,411900.0,0
1999-09-07,26.88,26.88,25.88,26.19,130600.0,0
1999-09-08,25.88,26.31,25.69,26.0,201100.0,0
1999-09-09,25.94,26.13,25.69,26.13,98900.0,0
1999-09-10,26.13,26.13,25.44,25.56,150600.0,0
1999-09-13,25.63,25.88,25.31,25.38,62600.0,0
1999-09-14,25.38,25.38,25.0,25.31,261400.0,0
1999-09-15,25.38,25.69,25.38,25.5,146800.0,0
1999-09-16,25.5,25.69,25.25,25.56,181800.0,0
1999-09-17,25.56,25.88,25.44,25.63,169200.0,0
1999-09-20,25.69,25.88,24.94,25.19,148400.0,0
1999-09-21,25.06,25.75,24.94,25.25,123800.0,0
1999-09-22,25.13,25.56,25.13,25.44,164000.0,0
1999-09-23,25.38,25.5,24.69,24.94,298600.0,0
1999-09-24,24.88,25.06,24.44,24.44,501100.0,0
1999-09-27,24.63,25.13,24.56,24.75,167400.0,0
1999-09-28,24.75,24.88,24.19,24.75,227800.0,0
1999-09-29,24.81,24.81,24.44,24.5,88900.0,0
1999-09-30,24.75,25.31,24.5,25.19,160600.0,0
1999-10-01,25.0,25.06,24.38,24.56,125100.0,0
1999-10-04,24.69,25.13,24.63,24.88,101900.0,0
1999-10-05,24.81,24.88,24.19,24.44,287700.0,0
1999-10-06,24.31,24.44,24.19,24.25,229000.0,0
1999-10-07,24.0,24.31,23.75,23.88,307500.0,0
1999-10-08,23.88,23.94,23.25,23.69,341000.0,0
1999-10-11,23.69,24.0,23.63,23.75,126400.0,0
1999-10-12,23.63,23.63,22.88,23.0,268400.0,0
1999-10-13,22.75,23.81,22.75,22.94,193500.0,0
1999-10-14,22.75,23.38,22.75,23.19,88300.0,0
1999-10-15,23.44,23.44,22.44,22.5,113900.0,0
1999-10-18,22.5,22.94,22.0,22.5,167000.0,0
1999-10-19,22.75,23.19,22.0,22.13,102300.0,0
1999-10-20,26.25,26.38,24.63,25.44,1467000.0,0
1999-10-21,25.44,25.56,24.25,24.56,763200.0,0
1999-10-22,24.63,25.56,24.38,25.13,295600.0,0
1999-10-25,25.25,26.13,24.88,25.94,345200.0,0
1999-10-26,26.0,27.5,25.88,27.25,398800.0,0
1999-10-27,27.13,27.44,26.75,27.06,616500.0,0
1999-10-28,27.31,27.5,26.88,27.0,366500.0,0
1999-10-29,27.25,29.0,27.13,27.75,585100.0,0
1999-11-01,27.88,28.0,27.44,27.5,317400.0,0
1999-11-02,27.38,27.69,27.0,27.0,316500.0,0
1999-11-03,27.25,27.5,26.31,27.19,321200.0,0
1999-11-04,27.44,27.5,27.06,27.25,136700.0,0
1999-11-05,27.5,28.88,27.31,27.5,188000.0,0
1999-11-08,27.25,28.38,27.13,27.69,303900.0,0
1999-11-09,27.63,29.5,27.13,29.44,451300.0,0
1999-11-10,31.25,32.0,30.0,30.38,635700.0,0
1999-11-11,30.44,31.13,30.06,30.44,300200.0,0
1999-11-12,30.44,31.38,30.25,31.13,270100.0,0
1999-11-15,31.06,31.06,30.25,30.25,214200.0,0
1999-11-16,30.25,33.63,30.25,32.94,437300.0,0
1999-11-17,32.88,33.44,32.38,32.69,476000.0,0
1999-11-18,32.75,33.19,32.38,32.81,298900.0,0
1999-11-19,32.56,33.0,32.06,32.06,339800.0,0
1999-11-22,31.81,32.13,31.31,31.56,224000.0,0
1999-11-23,31.31,31.44,30.75,31.0,210400.0,0
1999-11-24,30.81,31.75,30.5,31.25,234600.0,0
1999-11-26,31.25,31.31,30.75,30.75,56100.0,0
1999-11-29,30.0,31.5,30.0,30.94,238200.0,0
1999-11-30,30.75,31.63,30.63,31.13,122600.0,0
1999-12-01,30.88,31.25,30.69,31.06,254000.0,0
1999-12-02,31.13,31.25,30.69,30.94,87300.0,0
1999-12-03,31.13,31.88,31.13,31.38,303200.0,0
1999-12-06,31.13,32.38,31.13,32.13,291600.0,0
1999-12-07,31.5,32.5,31.31,31.44,124500.0,0
1999-12-08,31.56,31.94,31.38,31.75,89300.0,0
1999-12-09,31.69,32.0,31.25,31.31,134700.0,0
1999-12-10,31.5,31.75,30.0,31.13,144900.0,0
1999-12-13,31.31,31.44,30.81,31.19,238100.0,0
1999-12-14,31.19,31.88,30.94,30.94,320600.0,0
1999-12-15,30.75,30.81,29.75,29.88,166700.0,0
1999-12-16,30.0,30.0,29.38,29.75,278400.0,0
1999-12-17,29.81,29.81,29.81,29.81,305300.0,0
1999-12-20,29.31,29.38,28.31,28.94,112400.0,0
1999-12-21,28.94,29.75,28.63,29.69,168300.0,0
1999-12-22,29.69,30.44,29.69,30.06,271900.0,0
1999-12-23,30.0,30.25,29.56,29.88,122900.0,0
