date,open,high,low,close,volume,padding
1999-01-04,11.917,12.043,10.71,11.5,411801.0,0
1999-01-05,11.293,11.5,11.0,11.21,265401.0,0
1999-01-06,11.71,12.23,11.627,12.127,2334000.0,0
1999-01-07,12.083,13.23,11.98,12.917,2748000.0,0
1999-01-08,13.043,13.627,12.667,12.667,1651800.0,0
1999-01-11,12.917,13.333,12.417,13.187000000000001,748200.0,0
1999-01-12,13.21,13.333,12.46,13.25,747201.0,0
1999-01-13,12.583,12.75,11.687000000000001,12.417,1793001.0,0
1999-01-14,12.812999999999999,12.812999999999999,12.25,12.333,1048401.0,0
1999-01-15,12.46,12.46,12.127,12.333,161601.0,0
1999-01-19,12.667,13.0,12.5,12.917,421401.0,0
1999-01-20,13.02,13.147,12.877,13.0,554001.0,0
1999-01-21,12.877,13.083,12.5,12.75,772401.0,0
1999-01-22,12.417,12.583,12.127,12.417,407001.0,0
1999-01-25,12.583,12.833,11.917,12.0,843000.0,0
1999-01-26,12.167,12.687000000000001,11.96,12.667,659400.0,0
1999-01-27,12.627,13.083,12.46,12.96,404001.0,0
1999-01-28,12.877,13.02,12.543,12.833,202200.0,0
1999-01-29,13.0,13.543,12.917,13.333,424200.0,0
1999-02-01,13.667,13.96,13.293,13.377,553401.0,0
1999-02-02,12.96,13.333,12.917,13.167,268200.0,0
1999-02-03,13.333,13.377,13.127,13.23,489600.0,0
1999-02-04,13.293,13.293,12.417,12.49,317001.0,0
1999-02-05,12.562999999999999,12.627,11.0,11.647,745800.0,0
1999-02-08,11.71,12.043,11.25,11.25,321201.0,0
1999-02-09,11.5,11.5,10.333,10.54,394800.0,0
1999-02-10,10.27,10.457,9.917,9.957,344001.0,0
1999-02-11,10.083,10.96,10.0,10.71,525000.0,0
1999-02-12,10.833,11.167,10.667,10.667,153600.0,0
1999-02-16,10.71,11.333,10.71,10.793,457200.0,0
1999-02-17,10.667,10.667,9.54,9.873,300801.0,0
1999-02-18,9.873,10.52,9.873,10.5,891000.0,0
1999-02-19,10.5,10.935,10.435,10.78,181200.0,0
1999-02-22,10.81,11.33,10.555,11.28,176800.0,0
1999-02-23,11.28,11.56,11.03,11.125,744200.0,0
1999-02-24,11.405,11.655,11.0,11.03,269000.0,0
1999-02-25,10.935,10.935,10.53,10.735,131800.0,0
1999-02-26,10.56,10.75,10.125,10.185,931800.0,0
1999-03-01,10.125,10.125,8.56,8.685,826800.0,0
1999-03-02,8.435,8.435,6.75,7.125,1710000.0,0
1999-03-03,7.625,9.435,7.5,9.125,3390800.0,0
1999-03-04,9.125,9.31,8.875,9.22,603600.0,0
1999-03-05,9.31,9.435,9.06,9.25,552800.0,0
1999-03-08,9.185,9.31,8.905,9.0,554600.0,0
1999-03-09,9.25,9.28,8.86,9.03,421800.0,0
1999-03-10,9.0,9.03,8.56,8.625,173600.0,0
1999-03-11,8.685,8.875,8.625,8.81,488200.0,0
1999-03-12,8.935,9.185,8.625,8.72,328800.0,0
1999-03-15,8.875,9.0,8.78,9.0,168200.0,0
1999-03-16,8.97,9.03,8.845,8.935,66000.0,0
1999-03-17,8.905,9.0,8.845,8.97,139400.0,0
1999-03-18,9.0,9.685,9.0,9.685,426200.0,0
1999-03-19,9.75,9.905,9.22,9.25,116000.0,0
1999-03-22,9.435,9.435,8.97,9.03,58000.0,0
1999-03-23,9.03,9.03,8.56,8.72,256200.0,0
1999-03-24,8.685,8.81,8.625,8.78,195200.0,0
1999-03-25,8.75,9.03,8.75,8.875,140200.0,0
1999-03-26,8.75,9.5,8.685,9.28,398400.0,0
1999-03-29,9.22,9.47,8.875,9.0,165200.0,0
1999-03-30,9.0,9.0,8.81,8.97,213600.0,0
1999-03-31,9.0,9.375,8.875,9.185,377800.0,0
1999-04-01,9.185,9.185,8.81,8.935,23600.0,0
1999-04-05,8.875,9.56,8.875,9.375,222200.0,0
1999-04-06,9.5,13.5,9.5,12.935,3153000.0,0
1999-04-07,13.25,13.25,10.875,11.56,1691600.0,0
1999-04-08,11.685,12.75,11.56,12.5,670600.0,0
1999-04-09,12.625,15.185,12.5,14.0,893000.0,0
1999-04-12,13.97,15.125,13.75,13.845,585400.0,0
1999-04-13,13.81,14.595,13.345,14.405,338200.0,0
1999-04-14,15.0,15.03,14.03,14.03,546000.0,0
1999-04-15,14.03,14.56,12.435,13.155,1222600.0,0
1999-04-16,13.5,14.0,13.25,14.0,246800.0,0
1999-04-19,14.0,14.0,12.5,12.5,371200.0,0
1999-04-20,12.56,13.185,12.435,13.155,341000.0,0
1999-04-21,13.5,16.47,13.435,15.685,1425000.0,0
1999-04-22,16.5,16.75,15.155,15.22,1043600.0,0
1999-04-23,15.185,15.375,14.0,14.375,271400.0,0
1999-04-26,14.595,16.19,14.5,14.75,624800.0,0
1999-04-27,16.315,16.5,15.595,16.36,494400.0,0
1999-04-28,16.47,18.0,16.25,16.595,613400.0,0
1999-04-29,16.78,17.125,16.44,16.815,490200.0,0
1999-04-30,18.19,18.25,16.625,17.625,1700800.0,0
1999-05-03,17.595,17.595,16.22,17.03,678400.0,0
1999-05-04,17.125,17.875,16.69,17.625,1119800.0,0
1999-05-05,17.69,17.69,16.47,17.19,1495400.0,0
1999-05-06,17.25,17.315,16.75,17.22,690000.0,0
1999-05-07,17.03,17.25,16.875,16.875,237400.0,0
1999-05-10,16.815,17.0,16.69,16.94,163600.0,0
1999-05-11,16.94,18.405,16.72,17.75,707000.0,0
1999-05-12,17.75,20.22,17.69,19.83,696000.0,0
1999-05-13,20.22,22.125,20.22,20.75,1246000.0,0
1999-05-14,20.25,20.875,20.0,20.5,391200.0,0
1999-05-17,20.375,21.75,20.125,21.065,535600.0,0
1999-05-18,21.815,22.0,21.125,21.44,1030800.0,0
1999-05-19,21.625,22.375,21.625,22.19,687800.0,0
1999-05-20,22.5,23.75,21.75,23.125,586000.0,0
1999-05-21,23.5,23.565,21.625,21.625,282600.0,0
1999-05-24,21.75,22.53,19.75,20.155,807400.0,0
1999-05-25,19.625,20.75,19.345,20.0,724000.0,0
1999-05-26,19.875,20.125,17.94,18.375,884600.0,0
1999-05-27,17.5,17.595,16.75,17.155,5376800.0,0
1999-05-28,17.22,17.53,17.0,17.405,648400.0,0
1999-06-01,17.405,17.75,16.69,17.015,819400.0,0
1999-06-02,17.125,17.19,16.0,17.125,665400.0,0
1999-06-03,17.315,17.75,17.25,17.25,1281000.0,0
1999-06-04,17.44,17.595,17.19,17.5,311400.0,0
1999-06-07,17.69,20.065,17.625,19.485,1173600.0,0
1999-06-08,19.61,19.69,18.5,19.0,357800.0,0
1999-06-09,18.94,20.625,18.875,20.065,619800.0,0
1999-06-10,19.845,20.25,19.47,19.595,336200.0,0
1999-06-11,19.815,19.94,19.375,19.485,376200.0,0
1999-06-14,19.455,19.625,18.75,18.875,315400.0,0
1999-06-15,18.78,18.97,18.0,18.875,365400.0,0
1999-06-16,19.72,21.155,19.375,20.22,508400.0,0
1999-06-17,20.03,20.875,19.875,20.25,313400.0,0
1999-06-18,20.22,20.72,20.065,20.72,163600.0,0
1999-06-21,20.44,21.065,20.44,20.94,338600.0,0
1999-06-22,20.875,21.75,20.815,20.815,598800.0,0
1999-06-23,20.69,21.065,20.53,21.03,361000.0,0
1999-06-24,21.065,21.25,20.565,20.595,273600.0,0
1999-06-25,20.595,20.94,18.75,19.565,333200.0,0
1999-06-28,19.565,21.5,19.375,21.5,464800.0,0
1999-06-29,21.095,21.94,21.03,21.53,476000.0,0
1999-06-30,21.53,24.0,21.065,23.815,1152000.0,0
1999-07-01,23.345,23.905,22.25,22.25,447000.0,0
1999-07-02,22.625,23.375,22.565,23.25,283400.0,0
1999-07-06,23.5,23.94,23.25,23.53,415200.0,0
1999-07-07,23.94,24.5,23.565,24.125,486400.0,0
1999-07-08,24.065,25.345,23.875,24.905,586600.0,0
1999-07-09,25.125,25.315,24.94,25.25,534400.0,0
1999-07-12,25.44,26.065,25.155,25.565,633400.0,0
1999-07-13,25.5,25.815,24.815,24.94,852200.0,0
1999-07-14,25.875,28.375,25.125,27.97,1787800.0,0
1999-07-15,27.78,28.375,27.565,27.845,991200.0,0
1999-07-16,27.875,27.875,27.345,27.78,595000.0,0
1999-07-19,28.125,28.815,27.905,28.14,406400.0,0
1999-07-20,27.69,28.0,26.44,26.44,407400.0,0
1999-07-21,26.44,26.565,24.75,25.375,428600.0,0
1999-07-22,25.5,25.875,25.0,25.03,344400.0,0
1999-07-23,25.065,25.595,23.94,25.595,147200.0,0
1999-07-26,25.065,25.625,24.75,24.875,511600.0,0
1999-07-27,24.875,26.53,24.875,26.25,394600.0,0
1999-07-28,26.0,26.44,25.94,26.125,194600.0,0
1999-07-29,26.0,26.065,24.875,24.875,332200.0,0
1999-07-30,25.125,25.905,25.125,25.5,115400.0,0
1999-08-02,25.5,25.75,25.095,25.11,149600.0,0
1999-08-03,25.44,25.69,23.565,23.78,534400.0,0
1999-08-04,23.75,23.78,21.69,23.44,639000.0,0
1999-08-05,23.44,23.97,22.0,22.815,285600.0,0
1999-08-06,22.22,23.25,21.875,23.08,545200.0,0
1999-08-09,22.94,23.565,22.25,23.25,426400.0,0
1999-08-10,22.815,23.375,22.625,22.92,108800.0,0
1999-08-11,22.69,24.565,22.655,24.565,203800.0,0
1999-08-12,24.625,25.125,24.44,24.815,88200.0,0
1999-08-13,24.815,27.625,24.815,27.315,377400.0,0
1999-08-16,27.315,27.5,27.19,27.47,930600.0,0
1999-08-17,27.78,28.5,26.375,26.44,560200.0,0
1999-08-18,26.375,26.5,25.69,25.69,290400.0,0
1999-08-19,25.97,27.5,25.94,26.86,296200.0,0
1999-08-20,26.83,27.0,26.315,27.0,168800.0,0
1999-08-23,27.47,27.565,26.69,26.94,247200.0,0
1999-08-24,26.75,27.44,26.75,27.42,195400.0,0
1999-08-25,27.42,27.69,26.75,27.0,131600.0,0
1999-08-26,27.095,28.565,27.0,28.065,603400.0,0
1999-08-27,28.03,28.625,27.815,27.905,464400.0,0
1999-08-30,27.875,29.03,27.815,28.64,564200.0,0
1999-08-31,28.69,29.5,28.0,28.47,465800.0,0
1999-09-01,28.53,28.655,27.595,28.065,112000.0,0
1999-09-02,27.72,28.155,27.19,27.655,117600.0,0
1999-09-03,28.565,29.28,28.19,28.28,467800.0,0
1999-09-07,28.25,28.565,28.0,28.375,205400.0,0
1999-09-08,28.44,28.565,27.94,28.0,298800.0,0
1999-09-09,28.03,29.875,28.015,28.905,533200.0,0
1999-09-10,29.375,29.5,28.22,28.25,127400.0,0
1999-09-13,28.22,28.655,27.25,27.28,132800.0,0
1999-09-14,27.315,27.315,25.815,26.125,424200.0,0
1999-09-15,26.5,26.5,24.94,25.125,182200.0,0
1999-09-16,25.0,25.5,23.625,24.875,626200.0,0
1999-09-17,24.97,27.25,24.94,27.155,482000.0,0
1999-09-20,26.94,27.75,26.905,27.28,494000.0,0
1999-09-21,27.28,27.69,26.125,27.625,284800.0,0
1999-09-22,27.25,28.69,27.0,28.125,339800.0,0
1999-09-23,28.19,29.065,28.0,28.345,637200.0,0
1999-09-24,28.315,28.5,26.375,28.11,337400.0,0
1999-09-27,28.19,29.375,28.03,28.095,481600.0,0
1999-09-28,27.905,27.905,26.94,27.315,443600.0,0
1999-09-29,27.25,28.47,27.0,27.125,129000.0,0
1999-09-30,27.625,28.44,26.75,28.205,346600.0,0
1999-10-01,27.845,27.94,26.75,27.0,114400.0,0
1999-10-04,27.5,27.5,26.315,26.845,246400.0,0
1999-10-05,26.845,27.875,26.845,27.72,200000.0,0
1999-10-06,27.75,28.97,27.44,28.845,226200.0,0
1999-10-07,28.94,28.94,27.75,27.765,306400.0,0
1999-10-08,27.815,28.25,26.065,27.315,478800.0,0
1999-10-11,27.125,28.75,27.0,28.47,626400.0,0
1999-10-12,28.5,28.75,27.75,28.125,189200.0,0
1999-10-13,27.655,28.0,21.94,24.815,4363000.0,0
1999-10-14,25.125,26.315,24.19,25.065,768600.0,0
1999-10-15,23.875,26.5,23.405,25.5,433400.0,0
1999-10-18,25.625,25.625,23.44,23.875,637000.0,0
1999-10-19,24.315,26.375,23.5,25.595,1081200.0,0
1999-10-20,25.845,26.125,24.53,25.735,278400.0,0
1999-10-21,25.625,26.875,25.0,25.875,426000.0,0
1999-10-22,26.375,27.065,25.875,26.61,662200.0,0
1999-10-25,26.5,27.0,26.5,27.0,85800.0,0
1999-10-26,26.905,27.845,26.905,27.5,861400.0,0
1999-10-27,27.5,27.53,25.815,26.375,164600.0,0
1999-10-28,27.655,28.065,27.405,27.75,421000.0,0
1999-10-29,27.905,28.94,26.875,27.625,410000.0,0
1999-11-01,26.5,28.125,26.5,26.875,381600.0,0
1999-11-02,26.875,27.69,26.875,27.095,275000.0,0
1999-11-03,27.815,29.125,27.69,28.5,837400.0,0
1999-11-04,28.375,30.065,28.375,29.5,557200.0,0
1999-11-05,29.75,30.75,28.625,28.94,252800.0,0
1999-11-08,29.065,30.28,28.875,30.095,624600.0,0
1999-11-09,30.565,31.5,30.44,30.875,1063600.0,0
1999-11-10,30.905,31.97,30.75,31.595,481600.0,0
1999-11-11,32.0,32.31,30.125,30.905,371200.0,0
1999-11-12,30.905,31.065,30.065,31.03,138800.0,0
1999-11-15,30.625,31.095,28.75,29.25,118600.0,0
1999-11-16,29.42,31.94,29.375,31.875,520400.0,0
1999-11-17,32.0,32.81,31.845,31.97,592800.0,0
1999-11-18,32.75,33.0,32.185,32.28,439800.0,0
1999-11-19,32.56,33.81,32.25,33.0,569000.0,0
1999-11-22,33.56,33.81,32.78,33.125,426400.0,0
1999-11-23,33.435,33.435,32.06,32.75,367400.0,0
1999-11-24,32.72,32.875,31.065,31.47,173400.0,0
1999-11-26,33.22,33.75,32.5,32.75,140000.0,0
1999-11-29,32.875,33.31,31.94,32.0,265600.0,0
1999-11-30,31.815,32.5,30.25,30.25,415400.0,0
1999-12-01,30.25,30.875,30.065,30.19,379400.0,0
1999-12-02,29.595,30.5,29.595,30.095,275600.0,0
1999-12-03,30.22,31.47,30.11,30.94,181200.0,0
1999-12-06,31.015,32.655,30.815,32.265,534600.0,0
1999-12-07,32.78,33.0,32.28,32.5,231200.0,0
1999-12-08,32.935,33.06,31.345,32.5,240600.0,0
1999-12-09,33.0,33.125,31.22,31.625,484600.0,0
1999-12-10,31.815,32.5,31.25,31.875,88800.0,0
1999-12-13,32.375,32.75,31.0,31.19,106800.0,0
1999-12-14,31.22,31.44,29.065,29.065,273800.0,0
1999-12-15,29.345,29.345,27.125,28.03,556800.0,0
1999-12-16,28.19,28.19,26.375,27.5,708000.0,0
1999-12-17,27.25,28.25,27.25,27.625,1171200.0,0
1999-12-20,27.5,29.155,27.5,28.19,593800.0,0
1999-12-21,28.095,28.315,26.69,28.03,901800.0,0
1999-12-22,27.94,28.03,26.0,27.565,371800.0,0
1999-12-23,26.875,27.565,26.69,27.065,301400.0,0
1999-12-27,27.0,27.5,26.25,27.015,137400.0,0
1999-12-28,27.19,28.72,26.625,27.69,170000.0,0
1999-12-29,27.5,28.5,27.5,28.345,93400.0,0
1999-12-30,28.375,29.0,28.0,28.42,84400.0,0
1999-12-31,28.75,29.0,28.25,28.655,45600.0,0
2000-01-03,29.065,31.5,28.845,31.405,512000.0,0
2000-01-04,30.815,30.875,28.595,29.565,292600.0,0
2000-01-05,29.595,30.44,28.565,30.33,411800.0,0
