date,open,high,low,close,volume,padding
1999-01-04,37.0,39.26,37.0,38.85,662600.0,1
1999-01-05,37.0,39.26,37.0,38.85,662600.0,1
1999-01-06,37.0,39.26,37.0,38.85,662600.0,1
1999-01-07,37.0,39.26,37.0,38.85,662600.0,1
1999-01-08,37.0,39.26,37.0,38.85,662600.0,1
1999-01-11,37.0,39.26,37.0,38.85,662600.0,1
1999-01-12,37.0,39.26,37.0,38.85,662600.0,1
1999-01-13,37.0,39.26,37.0,38.85,662600.0,1
1999-01-14,37.0,39.26,37.0,38.85,662600.0,1
1999-01-15,37.0,39.26,37.0,38.85,662600.0,1
1999-01-19,37.0,39.26,37.0,38.85,662600.0,1
1999-01-20,37.0,39.26,37.0,38.85,662600.0,1
1999-01-21,37.0,39.26,37.0,38.85,662600.0,1
1999-01-22,37.0,39.26,37.0,38.85,662600.0,1
1999-01-25,37.0,39.26,37.0,38.85,662600.0,1
1999-01-26,37.0,39.26,37.0,38.85,662600.0,1
1999-01-27,37.0,39.26,37.0,38.85,662600.0,1
1999-01-28,37.0,39.26,37.0,38.85,662600.0,1
1999-01-29,37.0,39.26,37.0,38.85,662600.0,1
1999-02-01,37.0,39.26,37.0,38.85,662600.0,1
1999-02-02,37.0,39.26,37.0,38.85,662600.0,1
1999-02-03,37.0,39.26,37.0,38.85,662600.0,1
1999-02-04,37.0,39.26,37.0,38.85,662600.0,1
1999-02-05,37.0,39.26,37.0,38.85,662600.0,1
1999-02-08,37.0,39.26,37.0,38.85,662600.0,1
1999-02-09,37.0,39.26,37.0,38.85,662600.0,1
1999-02-10,37.0,39.26,37.0,38.85,662600.0,1
1999-02-11,37.0,39.26,37.0,38.85,662600.0,1
1999-02-12,37.0,39.26,37.0,38.85,662600.0,1
1999-02-16,37.0,39.26,37.0,38.85,662600.0,1
1999-02-17,37.0,39.26,37.0,38.85,662600.0,1
1999-02-18,37.0,39.26,37.0,38.85,662600.0,1
1999-02-19,37.0,39.26,37.0,38.85,662600.0,1
1999-02-22,37.0,39.26,37.0,38.85,662600.0,1
1999-02-23,37.0,39.26,37.0,38.85,662600.0,1
1999-02-24,37.0,39.26,37.0,38.85,662600.0,1
1999-02-25,37.0,39.26,37.0,38.85,662600.0,1
1999-02-26,37.0,39.26,37.0,38.85,662600.0,1
1999-03-01,37.0,39.26,37.0,38.85,662600.0,1
1999-03-02,37.0,39.26,37.0,38.85,662600.0,1
1999-03-03,37.0,39.26,37.0,38.85,662600.0,1
