date,open,high,low,close,volume,padding
1999-01-04,45.12,45.12,44.06,44.25,80500.0,0
1999-01-05,44.0,44.19,43.38,43.38,106000.0,0
1999-01-06,43.5,43.5,43.19,43.44,41300.0,0
1999-01-07,42.88,43.12,42.12,42.12,56900.0,0
1999-01-08,42.25,42.25,40.88,41.31,92900.0,0
1999-01-11,41.06,41.31,39.38,40.44,87500.0,0
1999-01-12,40.38,40.62,40.0,40.38,44400.0,0
1999-01-13,40.12,41.56,39.31,41.06,89800.0,0
1999-01-14,41.38,41.38,40.12,40.25,32700.0,0
1999-01-15,40.06,40.44,40.06,40.44,23100.0,0
1999-01-19,40.5,40.5,40.0,40.06,35800.0,0
1999-01-20,40.31,40.31,39.88,40.06,137400.0,0
1999-01-21,40.0,40.0,38.38,38.75,151100.0,0
1999-01-22,38.56,39.5,38.44,39.5,39800.0,0
1999-01-25,39.62,39.88,39.0,39.06,51000.0,0
1999-01-26,39.12,39.75,38.75,39.31,105100.0,0
1999-01-27,39.0,39.56,37.88,38.56,142900.0,0
1999-01-28,38.88,39.12,38.44,38.44,45300.0,0
1999-01-29,38.69,38.69,37.88,37.88,42100.0,0
1999-02-01,38.38,39.62,38.38,39.5,43000.0,0
1999-02-02,39.38,39.5,38.81,39.0,78300.0,0
1999-02-03,38.5,39.75,38.5,39.0,93800.0,0
1999-02-04,39.0,39.0,38.06,38.94,34500.0,0
1999-02-05,38.94,38.94,37.88,38.12,29900.0,0
1999-02-08,38.12,38.31,37.88,38.06,55800.0,0
1999-02-09,38.06,38.25,37.75,38.06,54300.0,0
1999-02-10,37.88,38.25,37.44,37.62,29400.0,0
1999-02-11,37.75,38.5,37.5,38.0,77900.0,0
1999-02-12,37.88,37.88,36.75,36.94,74300.0,0
1999-02-16,37.44,38.25,37.44,38.12,78000.0,0
1999-02-17,38.62,39.44,38.19,38.81,99100.0,0
1999-02-18,38.56,39.25,37.75,37.75,114700.0,0
1999-02-19,37.88,38.38,37.88,38.06,50600.0,0
1999-02-22,37.94,37.94,37.38,37.56,131200.0,0
1999-02-23,37.31,38.44,37.19,38.12,231600.0,0
1999-02-24,38.12,38.12,36.62,36.75,83300.0,0
1999-02-25,36.75,36.94,35.75,35.81,139700.0,0
1999-02-26,35.94,35.94,35.19,35.56,121200.0,0
1999-03-01,35.94,37.12,35.81,36.44,71100.0,0
1999-03-02,36.62,36.81,36.38,36.44,43600.0,0
1999-03-03,36.62,36.62,36.0,36.38,97700.0,0
1999-03-04,36.19,36.69,36.12,36.69,53500.0,0
1999-03-05,36.88,37.31,36.75,37.0,40100.0,0
1999-03-08,37.0,37.25,36.38,36.62,87200.0,0
1999-03-09,36.62,36.62,35.0,35.94,110300.0,0
1999-03-10,35.94,36.19,35.69,36.12,53800.0,0
1999-03-11,36.25,37.62,36.19,37.44,66500.0,0
1999-03-12,37.62,37.62,36.44,36.81,58000.0,0
1999-03-15,37.0,37.44,36.75,36.81,57400.0,0
1999-03-16,37.06,37.88,37.0,37.31,70300.0,0
1999-03-17,37.0,37.5,36.75,37.44,42600.0,0
1999-03-18,37.31,38.06,37.0,37.5,59300.0,0
1999-03-19,37.31,37.75,36.56,37.25,75600.0,0
1999-03-22,37.38,37.38,35.56,35.94,76200.0,0
1999-03-23,35.88,35.88,35.25,35.56,73100.0,0
1999-03-24,35.69,36.38,35.69,36.31,61000.0,0
1999-03-25,36.31,37.06,36.31,36.56,89800.0,0
1999-03-26,36.31,36.38,36.06,36.06,133100.0,0
1999-03-29,36.06,36.31,35.75,35.81,122600.0,0
1999-03-30,35.69,35.69,34.75,35.25,77800.0,0
1999-03-31,35.38,35.44,33.62,34.06,105400.0,0
1999-04-01,34.0,35.25,34.0,35.12,51300.0,0
1999-04-05,35.5,35.5,34.06,35.0,103900.0,0
1999-04-06,35.12,36.0,34.62,36.0,79800.0,0
1999-04-07,35.75,35.75,34.38,34.44,121500.0,0
1999-04-08,34.44,34.75,33.69,33.94,71900.0,0
1999-04-09,33.75,35.0,33.44,35.0,53300.0,0
1999-04-12,34.88,36.94,34.88,36.75,102500.0,0
1999-04-13,36.75,37.81,36.56,37.06,72000.0,0
1999-04-14,37.12,38.5,37.06,38.12,82000.0,0
1999-04-15,38.62,40.25,38.5,40.0,157000.0,0
1999-04-16,40.06,41.25,40.06,41.19,152900.0,0
1999-04-19,41.62,44.12,41.62,43.62,241300.0,0
1999-04-20,43.5,43.56,40.5,40.5,106900.0,0
1999-04-21,40.5,42.19,40.25,41.94,74800.0,0
1999-04-22,42.06,42.19,41.75,41.75,127100.0,0
1999-04-23,41.56,41.75,40.81,41.25,67700.0,0
1999-04-26,41.5,42.31,41.38,42.06,94300.0,0
1999-04-27,42.0,42.19,40.38,40.38,115400.0,0
1999-04-28,40.5,42.25,40.5,41.94,139400.0,0
1999-04-29,42.25,43.75,41.94,43.69,106800.0,0
1999-04-30,43.69,44.19,43.56,43.56,84800.0,0
1999-05-03,43.44,44.31,43.06,44.31,96500.0,0
1999-05-04,44.31,45.12,44.31,45.0,103700.0,0
1999-05-05,46.0,46.0,44.88,45.06,138000.0,0
1999-05-06,45.06,45.44,44.75,44.81,72100.0,0
1999-05-07,44.88,45.25,44.88,45.25,134800.0,0
1999-05-10,45.38,46.38,45.25,46.38,140300.0,0
1999-05-11,46.25,46.31,45.5,45.88,91900.0,0
1999-05-12,45.81,45.88,45.38,45.75,81000.0,0
1999-05-13,45.75,45.81,45.44,45.81,70500.0,0
1999-05-14,45.81,45.81,45.5,45.5,30000.0,0
1999-05-17,45.25,45.81,45.19,45.75,52300.0,0
1999-05-18,45.62,45.75,44.75,45.19,34300.0,0
1999-05-19,45.0,45.44,44.75,45.0,42500.0,0
1999-05-20,45.0,45.81,44.81,45.62,42600.0,0
1999-05-21,45.56,45.88,45.38,45.38,46100.0,0
1999-05-24,44.88,45.69,44.81,45.69,100300.0,0
1999-05-25,45.62,45.75,45.38,45.5,32100.0,0
