date,open,high,low,close,volume,padding
1999-01-04,34.75,35.31,34.75,35.0,432200.0,0
1999-01-05,34.13,35.63,34.0,35.25,727400.0,0
1999-01-06,35.25,36.13,35.06,35.75,767200.0,0
1999-01-07,35.5,35.5,34.63,35.13,440900.0,0
1999-01-08,35.13,35.38,34.88,35.31,480100.0,0
1999-01-11,35.25,35.38,34.13,34.44,584100.0,0
1999-01-12,34.44,34.44,32.88,33.0,2396000.0,0
1999-01-13,33.0,33.0,32.13,32.19,760300.0,0
1999-01-14,32.19,32.19,31.44,32.0,716300.0,0
1999-01-15,32.13,32.13,31.25,32.0,481700.0,0
1999-01-19,31.75,31.88,29.88,31.44,725800.0,0
1999-01-20,30.75,30.88,29.31,30.25,739600.0,0
1999-01-21,29.88,30.81,29.75,30.38,585700.0,0
1999-01-22,30.5,30.75,30.0,30.06,2035500.0,0
1999-01-25,30.0,30.38,29.5,30.0,3179300.0,0
1999-01-26,30.0,30.81,30.0,30.81,1019400.0,0
1999-01-27,30.88,31.06,29.06,29.5,712000.0,0
1999-01-28,29.44,30.0,29.31,29.44,451600.0,0
1999-01-29,29.06,29.63,28.56,29.38,646900.0,0
1999-02-01,29.0,29.13,28.5,28.56,948000.0,0
1999-02-02,28.63,29.88,28.5,29.63,891000.0,0
1999-02-03,29.5,30.13,29.25,29.75,490900.0,0
1999-02-04,29.88,30.81,29.88,30.63,934500.0,0
1999-02-05,30.25,31.0,30.25,31.0,868100.0,0
1999-02-08,31.0,31.13,30.81,31.0,962100.0,0
1999-02-09,31.0,31.13,30.25,30.25,637000.0,0
1999-02-10,30.0,31.13,29.81,31.0,555500.0,0
1999-02-11,30.63,31.63,30.56,30.94,435700.0,0
1999-02-12,31.0,31.44,30.38,30.44,302800.0,0
1999-02-16,30.75,32.75,30.75,32.06,760200.0,0
1999-02-17,31.69,33.19,31.69,32.06,859200.0,0
1999-02-18,32.63,32.69,32.13,32.44,658400.0,0
1999-02-19,32.25,32.94,32.13,32.31,314500.0,0
1999-02-22,32.5,33.31,32.5,33.19,653600.0,0
1999-02-23,33.13,33.69,32.13,33.5,354100.0,0
1999-02-24,33.38,33.75,32.19,32.38,408700.0,0
1999-02-25,32.25,32.5,31.38,32.13,357100.0,0
1999-02-26,32.0,32.5,31.75,32.38,277700.0,0
1999-03-01,32.38,33.13,32.13,33.06,442900.0,0
1999-03-02,33.0,33.13,32.38,32.88,435300.0,0
1999-03-03,32.69,32.88,32.38,32.56,268000.0,0
1999-03-04,32.69,32.94,32.44,32.81,471200.0,0
1999-03-05,33.06,33.75,32.81,33.63,378800.0,0
1999-03-08,33.63,33.63,32.75,33.0,415400.0,0
1999-03-09,32.75,33.63,32.75,33.56,355000.0,0
1999-03-10,33.31,33.81,32.94,33.56,849100.0,0
1999-03-11,33.31,33.38,32.81,33.19,551800.0,0
1999-03-12,33.44,33.44,32.94,33.19,463700.0,0
1999-03-15,32.94,33.25,32.75,33.25,454300.0,0
1999-03-16,33.0,33.25,32.63,32.88,567400.0,0
1999-03-17,32.81,33.19,32.25,32.88,276500.0,0
1999-03-18,32.5,33.44,32.44,33.44,446300.0,0
1999-03-19,33.19,33.38,32.5,32.81,500600.0,0
1999-03-22,32.69,32.94,32.31,32.94,434300.0,0
1999-03-23,33.19,33.19,31.75,32.13,472900.0,0
1999-03-24,32.25,32.38,31.25,31.63,427100.0,0
1999-03-25,31.13,32.13,30.88,32.13,483700.0,0
1999-03-26,31.94,32.13,31.5,32.06,323200.0,0
1999-03-29,31.75,32.81,31.75,32.81,475200.0,0
1999-03-30,32.81,32.81,31.88,32.13,559300.0,0
1999-03-31,32.25,32.31,31.0,31.06,662700.0,0
1999-04-01,31.06,32.88,31.06,31.88,732400.0,0
1999-04-05,31.94,32.38,31.94,32.13,399800.0,0
1999-04-06,31.88,32.0,30.69,31.25,386800.0,0
1999-04-07,31.13,31.31,30.63,31.31,261100.0,0
1999-04-08,31.13,31.5,30.38,30.63,537300.0,0
1999-04-09,30.69,31.06,30.31,30.88,339400.0,0
1999-04-12,30.75,31.0,30.13,30.5,392200.0,0
1999-04-13,30.25,30.88,28.94,29.0,856200.0,0
1999-04-14,29.13,30.38,28.88,29.81,2108800.0,0
1999-04-15,29.94,30.75,29.56,29.94,388900.0,0
1999-04-16,30.0,30.25,29.38,29.38,437600.0,0
1999-04-19,29.5,29.75,28.5,29.13,861600.0,0
1999-04-20,29.13,29.63,29.0,29.13,1348100.0,0
1999-04-21,29.06,29.44,28.88,29.13,958600.0,0
1999-04-22,29.25,30.75,29.0,30.44,1781000.0,0
1999-04-23,30.5,30.69,30.13,30.38,594200.0,0
1999-04-26,30.38,30.44,29.44,29.44,621800.0,0
1999-04-27,29.19,29.44,28.88,29.0,997700.0,0
1999-04-28,29.13,29.88,29.13,29.81,635300.0,0
1999-04-29,29.81,30.31,28.5,28.75,1488600.0,0
1999-04-30,29.13,29.88,28.69,28.69,797900.0,0
1999-05-03,28.94,30.19,28.88,30.19,608300.0,0
1999-05-04,30.19,30.44,29.69,29.75,1039700.0,0
1999-05-05,29.75,30.63,29.63,30.0,1299000.0,0
1999-05-06,30.38,31.88,30.13,31.63,3588400.0,0
1999-05-07,31.69,33.88,31.69,33.0,2957600.0,0
1999-05-10,33.06,33.13,32.5,33.06,2500500.0,0
1999-05-11,33.0,33.63,32.69,33.38,1877700.0,0
1999-05-12,34.13,35.0,33.38,34.75,1680200.0,0
1999-05-13,34.81,36.69,34.5,36.0,2343900.0,0
1999-05-14,35.25,35.31,33.56,33.88,1900000.0,0
1999-05-17,33.88,34.06,33.38,33.69,634800.0,0
1999-05-18,33.94,34.38,33.31,33.56,1365000.0,0
1999-05-19,34.25,34.94,34.06,34.69,884300.0,0
1999-05-20,34.94,35.13,34.75,34.75,2733200.0,0
1999-05-21,34.75,34.81,34.0,34.81,697800.0,0
1999-05-24,35.06,36.0,35.0,35.88,1153500.0,0
1999-05-25,35.5,37.06,35.5,36.75,2136700.0,0
1999-05-26,36.5,36.63,35.75,36.38,1554600.0,0
1999-05-27,36.44,36.63,34.69,34.88,590900.0,0
1999-05-28,35.13,36.06,35.06,35.63,520500.0,0
1999-06-01,35.31,35.31,34.44,34.88,538700.0,0
1999-06-02,35.13,35.13,34.13,34.56,478900.0,0
1999-06-03,34.63,34.81,34.5,34.69,594200.0,0
1999-06-04,34.75,34.75,34.31,34.75,695100.0,0
1999-06-07,34.56,35.25,34.25,34.94,522400.0,0
1999-06-08,34.94,35.0,33.94,34.06,777500.0,0
1999-06-09,34.13,34.63,33.69,33.75,526900.0,0
1999-06-10,33.75,34.06,33.25,33.56,703700.0,0
1999-06-11,33.5,33.81,32.94,33.06,354100.0,0
1999-06-14,33.38,34.38,33.31,33.81,558800.0,0
1999-06-15,34.0,34.44,33.81,33.81,486200.0,0
1999-06-16,33.94,35.25,33.88,34.88,457400.0,0
1999-06-17,34.69,34.69,34.06,34.56,716300.0,0
1999-06-18,34.31,34.63,33.69,34.25,755200.0,0
1999-06-21,34.31,34.5,33.69,34.25,367800.0,0
1999-06-22,34.25,34.25,33.75,33.88,329000.0,0
1999-06-23,34.13,34.13,33.0,33.19,568900.0,0
1999-06-24,33.38,33.5,32.44,32.88,488500.0,0
1999-06-25,32.94,33.0,32.19,32.5,338300.0,0
1999-06-28,32.5,32.94,32.5,32.88,606000.0,0
1999-06-29,32.88,32.88,32.31,32.5,668700.0,0
1999-06-30,32.44,32.44,31.63,31.81,1142300.0,0
1999-07-01,31.56,31.81,31.25,31.31,936600.0,0
1999-07-02,31.5,31.63,31.0,31.31,1505000.0,0
1999-07-06,31.38,31.44,30.56,30.81,1066400.0,0
1999-07-07,30.81,31.25,30.63,31.06,861900.0,0
1999-07-08,30.94,31.0,29.5,29.81,2838200.0,0
1999-07-09,30.38,30.94,28.94,29.13,3457200.0,0
1999-07-12,30.38,30.69,30.0,30.25,2770700.0,0
1999-07-13,30.5,32.38,30.5,31.56,1536100.0,0
1999-07-14,31.63,32.44,31.63,32.44,1144900.0,0
1999-07-15,32.88,32.88,31.38,31.81,1150800.0,0
1999-07-16,32.5,33.5,32.13,33.0,1396700.0,0
1999-07-19,33.0,33.88,33.0,33.75,941600.0,0
1999-07-20,34.0,34.0,33.06,33.5,1198200.0,0
1999-07-21,33.5,33.75,31.88,32.06,651600.0,0
1999-07-22,32.31,33.25,32.06,33.06,634500.0,0
1999-07-23,33.25,33.44,32.5,33.06,476800.0,0
1999-07-26,33.75,33.88,33.06,33.56,632300.0,0
1999-07-27,33.5,33.75,33.06,33.63,603400.0,0
1999-07-28,33.88,34.19,32.5,32.81,409200.0,0
1999-07-29,31.81,32.25,31.19,31.56,1099700.0,0
1999-07-30,31.38,32.0,31.13,31.13,609700.0,0
1999-08-02,31.5,32.69,31.31,32.19,377100.0,0
1999-08-03,32.06,32.5,31.81,32.13,442900.0,0
1999-08-04,32.13,33.44,32.06,32.56,793500.0,0
1999-08-05,33.0,33.75,32.88,33.38,662200.0,0
1999-08-06,33.13,33.38,31.81,31.94,447400.0,0
1999-08-09,32.19,33.13,32.19,32.25,322800.0,0
1999-08-10,32.19,32.38,31.13,31.38,1200500.0,0
1999-08-11,31.63,31.88,31.31,31.5,357500.0,0
1999-08-12,31.44,31.44,31.06,31.31,412200.0,0
1999-08-13,31.75,31.75,31.19,31.44,352500.0,0
1999-08-16,31.5,31.63,31.0,31.31,394000.0,0
1999-08-17,31.44,31.69,31.38,31.56,307100.0,0
1999-08-18,31.81,32.0,31.31,31.31,600600.0,0
1999-08-19,31.81,32.63,31.63,32.5,825700.0,0
1999-08-20,32.25,32.81,32.0,32.75,474800.0,0
1999-08-23,32.56,33.69,32.56,33.69,760100.0,0
1999-08-24,33.63,33.75,33.31,33.56,444400.0,0
1999-08-25,33.75,34.19,33.31,33.5,1013000.0,0
1999-08-26,33.63,34.13,33.5,33.63,595900.0,0
1999-08-27,33.56,33.94,33.31,33.31,450200.0,0
1999-08-30,33.31,33.31,31.94,32.38,563000.0,0
1999-08-31,32.63,33.25,32.06,32.06,728900.0,0
1999-09-01,32.25,33.38,32.25,33.13,436400.0,0
1999-09-02,32.88,33.0,32.31,32.94,605200.0,0
1999-09-03,33.19,33.88,33.13,33.75,421300.0,0
1999-09-07,34.0,34.44,32.94,33.25,498100.0,0
1999-09-08,33.31,34.06,32.56,32.63,389200.0,0
1999-09-09,32.5,33.06,32.38,33.06,301600.0,0
1999-09-10,33.25,33.59,32.88,32.88,302100.0,0
1999-09-13,33.13,33.13,32.19,32.63,399400.0,0
1999-09-14,32.5,32.63,31.5,31.63,567800.0,0
1999-09-15,31.5,32.5,31.5,31.94,369900.0,0
1999-09-16,31.69,32.0,31.13,31.88,293300.0,0
